sample	other_project	other_sample
BB3	20B0531A_16S-V4V5-AQ	WD-2
BQ3	19B0625A-3_16S-V4V5	75
BS1	19B0625A-3_16S-V4V5	4
BW1	19B0625A-3_16S-V4V5	8
BW2	19B0625A-3_16S-V4V5	63
BX3	19B0625A-3_16S-V4V5	66
BZ2	19B0625A-3_16S-V4V5	22
BZ3	20B0531A_16S-V4V5-AQ	DZ-1
BB2	19B0625A-3_16S-V4V5	20
BC2	19B0625A-3_16S-V4V5	57
BD2	19B0625A-3_16S-V4V5	19
BM3	20B0531A_16S-V4V5-AQ	YC-3
BP1	19B0625A-3_16S-V4V5	1
BQ1	19B0625A-3_16S-V4V5	2
BR2	19B0625A-3_16S-V4V5	53
BU1	19B0625A-3_16S-V4V5	6
BX2	19B0625A-3_16S-V4V5	52
BY3-2	20B0531A_16S-V4V5-AQ	DZ-2

