Sample	HOXA10	EMX2	TP63	LHX1	WNT4	PAX2	H19	GSC8	ITGB3
BCL	10.86478351	0.217901272	0.060584177	0.008389339	5.360405682	2.113113886	35.31848424	0.051276379	1.457289517
CF	7.018884952	0.235203786	0.157903551	0.001919141	2.235510811	3.831503233	49.90440254	0.016820979	1.618743638
CXMEI	14.24746019	0.270268858	0.050098893	0.0016208	5.369708814	3.239387053	99.6067212	0.06669559	1.576488912
CXMENG	8.999843139	0.372845506	0.029742235	0.031607473	8.242971593	6.080642858	100.3243865	0.036395802	1.45232519
CXMNM	7.099	0.304	0.021	0.005	4.813	2.161	89.167	0.045	5.561
CYL	7.488500472	0.202335381	0.016275513	0.002818219	2.300836588	0.467064335	29.60607888	0.017995976	0.664123225
CYX	12.33404568	0.406940805	0.025828008	0.006162964	7.075274835	2.383329669	48.63501721	0.017985647	1.299853341
CYY	11.45429577	0.276440045	0.03493553	0.008964871	4.810113233	3.666096742	59.07865963	0.16121116	1.054031895
DYX	10.67314064	0.141100225	0.050607448	0.000170658	5.287298788	2.747336304	51.55516947	0.014745534	1.352774331
DZ	9.103881988	0.311605267	0.031571461	0.107025305	7.045088631	2.564984646	51.16676757	0.038937728	1.589502027
FFJ	13.97257025	0.396827026	0.054422091	0.117873735	1.761760961	1.420480332	117.8666034	0.038742195	0.67281566
GHH	10.90553662	0.186114091	0.014299464	0.002492922	3.022791609	1.071877862	68.7846236	0.0227742	0.725625732
GYX	11.08731804	0.234921532	0.01520299	0.00449729	2.649300556	0.938128111	46.73330584	0.014781864	0.483687845
HM	11.45350184	0.407069073	0.012472129	0.046837802	5.493370216	2.034443935	89.03110293	0.043971347	0.789604357
JL	13.21264919	0.382444028	0.020294014	0.004759687	2.800437421	1.03846255	37.59157672	0.025930015	0.725085078
LAN	3.45	0.105	0.063	0.518	3.777	30.561	61.13	0.01	1.171
LFY	8.731871239	0.159414473	0.038369839	0.001667871	4.203295419	2.945138586	29.1901258	0.065989175	0.910390152
LJ	18.24399182	0.675835102	0.034211232	0.015258705	11.59616496	2.079259547	80.60757542	0.039334495	1.153356506
LL	13.88665149	0.150202687	0.029760547	0.004289039	3.980471105	1.807601747	91.20469513	0.016548312	0.556547164
LQNM	9.227	0.18	0.044	0.084	15.65	7.312	65.325	0.044	1.69
LWJ	4.80029873	0.076401045	0.023695696	0.053568196	2.238146062	3.535586419	22.24991917	0.012415121	0.840184178
LYH	14.09873537	0.364588895	0.036482975	0.011054778	7.07308136	2.820885008	124.6619052	0.06523953	2.325276895
LYY	8.409151224	0.253050902	0.029837632	0.004762738	5.723684657	3.18117673	149.7752595	0.021114285	2.499978792
MHMDZ	16.102	0.221	0.013	0.005	20.393	10.75	72.114	0.028	3.233
MJJ	13.73150188	0.169097768	0.024554272	0.007840097	6.048647234	1.948464783	94.11467932	0.016416811	1.496504057
MQ	12.23112207	0.389096576	0.029132443	0.010271477	3.425013932	1.731429353	70.68045995	0.011615902	0.914378164
NFL	9.734315422	0.12394897	0.019331993	0.005702398	2.099726647	0.241601646	37.76473757	0.013541789	0.557615224
QXW	8.564	0.135	0.009	0.003	5.364	0.696	56.22	0.078	0.783
SFY	18.43454014	0.376036217	0.041869936	0.008724065	4.954558563	1.941047186	120.6468014	0.055900682	2.125810784
SSSDZ	14.789	0.195	0.025	0.012	14.334	4.478	76.542	0.057	4.807
WCR	14.24657471	0.576482289	0.075712021	0.178414428	4.567309396	2.358765268	75.68647035	0.018032104	1.599737126
WL	16.27786808	0.120899892	0.044442184	0.004864324	8.399364574	3.388902639	65.5467127	0.146916417	1.55545773
WLZGNM	12.915	0.195	0.01	0.026	5.997	2.893	52.902	0.021	1.019
WNDZ	16.728	0.262	0.017	0.007	6.865	2.73	92.297	0.282	2.529
WXHDZ	17.687	0.173	0.042	0.008	7.064	7.958	80.968	0.041	1.777
WXJZGM	10.117	0.172	0.019		8.162	32.955	70.262	0.062	1.272
WXY	10.89223813	0.187265346	0.030151986	0.022054332	6.982659015	2.942594042	59.02102987	0.021093279	1.575603496
WY	9.871895959	0.197200966	0.012449134	0.005672327	2.524753471	2.995678617	73.51330728	0.025002818	0.912747377
WYM	10.98743092	0.435628181	0.033603645	0.004003395	3.907430438	2.483315429	81.50742156	0.020324261	1.82246384
XDD	14.43948474	0.210020907	0.046492072	0.001971405	2.965189257	1.49234027	69.09569189	0.022393117	1.407880148
XDT	12.84261294	0.326750388	0.02129129	0.002085488	3.099984187	1.477961672	125.8550116	0.012137436	1.130024086
XL	9.864690969	0.138058427	0.030129207	0.006143171	5.789802715	1.942254862	48.34391894	0.01508346	1.547367835
XXF	11.34796098	0.186313165	0.023794103	0.004089141	3.543431574	0.696765867	38.71581721	0.0257205	0.525221734
XYX	9.620895536	0.26660305	0.03404553	0.027182366	2.407352696	1.30489904	35.27016752	0.019205951	0.832142124
YLX	8.338272512	0.064431434	0.010080748	0.000812836	4.81450627	0.143003846	36.10491122	0.035191078	0.395105141
ZCL	6.377611381	0.408025868	0.124994471	0.002995837	2.603174198	13.94220515	23.71612701	0.012046649	0.4256796
ZLJ	10.77052391	0.386743922	0.017486369	0.005207829	5.081689369	1.949841954	64.10437234	0.054991998	0.985271244
ZQN	13.1062876	0.3106367	0.015845872	0.008803585	3.598483034	1.438011477	89.63356604	0.021806951	0.630476582
ZT	10.11499842	0.363104536	0.028956483	0.002794833	2.874796543	2.676381029	48.51522045	0.012900998	0.987314662
ZYJ	9.916648982	0.325769857	0.03537512	0.005746663	2.160307512	1.749821415	71.75980293	0.01580509	5.91843E-06
