geneid	genesymbol	count
406075	ANT	1
406065	WAT	1
406066	JHE	1
406067	MRJP8	1
406068	OA1	1
406070	DOPR2	1
406072	AMIH	1
406076	VHA16	1
406077	ANTP	1
406078	TSF1	1
406079	NMDAR1	1
406081	GLUCOSE OXIDASE	1
406082	NACHRA8	1
406083	TK	1
406086	DL	1
406088	VG	1
406090	MRJP1	1
406091	MRJP2	1
406092	FOR	1
406093	APISIMIN PRECURSOR	1
406094	CSP3	1
406095	SP34	1
406096	TYPE I INOSITOL 1	1
406096	4	2
406096	5-TRISPHOSPHATE 5-PHOSPHATASE	3
406098	IF-2MT	1
406099	RPL32	1
406100	OBP5	1
406101	OBP4	1
406102	OBP1	1
406103	OBP2	1
406108	TSPAN6	1
406109	OBP6	1
406110	TYRR	1
406111	DOP1	1
406112	PER	1
406113	EAAT-2	1
406114	ALPHA-AMYLASE PRECURSOR	1
406116	MRJP5	1
406117	HEX70B	1
406121	MRJP3	1
406123	PSQ	1
550932	ARGK	1
406126	RPS8	1
406127	UVOP	1
406128	BLOP	1
406130	MELT	1
406131	HBG3	1
406133	MRJP4	1
406134	MCDP	1
406135	APAMIN	1
406140	APID1	1
406141	PLA2	1
406142	HYMENOPTAECIN PREPROPROTEIN	1
406143	DEF1	1
406144	ABAECIN PRECURSOR	1
406145	SECAPIN PREPROPROTEIN	1
406146	HYALURONIDASE PRECURSOR	1
406147	SHORT-CHAIN DEHYDROGENASE/REDUCTASE	1
406148	NACHRA7	1
406149	MRJP6	1
406150	GLURB	1
406151	MGLUTR1	1
406153	NACHRA2	1
406154	PRF	1
406155	PPO	1
408385	EF-1A-F1	1
408521	MBLK-1	1
408689	FABP	1
408758	E74	1
408880	GYCBETA1	1
408930	TYHYD	1
409227	USP	1
409376	Y-F	1
409798	FABP	1
413254	TWI	1
413397	DEF2	1
413961	LOP1	1
449496	JHBP-1	1
494506	HO	1
494511	GAT-1B	1
494522	C-MOS	1
408879	SGC-ALPHA1	1
408380	TPNCIIIB	1
494503	TPNCIIA	1
494501	TPNCIIB	1
503505	ICARAPIN-LIKE PRECURSOR	1
409372	CRH-BP	1
411635	SGCBETA-3	1
503861	NOS	1
503862	CRZ	1
408489	EPHR	1
411830	ACPH-1	1
410902	18-W	1
409555	MRJP7	1
411659	TPNCI	1
408995	DOP3	1
408786	DSCAM	1
409943	IP3K	1
544670	EF1A-F2	1
726445	GPDH	1
409873	MRJP9	1
409779	FSTL5	1
410755	PUTATIVE TYRAMINE RECEPTOR	1
408985	PTEROPSIN	1
678510	GB15078	1
410068	OBP10	1
551719	OBP16	1
551935	OBP21	1
552478	OBP17	1
677664	OBP15	1
677665	OBP19	1
677668	OBP7	1
677671	OBP3	1
677673	OBP14	1
677674	OBP13	1
677675	OBP9	1
677676	OBP11	1
677677	OBP18	1
677678	OBP12	1
406104	ACHE-2	1
408956	NANOS	1
409469	CYP4G11	1
409677	CYP6AS5	1
409817	ABSCAM	1
409889	AGLU2	1
726946	NFRKB	1
410692	VAS	1
410815	TPNI	1
411057	CYP314A1	1
411184	TPNT	1
411257	HBG2	1
413045	PBURS	1
551341	CBS	1
551388	AKHR	1
551604	RH-LIKE PROTEIN	1
552255	BR-C	1
595137	UZIP	1
678511	QBP-1	1
678674	ALLERGEN API M 6 PRECURSOR	1
692346	TERT	1
724047	MAD	1
552122	METRN	1
408363	AC3	1
408450	GLUCL	1
408658	CSP2	1
409040	HISCL1	1
412740	LCCH3	1
412747	RIPK5	1
413565	CSP4	1
552640	AMMONIUM TRANSPORTER 1-LIKE	1
