pathway	geneid
ame00010	100576646
ame00010	100577002
ame00010	100578307
ame00010	100578735
ame00010	102655391
ame00010	102655754
ame00010	408559
ame00010	408654
ame00010	408818
ame00010	409624
ame00010	409751
ame00010	409773
ame00010	410122
ame00010	411140
ame00010	411187
ame00010	411188
ame00010	411189
ame00010	411202
ame00010	411576
ame00010	411897
ame00010	412362
ame00010	412522
ame00010	412843
ame00010	413336
ame00010	413924
ame00010	550687
ame00010	550785
ame00010	551005
ame00010	551039
ame00010	551103
ame00010	551154
ame00010	551631
ame00010	551927
ame00010	552007
ame00010	552086
ame00010	552678
ame00010	552736
ame00010	724619
ame00010	724724
ame00010	725351
ame00010	725455
ame00010	725482
ame00010	725931
ame00010	726117
ame00010	726225
ame00010	727153
ame00010	727456
ame00020	100576646
ame00020	100576801
ame00020	100578735
ame00020	102655391
ame00020	406080
ame00020	408286
ame00020	408446
ame00020	408654
ame00020	408734
ame00020	408950
ame00020	409155
ame00020	409292
ame00020	409485
ame00020	409549
ame00020	410059
ame00020	410396
ame00020	411014
ame00020	412522
ame00020	412843
ame00020	412876
ame00020	413768
ame00020	550667
ame00020	550686
ame00020	551039
ame00020	551103
ame00020	551169
ame00020	551276
ame00020	551403
ame00020	551631
ame00020	551917
ame00020	551958
ame00020	552128
ame00020	724321
ame00020	725281
ame00020	725566
ame00020	726838
ame00030	100576547
ame00030	107965225
ame00030	411541
ame00030	411897
ame00030	412362
ame00030	413627
ame00030	413867
ame00030	550767
ame00030	550785
ame00030	550804
ame00030	551154
ame00030	551282
ame00030	551448
ame00030	551785
ame00030	551986
ame00030	552395
ame00030	552712
ame00030	724724
ame00030	725325
ame00030	725455
ame00030	726367
ame00030	727153
ame00040	100577140
ame00040	107965199
ame00040	107965225
ame00040	113218830
ame00040	406119
ame00040	408788
ame00040	408871
ame00040	409203
ame00040	409814
ame00040	409884
ame00040	411021
ame00040	411202
ame00040	412069
ame00040	412231
ame00040	413043
ame00040	413356
ame00040	413567
ame00040	551927
ame00040	551968
ame00040	552018
ame00040	725017
ame00040	725106
ame00040	725997
ame00040	727593
ame00051	408818
ame00051	408871
ame00051	409329
ame00051	409963
ame00051	411307
ame00051	411696
ame00051	413435
ame00051	413697
ame00051	550785
ame00051	550926
ame00051	551005
ame00051	551447
ame00051	551968
ame00051	552018
ame00051	552755
ame00051	724724
ame00051	725455
ame00051	726117
ame00051	726522
ame00051	727153
ame00052	100577378
ame00052	100578397
ame00052	113218760
ame00052	113219414
ame00052	406131
ame00052	408818
ame00052	409365
ame00052	409499
ame00052	411257
ame00052	411633
ame00052	411897
ame00052	412069
ame00052	412362
ame00052	551005
ame00052	551968
ame00052	552018
ame00052	552086
ame00052	552141
ame00052	724540
ame00052	724724
ame00052	725351
ame00052	725756
ame00052	726225
ame00053	100577140
ame00053	107965199
ame00053	113218830
ame00053	408559
ame00053	408650
ame00053	408788
ame00053	409203
ame00053	411021
ame00053	411140
ame00053	413043
ame00053	413356
ame00053	413627
ame00053	550687
ame00053	551849
ame00053	725017
ame00053	725106
ame00053	725997
ame00053	727593
ame00061	409515
ame00061	411662
ame00061	411959
ame00061	412286
ame00061	412541
ame00061	412815
ame00061	413655
ame00061	551837
ame00061	552286
ame00061	552493
ame00061	724856
ame00062	100577192
ame00062	100578829
ame00062	113219003
ame00062	113219005
ame00062	408291
ame00062	408426
ame00062	409150
ame00062	409638
ame00062	410227
ame00062	410325
ame00062	411662
ame00062	411692
ame00062	413078
ame00062	413789
ame00062	550828
ame00062	551664
ame00062	551775
ame00062	551938
ame00062	552205
ame00062	724552
ame00062	724867
ame00062	725031
ame00062	725146
ame00062	725258
ame00062	725842
ame00071	408291
ame00071	408559
ame00071	408567
ame00071	409150
ame00071	409515
ame00071	409712
ame00071	409773
ame00071	410254
ame00071	410325
ame00071	411140
ame00071	411473
ame00071	411697
ame00071	412020
ame00071	412025
ame00071	412541
ame00071	550687
ame00071	550695
ame00071	551395
ame00071	551775
ame00071	551837
ame00071	552000
ame00071	552143
ame00071	552757
ame00071	726218
ame00072	409087
ame00072	409157
ame00072	413763
ame00072	551395
ame00072	726218
ame00072	726494
ame00100	409999
ame00100	410928
ame00100	411353
ame00100	552313
ame00100	724925
ame00130	409224
ame00130	411105
ame00130	412082
ame00130	412426
ame00130	413255
ame00130	551869
ame00130	724350
ame00130	724791
ame00130	725204
ame00130	725400
ame00130	726040
ame00130	726362
ame00130	726625
ame00190	100302106
ame00190	100359409
ame00190	100359410
ame00190	100576847
ame00190	100578006
ame00190	100578782
ame00190	102653862
ame00190	102654169
ame00190	102654955
ame00190	102655440
ame00190	102655970
ame00190	113218834
ame00190	113219091
ame00190	406076
ame00190	408367
ame00190	408477
ame00190	408734
ame00190	408837
ame00190	408909
