geneid	genesymbol	count
CAALFM_C100020CA	CAO19.6114	1
CAALFM_C100030CA	CAO19.6113	1
CAALFM_C100040WA	CTA2	1
CAALFM_C100040WA	CAO19.6112	2
CAALFM_C100060WA	TUP1	1
CAALFM_C100060WA	CAO19.6109	2
CAALFM_C100070WA	MVD	1
CAALFM_C100070WA	CAO19.6105	2
CAALFM_C100080CA	RCA1	1
CAALFM_C100080CA	CAO19.6102	2
CAALFM_C100090WA	CAO19.6103	1
CAALFM_C100100CA	CAO19.6100	1
CAALFM_C100110WA	CCT8	1
CAALFM_C100110WA	CAO19.6099	2
CAALFM_C100120CA	TRP1	1
CAALFM_C100120CA	CAO19.6096	2
CAALFM_C100130CA	VPS53	1
CAALFM_C100130CA	CAO19.6094	2
CAALFM_C100140WA	KEL1	1
CAALFM_C100140WA	CAO19.6092	2
CAALFM_C100150CA	RIM8	1
CAALFM_C100150CA	CAO19.6091	2
CAALFM_C100160CA	CAO19.6090	1
CAALFM_C100170WA	LEU4	1
CAALFM_C100170WA	CAO19.6086	2
CAALFM_C100180WA	RPL16A	1
CAALFM_C100180WA	CAO19.6085	2
CAALFM_C100190CA	CAO19.6084	1
CAALFM_C100200CA	CAO19.6083	1
CAALFM_C100210CA	CAO19.6082	1
CAALFM_C100220WA	PHR2	1
CAALFM_C100220WA	CAO19.6081	2
CAALFM_C100230CA	BFA1	1
CAALFM_C100230CA	CAO19.6080	2
CAALFM_C100270WA	CAO19.6079	1
CAALFM_C100280CA	RFC52	1
CAALFM_C100290WA	POL93	1
CAALFM_C100290WA	CAO19.6078	2
CAALFM_C100310WA	CAO19.6077	1
CAALFM_C100320WA	CAO19.6076	1
CAALFM_C100330CA	CAO19.6075	1
CAALFM_C100340WA	HBR1	1
CAALFM_C100340WA	CAO19.6074	2
CAALFM_C100350CA	HMX1	1
CAALFM_C100350CA	CAO19.6073	2
CAALFM_C100360WA	CDC13	1
CAALFM_C100360WA	CAO19.6072	2
CAALFM_C100370WA	HYPOTHETICAL PROTEIN	1
CAALFM_C100380CA	CAO19.6071	1
CAALFM_C100390WA	ENA2	1
CAALFM_C100390WA	CAO19.6070	2
CAALFM_C100400WA	SVF1	1
CAALFM_C100400WA	CAO19.6068	2
CAALFM_C100410CA	CAO19.6066	1
CAALFM_C100420WA	CAO19.6065	1
CAALFM_C100430WA	CAO19.6064	1
CAALFM_C100440WA	UBP6	1
CAALFM_C100440WA	CAO19.6063	2
CAALFM_C100450CA	HYPOTHETICAL PROTEIN	1
CAALFM_C100460WA	CAO19.6062	1
CAALFM_C100470CA	CAO19.6061	1
CAALFM_C100480CA	GCN20	1
CAALFM_C100480CA	CAO19.6060	2
CAALFM_C100490CA	TTR1	1
CAALFM_C100490CA	CAO19.6059	2
CAALFM_C100500CA	GLO1	1
CAALFM_C100500CA	CAO19.6058	2
CAALFM_C100510WA	CAO19.6057	1
CAALFM_C100520WA	CAO19.6056	1
CAALFM_C100530CA	CAO19.6055	1
