pathway	geneid
cal00010	CAALFM_C100410CA
cal00010	CAALFM_C102150WA
cal00010	CAALFM_C104290CA
cal00010	CAALFM_C104320WA
cal00010	CAALFM_C108330CA
cal00010	CAALFM_C108500CA
cal00010	CAALFM_C202970CA
cal00010	CAALFM_C203270WA
cal00010	CAALFM_C204470WA
cal00010	CAALFM_C204480WA
cal00010	CAALFM_C205460WA
cal00010	CAALFM_C210350CA
cal00010	CAALFM_C306870WA
cal00010	CAALFM_C307440WA
cal00010	CAALFM_C307490WA
cal00010	CAALFM_C307830WA
cal00010	CAALFM_C401750CA
cal00010	CAALFM_C401850CA
cal00010	CAALFM_C404150CA
cal00010	CAALFM_C406570CA
cal00010	CAALFM_C407110CA
cal00010	CAALFM_C501230CA
cal00010	CAALFM_C504810WA
cal00010	CAALFM_C505050WA
cal00010	CAALFM_C600750CA
cal00010	CAALFM_C602480WA
cal00010	CAALFM_C604580WA
cal00010	CAALFM_C701640WA
cal00010	CAALFM_C701800CA
cal00010	CAALFM_C702010CA
cal00010	CAALFM_CR00200WA
cal00010	CAALFM_CR02070CA
cal00010	CAALFM_CR02820WA
cal00010	CAALFM_CR04510WA
cal00010	CAALFM_CR04870CA
cal00010	CAALFM_CR06340CA
cal00010	CAALFM_CR07150WA
cal00010	CAALFM_CR07400CA
cal00010	CAALFM_CR07490CA
cal00010	CAALFM_CR10250CA
cal00020	CAALFM_C101690CA
cal00020	CAALFM_C103940WA
cal00020	CAALFM_C105260CA
cal00020	CAALFM_C109630WA
cal00020	CAALFM_C201690WA
cal00020	CAALFM_C203080WA
cal00020	CAALFM_C205890CA
cal00020	CAALFM_C210480WA
cal00020	CAALFM_C300880WA
cal00020	CAALFM_C307640CA
cal00020	CAALFM_C401900CA
cal00020	CAALFM_C403940CA
cal00020	CAALFM_C404150CA
cal00020	CAALFM_C406610CA
cal00020	CAALFM_C407110CA
cal00020	CAALFM_C505280CA
cal00020	CAALFM_C701640WA
cal00020	CAALFM_CR00200WA
cal00020	CAALFM_CR00540CA
cal00020	CAALFM_CR02360WA
cal00020	CAALFM_CR03500WA
cal00020	CAALFM_CR04530WA
cal00020	CAALFM_CR05180CA
cal00020	CAALFM_CR06760CA
cal00020	CAALFM_CR07400CA
cal00020	CAALFM_CR07420WA
cal00020	CAALFM_CR08210CA
cal00030	CAALFM_C108320WA
cal00030	CAALFM_C108980CA
cal00030	CAALFM_C112780WA
cal00030	CAALFM_C113860CA
cal00030	CAALFM_C202510WA
cal00030	CAALFM_C204340CA
cal00030	CAALFM_C207890WA
cal00030	CAALFM_C209970CA
cal00030	CAALFM_C301480CA
cal00030	CAALFM_C307490WA
cal00030	CAALFM_C307830WA
cal00030	CAALFM_C401750CA
cal00030	CAALFM_C401820CA
cal00030	CAALFM_C500260WA
cal00030	CAALFM_C504810WA
cal00030	CAALFM_C700150WA
cal00030	CAALFM_C701800CA
cal00030	CAALFM_CR02820WA
cal00030	CAALFM_CR03720WA
cal00030	CAALFM_CR06340CA
cal00030	CAALFM_CR06700CA
cal00040	CAALFM_C405300WA
cal00040	CAALFM_C502930CA
cal00040	CAALFM_C600150WA
cal00040	CAALFM_C602480WA
cal00040	CAALFM_C603880WA
cal00040	CAALFM_C700150WA
cal00040	CAALFM_CR04660CA
cal00040	CAALFM_CR10840CA
cal00051	CAALFM_C102320CA
cal00051	CAALFM_C102480WA
cal00051	CAALFM_C108950WA
cal00051	CAALFM_C109190CA
cal00051	CAALFM_C111080WA
cal00051	CAALFM_C113160WA
cal00051	CAALFM_C209640WA
cal00051	CAALFM_C307440WA
cal00051	CAALFM_C307830WA
cal00051	CAALFM_C307950CA
