geneid	genesymbol	count
CTRG_00001	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00002	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00003	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00004	AMMONIUM TRANSPORTER MEP2	1
CTRG_00005	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00006	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00007	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00008	HYPOTHETICAL PROTEIN	1
CTRG_00009	HYPOTHETICAL PROTEIN	1
CTRG_00010	HYPOTHETICAL PROTEIN	1
CTRG_00011	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00012	CAAX PRENYL PROTEASE 1	1
CTRG_00013	ORNITHINE AMINOTRANSFERASE	1
CTRG_00014	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00015	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00016	O-ACETYLHOMOSERINE SULFHYDRYLASE	1
CTRG_00017	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00018	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00019	HYPOTHETICAL PROTEIN	1
CTRG_00020	MITOCHONDRIAL IMPORT INNER MEMBRANE TRANSLOCASE SUBUNIT TIM10	1
CTRG_00021	PREDICTED PROTEIN	1
CTRG_00022	ABC1 FAMILY PROTEIN	1
CTRG_00023	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00024	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00025	HYPOTHETICAL PROTEIN	1
CTRG_00026	40S RIBOSOMAL PROTEIN S6	1
CTRG_00027	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00028	HYPOTHETICAL PROTEIN	1
CTRG_00029	PREDICTED PROTEIN	1
CTRG_00030	PREDICTED PROTEIN	1
CTRG_00031	HYPOTHETICAL PROTEIN	1
CTRG_00032	HYPOTHETICAL PROTEIN	1
CTRG_00033	HYPOTHETICAL PROTEIN	1
CTRG_00034	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00035	PREDICTED PROTEIN	1
CTRG_00036	PREDICTED PROTEIN	1
CTRG_00037	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00038	HYPOTHETICAL PROTEIN	1
CTRG_00039	HYPOTHETICAL PROTEIN	1
CTRG_00040	HYPOTHETICAL PROTEIN	1
CTRG_00041	PREDICTED PROTEIN	1
CTRG_00042	HYPOTHETICAL PROTEIN	1
CTRG_00043	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00044	60S RIBOSOMAL PROTEIN L40	1
CTRG_00045	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00046	PREDICTED PROTEIN	1
CTRG_00047	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00048	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00049	PREDICTED PROTEIN	1
CTRG_00050	PREDICTED PROTEIN	1
CTRG_00051	HYPOTHETICAL PROTEIN	1
CTRG_00052	PREDICTED PROTEIN	1
CTRG_00053	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00054	PREDICTED PROTEIN	1
CTRG_00055	PREDICTED PROTEIN	1
CTRG_00056	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00057	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00058	PREDICTED PROTEIN	1
CTRG_00059	PREDICTED PROTEIN	1
CTRG_00060	HYPOTHETICAL PROTEIN	1
CTRG_00061	PENTAFUNCTIONAL POLYPEPTIDE AROM	1
CTRG_00062	PREDICTED PROTEIN	1
CTRG_00063	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00064	SPORULATION PROTEIN SPS19	1
CTRG_00065	PREDICTED PROTEIN	1
CTRG_00066	HYPOTHETICAL PROTEIN	1
CTRG_00067	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00068	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00069	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00070	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00071	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00072	PREDICTED PROTEIN	1
CTRG_00073	PREDICTED PROTEIN	1
CTRG_00074	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00075	HYPOTHETICAL PROTEIN	1
CTRG_00076	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00077	PREDICTED PROTEIN	1
CTRG_00078	PREDICTED PROTEIN	1
CTRG_00079	HYPOTHETICAL PROTEIN	1
CTRG_00080	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00081	RIBOSOME BIOGENESIS PROTEIN RLP24	1
CTRG_00082	MITOCHONDRIAL IMPORT INNER MEMBRANE TRANSLOCASE SUBUNIT TIM14	1
CTRG_00083	PREDICTED PROTEIN	1
CTRG_00084	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00085	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00086	CHOLINE-PHOSPHATE CYTIDYLYLTRANSFERASE	1
CTRG_00087	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00088	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00089	PREDICTED PROTEIN	1
CTRG_00090	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00091	PREDICTED PROTEIN	1
CTRG_00092	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00093	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00094	PREDICTED PROTEIN	1
CTRG_00095	HYPOTHETICAL PROTEIN	1
CTRG_00096	PREDICTED PROTEIN	1
CTRG_00097	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00098	HYPOTHETICAL PROTEIN	1
CTRG_00099	HYPOTHETICAL PROTEIN	1
CTRG_00100	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00101	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00102	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00103	HISTIDINOL-PHOSPHATE AMINOTRANSFERASE	1
CTRG_00104	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00105	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00106	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00107	HYPOTHETICAL PROTEIN	1
CTRG_00108	HYPOTHETICAL PROTEIN	1
CTRG_00109	HYPOTHETICAL PROTEIN	1
CTRG_00110	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00111	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00112	GLYCOLIPID-ANCHORED SURFACE PROTEIN 4 PRECURSOR	1
CTRG_00113	HYPOTHETICAL PROTEIN	1
CTRG_00114	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00115	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00116	PREDICTED PROTEIN	1
CTRG_00117	NA(+)/H(+) ANTIPORTER	1
CTRG_00118	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00119	VACUOLAR ATP SYNTHASE SUBUNIT D	1
CTRG_00120	HYPOTHETICAL PROTEIN	1
CTRG_00121	HYPOTHETICAL PROTEIN	1
CTRG_00122	HISTIDINOL DEHYDROGENASE	1
CTRG_00123	PEROXISOMAL TARGETING SIGNAL RECEPTOR	1
CTRG_00124	PREDICTED PROTEIN	1
