pathway	geneid
ctp00010	CTRG_00211
ctp00010	CTRG_00232
ctp00010	CTRG_00414
ctp00010	CTRG_00532
ctp00010	CTRG_00601
ctp00010	CTRG_00819
ctp00010	CTRG_00882
ctp00010	CTRG_01062
ctp00010	CTRG_01175
ctp00010	CTRG_01331
ctp00010	CTRG_01335
ctp00010	CTRG_01342
ctp00010	CTRG_01460
ctp00010	CTRG_01595
ctp00010	CTRG_02032
ctp00010	CTRG_02361
ctp00010	CTRG_02797
ctp00010	CTRG_02937
ctp00010	CTRG_03071
ctp00010	CTRG_03132
ctp00010	CTRG_03163
ctp00010	CTRG_03726
ctp00010	CTRG_03732
ctp00010	CTRG_03826
ctp00010	CTRG_04184
ctp00010	CTRG_04471
ctp00010	CTRG_04618
ctp00010	CTRG_04725
ctp00010	CTRG_04729
ctp00010	CTRG_05010
ctp00010	CTRG_05084
ctp00010	CTRG_05115
ctp00010	CTRG_05127
ctp00010	CTRG_05197
ctp00010	CTRG_05375
ctp00010	CTRG_05482
ctp00010	CTRG_05570
ctp00010	CTRG_05608
ctp00010	CTRG_05613
ctp00010	CTRG_05666
ctp00010	CTRG_05738
ctp00010	CTRG_05836
ctp00010	CTRG_06094
ctp00010	CTRG_06113
ctp00020	CTRG_00226
ctp00020	CTRG_00259
ctp00020	CTRG_00535
ctp00020	CTRG_00671
ctp00020	CTRG_00747
ctp00020	CTRG_00909
ctp00020	CTRG_01021
ctp00020	CTRG_01062
ctp00020	CTRG_01263
ctp00020	CTRG_01317
ctp00020	CTRG_01521
ctp00020	CTRG_02024
ctp00020	CTRG_03051
ctp00020	CTRG_03071
ctp00020	CTRG_03072
ctp00020	CTRG_03395
ctp00020	CTRG_03732
ctp00020	CTRG_03795
ctp00020	CTRG_04027
ctp00020	CTRG_04465
ctp00020	CTRG_04515
ctp00020	CTRG_04772
ctp00020	CTRG_05084
ctp00020	CTRG_05589
ctp00020	CTRG_05738
ctp00020	CTRG_06134
ctp00030	CTRG_00211
ctp00030	CTRG_00218
ctp00030	CTRG_00601
ctp00030	CTRG_00665
ctp00030	CTRG_00726
ctp00030	CTRG_00819
ctp00030	CTRG_01399
ctp00030	CTRG_01587
ctp00030	CTRG_01674
ctp00030	CTRG_02095
ctp00030	CTRG_02166
ctp00030	CTRG_03172
ctp00030	CTRG_03250
ctp00030	CTRG_03290
ctp00030	CTRG_03660
ctp00030	CTRG_04945
ctp00030	CTRG_05115
ctp00030	CTRG_05248
ctp00030	CTRG_05570
ctp00030	CTRG_05613
ctp00030	CTRG_06094
ctp00040	CTRG_00517
ctp00040	CTRG_01154
ctp00040	CTRG_02797
ctp00040	CTRG_03026
ctp00040	CTRG_03873
ctp00040	CTRG_04945
ctp00040	CTRG_05423
ctp00040	CTRG_05796
ctp00040	CTRG_05978
ctp00040	CTRG_05993
ctp00051	CTRG_00211
ctp00051	CTRG_00414
ctp00051	CTRG_01997
ctp00051	CTRG_03101
ctp00051	CTRG_03131
ctp00051	CTRG_03132
ctp00051	CTRG_03252
ctp00051	CTRG_03266
ctp00051	CTRG_03594
ctp00051	CTRG_03726
ctp00051	CTRG_03800
ctp00051	CTRG_03801
ctp00051	CTRG_04092
ctp00051	CTRG_04637
ctp00051	CTRG_04654
ctp00051	CTRG_05115
ctp00051	CTRG_05570
ctp00051	CTRG_05608
ctp00051	CTRG_06094
ctp00052	CTRG_00414
ctp00052	CTRG_00517
ctp00052	CTRG_00819
ctp00052	CTRG_03132
ctp00052	CTRG_03297
ctp00052	CTRG_03726
ctp00052	CTRG_04617
ctp00052	CTRG_04618
ctp00052	CTRG_04621
ctp00052	CTRG_05115
ctp00052	CTRG_05613
ctp00052	CTRG_05791
ctp00052	CTRG_06079
ctp00052	CTRG_06083
ctp00052	CTRG_06094
ctp00052	CTRG_06099
ctp00052	CTRG_06101
ctp00053	CTRG_01331
ctp00053	CTRG_01335
ctp00053	CTRG_01342
