geneid	genesymbol	count
101954268	RNVU1-20	1
101954268	RNU1-110	2
101954268	VU1.20	3
100750326	HTT-AS	1
100750326	HTT-AS1	2
100750326	HTTAS	3
100616119	MIR4697	1
100500862	MIR3648-1	1
100500862	MIR3648	2
100500862	HSA-MIR-3648-1	3
100616436	MIR4449	1
100616436	MIR-4449	2
100422907	MIR3156-2	1
100422907	MIR-3156-2	2
109616976	SNORA79B	1
109616975	SNORA74D	1
26802	SNORD47	1
26802	RNU47	2
26802	U47	3
100616346	MIR4649	1
100616346	MIR-4649	2
677768	SCARNA13	1
677768	U93	2
692148	SCARNA10	1
692148	U85	2
677775	SCARNA5	1
677775	U87	2
100126327	MIR938	1
100126327	MIRN938	2
100126327	HSA-MIR-938	3
100113391	SNORD126	1
100113391	MIR1201	2
100113391	MIRN1201	3
100302182	MIR1279	1
100302182	MIRN1279	2
100302182	HSA-MIR-1279	3
693170	MIR585	1
693170	MIRN585	2
693170	HSA-MIR-585	3
693170	MIR-585	4
100616417	MIR4786	1
100616417	MIR-4786	2
693143	MIR558	1
693143	MIRN558	2
693143	HSA-MIR-558	3
100422837	MIR1193	1
100616327	MIR4484	1
100616327	MIR-4484	2
100170227	SNAR-D	1
100170221	SNAR-H	1
100170221	SNAR-2	2
100170225	SNAR-C1	1
100170220	SNAR-E	1
100126798	SNAR-A1	1
100126798	SNAR-A53113498	2
100191063	SNAR-A14	1
100170224	SNAR-B1	1
100170222	SNAR-I	1
100170222	SNAR-3	2
100169958	SNAR-A8	1
100169952	SNAR-A5	1
100126781	SNAR-F	1
100169955	SNAR-A9	1
100169951	SNAR-A3	1
100170226	SNAR-C3	1
100170223	SNAR-C5	1
100169957	SNAR-A6	1
100170216	SNAR-A10	1
100126780	SNAR-G1	1
100170219	SNAR-C4	1
100170228	SNAR-G2	1
100126799	SNAR-A2	1
100126799	SNAR-A53129250	2
100169953	SNAR-A7	1
100169954	SNAR-A11	1
100169959	SNAR-A13	1
100170217	SNAR-B2	1
100169956	SNAR-A4	1
100126800	SNAR-A12	1
100126800	SNAR-A53102747	2
100170218	SNAR-C2	1
100529239	RPS10-NUDT3	1
100422823	MIR4300	1
574487	MIR518E	1
574487	MIRN518E	2
