geneid	genesymbol	count
102723302	RNA	1
102723302	7SL	2
102723302	CYTOPLASMIC 1	3
100009143	MYLK	1
100009143	SMMLCK	2
100008620	CLIC6	1
100008599	ACP5	1
100008599	TR-AP	2
100009320	SOD3	1
100009209	EMP1	1
100009427	LHB	1
100009341	TNNC2	1
100037718	UGT1-6	1
100037718	UDPGT	2
100037718	UDPGT_1-6	3
100037718	UGT1	4
100037718	UGT1-06	5
100037718	UGT1.6	6
100037718	UGT1A6	7
100037718	UGT1A6B	8
100009290	RFT-II	1
100009290	FUT2	2
100008622	STK17A	1
100008622	RDRAK1	2
100009324	USF1	1
100009324	RUSF1A	2
100009561	NPY6R	1
100009561	Y6	2
100009190	SLC14A2	1
100328915	CYB5	1
100328915	CYB5A	2
100328926	FOXL2	1
100009231	CALCR	1
100009155	PGM1	1
100009155	PGM	2
100328598	CYP2A10	1
100328598	CYPIIA10	2
100328598	P450-IIA10	3
100009050	CALR	1
100009281	RAB2A	1
100009281	RAB2	2
100009476	GCSH	1
100008800	CYBA	1
100008974	NAT2	1
100008974	NAT-2	2
100009222	RABEF1D	1
100009222	EEF1D	2
100009222	EF1D	3
100009192	GRO-G	1
100009192	GRO	2
100009239	PIPOX	1
100009239	SOX	2
100009249	HBA	1
100009249	HBA1	2
100009340	CAPS	1
100009469	GNA15	1
100328595	P4HB	1
100328595	PDI	2
100328595	PDIA1	3
100328595	P55	4
100303770	ADAM6A	1
100303770	TMDCIVE	2
100302434	NPS	1
100009349	BMP2	1
100009349	BMP-2	2
100008938	NPY4R	1
100008938	PPYR1	2
100008658	PRNP	1
100008658	PRP	2
100311275	VOMERONASAL 1 RECEPTOR ORYCUNV1R1665	1
100310998	VOMERONASAL 1 RECEPTOR ORYCUNV1R1530	1
100310970	VOMERONASAL 1 RECEPTOR ORYCUNV1R1503	1
100311011	VOMERONASAL 1 RECEPTOR ORYCUNV1R1543	1
100311115	VOMERONASAL 1 RECEPTOR ORYCUNV1R1656	1
100311092	VOMERONASAL 1 RECEPTOR ORYCUNV1R1626	1
100311104	VOMERONASAL 1 RECEPTOR ORYCUNV1R1640	1
100311069	VOMERONASAL 1 RECEPTOR ORYCUNV1R1602	1
100311088	VOMERONASAL 1 RECEPTOR ORYCUNV1R1621	1
100311250	VOMERONASAL 1 RECEPTOR ORYCUNV1R1625	1
100311097	VOMERONASAL 1 RECEPTOR ORYCUNV1R1632	1
100311120	VOMERONASAL 1 RECEPTOR ORYCUNV1R1666	1
100101618	THRSP	1
100101618	SPOT14	2
100311038	VOMERONASAL 1 RECEPTOR ORYCUNV1R1571	1
100301553	CRH	1
100310978	VOMERONASAL 1 RECEPTOR ORYCUNV1R1511	1
100311072	VOMERONASAL 1 RECEPTOR ORYCUNV1R1605	1
100311075	VOMERONASAL 1 RECEPTOR ORYCUNV1R1608	1
100311102	VOMERONASAL 1 RECEPTOR ORYCUNV1R1638	1
100310975	VOMERONASAL 1 RECEPTOR ORYCUNV1R1508	1
100311114	VOMERONASAL 1 RECEPTOR ORYCUNV1R1654	1
100310985	VOMERONASAL 1 RECEPTOR ORYCUNV1R1517	1
100311094	VOMERONASAL 1 RECEPTOR ORYCUNV1R1628	1
100310993	VOMERONASAL 1 RECEPTOR ORYCUNV1R1525	1
100008711	BSP1	1
100008711	EP52-C1	2
100310987	VOMERONASAL 1 RECEPTOR ORYCUNV1R1519	1
100310974	VOMERONASAL 1 RECEPTOR ORYCUNV1R1507	1
100311015	VOMERONASAL 1 RECEPTOR ORYCUNV1R1548	1
100311070	VOMERONASAL 1 RECEPTOR ORYCUNV1R1603	1
100311054	VOMERONASAL 1 RECEPTOR ORYCUNV1R1587	1
100311009	VOMERONASAL 1 RECEPTOR ORYCUNV1R1541	1
100311014	VOMERONASAL 1 RECEPTOR ORYCUNV1R1547	1
100311017	VOMERONASAL 1 RECEPTOR ORYCUNV1R1551	1
100310992	VOMERONASAL 1 RECEPTOR ORYCUNV1R1524	1
100311000	VOMERONASAL 1 RECEPTOR ORYCUNV1R1532	1
100311008	VOMERONASAL 1 RECEPTOR ORYCUNV1R1540	1
100311082	VOMERONASAL 1 RECEPTOR ORYCUNV1R1615	1
100311050	VOMERONASAL 1 RECEPTOR ORYCUNV1R1583	1
100310979	VOMERONASAL 1 RECEPTOR ORYCUNV1R1512	1
100311010	VOMERONASAL 1 RECEPTOR ORYCUNV1R1542	1
100311006	VOMERONASAL 1 RECEPTOR ORYCUNV1R1538	1
100311060	VOMERONASAL 1 RECEPTOR ORYCUNV1R1593	1
100311019	VOMERONASAL 1 RECEPTOR ORYCUNV1R1553	1
100534614	RN7SL1	1
100347922	TOLL-LIKE RECEPTOR 11	1
100101583	TMEM38A	1
100101583	MG33A	2
100533992	TNNI3K	1
100009229	BSG	1
100009229	CD147	2
100008846	EZR	1
100008846	VIL2	2
100009424	ADRA2A	1
100352042	AZIN2	1
100352080	PEG10	1
105682189	OAZ1	1
100009267	TF	1
100009267	TRF	2
100009481	CGA	1
100101578	TFIP11	1
100101578	STIP	2
100125993	LYPLA1	1
100126561	ASZ1	1
100126561	GASZ	2
100327260	ADH2-1	1
100327260	ADH4	2
100327269	COX4I1	1
100328586	UGT2B13	1
100009115	MCP-1	1
100328944	CYP4A7	1
100328615	ADORA1	1
100328617	PPP2R2C	1
100328619	PEPSINOGEN II-1	1
100328620	PEPSINOGEN III	1
100328923	H3F3A	1
100328923	H3.3A	2
100328924	CYP2C2	1
100328928	PVR	1
100328929	RLA-DR-ALPHA	1
100009047	TIMP1	1
100009047	TIMP-1	2
100328936	CYP2C14	1
100328937	CYP1A2	1
100328937	CYPIA2	2
100328937	P450-PM4	3
100328938	CYP2C16	1
100328962	ANXA1	1
100328933	CYP2C	1
100328933	CYP2C3	2
100328933	CYPIIC3	3
100328710	RBM39	1
100328714	TFEB	1
100328718	ASF1A	1
100328723	SLC22A4	1
100328722	PDLIM4	1
100328724	IRF1	1
100328727	GDF9	1
100328730	DRG1	1
100328738	BPIFC	1
100328738	BPIL2	2
100328780	TTYH1	1
100328788	HOXA9	1
100328790	HOXA11	1
100328791	EVX1	1
100328795	ZPR1	1
100328795	ZNF259	2
100328808	PAXBP1	1
100328808	RA_M005_JSM426FER	2
100328888	HTR5BP	1
100328888	HTR5B	2
100328891	SPEG	1
100328636	ZNF800	1
100328637	GCC1	1
100328893	TMEM198	1
100328649	SERPINB8	1
100328904	CPNE1	1
100328654	WRB	1
100328659	MTO1	1
100328921	C14H21ORF59	1
100328921	C21ORF59	2
100328921	RA_M005_JSM24C07R	3
100328674	POGZ	1
100328677	CELF3	1
100328677	TNRC4	2
100328684	STRC	1
100328700	XIAP	1
100328702	SF1	1
100328858	HBG2	1
100328858	HBG	2
100345521	ADH2-2	1
100037707	UGT1A7	1
100037707	UGT1A8	2
100009106	LDHB	1
100009106	LDH-B	2
100009106	LDH-H	3
100009193	AR	1
100009113	F9	1
100359338	CYP2G1	1
100359338	CYPIIG1	2
100356649	RPL4	1
100009448	UGT2C1	1
100009448	UDPGT_2C1	2
100009448	UGT2A1	3
100009448	UGT2A2	4
100355411	BMP15	1
100355004	PALM2	1
100533972	NME2	1
100533971	NME1	1
100534010	STON1	1
100347723	GPR75	1
100340734	ASB3	1
100347887	MATR3	1
100579168	HOXD10	1
100340614	MORF4L1	1
100344522	SEPHS2	1
100356179	TXNRD1	1
100347425	DHRS2	1
100352458	PGER4	1
100345715	RPS7	1
100328587	UGT2B16	1
100343437	PGER5	1
100351845	OAZ2	1
100351906	MYF5	1
100008915	DRD1	1
100008915	D1R	2
100009299	PLN	1
100328939	CCKBR	1
100328939	CCK-B	2
100328939	CCK-BR	3
100328939	CCK2-R	4
104795875	MIR520E	1
104795875	OCU-MIR-520E	2
104795871	MIR302C	1
104795871	OCU-MIR-302C	2
104795870	MIR302B	1
104795870	OCU-MIR-302B	2
104795877	MIR191	1
104795877	OCU-MIR-191	2
104796584	MIR302A	1
104796584	OCU-MIR-302A	2
104797287	MIR367	1
104797287	OCU-MIR-367	2
104795872	MIR302D	1
104795872	OCU-MIR-302D	2
104795874	MIR290	1
104795874	OCU-MIR-290	2
104795873	MIR294	1
104795873	OCU-MIR-294	2
104797288	MIR498	1
104797288	OCU-MIR-498	2
104797522	MIR512B	1
104797522	OCU-MIR-512B	2
104795876	MIR512A	1
104795876	OCU-MIR-512A	2
100348736	CYP27A1	1
100348736	CYP27	2
100358985	LMX1B	1
100340187	ADGRD2	1
100340187	GPR144	2
100343093	OLFACTORY RECEPTOR 5C1	1
