pathway	geneid
ocu00010	100008676
ocu00010	100008744
ocu00010	100008769
ocu00010	100008853
ocu00010	100008863
ocu00010	100009055
ocu00010	100009074
ocu00010	100009096
ocu00010	100009106
ocu00010	100009107
ocu00010	100009155
ocu00010	100009283
ocu00010	100009307
ocu00010	100009526
ocu00010	100144341
ocu00010	100303766
ocu00010	100327260
ocu00010	100328925
ocu00010	100338214
ocu00010	100338306
ocu00010	100338523
ocu00010	100338725
ocu00010	100338784
ocu00010	100339794
ocu00010	100340945
ocu00010	100340994
ocu00010	100341946
ocu00010	100343171
ocu00010	100343172
ocu00010	100343223
ocu00010	100343505
ocu00010	100343992
ocu00010	100344302
ocu00010	100345105
ocu00010	100345521
ocu00010	100345647
ocu00010	100345755
ocu00010	100345929
ocu00010	100346003
ocu00010	100346653
ocu00010	100346892
ocu00010	100347024
ocu00010	100348124
ocu00010	100348316
ocu00010	100348989
ocu00010	100349212
ocu00010	100349628
ocu00010	100350273
ocu00010	100350280
ocu00010	100350561
ocu00010	100351519
ocu00010	100351563
ocu00010	100352195
ocu00010	100352213
ocu00010	100352426
ocu00010	100354540
ocu00010	100355056
ocu00010	100355262
ocu00010	100355682
ocu00010	100356011
ocu00010	100356560
ocu00010	100357349
ocu00010	100357743
ocu00010	100358192
ocu00010	100358721
ocu00010	100358789
ocu00010	100358794
ocu00010	103346087
ocu00010	103347367
ocu00020	100009154
ocu00020	100144341
ocu00020	100327271
ocu00020	100328559
ocu00020	100328584
ocu00020	100328585
ocu00020	100328743
ocu00020	100338100
ocu00020	100340017
ocu00020	100340796
ocu00020	100341093
ocu00020	100341412
ocu00020	100342113
ocu00020	100345929
ocu00020	100346169
ocu00020	100346560
ocu00020	100346747
ocu00020	100349212
ocu00020	100350273
ocu00020	100351138
ocu00020	100352714
ocu00020	100353481
ocu00020	100354715
ocu00020	100354776
ocu00020	100355682
ocu00020	100356400
ocu00020	100356560
ocu00020	100357349
ocu00020	100357596
ocu00020	100358789
ocu00020	100359048
ocu00020	103346574
ocu00020	103350026
ocu00020	103351073
ocu00020	108175360
ocu00030	100008619
ocu00030	100008744
ocu00030	100008853
ocu00030	100008863
ocu00030	100009055
ocu00030	100009155
ocu00030	100009526
ocu00030	100328765
ocu00030	100328925
ocu00030	100337939
ocu00030	100342117
ocu00030	100345419
ocu00030	100345647
ocu00030	100346653
ocu00030	100346884
ocu00030	100347639
ocu00030	100347724
ocu00030	100348272
ocu00030	100350406
ocu00030	100351563
ocu00030	100353441
ocu00030	100354229
ocu00030	100354239
ocu00030	100355404
ocu00030	100357500
ocu00030	100357904
ocu00030	103345493
ocu00030	103345583
ocu00030	103347291
ocu00030	103347367
ocu00030	103350833
ocu00040	100008610
ocu00040	100009057
ocu00040	100009108
ocu00040	100009122
ocu00040	100009448
ocu00040	100037707
ocu00040	100037718
ocu00040	100038310
ocu00040	100328586
ocu00040	100328587
ocu00040	100337768
ocu00040	100338077
ocu00040	100338508
ocu00040	100339578
ocu00040	100339835
ocu00040	100340258
ocu00040	100340300
ocu00040	100340513
ocu00040	100340772
ocu00040	100341030
ocu00040	100341286
ocu00040	100341518
ocu00040	100341802
ocu00040	100342117
ocu00040	100342219
ocu00040	100342469
ocu00040	100342980
ocu00040	100343223
ocu00040	100346892
ocu00040	100347788
ocu00040	100350632
ocu00040	100351592
ocu00040	100355018
ocu00040	100355885
ocu00040	100356074
ocu00040	100357038
ocu00040	100357464
ocu00040	100358969
ocu00040	100359229
ocu00040	103350786
ocu00040	103352486
ocu00040	108175380
ocu00040	108175477
ocu00040	108175478
ocu00040	108178122
ocu00051	100008853
ocu00051	100008863
ocu00051	100009055
ocu00051	100009122
ocu00051	100009526
ocu00051	100328925
ocu00051	100338214
ocu00051	100340945
ocu00051	100340994
ocu00051	100341518
ocu00051	100341613
ocu00051	100342540
ocu00051	100344174
ocu00051	100344187
ocu00051	100345023
ocu00051	100345105
ocu00051	100345242
ocu00051	100345647
ocu00051	100346653
ocu00051	100346668
ocu00051	100347397
ocu00051	100348059
ocu00051	100348316
ocu00051	100350534
ocu00051	100351494
ocu00051	100351729
ocu00051	100352206
ocu00051	100354226
ocu00051	100355885
ocu00051	100357646
ocu00051	100533991
ocu00051	103347029
ocu00051	103347367
ocu00052	100008717
ocu00052	100009093
ocu00052	100009122
ocu00052	100009155
ocu00052	100009256
ocu00052	100009526
ocu00052	100303766
ocu00052	100338214
ocu00052	100338306
ocu00052	100339251
ocu00052	100340945
ocu00052	100340994
ocu00052	100341480
ocu00052	100341518
ocu00052	100341946
ocu00052	100343672
ocu00052	100344610
ocu00052	100345092
ocu00052	100345105
ocu00052	100345647
ocu00052	100345726
ocu00052	100345755
ocu00052	100349117
ocu00052	100350632
ocu00052	100351419
ocu00052	100351563
ocu00052	100352497
ocu00052	100353264
ocu00052	100358721
ocu00052	100359253
ocu00052	103347367
ocu00052	103347590
ocu00053	100008619
ocu00053	100009057
ocu00053	100009448
ocu00053	100037707
ocu00053	100037718
ocu00053	100038310
ocu00053	100328586
ocu00053	100328587
ocu00053	100338077
ocu00053	100338508
ocu00053	100338523
ocu00053	100338784
ocu00053	100339578
ocu00053	100339794
ocu00053	100339835
ocu00053	100340258
ocu00053	100340513
ocu00053	100340772
ocu00053	100341030
ocu00053	100341286
ocu00053	100341802
ocu00053	100341843
ocu00053	100342219
ocu00053	100342469
ocu00053	100342980
ocu00053	100344302
ocu00053	100348964
ocu00053	100349628
ocu00053	100351592
ocu00053	100354540
ocu00053	100355018
ocu00053	100357038
ocu00053	100357464
ocu00053	100358969
ocu00053	100359229
ocu00053	103350786
ocu00053	103352486
ocu00053	108175380
ocu00053	108175477
ocu00053	108175478
ocu00053	108178122
ocu00061	100328719
ocu00061	100338354
ocu00061	100338502
ocu00061	100339203
ocu00061	100339362
ocu00061	100342485
ocu00061	100344347
ocu00061	100344547
ocu00061	100346176
ocu00061	100349933
ocu00061	100349940
ocu00061	100350310
ocu00061	100353430
ocu00061	100354503
ocu00061	100355970
ocu00061	100356042
ocu00061	100358351
ocu00062	100339262
ocu00062	100339733
ocu00062	100339827
ocu00062	100339997
ocu00062	100341040
ocu00062	100342638
ocu00062	100343182
ocu00062	100343752
ocu00062	100344001
ocu00062	100344005
ocu00062	100344258
ocu00062	100344509
ocu00062	100345021
ocu00062	100346386
ocu00062	100346603
ocu00062	100347496
ocu00062	100349933
ocu00062	100350176
ocu00062	100352022
ocu00062	100352767
ocu00062	100352945
ocu00062	100353032
ocu00062	100353429
ocu00062	100354701
ocu00062	100355022
ocu00062	100355110
ocu00062	100358167
ocu00062	100358451
ocu00062	100358530
ocu00062	103347152
ocu00062	103348628
ocu00071	100009283
ocu00071	100009307
ocu00071	100327260
ocu00071	100328576
ocu00071	100328612
ocu00071	100328719
ocu00071	100328944
ocu00071	100328946
ocu00071	100338354
ocu00071	100338450
ocu00071	100338523
ocu00071	100338784
ocu00071	100339733
ocu00071	100339794
ocu00071	100340500
ocu00071	100340554
ocu00071	100341018
ocu00071	100341040
ocu00071	100341327
ocu00071	100342485
ocu00071	100343376
ocu00071	100343992
ocu00071	100344302
ocu00071	100344347
ocu00071	100345521
ocu00071	100346167
ocu00071	100346210
ocu00071	100346381
ocu00071	100346654
ocu00071	100347496
ocu00071	100347504
ocu00071	100348349
ocu00071	100349628
ocu00071	100350310
ocu00071	100350311
ocu00071	100350716
ocu00071	100350797
ocu00071	100351868
ocu00071	100352290
ocu00071	100352945
ocu00071	100353138
ocu00071	100354503
ocu00071	100354540
ocu00071	100355022
ocu00071	100355110
ocu00071	100358351
ocu00071	100358521
ocu00071	103347455
ocu00071	103350283
ocu00072	100338744
ocu00072	100339007
ocu00072	100339911
ocu00072	100340500
ocu00072	100341106
ocu00072	100343479
ocu00072	100344663
ocu00072	100344675
ocu00072	100344837
ocu00072	100350797
ocu00072	100356813
ocu00100	100008778
ocu00100	100009339
ocu00100	100009537
ocu00100	100338588
ocu00100	100339404
ocu00100	100339511
ocu00100	100339762
ocu00100	100341053
ocu00100	100343087
ocu00100	100343167
ocu00100	100345014
ocu00100	100345480
ocu00100	100347441
ocu00100	100349261
ocu00100	100349393
ocu00100	100351296
ocu00100	100353077
ocu00100	100354153
ocu00100	100355623
ocu00100	100356021
ocu00100	100358493
ocu00100	100359315
ocu00120	100008612
ocu00120	100008683
ocu00120	100009301
ocu00120	100009549
ocu00120	100328551
ocu00120	100338853
ocu00120	100340287
ocu00120	100341039
ocu00120	100343291
ocu00120	100343388
ocu00120	100345427
ocu00120	100346781
ocu00120	100348617
ocu00120	100348736
ocu00120	100350133
ocu00120	100350872
ocu00120	100353878
ocu00120	100354574
ocu00120	100358429
ocu00130	100342074
ocu00130	100343715
ocu00130	100346091
ocu00130	100347363
ocu00130	100348035
ocu00130	100352876
ocu00130	100353448
ocu00130	100353810
ocu00130	100354177
ocu00130	100356286
ocu00130	100358169
ocu00140	100008612
ocu00140	100008778
ocu00140	100008957
ocu00140	100009057
ocu00140	100009448
ocu00140	100009478
ocu00140	100009531
ocu00140	100037707
ocu00140	100037718
ocu00140	100038310
ocu00140	100316858
ocu00140	100327257
ocu00140	100328543
ocu00140	100328545
ocu00140	100328549
ocu00140	100328551
ocu00140	100328586
ocu00140	100328587
ocu00140	100328613
ocu00140	100328924
ocu00140	100328933
ocu00140	100328935
ocu00140	100328936
ocu00140	100328937
ocu00140	100328938
ocu00140	100328947
ocu00140	100328948
ocu00140	100328954
ocu00140	100338077
ocu00140	100338508
ocu00140	100339578
ocu00140	100339835
ocu00140	100340258
ocu00140	100340513
ocu00140	100340772
ocu00140	100341030
ocu00140	100341286
ocu00140	100341802
ocu00140	100342219
ocu00140	100342322
ocu00140	100342351
ocu00140	100342395
ocu00140	100342469
ocu00140	100342572
ocu00140	100342636
ocu00140	100342863
ocu00140	100342980
