geneid	genesymbol	count
541612	PCO072676(750)	1
541614	SQS1	1
541615	UMC2347	1
541617	MITOCHONDRIAL PHOSPHATE TRANSPORTER	1
541618	MPK2	1
541619	FDX2	1
541620	GR1A	1
541623	RCP1	1
541624	CRR2	1
541625	HP2	1
541626	L-FNRII	1
541627	ETR2	1
541628	PCO084558	1
541629	ABPH1	1
541632	GPM91	1
541633	RR7	1
541634	HK1	1
541635	PCO139871A	1
541636	RR8	1
541637	NAS2	1
541638	RR9	1
541639	RR10	1
541640	LEG1	1
541642	HK3	1
541643	PDCT1	1
541644	PDCT2	1
541645	CHS1	1
541646	SODB	1
541647	PIIP2	1
541648	LKRSDH1	1
541649	EIF-4A	1
541650	CGS1	1
541651	RRB1	1
541654	MIR2	1
541656	GSS1	1
541657	DU1	1
541659	UNCHARACTERIZED PROTEIN LOC541659 PRECURSOR	1
541661	RCALM	1
541662	PRO4	1
541663	PHOT1	1
541664	TIF1	1
541665	UBC	1
541666	PCO131913	1
541667	RPL17	1
541668	RPL30	1
541669	SS1	1
541670	LG2	1
541675	TIP1	1
541677	PDLK1	1
541678	INCW3	1
541680	GPM436	1
541681	HDA108	1
541683	TE1	1
541684	IDS1	1
541685	PSAH1	1
541687	POR2	1
541693	ID1	1
541699	PDH1	1
541703	UMC1721	1
541705	PDH2	1
541708	EIF7	1
541709	RAD51A	1
541710	RAD51B	1
541711	ZPU1	1
541712	RCA1	1
103635958	CAP1	1
541716	SIG2A	1
541717	SIG2B	1
541763	MYO1	1
541764	ZMM2	1
541765	MADS3	1
541767	MAF1	1
541773	ROP1	1
541774	ROP3	1
541775	RPOT1	1
541776	RPO2	1
541777	CENPCA	1
541779	PIP1B	1
541780	HSP101	1
541781	DIHYDROLIPOAMIDE S-ACETYLTRANSFERASE	1
541782	GPM399A	1
541785	PK4	1
541786	CL1511_1	1
541789	UNCHARACTERIZED PROTEIN LOC541789	1
541790	RPL29	1
541793	BK2L3	1
541794	CSU134	1
541795	VDAC1B	1
541796	VDAC2	1
541798	ES1	1
541799	SI1	1
541802	CESA-1	1
541803	CESA5	1
541804	CESA6	1
541805	CESA7	1
541806	CESA8	1
541807	CESA-9	1
541810	DELTA-COP	1
541811	COP2	1
541812	CRS2	1
541815	NON-SYMBIOTIC HEMOGLOBIN	1
541816	PHB2	1
541817	PHB3	1
541818	PHB4	1
541819	STM1	1
541821	HIR3	1
