pathway	geneid
zma00010	100037774
zma00010	100037812
zma00010	100170246
zma00010	100191144
zma00010	100191222
zma00010	100191365
zma00010	100191614
zma00010	100191671
zma00010	100191849
zma00010	100191851
zma00010	100191900
zma00010	100191982
zma00010	100192038
zma00010	100192075
zma00010	100192478
zma00010	100192900
zma00010	100193000
zma00010	100193244
zma00010	100193279
zma00010	100193340
zma00010	100193894
zma00010	100194114
zma00010	100194348
zma00010	100194404
zma00010	100216767
zma00010	100217298
zma00010	100272256
zma00010	100272357
zma00010	100272481
zma00010	100272519
zma00010	100272578
zma00010	100272618
zma00010	100272834
zma00010	100272845
zma00010	100272913
zma00010	100272951
zma00010	100272999
zma00010	100273196
zma00010	100273217
zma00010	100273700
zma00010	100273990
zma00010	100274470
zma00010	100274483
zma00010	100274579
zma00010	100279194
zma00010	100279231
zma00010	100279373
zma00010	100279403
zma00010	100279587
zma00010	100279748
zma00010	100280296
zma00010	100280449
zma00010	100280692
zma00010	100280694
zma00010	100280823
zma00010	100281068
zma00010	100281089
zma00010	100281237
zma00010	100281464
zma00010	100281585
zma00010	100281592
zma00010	100281688
zma00010	100281700
zma00010	100282190
zma00010	100282233
zma00010	100282376
zma00010	100282503
zma00010	100282738
zma00010	100282748
zma00010	100282752
zma00010	100282820
zma00010	100282868
zma00010	100282981
zma00010	100283171
zma00010	100283280
zma00010	100283452
zma00010	100283735
zma00010	100283889
zma00010	100283899
zma00010	100284103
zma00010	100284493
zma00010	100284555
zma00010	100284739
zma00010	100284774
zma00010	100285548
zma00010	100285796
zma00010	100285809
zma00010	100285932
zma00010	100286050
zma00010	100381624
zma00010	100381658
zma00010	100381673
zma00010	100381818
zma00010	100382182
zma00010	100382449
zma00010	100382805
zma00010	100383094
zma00010	100383528
zma00010	100383565
zma00010	100383599
zma00010	100383712
zma00010	100383851
zma00010	100501719
zma00010	100502020
zma00010	100857058
zma00010	101027252
zma00010	103625686
zma00010	103629493
zma00010	103630144
zma00010	103630432
zma00010	103630633
zma00010	103631112
zma00010	103631224
zma00010	103631243
zma00010	103631244
zma00010	103632535
zma00010	103634444
zma00010	103634611
zma00010	103635817
zma00010	103636300
zma00010	103642047
zma00010	103644177
zma00010	103644210
zma00010	103644703
zma00010	103646366
zma00010	103646525
zma00010	103647427
zma00010	103650140
zma00010	103650768
zma00010	103651223
zma00010	103651489
zma00010	103651775
zma00010	103653987
zma00010	541622
zma00010	541705
zma00010	541781
zma00010	541919
zma00010	542177
zma00010	542261
zma00010	542313
zma00010	542316
zma00010	542333
zma00010	542358
zma00010	542363
zma00010	542364
zma00010	542367
zma00010	542376
zma00010	542459
zma00010	542483
zma00010	542510
zma00010	542567
zma00010	542578
zma00010	542583
zma00010	542607
zma00010	542651
zma00010	542718
zma00010	542721
zma00010	606466
zma00010	732791
zma00010	732806
zma00010	732811
zma00020	100191657
zma00020	100191841
zma00020	100192900
zma00020	100193491
zma00020	100193663
zma00020	100193743
zma00020	100194338
zma00020	100216599
zma00020	100216609
zma00020	100216648
zma00020	100217128
zma00020	100272256
zma00020	100272371
zma00020	100272519
zma00020	100272834
zma00020	100272900
zma00020	100272953
zma00020	100273428
zma00020	100273868
zma00020	100274026
zma00020	100274264
zma00020	100274483
zma00020	100274592
zma00020	100275174
zma00020	100279373
zma00020	100279573
zma00020	100279748
zma00020	100279871
zma00020	100279930
zma00020	100280203
zma00020	100280324
zma00020	100280624
zma00020	100280767
zma00020	100281040
zma00020	100281355
zma00020	100282134
zma00020	100282233
zma00020	100282948
zma00020	100283329
zma00020	100283351
zma00020	100283574
zma00020	100283889
zma00020	100284103
zma00020	100284269
zma00020	100284286
zma00020	100284493
zma00020	100284826
zma00020	100285796
zma00020	100304315
zma00020	100381760
zma00020	100381818
zma00020	100383412
zma00020	100383579
zma00020	100383599
zma00020	100501719
zma00020	100502233
zma00020	103633296
zma00020	103633793
zma00020	103634625
zma00020	103635086
zma00020	103639746
zma00020	103644210
zma00020	103646899
zma00020	103647708
zma00020	103648465
zma00020	103650140
zma00020	103653238
zma00020	107305678
zma00020	109944584
zma00020	541622
zma00020	541705
zma00020	541781
zma00020	542483
zma00020	542598
zma00020	542607
zma00020	542698
zma00020	732791
zma00030	100191851
zma00030	100191982
zma00030	100192478
zma00030	100192890
zma00030	100193340
zma00030	100216767
zma00030	100272744
zma00030	100272845
zma00030	100272913
zma00030	100273196
zma00030	100273700
zma00030	100274365
zma00030	100279231
zma00030	100279290
zma00030	100279513
zma00030	100279628
zma00030	100280449
zma00030	100280694
zma00030	100281068
zma00030	100281464
zma00030	100281585
zma00030	100281592
zma00030	100281688
zma00030	100282190
zma00030	100282201
zma00030	100282975
zma00030	100283183
zma00030	100283465
zma00030	100283478
zma00030	100284080
zma00030	100284292
zma00030	100284307
zma00030	100284317
zma00030	100284739
zma00030	100284771
zma00030	100285062
zma00030	100285298
zma00030	100285548
zma00030	100285593
zma00030	100285843
zma00030	100286050
zma00030	100304292
zma00030	100382182
zma00030	100382228
zma00030	100382805
zma00030	100383421
zma00030	100383765
zma00030	100502020
zma00030	100856973
zma00030	101027252
zma00030	103629493
zma00030	103630144
zma00030	103630633
zma00030	103631224
zma00030	103631243
zma00030	103631244
zma00030	103632535
zma00030	103640190
zma00030	103646666
zma00030	103647427
zma00030	103651489
zma00030	103653987
zma00030	103655139
zma00030	541699
zma00030	541700
zma00030	542261
zma00030	542313
zma00030	542358
zma00030	542583
zma00030	542721
zma00040	100037812
zma00040	100191230
zma00040	100191463
zma00040	100191701
zma00040	100191846
zma00040	100192787
zma00040	100194128
zma00040	100194348
zma00040	100194385
zma00040	100216586
zma00040	100273291
zma00040	100273705
zma00040	100273711
zma00040	100273946
zma00040	100274254
zma00040	100274365
zma00040	100277001
zma00040	100279403
zma00040	100279549
zma00040	100280285
zma00040	100281162
zma00040	100281178
zma00040	100281581
zma00040	100282201
zma00040	100282641
zma00040	100282847
zma00040	100283066
zma00040	100283478
zma00040	100283618
zma00040	100283875
zma00040	100284055
zma00040	100284356
zma00040	100284955
zma00040	100284984
zma00040	100285007
zma00040	100285497
zma00040	100285523
zma00040	100285881
zma00040	100285949
