Target	W000003c	W000005a	W000006e	W000007a	W000008a	W000011a	W000012c	W000013a	W000015a	W000020a	W000021a	W000023a	W000027d	W000029b	W000030a	W000031a	W000034a	W000036a	W000040a	W000041e	W000046a	W000048a	W000049e	W000050a	W000051a	W000054a	W000055c	W000056d	W000057a	W000059a	W000062a	W000063e	W000065c	W000066a	W000068a	W000069a	W000072a	W000073a	W000075c	W000076b	W000079f	W000082a	W000083a	W000084c	W000086a	W000087d	W000091a	W000095a	W000098a	W000099a	W000100a	W000101c	W000103a	W000107e	W000114a	W000116a	W000125c	W000126c	W000127a	W000128c	W000131a	W000132b	W000133d	W000135a	W000138c	W000143a	W000144a	W000145a	W000146b	W000148c	W000158a	W000161a	W000163a	W000167a	W000171a	W000175a	W000178a	W000179b	W000180a	W000189a	W000190a	W000195b	W000196a	W000197a	W000198e	W000199a	W000200a	W000201a	W000209a	W000210a	W000212a	W000214a	W000215b	W000218a	W000219a	W000220a	W000225a	W000229a	W000231a	W000233a	W000234a	W000235a	W000239a	W000244a	W000251a	W000252b	W000260a	W000267a	W000269a	W000270a	W000273a	W000274a	W000277a	W000278a	W000279a	W000280a	W000284b	W000285a	W000287a	W000291a	W000295a	W000296a	W000297a	W000300a	W000302a	W000303a	W000304a	W000305a	W000306a	W000309a	W000310a	W000312a	W000315a	W000317a	W000318a	W000322a	W000326a	W000328a	W000329a	W000330a	W000333a	W000334a	W000339a	W000340a	W000342a	W000345a	W000346a	W000349b	W000352a	W000353a	C103	C1062	C10	C113	C114	C117	C11	C127	C132	C142	C157-2	C1608	C1615	C1645	C164	C1713	C1718	C1749	C1841	C184	C187	C192	C194	C1987	C1988	C199	C19	C209	C210	C21	C220	C243	C257	C258	C25	C260	C265	C270	C272	C27	C296	C311	C322	C327	C32	C349	C359	C35	C362	C366	C369	C38	C390	C396	C400	C402	C40	C412	C41	C449	C45	C461	C470	C48	C501	C538	C569	C56	C577	C582	C585	C58	C596	C59	C615	C632	C635	C644	C646	C67	C703	C705	C710-1	C73	C765	C76	C773	C77	C790	C793	C799	C818	C837	C846	C893	C908	C93	C951	C95	C99
BNIP3_1_1_62	0.047619048	0.03030303	0.042857143			0.034825871	0.034883721	0	0.047058824	0.026315789	0.024390244	0	0.14893617	0.020618557	0.063492063	0.018867925	0	0.030927835	0.103448276	0.041958042	0.073333333	0.013513514	0.043478261	0.03125	0.047058824	0.028571429	0.059210526	0.016666667	0.020833333	0	0.022058824	0.005780347	0.027777778	0.028571429	0	0	0.073170732		0.00952381	0.089552239	0.045751634	0.010169492	0.04	0.024793388	0.014778325	0.031034483	0.025210084	0.024096386	0.028571429	0.03030303	0	0.055813953	0		0.020547945	0.014084507	0.048076923	0.03125	0.033057851	0.052631579	0.052631579	0.010471204	0.0125	0.048780488	0.010638298	0.019230769	0.01459854	0.014440433	0.060301508	0.038251366	0.021505376	0.00913242	0.016759777	0.025641026	0.032786885	0.017857143	0.02173913	0.040650407	0.009345794	0.022222222	0.011737089	0.013333333	0.025862069	0.015789474	0.022641509	0.025974026	0.014367816	0	0.045045045	0.018867925	0.04	0.023809524	0.046666667	0.024390244	0.075	0.029605263	0.012658228	0.022727273	0.03030303	0.010752688	0.029585799	0.02284264	0.02173913	0.012084592	0.026162791	0.016666667	0.023255814	0.023952096	0.082949309	0.023076923	0.059405941	0.029166667	0.050420168	0.078125	0.013071895	0.007782101	0.030674847	0.029761905	0.055555556	0.04	0.015	0.044715447	0.056390977	0.007142857	0.050955414	0.036363636	0.022099448	0	0.03875969	0.04	0.049450549	0.025906736	0.043165468	0.011363636	0.014925373	0.034090909	0.027559055	0.006535948	0.020618557	0.009569378	0.045248869	0.032608696	0.014925373	0.021505376	0.032085561	0.016806723	0.022580645	0.021276596	0.003649635	0.088050314	0.031578947	0.045454545	0.01826484	0.026315789	0.015748031	0.072847682	0.026666667	0	0.015822785	0.043137255	0.025270758	0.027210884	0.069767442	0.029288703	0.018099548	0.027173913	0.054968288	0.030612245	0.036809816	0.019736842		0.055276382	0.051948052	0.011904762	0.014285714	0.003875969	0.026666667	0.041025641	0.024691358	0.025806452	0.016949153	0.014749263	0	0.020304569	0.028391167	0.025210084	0.034749035	0.005	0.053156146	0.025316456	0.015873016	0.01025641	0.026315789	0.018691589	0.03652968	0.050632911	0.052816901	0.028880866	0.06043956	0.019762846	0.060240964	0.052173913	0.032388664	0.029239766	0.019230769	0.034285714	0.059925094		0.038461538	0.064285714	0.012539185	0.031746032	0.070422535	0.028368794	0.047826087	0.020289855	0.023809524	0.030612245	0.009230769	0.016877637	0.046153846	0.02293578	0.046511628	0.006825939	0.055555556	0.034090909	0.053191489	0.037037037	0.014851485	0.017699115	0.004385965	0.006535948	0.026011561	0.077777778	0.024590164		0.007575758	0.020242915	0.035714286	0.011235955	0.068027211	0.025641026	0.004291845	0.029801325	0.038461538	0.023391813	0.033898305	0.035019455	0.024822695	0.033333333
BNIP3_1_1_64	0.037735849	0.015151515	0.057142857			0.014925373	0.023255814	0.037037037	0.082352941	0.039473684	0.048780488	0	0.063829787	0.030927835	0	0.094339623	0.015151515	0.046391753	0.034482759	0.034965035	0.04	0.013513514	0.028985507	0.03125	0.058823529	0.071428571	0.072368421	0.022222222	0.03125	0	0.007407407	0.052325581	0	0.028571429	0	0.038461538	0.073170732		0.01910828	0.074626866	0.026143791	0.013559322	0	0.016528926	0.019607843	0.023890785	0.016949153	0.024096386	0.042857143	0.03030303	0	0.060465116	0.018181818		0.020547945	0.021126761	0.043478261	0.04375	0.016528926	0.076923077	0.036842105	0.02617801	0.033333333	0.040650407	0.042553191	0.038461538	0.02919708	0.007168459	0.065326633	0.038461538	0.053763441	0.02739726	0.016759777	0.046153846	0.016393443	0.017857143	0	0.081300813	0.009345794	0.027227723	0.021028037	0.02	0.034482759	0.047120419	0.026415094	0.064935065	0.034482759	0	0.027027027	0.009433962	0.04	0.023809524	0.05	0.029411765	0.0375	0.049019608	0.025316456	0.051136364	0.017316017	0.005376344	0.008902077	0.020304569	0.02173913	0.024096386	0.020348837	0.016666667	0.018604651	0.047904192	0.096774194	0.045801527	0.054726368	0.037190083	0.075630252	0.015625	0.006535948	0.027237354	0.042944785	0.017857143	0.016666667	0.01	0.04	0.044715447	0.07518797	0.05	0.050955414	0.024242424	0.021978022	0.030075188	0.062015504	0.057142857	0.038461538	0.041450777	0.021582734	0.011299435	0.009950249	0.056818182	0.019685039	0.039215686	0.041237113	0.028708134	0.049773756	0.02173913	0.029850746	0.026954178	0.026737968	0.029411765	0.022508039	0.038626609	0.010869565	0.094339623	0.026315789	0.068181818	0.023148148	0.019736842	0.031496063	0.052980132	0.022222222	0	0.025396825	0.023529412	0.039568345	0.030612245	0.073089701	0.033333333	0.013574661	0.027173913	0.074468085	0.030769231	0.02484472	0.03630363		0.04	0.051948052	0.023809524	0.028571429	0.034883721	0.037037037	0.038461538	0.012345679	0.038709677	0.016949153	0.03539823	0.014492754	0.025380711	0.050473186	0.016666667	0.05019305	0.015075377	0.043046358	0.03164557	0.031746032	0.015384615	0.029605263	0.027777778	0.01826484	0.037974684	0.052816901	0.025362319	0.027472527	0.027667984	0.090361446	0.082608696	0.044534413	0.052631579	0.034615385	0.062857143	0.029962547		0.038585209	0.071428571	0.025	0.005235602	0.075117371	0.03202847	0.052173913	0.034782609	0.029761905	0.035714286	0.009202454	0.033755274	0.035897436	0.050691244	0.069767442	0.030612245	0.075757576	0.0625	0.04964539	0.022058824	0.00990099	0.014792899	0.013157895	0.022875817	0.01734104	0.027777778	0.020491803		0.011363636	0.024193548	0.035714286	0.029962547	0.068027211	0.068376068	0.012875536	0.043046358	0.019230769	0.076023392	0.012711864	0.062256809	0.042402827	0.033149171
BNIP3_1_1_74	0.018867925	0	0.057142857			0.01	0.011627907	0	0	0	0.024390244	0	0	0.010309278	0	0	0	0.030927835	0.017241379	0.01048951	0	0	0	0.020833333	0	0.035714286	0.026315789	0.011111111	0	0	0	0	0	0	0	0	0		0.019047619	0	0.026143791	0.016949153	0	0.016528926	0	0.013651877	0	0.012048193	0.028571429	0.030487805	0	0.013953488	0.048484848		0.02739726	0.028169014	0.038461538	0.03125	0	0.014354067	0.021052632	0	0.029288703	0.012195122	0.005319149	0	0	0.007168459	0.030150754	0.032786885	0.021505376	0.00456621	0	0	0.049180328	0	0.02173913	0.008130081	0.028037383	0.002469136	0.009345794	0	0.017241379	0.005235602	0.009433962	0	0.00862069	0	0.018018018	0	0.04	0.017857143	0.02	0	0.0375	0.032679739	0.012658228	0	0.012987013	0	0.00591716	0.027848101	0	0.030120482	0.002906977	0.008333333	0.018604651	0.017964072	0.050925926	0.022900763	0.014851485	0.045454545	0.025210084	0	0.013071895	0.007782101	0.018404908	0	0.027777778	0.04	0.01	0.004065041	0.011278195	0	0.01910828	0.006060606	0.021978022	0.007575758	0.007751938	0.028571429	0.027472527	0.015544041	0.007194245	0	0.004975124	0.022727273	0.003937008	0.026143791	0.010309278	0.004784689	0.027149321	0.010869565	0.003731343	0.024193548	0.016085791	0.033755274	0.009646302	0.004255319	0.003636364	0.06918239	0	0.017045455	0.00913242	0.013157895	0	0.013333333	0.008888889	0.068965517	0.012658228	0.023529412	0.010791367	0.017006803	0.026578073	0.041666667	0.022624434	0	0.035940803	0.015306122	0	0.013157895		0.015	0.004329004	0	0.007142857	0.019379845	0.026666667	0.015384615	0.012345679	0.025889968	0.020338983	0.002949853	0.014492754	0.005076142	0.025236593	0.016806723	0.023166023	0.025	0.016556291	0.015822785	0	0	0.016447368	0.009259259	0.00456621	0	0.01056338	0.007220217	0	0.023715415	0.047904192	0.082608696	0.012145749	0.005882353	0.011538462	0.057142857	0.011235955		0	0.042857143	0.003125	0.005235602	0.051643192	0.021352313	0.039130435	0	0.011904762	0.030612245	0.012269939	0.012658228	0.015384615	0.004608295	0.028423773	0	0.025252525	0.022727273	0.028368794	0.022058824	0.004950495	0.002949853	0.008810573	0.039215686	0.014450867	0	0		0.003787879	0.004032258	0.011904762	0	0.04109589	0	0.004291845	0.009933775	0	0.029239766	0.016949153	0.003891051	0.014134276	0.016574586
BNIP3_1_1_93	0.028301887	0	0.085714286			0.019900498	0.058823529	0.027777778	0.070588235	0.026315789	0	0	0.063829787	0.030927835	0.031746032	0.094339623	0.015151515	0.06185567	0.035087719	0.028070175	0.08	0.040540541	0.028985507	0.020833333	0.058823529	0.064285714	0.046052632	0.066666667	0.010526316	0.048780488	0.014705882	0.023809524	0.055555556	0	0	0.038461538	0.073170732		0.025477707	0.044776119	0.026143791	0.023890785	0.08	0.008264463	0.01980198	0.020547945	0.050420168	0.036144578	0.014285714	0.054545455	0.03030303	0.060465116	0.036363636		0.034246575	0.021126761	0.091346154	0.037974684	0.016528926	0.04784689	0.031578947	0.015706806	0.041666667	0.020325203	0.037234043	0	0.02189781	0.028776978	0.070351759	0.043956044	0.016129032	0.01369863	0.044692737	0.051282051	0.05	0.053571429	0.02173913	0.024793388	0.093457944	0.014814815	0.018691589	0.01	0.043103448	0.041884817	0.020872865	0.012987013	0.025862069	0.035294118	0.108108108	0.037735849	0.04	0.041666667	0.03030303	0.03902439	0.075	0.068627451	0	0.08	0.051948052	0.043010753	0.00591716	0.012658228	0.050724638	0.018072289	0.026162791	0.016666667	0.051162791	0.02994012	0.083333333	0.038461538	0.034653465	0.090909091	0.050420168	0.031746032	0.006535948	0.038910506	0.061349693	0.035714286	0.044444444	0.050505051	0.045	0.040816327	0.041353383	0.035714286	0.032467532	0.024242424	0.011049724	0.052631579	0.054263566	0.062857143	0.032967033	0.025906736	0.010791367	0.028248588	0.029850746	0.022727273	0.023715415	0.019607843	0.06185567	0.043269231	0.045248869	0.048913043	0.033834586	0.029569892	0.050802139	0.029411765	0.041800643	0.038297872	0.003623188	0.063291139	0.031578947	0.022727273	0.04109589	0.032894737	0.078740157	0.072847682	0.044444444	0.137931034	0.022151899	0.0703125	0.039711191	0.047619048	0.086956522	0.079166667	0.013574661	0.02173913	0.089171975	0.025510204	0.073619632	0.052805281		0.095	0.03030303	0.023809524	0.028571429	0.050583658	0.056666667	0.066666667	0.018518519	0.04516129	0.030508475	0.02359882	0.028985507	0.015228426	0.059936909	0.025	0.057915058	0.02	0.056291391	0.03164557	0.08994709	0.030769231	0.078947368	0.064814815	0.054794521	0.076433121	0.038732394	0.032490975	0.027472527	0.035573123	0.048192771	0.082608696	0.057142857	0.040935673	0.042307692	0.102857143	0.04494382		0.048076923	0.092857143	0.03125	0.041884817	0.084507042	0.067375887	0.069565217	0.014619883	0.035714286	0.035714286	0.052147239	0.016877637	0.020512821	0.02293578	0.064766839	0.037414966	0.095959596	0.0625	0.060283688	0.029411765	0.03960396	0.020648968	0.026315789	0.032786885	0.046242775	0.022222222	0.012244898		0.026515152	0.044354839	0.017857143	0.018726592	0.088435374	0.042735043	0.012987013	0.033112583	0.115384615	0.035087719	0.038135593	0.03125	0.038869258	0.022099448
BNIP3_1_1_104	0	0.015151515	0.028571429			0.004975124	0.011627907	0.009259259	0.011904762	0	0.024390244	0	0.085106383	0	0.031746032	0	0	0.046391753	0.017241379	0.013986014	0.053333333	0.013513514	0	0.010416667	0.011764706	0.028571429	0.039735099	0.016666667	0	0	0	0.005780347	0.027777778	0	0.045454545	0	0		0.00952381	0.059701493	0.032679739	0.010169492	0.08	0	0.014705882	0.013651877	0	0.048192771	0	0.012121212	0.090909091	0.009302326	0.006060606		0.01369863	0.028571429	0.014423077	0.025	0.008403361	0.014354067	0.010526316	0.015873016	0.025104603	0.012195122	0.015957447	0	0.00729927	0.010752688	0.020100503	0	0.016129032	0.01369863	0.005586592	0.01025641	0.016393443	0	0.02173913	0.048780488	0.037383178	0.009876543	0.007025761	0.010033445	0	0.031413613	0.003780718	0.012987013	0.002873563	0	0.027027027	0	0	0.017857143	0.013333333	0.004926108	0.0375	0.016339869	0.012658228	0.034090909	0.008658009	0.010752688	0.00591716	0.005063291	0.014492754	0.012048193	0.00872093	0.008333333	0.004651163	0.011976048	0.064516129	0.007633588	0.00990099	0.020661157	0.033613445	0.046875	0.006535948	0.023346304	0.024539877	0.005988024	0.038888889	0	0	0.008130081	0.026415094	0.007142857	0.038216561	0	0	0.007518797	0.007751938	0.017142857	0.021978022	0.010362694	0.010791367	0	0.024875622	0.039772727	0.011811024	0	0.020618557	0.04784689	0.04109589	0.016304348	0.003731343	0.010752688	0.026809651	0.008403361	0.012861736	0.008547009	0.018181818	0.025157233	0.031578947	0.028409091	0.03196347	0.032894737	0.007874016	0.013245033	0.017777778	0	0.022151899	0.0078125	0.010791367	0.010238908	0.023255814	0.050209205	0.027149321	0.005434783	0.033826638	0	0.018404908	0.023026316		0.035	0	0.011904762	0.025	0.007751938	0.016666667	0.020512821	0.018518519	0.022580645	0.010169492	0.014792899	0	0.010152284	0.012618297	0.008333333	0.019305019	0.005	0.023333333	0.012658228	0.031746032	0.01025641	0.026315789	0.018518519	0.0456621	0.012658228	0.017605634	0.003623188	0.016483516	0.007905138	0.065868263	0.021929825	0.008097166	0.040935673	0.042307692	0.04	0.007490637		0.019230769	0.057142857	0.01875	0.031413613	0.033175355	0.021352313	0.039130435	0.014534884	0.029761905	0.020408163	0.027607362	0.008510638	0.015384615	0.018348624	0.036363636	0.006802721	0	0.028571429	0.021276596	0	0.024875622	0.01179941	0	0.019672131	0.023121387	0.011111111	0.012244898		0.015151515	0.016129032	0.005952381	0.007490637	0.006802721	0	0.004291845	0.01986755	0.078431373	0.005847953	0.021186441	0.019455253	0.010600707	0.027624309
BNIP3_1_1_109	0	0.015151515	0.014285714			0	0	0.027777778	0	0.013157895	0.024390244	0.071428571	0.085106383	0.020618557	0	0	0.015151515	0.036082474	0.034482759	0.010526316	0.066666667	0	0	0.041666667	0.011764706	0.035714286	0.032894737	0.005555556	0	0.048780488	0.014705882	0.005780347	0.027777778	0	0	0.076923077	0.024390244		0.015873016	0.074626866	0.006535948	0.013559322	0.04	0	0.014705882	0.003412969	0	0.012048193	0	0	0	0.009302326	0.006060606		0.01369863	0.007042254	0.038461538	0	0.041322314	0.028708134	0.010526316	0.005235602	0.008333333	0.020325203	0.005347594	0	0.01459854	0.014336918	0.030150754	0.016393443	0.021505376	0.00913242	0.005586592	0.015384615	0	0.017857143	0	0.008130081	0.009345794	0.012376238	0.007009346	0.023333333	0.017241379	0.015706806	0.011363636	0.025974026	0.002873563	0.023529412	0	0.018867925	0.04	0.005952381	0.016666667	0	0.025	0.003278689	0	0.028409091	0.017316017	0.005376344	0.00591716	0.020253165	0	0.018072289	0.00872093	0.008333333	0.018604651	0.005988024	0.023041475	0.015267176	0.00990099	0.02892562	0.025210084	0.03125	0	0	0.006134969	0.047619048	0.016666667	0.02	0.010050251	0	0.026315789	0.021428571	0	0.024242424	0.010989011	0.015037594	0	0.017142857	0	0.005181347	0.014388489	0.011299435	0.019900498	0.005681818	0.003937008	0	0.020618557	0.004784689	0.036199095	0.027173913	0.026119403	0.032345013	0.024064171	0.008403361	0.025723473	0.008510638	0.010869565	0.044025157	0.015789474	0.017045455	0.03652968	0.032894737	0.003937008	0.006622517	0.035555556	0	0.012658228	0.0078125	0.028776978	0.027210884	0.019933555	0.025	0	0.005434783	0.029598309	0	0.006134969	0.019736842		0.035	0.008658009	0.011904762	0.028571429	0.027131783	0.013377926	0.020512821	0.018518519	0.04516129	0.020338983	0.008849558	0	0.005076142	0.012698413	0	0.030888031	0.015	0.006622517	0.006329114	0.010582011	0.005128205	0.036184211	0.018518519	0.00913242	0.018987342	0.007042254	0.025270758	0.005524862	0.027667984	0.054545455	0.047826087	0.020242915	0.011695906	0.042307692	0.045714286	0.011235955		0.009615385	0.028571429	0.003125	0.010526316	0.03286385	0.035460993	0.02173913	0.005797101	0.029761905	0.025510204	0.012269939	0.004219409	0.020512821	0.009174312	0.036175711	0.006802721	0.005050505	0.022727273	0.010638298	0.044117647	0.00990099	0.005899705	0.004385965	0.009803922	0.011560694	0.027777778	0.004098361		0.003787879	0.008064516	0.011904762	0.014981273	0.02739726	0.017094017	0.004291845	0.016556291	0.019230769	0	0.033898305	0.027237354	0	0.011049724
BNIP3_1_1_140	0	0.045454545	0			0	0.011627907	0	0.011764706	0	0	0	0	0	0.047619048	0.056603774	0	0.020618557	0	0	0.013333333	0	0.014492754	0	0	0.014285714	0.006622517	0.016666667	0.010416667	0	0	0	0	0	0	0	0		0.003174603	0.014925373	0.026143791	0.010169492	0.08	0	0.009803922	0.010238908	0.025641026	0	0	0	0	0.009302326	0.006060606		0.006849315	0	0.057971014	0	0.008264463	0	0.015789474	0	0.008333333	0.012195122	0	0	0	0.007168459	0.010050251	0.005494505	0.005376344	0.00456621	0	0	0.016393443	0	0	0.008130081	0.009345794	0.002469136	0.011709602	0.016666667	0.00862069	0.010471204	0.005681818	0	0.005747126	0	0.018018018	0	0	0	0.030100334	0.014634146	0.0625	0.006535948	0.012820513	0.017045455	0.008658009	0.010752688	0.017751479	0.005063291	0.036231884	0.003012048	0.011661808	0	0	0.005988024	0.013824885	0	0.009950249	0.008264463	0.008403361	0	0.006535948	0.0078125	0.012269939	0	0.005555556	0	0.015	0.012195122	0.00754717	0	0.031847134	0	0	0	0.023255814	0	0.010989011	0.031088083	0.007220217	0.005649718	0.004975124	0.005681818	0.003937008	0	0	0.004807692	0.013574661	0.02173913	0.018656716	0.005376344	0.005347594	0	0.003215434	0.012765957	0.010869565	0.025157233	0	0	0.01826484	0.013157895	0	0.006711409	0.013333333	0	0.006349206	0.011764706	0	0	0.016611296	0.008333333	0.004524887	0.016304348	0.00845666	0.005102041	0	0		0.015	0.008658009	0	0.014285714	0.003875969	0.016666667	0.01285347	0.00617284	0.00974026	0	0.008849558	0.028985507	0	0.012618297	0.008333333	0.007722008	0.020100503	0.003311258	0.006329114	0.005291005	0	0.026315789	0	0.00456621	0	0.003521127	0.007246377	0.005494505	0.007905138	0	0.065217391	0.016194332	0.005847953	0.030769231	0.022857143	0.007490637		0.006410256	0.007142857	0.0125	0.020942408	0.009478673	0	0.008695652	0.005813953	0.005952381	0.010204082	0.009230769	0	0	0.013761468	0.018087855	0.010204082	0.01010101	0.011560694	0	0.007352941	0.014851485	0.008849558	0.013157895	0.006535948	0.002890173	0.005555556	0.008163265		0	0.016129032	0.005952381	0	0.006802721	0	0.008583691	0.003322259	0.038461538	0	0.004237288	0.011673152	0.017667845	0.005524862
BNIP3_1_1_142	0	0	0			0	0.011627907	0	0.011764706	0.039473684	0	0	0	0.020618557	0	0.018867925	0	0.005154639	0.017241379	0.013986014	0	0.027027027	0.014492754	0.03125	0	0.014285714	0.006578947	0	0.010416667	0	0.007352941	0.005780347	0.027777778	0	0	0	0		0	0.059701493	0.006535948	0.010169492	0	0	0	0.003424658	0.042016807	0.012048193	0	0.012121212	0	0.023255814	0.012121212		0	0.007092199	0.004807692	0.00625	0.016528926	0.009569378	0.031578947	0.005235602	0.008333333	0	0.005319149	0	0	0	0.010050251	0.038251366	0.010752688	0.00456621	0.011173184	0.01025641	0	0	0	0	0.009345794	0.002475248	0.009345794	0.010033445	0.017241379	0.005235602	0.005703422	0	0.011494253	0	0	0	0	0.005952381	0.023333333	0.014634146	0	0.003267974	0.025316456	0.005780347	0.008658009	0	0.005952381	0.010126582	0	0.003012048	0.011661808	0.016666667	0	0.005988024	0.01843318	0.007633588	0.009950249	0.016528926	0	0	0.013071895	0	0.012345679	0	0.005555556	0.01	0	0	0.022641509	0	0	0.012195122	0.010989011	0	0.023255814	0	0	0.015544041	0.021582734	0.005681818	0	0.011363636	0	0.006535948	0.010309278	0.009569378	0.009049774	0.016304348	0.014925373	0.010781671	0.005347594	0.008403361	0.022508039	0.008547009	0.007272727	0	0.005263158	0.011363636	0.00913242	0.006578947	0.003937008	0.006622517	0	0	0	0	0.021582734	0	0.023255814	0.0041841	0.018099548	0.005434783	0.002114165	0.010204082	0.018404908	0.006578947		0.01	0.012987013	0	0.007142857	0.003875969	0.006666667	0.005154639	0	0	0.003389831	0.008902077	0.028985507	0	0.003154574	0	0.015444015	0.015	0.01986755	0	0	0	0.016447368	0.009259259	0.027522936	0	0	0	0	0.003952569	0	0.074235808	0.012195122	0	0	0.034285714	0.011320755		0.003215434	0.007142857	0.0125	0.010471204	0.014084507	0.032258065	0	0.005797101	0	0	0.018518519	0.004219409	0.005128205	0.004587156	0.002583979	0.006802721	0.03030303	0	0.014184397	0	0	0.01183432	0.026315789	0.003289474	0.020231214	0.016666667	0.004081633		0.003802281	0	0	0.003759398	0.006802721	0.025641026	0.017167382	0.009933775	0	0.005847953	0.021186441	0.011673152	0.007067138	0.011049724
BNIP3_1_1_144	0.018867925	0.015151515	0			0.014925373	0.023255814	0.009259259	0	0.013157895	0	0	0	0	0.015873016	0	0	0.015463918	0	0.003496503	0.006666667	0.013513514	0	0.010416667	0	0.007142857	0.013157895	0.027777778	0.010416667	0.097560976	0.014705882	0.005780347	0.027777778	0	0.045454545	0	0.024390244		0	0	0.019607843	0.013559322	0	0.016528926	0.009803922	0.01369863	0.008403361	0.012048193	0	0.036363636	0.090909091	0.013953488	0		0.020547945	0.021126761	0	0	0.008264463	0.004784689	0.010526316	0.020942408	0.008333333	0.032520325	0	0	0.00729927	0.003597122	0.015075377	0	0	0	0.011299435	0.005181347	0	0.017857143	0	0.008130081	0	0.002469136	0	0	0.025862069	0.010471204	0.005671078	0	0.00862069	0	0	0.018867925	0.04	0.011904762	0.02	0	0.05	0.009836066	0	0.017045455	0.017316017	0.005376344	0.014792899	0.005063291	0.007246377	0.030120482	0.005882353	0.008333333	0.013953488	0.011976048	0.009259259	0.053435115	0.004950495	0.02892562	0.008474576	0	0.013071895	0.011673152	0.018404908	0.023809524	0.011111111	0	0.01	0.012195122	0.015037594	0.02173913	0	0.018181818	0	0	0.023255814	0.005714286	0.021978022	0.005181347	0	0	0.004975124	0.028571429	0.003937008	0	0.030927835	0	0.018099548	0.010869565	0.007518797	0.010752688	0.008086253	0.008403361	0.009646302	0.008510638	0.010909091	0.012658228	0.021052632	0	0.01369863	0.019736842	0.015810277	0.006622517	0.026666667	0	0	0.01171875	0	0.010204082	0.006644518	0.0125	0.009090909	0.005434783	0.014861996	0.020408163	0.012269939	0.01650165		0.015	0.017316017	0	0.010791367	0	0.016666667	0.005128205	0.024691358	0.012944984	0	0.01179941	0.072463768	0.005076142	0.015873016	0	0.019379845	0.005	0.003311258	0.012658228	0.005291005	0	0.02970297	0	0	0.03164557	0.014084507	0.02166065	0.005494505	0	0.005988024	0.052401747	0.004048583	0.023529412	0.007692308	0.034285714	0.018726592		0.003205128	0.007142857	0.012539185	0.010471204	0.004694836	0.017793594	0.004366812	0.014492754	0	0.015384615	0.003067485	0.008438819	0.020725389	0.004587156	0.005167959	0.010204082	0.015151515	0.011363636	0.014184397	0	0	0.00295858	0.004385965	0.029411765	0.01734104	0.011173184	0.016326531		0.007604563	0.016129032	0.005952381	0.003745318	0.01369863	0.017094017	0.017167382	0.013289037	0	0.005847953	0.012765957	0.011673152	0.010600707	0.016574586
BNIP3_1_1_158	0	0	0			0	0	0.009259259	0.011904762	0	0	0	0	0	0	0	0	0.015625	0	0.007092199	0	0	0	0	0	0.007462687	0.026490066	0.005617978	0.021052632	0	0	0.011627907	0	0	0.045454545	0	0.025		0.012861736	0	0.006535948	0.003412969	0	0.016528926	0.004901961	0.006944444	0	0	0	0	0	0.004694836	0.012269939		0.006896552	0	0.009756098	0	0.025210084	0.014423077	0.010810811	0	0.029661017	0	0.026595745	0.019230769	0	0	0.005181347	0.011049724	0	0.004694836	0	0.005208333	0.016393443	0	0	0.008130081	0.009433962	0.015189873	0.007142857	0.006756757	0.017391304	0.005405405	0.001912046	0.013157895	0	0	0	0.018867925	0	0	0.013559322	0.024752475	0	0	0.012658228	0	0.004366812	0.021857923	0.014836795	0.005141388	0	0.027272727	0	0.016949153	0.009433962	0	0.009302326	0.007874016	0	0.008438819	0.008547009	0	0.013157895	0.007936508	0.01875	0	0.016853933	0	0.005208333	0	0	0	0	0.012121212	0	0	0	0.01744186	0.005555556	0.010582011	0.003690037	0	0	0.011764706	0.007936508	0	0.010526316	0.019230769	0.013636364	0.011049724	0	0	0.005405405	0.008510638	0.012903226	0.004329004	0.003649635	0.006329114	0.010695187	0.005681818	0	0.006711409	0.003952569	0	0	0	0	0.011952191	0	0.003424658	0.003378378	0.012711864	0.004545455	0.010989011	0.004273504	0.005235602	0.006134969	0.013422819		0.015306122	0.004347826	0	0.003745318	0.003891051	0.010204082	0.005235602	0.006289308	0.003278689	0.003448276	0	0.044117647	0.005102041	0.003194888	0	0	0.015151515	0.013289037	0.003184713	0	0.005128205	0	0	0.009259259	0.013071895	0.003623188	0.003610108	0	0.003968254	0.006134969	0.008849558	0.004149378	0	0.011811024	0.011560694	0.019011407		0.01650165	0	0.006349206	0.015789474	0.004694836	0.010791367	0	0.002949853	0.042424242	0.010362694	0	0.008547009	0.005181347	0.009302326	0.002631579	0.027681661	0.015151515	0.011494253	0.007142857	0	0	0.003003003	0.008888889	0	0.005865103	0	0.01659751		0.003831418	0	0	0.007604563	0.013605442	0	0.004385965	0.003344482	0	0.005952381	0.004255319	0.01171875	0.003546099	0.022222222
