ID	metabolite	A148_1	A138_1	A126_1	A137_1	A152_1	A145_1	A127_1	A162_1	A132_1	A141_1	A121_1	A164_1	A128_1	A124_1	A131_1	A151_1	A146_1	A142_1	A149_1	A134_1	A157_1	A159_1	A155_1	A161_1	A156_1	A139_1	A130_1	A167_1	A123_1	A147_1	A133_1	A129_1	A160_1	A125_1	A158_1	A163_1	A135_1	A165_1	A168_1	A122_1	A140_1	A150_1	A144_1	A136_1	A166_1	A143_1	A154_1	A153_1
id1	2-hydroxypyridine	2479659.16	1740738.52	2348093.61	1618024.24	2265739.21	2657779.17	2441319.46	1978698.09	2501415.82	1899877.01	2565894.91	1880719.03	2176038.07	2655751.04	1946906.98	2567712.67	2646030.92	1810959.74	2928589.39	1567631.64	1758077.69	1796136.21	1925939.34	1721831.92	2123623.36	1688947.12	2252537.98	1834953.57	1989359.5	2567707.49	1760671.23	2224663.87	1954021.97	2426890.89	1859502.1	1798739.02	1388651.56	1489801.21	1491171.04	1675271.69	1565704.29	2602918.98	1210177.88	1182544.7	1425133.09	1235004.98	2108195.38	2456555.65
id2	Pyruvic acid	348716.335	58833.227	321128.547	71259.05	226977.753	317948.904	318040.391	63637.897	463152.469	NA	331164.257	59502.876	423060.508	NA	290056.65	283406.208	338763.62	57913.188	NA	70615.44	55724.811	55446.593	172258.584	30053.996	242681.326	66130.508	398176.787	88202.338	NA	254571.256	62883.572	531439.076	52906.643	NA	20883.71	56227.176	31308.915	65428.703	57329.944	NA	52983.95	263809.267	33407.137	44150.93	43781.157	23109.252	186803.573	297788.692
id3	lactic acid	484345.693	7721372.2	286762.393	3154530.89	354045.846	374131.728	411489.389	2737025.19	369034.028	2109792.99	300638.37	1641663.95	362232.063	384722.803	305328.238	396063.77	427385.366	1380492.14	505063.065	4262971.86	1764144.02	1376703.58	300861.305	1619453.99	318666.953	1400886.32	324930.104	1136082.46	282841.837	372067.077	11156749.1	476172.668	2739849.49	333916.89	2227832.21	1148792.16	1959698.87	1450589.58	1301448.25	330814.346	2197380.36	294160.038	1082027.72	4370604.46	656911.085	1278694.31	262680.304	469680.813
id4	2-ketobutyric acid 2	228961.721	215799.702	233472.435	220983.641	210211.486	236566.531	249139.418	238616.413	240685.32	218062.895	241281.363	282425.873	230687.608	278734.595	190939.212	264239.227	257732.275	254593.816	238298.194	210307.638	232737.652	265581.261	222427.157	199501.177	223016.997	252924.238	224905.37	277256.973	189357.647	246841.852	201858.13	245386.113	223027.81	246406.1	199539.615	264980.81	196213.179	229456.564	184117.631	199820.511	196635.133	213704.748	141900.478	165761.99	204331.859	182556.112	197914.538	225253.346
id5	glycolic acid	317802.065	498524.034	303935.572	293812.428	330057.53	362827.797	286262.187	313640.183	268650.673	422789.809	284760.284	263253.798	272148.614	325821.796	212459.351	273549.796	426435.791	347442.012	443662.666	327313.55	266250.815	188432.54	264396.753	219116.878	303180.493	286864.465	263836.244	263565.512	246718.983	460766.036	467140.115	310652.311	302131.269	306020.976	508999.254	230426.686	275986.645	206325.143	288971.79	323437.947	299670.604	340013.25	210422.438	260117.052	204209.065	282887.581	296067.593	354297.32
id6	alanine 1	6979756.39	2490366.91	4935552.06	1895089.14	3378051.38	5793414.51	5859781.42	4823346.68	4115852.59	1124130.04	5059750.54	2078173.91	3874578.76	6232866.87	3109891.75	4073430.85	6079245.07	1316311.36	5334678.08	1474141.93	4107726.65	2516161.95	1776923.54	1650782.37	2488685.97	1415458	3826525.21	2910261.07	4002273.73	5673069.98	2367297.09	3999571.52	4252262.14	4555427.44	4048322.29	1909247.09	950503.634	1875900.94	2721012.45	2880935.17	1080027.41	4983664.91	569028.856	2286271.42	1862674.12	862942.543	2079813.37	2850205.69
id7	oxalic acid	187339.165	149342.532	194661.94	145095.894	161846.783	202511.995	175318.689	152358.764	187356.26	146370.108	170674.442	149039.051	171479.239	176618.37	141685.671	178093.664	196198.37	122265.903	172325.987	124957.473	127618.62	138895.829	140001.461	119176.596	152260.786	130935.573	156523.713	146575.733	118795.635	193279.909	130118.928	166791.208	130951.539	173861.507	133831.324	137112.748	117179.818	109692.073	107980.391	128889.801	119811.858	147545.973	86681.256	97807.383	106384.331	93214.348	124310.506	149316.906
id8	3-Hydroxypropionic acid 1	30288.095	19546.17	26756.55	NA	NA	36074.617	NA	18485.671	23571.329	NA	24591.737	10871.983	NA	NA	NA	29270.431	37605.657	NA	30535.508	12997.554	13297.674	NA	NA	10249.579	26852.275	NA	NA	11920.794	21034.005	44998.765	NA	25404.499	11506.859	25657.223	17547.351	12767.635	14262.689	NA	15339.1	19062.913	NA	NA	NA	11016.704	8032.652	12347.651	18617.81	29095.947
id9	3-Hydroxypyridine	128666.852	50098.603	110371.101	29849.465	110156.165	118437.08	81401.53	43185.331	106082.813	49269.856	NA	NA	77864.654	101332.388	78036.255	108644.256	107791.332	NA	162314.954	NA	NA	NA	NA	NA	110368.504	NA	81517.586	39773.46	76354.756	104493.703	44235.751	73820.015	45263.616	91303.151	24309.734	NA	NA	NA	35628.259	48130.982	NA	149387.829	NA	NA	NA	NA	113874.862	119452.505
id10	5-aminovaleric acid lactam	404532.346	58568.324	353668.97	55881.824	213238.979	262290.863	260050.747	66138.173	224523.608	NA	145265.72	34377.508	111000.438	124752.516	47396.39	80751.671	127986.099	NA	95065.878	13868.217	30088.356	NA	NA	NA	NA	NA	47798.227	28546.056	55685.351	NA	19225.757	NA	23145.852	NA	17443.427	NA	3863.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
id11	3-hydroxybutyric acid	NA	515716.918	NA	433788.877	NA	NA	NA	179430.547	NA	24744.011	NA	20648.001	NA	NA	NA	NA	NA	31907.146	14396.985	138400.88	42866.81	42835.758	NA	82130.022	NA	389425.328	NA	29039.994	NA	NA	373421.21	NA	395488.196	NA	620355.966	43014.875	381177.415	40185.871	35857.98	NA	60140.447	11955.935	16562.96	120122.183	23582.236	718708.725	NA	NA
id12	glutaraldehyde 2	77818.937	NA	150815.481	NA	57166.46	123019.244	63799.291	NA	82324.483	NA	NA	NA	76746.134	218224.997	129146.046	53521.441	68057.186	NA	106778.933	NA	214277.986	98836.075	NA	3027.416	64615.602	NA	116242.248	183183.938	143992.481	54634.264	NA	112104.019	NA	196896.148	NA	113402.533	NA	79310.101	123087.574	69295.339	NA	127059.308	NA	2553.374	64134.707	NA	59460.431	69362.185
