sample1	sample	Group0.01	Group7.5
A121_1	A121_1	EY1	
A122_1	A122_1	EY1	
A123_1	A123_1	EY1	
A124_1	A124_1	EY1	
A125_1	A125_1	EY1	
A126_1	A126_1	EY1	
A127_1	A127_1	EY2	
A128_1	A128_1	EY2	
A129_1	A129_1	EY2	
A130_1	A130_1	EY2	
A131_1	A131_1	EY2	
A132_1	A132_1	EY2	
A133_1	A133_1	EG1	
A134_1	A134_1	EG1	
A135_1	A135_1	EG1	
A136_1	A136_1	EG1	
A137_1	A137_1	EG1	
A138_1	A138_1	EG1	
A139_1	A139_1	EG2	
A140_1	A140_1	EG2	
A141_1	A141_1	EG2	
A142_1	A142_1	EG2	
A143_1	A143_1	EG2	
A144_1	A144_1	EG2	
A145_1	A145_1		EY3
A146_1	A146_1		EY3
A147_1	A147_1		EY3
A148_1	A148_1		EY3
A149_1	A149_1		EY3
A150_1	A150_1		EY3
A151_1	A151_1		EY4
A152_1	A152_1		EY4
A153_1	A153_1		EY4
A154_1	A154_1		EY4
A155_1	A155_1		EY4
A156_1	A156_1		EY4
A157_1	A157_1		EG3
A158_1	A158_1		EG3
A159_1	A159_1		EG3
A160_1	A160_1		EG3
A161_1	A161_1		EG3
A162_1	A162_1		EG3
A163_1	A163_1		EG4
A164_1	A164_1		EG4
A165_1	A165_1		EG4
A166_1	A166_1		EG4
A167_1	A167_1		EG4
A168_1	A168_1		EG4
