pathway	compound
hsa00010	C00022
hsa00010	C00024
hsa00010	C00031
hsa00010	C00033
hsa00010	C00036
hsa00010	C00068
hsa00010	C00074
hsa00010	C00084
hsa00010	C00103
hsa00010	C00111
hsa00010	C00118
hsa00010	C00186
hsa00010	C00197
hsa00010	C00221
hsa00010	C00236
hsa00010	C00267
hsa00010	C00469
hsa00010	C00631
hsa00010	C00668
hsa00010	C01159
hsa00010	C01172
hsa00010	C01451
hsa00010	C05125
hsa00010	C05345
hsa00010	C05378
hsa00010	C06186
hsa00010	C06187
hsa00010	C06188
hsa00010	C15972
hsa00010	C15973
hsa00010	C16255
hsa00020	C00022
hsa00020	C00024
hsa00020	C00026
hsa00020	C00036
hsa00020	C00042
hsa00020	C00068
hsa00020	C00074
hsa00020	C00091
hsa00020	C00122
hsa00020	C00149
hsa00020	C00158
hsa00020	C00311
hsa00020	C00417
hsa00020	C05125
hsa00020	C05379
hsa00020	C05381
hsa00020	C15972
hsa00020	C15973
hsa00020	C16254
hsa00020	C16255
hsa00030	C00022
hsa00030	C00031
hsa00030	C00117
hsa00030	C00118
hsa00030	C00119
hsa00030	C00121
hsa00030	C00197
hsa00030	C00198
hsa00030	C00199
hsa00030	C00204
hsa00030	C00221
hsa00030	C00231
hsa00030	C00257
hsa00030	C00258
hsa00030	C00279
hsa00030	C00345
hsa00030	C00577
hsa00030	C00620
hsa00030	C00631
hsa00030	C00668
hsa00030	C00672
hsa00030	C00673
hsa00030	C01151
hsa00030	C01172
hsa00030	C01218
hsa00030	C01236
hsa00030	C01801
hsa00030	C03752
hsa00030	C04442
hsa00030	C05345
hsa00030	C05378
hsa00030	C05382
hsa00030	C06019
hsa00030	C06473
hsa00030	C20589
hsa00040	C00022
hsa00040	C00026
hsa00040	C00029
hsa00040	C00103
hsa00040	C00111
hsa00040	C00116
hsa00040	C00167
hsa00040	C00181
hsa00040	C00191
hsa00040	C00199
hsa00040	C00204
hsa00040	C00231
hsa00040	C00259
hsa00040	C00266
hsa00040	C00309
hsa00040	C00310
hsa00040	C00312
hsa00040	C00333
hsa00040	C00379
hsa00040	C00433
hsa00040	C00470
hsa00040	C00474
hsa00040	C00476
hsa00040	C00502
hsa00040	C00508
hsa00040	C00514
hsa00040	C00532
hsa00040	C00558
hsa00040	C00618
hsa00040	C00714
hsa00040	C00789
hsa00040	C00800
hsa00040	C00817
hsa00040	C00905
hsa00040	C01068
hsa00040	C01101
hsa00040	C01508
hsa00040	C01904
hsa00040	C02266
hsa00040	C02273
hsa00040	C02426
hsa00040	C03033
hsa00040	C03291
hsa00040	C03826
hsa00040	C04053
hsa00040	C04349
hsa00040	C04575
hsa00040	C05385
hsa00040	C05411
hsa00040	C05412
hsa00040	C06118
hsa00040	C06441
hsa00040	C14899
hsa00040	C15930
hsa00040	C20680
hsa00051	C00095
hsa00051	C00096
hsa00051	C00111
hsa00051	C00118
hsa00051	C00159
hsa00051	C00186
hsa00051	C00247
hsa00051	C00267
hsa00051	C00275
hsa00051	C00325
hsa00051	C00392
hsa00051	C00424
hsa00051	C00464
hsa00051	C00507
hsa00051	C00577
hsa00051	C00636
hsa00051	C00644
hsa00051	C00665
hsa00051	C00794
hsa00051	C00861
hsa00051	C00976
hsa00051	C01019
hsa00051	C01094
hsa00051	C01096
hsa00051	C01099
hsa00051	C01131
hsa00051	C01222
hsa00051	C01355
hsa00051	C01487
hsa00051	C01720
hsa00051	C01721
hsa00051	C01768
hsa00051	C01934
hsa00051	C02431
hsa00051	C02492
hsa00051	C02888
hsa00051	C02962
hsa00051	C02977
hsa00051	C02985
hsa00051	C02991
hsa00051	C03117
hsa00051	C03267
hsa00051	C03827
hsa00051	C03979
hsa00051	C05144
hsa00051	C05345
hsa00051	C05378
hsa00051	C05392
hsa00051	C06192
hsa00051	C11516
hsa00051	C11544
hsa00051	C18028
hsa00051	C18096
hsa00051	C20781
hsa00052	C00029
hsa00052	C00031
hsa00052	C00052
hsa00052	C00085
hsa00052	C00089
hsa00052	C00095
hsa00052	C00103
hsa00052	C00111
hsa00052	C00116
hsa00052	C00118
hsa00052	C00124
hsa00052	C00137
hsa00052	C00159
hsa00052	C00243
hsa00052	C00267
hsa00052	C00446
hsa00052	C00492
hsa00052	C00577
hsa00052	C00668
hsa00052	C00794
hsa00052	C00795
hsa00052	C00880
hsa00052	C00984
hsa00052	C01097
hsa00052	C01113
hsa00052	C01132
hsa00052	C01216
hsa00052	C01235
hsa00052	C01286
hsa00052	C01613
hsa00052	C01697
hsa00052	C02262
hsa00052	C02669
hsa00052	C03383
hsa00052	C03733
hsa00052	C03785
hsa00052	C05396
hsa00052	C05399
hsa00052	C05400
hsa00052	C05401
hsa00052	C05402
hsa00052	C05404
hsa00052	C05796
hsa00052	C06311
hsa00052	C06376
hsa00052	C06377
hsa00053	C00022
hsa00053	C00026
hsa00053	C00029
hsa00053	C00072
hsa00053	C00096
hsa00053	C00137
hsa00053	C00167
hsa00053	C00191
hsa00053	C00231
hsa00053	C00259
hsa00053	C00333
hsa00053	C00433
hsa00053	C00545
hsa00053	C00558
hsa00053	C00618
hsa00053	C00679
hsa00053	C00684
hsa00053	C00800
hsa00053	C00818
hsa00053	C00879
hsa00053	C01040
hsa00053	C01041
hsa00053	C01101
hsa00053	C01114
hsa00053	C01115
hsa00053	C01146
hsa00053	C01620
hsa00053	C01825
hsa00053	C02280
hsa00053	C02670
hsa00053	C03064
hsa00053	C03289
hsa00053	C03291
hsa00053	C03921
hsa00053	C04575
hsa00053	C05385
hsa00053	C05411
hsa00053	C05412
hsa00053	C05422
hsa00053	C14899
hsa00053	C15923
hsa00053	C15924
hsa00053	C15925
hsa00053	C15926
hsa00053	C15930
hsa00053	C16186
hsa00053	C20889
hsa00053	C20896
hsa00053	C21955
hsa00061	C00024
hsa00061	C00083
hsa00061	C00154
hsa00061	C00173
hsa00061	C00229
hsa00061	C00249
hsa00061	C00383
hsa00061	C00638
hsa00061	C00693
hsa00061	C00712
hsa00061	C01203
hsa00061	C01209
hsa00061	C01271
hsa00061	C01530
hsa00061	C01571
hsa00061	C02679
hsa00061	C02843
hsa00061	C03939
hsa00061	C04088
hsa00061	C04180
hsa00061	C04246
hsa00061	C04618
hsa00061	C04619
hsa00061	C04620
hsa00061	C04633
hsa00061	C04688
hsa00061	C05223
hsa00061	C05744
hsa00061	C05745
hsa00061	C05746
hsa00061	C05747
hsa00061	C05748
hsa00061	C05749
hsa00061	C05750
hsa00061	C05751
hsa00061	C05752
hsa00061	C05753
hsa00061	C05754
hsa00061	C05755
hsa00061	C05756
hsa00061	C05757
hsa00061	C05758
hsa00061	C05759
hsa00061	C05760
hsa00061	C05761
hsa00061	C05762
hsa00061	C05763
hsa00061	C05764
hsa00061	C06423
hsa00061	C06424
hsa00061	C08362
hsa00061	C16219
hsa00061	C16220
hsa00061	C16221
hsa00061	C16520
hsa00061	C20794
hsa00062	C00024
hsa00062	C00040
hsa00062	C00083
hsa00062	C00136
hsa00062	C00154
hsa00062	C00249
hsa00062	C00264
hsa00062	C00638
hsa00062	C00640
hsa00062	C00658
hsa00062	C01832
hsa00062	C01944
hsa00062	C02593
hsa00062	C02843
hsa00062	C03221
hsa00062	C05258
hsa00062	C05259
hsa00062	C05260
hsa00062	C05261
hsa00062	C05262
hsa00062	C05263
hsa00062	C05264
hsa00062	C05265
hsa00062	C05266
hsa00062	C05267
hsa00062	C05268
hsa00062	C05269
hsa00062	C05270
hsa00062	C05271
hsa00062	C05272
hsa00062	C05273
hsa00062	C05274
hsa00062	C05275
hsa00062	C05276
hsa00062	C20876
hsa00062	C20877
hsa00062	C20878
hsa00062	C20879
hsa00071	C00010
hsa00071	C00024
hsa00071	C00071
