ID	Name	AG1	AG2	AG3	AG4	AG5	AG6	AG31	AG32	AG33	AG34	AG35	AG36	AG7	AG8	AG9	AG10	AG11	AG12	QCA06	QCA07	QCA08	QCA09	QCA10	QCA11	QCA12	QCA13	QCA14	QCA15	QCA16
ID1	Styrene	18.63681657	123.4171152	154.5281032	8.612659645	126.7303397	52.14585009	14.73321075	10.2354992	9.911923789	18.91406174	16.07399543	14.8334381	9.845139167	23.21900862	13.03083858	13.27637336	16.79751719	7.399881179	28.15385049	33.70156802	28.40061292	28.15144893	26.78533492	27.39412057	24.26862362	32.2104151	31.50871907	23.65666372	29.95559054
ID2	Benzaldehyde	589.10237	720.9625788	485.3339812	684.8541164	586.0593185	126.9584123	1862.181393	1569.511441	1572.559122	1891.526881	2757.534653	1321.738366	568.6773836	563.8683628	645.6256788	350.8054897	380.5399056	582.3234732	1046.684049	1056.582458	1071.061521	915.8025741	1116.138198	1143.030683	1030.994862	1040.14007	957.0862601	1009.004773	1094.684525
ID3	Hydroquinone	7.861460729	3.76838047	4.582964784	5.008522717	15.1902448	6.203484592	38.16379558	29.29880863	22.96405093	21.6229923	38.92785122	31.36415652	75.83965851	61.95771746	46.38037329	40.86241082	60.90631651	48.7413435	35.78007745	24.67810065	25.51148426	25.0504958	18.01507381	18.75126734	24.75145872	19.21587282	20.89941483	14.56749297	22.07987318
ID4	Cytosine	49.25174697	149.0177614	170.1338344	49.08952131	216.9070902	71.17375602	36.91342473	29.99892413	25.36336602	33.99089242	37.84031706	36.57431883	28.55317564	26.75325302	37.99335361	21.55019779	24.63549574	22.94952201	75.4934388	72.07048454	75.48894827	59.43753003	67.00723016	70.20000953	66.25033624	62.16137697	70.39511342	74.90616245	62.39539206
ID5	Indole	193.5298395	166.2675918	121.3358605	189.2366658	132.4416399	90.66189652	201.567987	228.6997855	192.7805842	256.5432484	343.1607624	225.2433943	206.0417388	163.5066091	209.3378197	171.5539303	155.422456	173.0128255	215.3345155	217.0679555	189.5213914	167.3938687	189.4320766	227.9363196	178.8065916	165.9776497	103.5967641	183.4603377	216.7313006
ID6	Betaine	3188.499088	1975.884268	2297.096641	2302.895472	1535.474035	1877.631057	634.7981938	373.5593547	369.6338971	444.7363681	782.6371873	790.4055056	1439.979693	913.2960253	1266.5671	1329.257967	912.2015867	972.188001	1574.884732	1447.920989	1837.755441	1629.072521	1696.532369	1410.201165	1202.210207	1669.319108	2547.284489	1356.071749	1289.263606
ID7	alpha-methylstyrene	39.18801898	104.9067786	68.82408127	65.77854699	92.6609668	67.53450992	49.60010254	18.41141577	42.74318605	31.30194096	30.94645877	18.8852501	47.57816844	45.73886759	69.96859513	42.75938696	43.31769242	67.0507223	63.23926463	67.29471748	46.1478139	53.30066869	55.69753805	56.42386542	64.20942421	51.55978886	62.52761983	64.27105219	83.79960035
ID8	Phloroglucinol	49.73879671	130.7532333	108.1106548	65.19632646	111.9612898	148.4241089	30.32190266	37.29014413	44.96972276	55.00518717	81.43987597	36.00167796	25.73321057	59.28773495	23.54044096	43.54431597	22.19437908	26.59212343	42.47283545	52.12545985	56.28820829	39.15815736	39.14404171	30.65273943	49.80465268	56.90338409	45.00681406	42.12549056	49.15008935
ID9	Phloroglucinol	463.2429685	16.27148226	24.36379113	218.5477983	14.84914786	19.65639126	37.56170797	41.37412134	22.31334509	22.8870775	21.3501188	35.33385288	111.8254011	310.2716068	79.41237924	119.2226405	191.5474235	79.32167795	72.85527427	91.86205834	66.24135157	66.45217099	88.69423799	48.67212552	67.32402894	79.22482637	89.93585869	54.66324163	66.49742582
ID10	L-Isoleucine	688.2230138	620.8870843	614.7843647	441.5753797	426.1536755	691.9526536	97.51099579	76.10040096	97.59153705	183.001888	164.7705856	142.6581445	207.6860604	337.547403	160.2288948	329.7065518	212.6987996	131.3971099	285.5687964	206.2187894	322.1108439	292.4930268	329.5496943	264.3545322	263.342658	347.5736892	1729.593596	262.0137297	279.7993993
