faecal	MC_1	MC_5	MC_6	MC_7	MC_9	MC_10	PTMC_2	PTMC_3	PTMC_4	PTMC_6	PTMC_7	PTMC_10
(faecal)Taurine	0.000665558	0.000585258	0.000557201	0.000224913	0.000590866	0.000540847	8.16E-05	6.61E-05	7.52E-06	5.78E-06	2.81E-05	9.79E-06
(faecal)Lithocholic Acid	0.004411886	0.011004844	0.006741757	0.011002768	0.012739279	0.021602357	0.039485216	0.034447855	0.031106326	0.053199315	0.014084701	0.042903028
(faecal)Biliverdin	3.23E-05	3.27E-05	3.66E-05	2.07E-05	5.65E-05	4.57E-05	9.65E-06	1.80E-05	2.24E-05	1.34E-05	1.18E-05	1.44E-05
(faecal)Cholic acid	0.009612482	0.007333665	0.007078905	0.004513923	0.002357897	0.002312938	0.001827307	0.000183094	7.80E-05	5.71E-05	0.000504583	6.75E-05
(faecal)Gentisic acid	0.000170571	0.000168742	0.000151907	0.00015494	0.00029827	0.000308164	0.000203903	0.00014913	2.57E-06	3.09E-06	5.37E-05	1.78E-06
(faecal)3-Dehydrocholic acid	3.98E-05	0.000176554	0.000216171	0.000369818	0.000140765	0.000158847	5.48E-05	6.92E-06	1.12E-05	5.03E-06	6.12E-05	4.39E-06
(faecal)Bilirubin	1.43E-05	5.92E-05	0.000150206	0.000193595	0.000100059	0.000179027	6.36E-05	1.98E-05	3.48E-06	3.88E-06	2.94E-06	8.37E-06
(faecal)D-(+)-Proline	0.000767861	0.002182454	0.001698257	0.002204375	0.001091478	0.001224605	0.001845229	0.003135087	0.006836462	0.005470338	0.002553681	0.004435573
(faecal)Indole	2.21E-05	1.48E-05	1.63E-05	7.65E-06	3.12E-05	3.94E-05	3.20E-05	3.01E-05	0.000187365	0.000141615	9.54E-05	0.000156446
(faecal)Deoxycholic Acid	0.033421086	0.014655427	0.014951166	0.000769311	0.01179514	0.009301885	0.001760059	0.000631525	0.000781391	1.49E-05	0.000443125	2.38E-05
(faecal)Υ-Aminobutyric acid (GABA)	0.00239422	0.004462435	0.004102041	0.001352024	0.001020566	0.001669013	0.00077855	0.001175247	0.000400014	0.000291666	0.001430005	0.000236713
(faecal)L-Tyrosine	0.002148059	0.001919366	0.001750351	0.002001903	0.001082609	0.001309602	0.001880696	0.002804047	0.003162397	0.002426698	0.004613732	0.002271752
(faecal)Inosine	6.02E-05	8.38E-05	8.92E-05	0.000119851	5.55E-05	5.50E-05	1.06E-05	1.40E-05	9.79E-05	4.12E-05	1.06E-05	3.80E-05
(faecal)Gly-Val	0.000138569	8.31E-05	7.58E-05	0.000232322	0.00010293	0.000129247	0.000156202	0.000172588	0.000159494	0.000219533	0.000312878	0.000206796
(faecal)Choline	0.000531806	0.000482387	0.000461374	0.000213849	0.000542386	0.000276199	0.000262702	8.60E-05	8.44E-05	0.000134707	0.00015247	0.000229664
