serum	MC_1	MC_5	MC_6	MC_7	MC_9	MC_10	PTMC_2	PTMC_3	PTMC_4	PTMC_6	PTMC_7	PTMC_10
(serum)2-Hydroxyhippuric acid	1.75E-05	1.95E-05	1.65E-05	1.64E-05	0.000102348	0.000104394	2.56E-05	8.40E-05	0.000322563	0.000222509	0.000214954	0.000272294
(serum)Gentisic acid	3.28E-05	5.17E-05	4.82E-05	2.81E-05	1.96E-05	2.40E-05	1.13E-05	1.35E-05	1.21E-05	1.02E-05	1.09E-05	1.02E-05
(serum)Glutamic acid	0.000499971	0.000533455	0.00060772	0.000665679	0.000593478	0.000506443	0.000306159	0.000249332	0.000293759	0.000539773	0.000417198	0.00024022
(serum)Gly-Val	1.55E-05	8.63E-06	1.45E-05	1.32E-05	1.23E-05	1.18E-05	0.000235203	0.000133028	0.000129847	0.000179246	0.000180922	0.000124631
(serum)Hypoxanthine	0.000128083	0.000168961	0.000139236	0.000129994	0.000186395	0.000164134	0.000342491	0.000455008	0.000208074	0.000214809	0.00028944	0.000267904
(serum)Indoline	1.06E-05	2.60E-06	2.84E-06	1.14E-05	8.17E-06	8.96E-06	3.41E-05	4.09E-05	1.82E-05	2.33E-05	2.17E-05	1.57E-05
(serum)Lauric acid	1.69E-05	1.76E-05	1.97E-05	1.69E-05	2.25E-05	2.14E-05	2.47E-05	1.95E-05	2.11E-05	2.69E-05	2.28E-05	2.14E-05
(serum)L-Glutamic acid	0.000868501	0.001073689	0.001055071	0.000916335	0.000892332	0.000722378	0.000600876	0.000476685	0.000361847	0.000513472	0.000498509	0.000392722
(serum)L-Histidine	0.001517998	0.000329244	0.000339794	0.00147623	0.000380139	0.000491217	3.79E-05	4.21E-05	5.10E-05	8.99E-06	9.13E-06	1.06E-05
(serum)Linoleic acid	0.02301194	0.018536996	0.02067561	0.028984545	0.036911996	0.039357324	0.01950344	0.023681976	0.017232265	0.017067875	0.01659639	0.016906492
(serum)L-Methionine sulfoxide	0.000186659	0.000221822	0.000171401	0.000302829	0.000255359	0.000181886	0.000357693	0.00038501	0.000496691	0.000280037	0.000465102	0.000388059
(serum)L-Pyroglutamic acid	0.000893784	0.000662904	0.0008106	0.000819353	0.000958082	0.000834448	0.000613814	0.000647489	0.000533306	0.000527396	0.000588431	0.000569267
(serum)Pantothenic acid	3.37E-05	4.01E-05	4.44E-05	3.18E-05	1.83E-05	2.05E-05	2.05E-05	1.85E-05	1.50E-05	1.76E-05	1.76E-05	1.27E-05
(serum)Uric acid	0.001161079	0.001155127	0.001283446	0.001128151	0.000774419	0.000765336	0.000574654	0.000856058	0.000861949	0.000839541	0.000855266	0.000827684
(serum)α-Linolenic Acid	0.005239812	0.003460958	0.002482767	0.003634136	0.004877382	0.005139379	0.003778762	0.003143645	0.00107948	0.001233948	0.001479605	0.001369723
(serum)(-)-Camphanic acid	2.33E-05	2.90E-05	2.77E-05	2.12E-05	4.99E-05	5.24E-05	8.41E-05	4.42E-05	6.53E-05	4.79E-05	3.88E-05	6.20E-05
(serum)16-Hydroxyhexadecanoic acid	0.001001681	0.000970039	0.00118545	0.0010557	0.001012476	0.000750832	0.000622437	0.000792645	0.000514786	0.000556793	0.000429232	0.000487455
(serum)2-Amino-1,3,4-octadecanetriol	0.002042357	0.000448287	0.000374846	0.001917339	0.000947657	0.00099496	0.000296125	0.000313341	0.00026237	0.00021761	0.000342176	0.00030019
(serum)8Z,11Z,14Z-Eicosatrienoic acid	0.001175762	0.001263537	0.001193922	0.001597587	0.001345729	0.000907904	0.000538096	0.000515068	0.000299694	0.000321704	0.000411594	0.000230954
(serum)Calcitriol	3.35E-05	3.33E-05	3.36E-05	3.11E-05	4.74E-05	4.74E-05	1.49E-05	3.49E-05	3.01E-05	2.92E-05	2.32E-05	2.29E-05
(serum)Choline	0.00022609	0.00019674	0.00010596	0.000171721	0.000230804	0.000257746	0.000819362	0.000658389	0.000635767	0.000705469	0.000734678	0.000958187
(serum)D-(+)-Pipecolinic acid	0.000663265	0.000350252	0.000585649	0.000656741	0.000436059	0.00054519	0.00016036	0.000302169	0.000425281	0.000530056	0.000175933	0.000298348
(serum)Decanoylcarnitine	8.85E-05	9.26E-05	9.54E-05	9.75E-05	0.000178747	0.000192309	0.000199634	0.000427507	0.000317473	0.000468556	0.000372705	0.00026859
(serum)Diphenylsulfoxide	0.001577309	0.000990725	0.00099389	0.001190776	0.001442719	0.000900009	0.00130181	0.002331034	0.001189428	0.002436338	0.002245625	0.001818126
(serum)DL-Mandelic acid	2.96E-05	3.08E-05	3.10E-05	2.58E-05	1.53E-05	1.46E-05	1.20E-05	2.10E-05	1.56E-05	7.93E-06	1.12E-05	1.32E-05
(serum)DL-Stachydrine	7.75E-05	0.000108271	0.000128059	8.36E-05	0.000259083	0.00026313	0.0001495	0.000555194	0.0004281	0.000348339	0.00034955	0.000511608
(serum)Docosahexaenoic Acid	0.001383787	0.001141361	0.001000958	0.001235299	0.000830029	0.001147813	0.000712522	0.000850645	0.00039395	0.000321077	0.000401843	0.000272863
(serum)Hexanoylcarnitine	1.20E-05	1.28E-05	1.45E-05	1.52E-05	2.40E-05	2.38E-05	2.60E-05	5.00E-05	3.00E-05	4.78E-05	4.03E-05	2.86E-05
(serum)Homogentisate	0.000514463	0.000218136	0.000238932	0.000462404	0.000723998	0.000768109	0.000321642	3.08E-05	0.000169145	0.000175012	0.000161327	0.000129122
(serum)Kynurenine	3.18E-05	4.61E-05	4.67E-05	3.28E-05	2.79E-05	3.34E-05	4.16E-05	3.96E-05	4.74E-05	5.54E-05	5.03E-05	4.40E-05
(serum)L(+)-Ornithine	0.000190596	0.000127522	0.000154989	0.000159521	0.000155226	0.000147939	0.000116732	8.41E-05	0.000149966	8.10E-05	0.00010729	0.000123707
(serum)Lauroylcarnitine	3.54E-05	3.45E-05	3.30E-05	3.30E-05	8.42E-05	8.04E-05	4.85E-05	0.000147929	0.000106263	0.000132485	0.000102166	9.15E-05
