id	(serum)2-Hydroxyhippuric acid	(serum)Gentisic acid	(serum)Glutamic acid	(serum)Gly-Val	(serum)Hypoxanthine	(serum)Indoline	(serum)Lauric acid	(serum)L-Glutamic acid	(serum)L-Histidine	(serum)Linoleic acid	(serum)L-Methionine sulfoxide	(serum)L-Pyroglutamic acid	(serum)Pantothenic acid	(serum)Uric acid	(serum)α-Linolenic Acid	(serum)(-)-Camphanic acid	(serum)16-Hydroxyhexadecanoic acid	(serum)2-Amino-1,3,4-octadecanetriol	(serum)8Z,11Z,14Z-Eicosatrienoic acid	(serum)Calcitriol	(serum)Choline	(serum)D-(+)-Pipecolinic acid	(serum)Decanoylcarnitine	(serum)Diphenylsulfoxide	(serum)DL-Mandelic acid	(serum)DL-Stachydrine	(serum)Docosahexaenoic Acid	(serum)Hexanoylcarnitine	(serum)Homogentisate	(serum)Kynurenine	(serum)L(+)-Ornithine	(serum)Lauroylcarnitine	(serum)Levothyroxine	(serum)L-Valine	(serum)Methyl indole-3-acetate	(serum)Myristic Acid	(serum)N,N-Dimethyldodecylamine N-oxide	(serum)N,N-Dimethylglycine	(serum)N-Formyl-DL-methionine	(serum)Octanoyl-L-Carnitine	(serum)Oleic acid	(serum)Oleoyl ethanolamide	(serum)Palmitoleic acid	(serum)PC(16:0/0:0)	(serum)Phosphocholine	(serum)raspberry ketone	(serum)Threonine	(serum)Tretinoin	(serum)Ursocholanic Acid	(serum)α-Aspartylphenylalanine
Bifidobacterium adolescentis	-0.195804195804196	0.570929071695752	0.230769230769231	-0.440559440559441	-0.307692307692308	-0.566433566433566	-0.133334154106276	0.370629370629371	0.468531468531469	0.433566433566434	-0.41958041958042	0.475524475524476	0.396493668789715	0.13986013986014	0.286713286713287	0.111888111888112	0.447552447552448	0.237762237762238	0.398601398601399	0.560421174670677	-0.503496503496504	0.174825174825175	-0.461538461538462	-0.692307692307692	0.496503496503497	-0.230769230769231	0.293706293706294	-0.41958041958042	0.440559440559441	-0.20979020979021	0.475524475524476	-0.332750072460714	-0.178634249426278	-0.216783216783217	-0.48951048951049	0.629370629370629	-0.160839160839161	-0.377622377622378	-0.531468531468532	-0.461538461538462	0.48951048951049	0.287215852018722	0.531468531468532	0.440559440559441	0.339755337144098	-0.482517482517483	-0.41958041958042	-0.0909090909090909	0.321678321678322	-0.27972027972028
Fusicatenibacter saccharivorans	-0.48951048951049	0.549913277645602	0.559440559440559	-0.503496503496504	-0.300699300699301	-0.48951048951049	-0.242106753508764	0.587412587412588	0.342657342657343	0.398601398601399	-0.363636363636364	0.405594405594406	0.522810235837765	0.188811188811189	0.181818181818182	-0.363636363636364	0.48951048951049	0.41958041958042	0.608391608391608	0.395797454611166	-0.573426573426573	0.167832167832168	-0.335664335664336	-0.615384615384615	0.405594405594406	-0.272727272727273	0.440559440559441	-0.328671328671329	0.272727272727273	-0.0839160839160839	0.230769230769231	-0.542908012962218	-0.273205322651955	-0.174825174825175	-0.447552447552448	0.524475524475525	0.153846153846154	-0.741258741258741	-0.692307692307692	-0.356643356643357	0.524475524475525	0.437829042711466	0.496503496503497	0.594405594405594	0.322242175435639	-0.566433566433566	-0.307692307692308	0.188811188811189	0.587412587412588	-0.258741258741259
Blautia wexlerae	-0.433566433566434	0.669002777263121	0.307692307692308	-0.566433566433566	-0.440559440559441	-0.622377622377623	-0.284212275858114	0.580419580419581	0.65034965034965	0.587412587412588	-0.622377622377623	0.86013986013986	0.550880584070666	0.125874125874126	0.769230769230769	-0.307692307692308	0.524475524475525	0.748251748251748	0.643356643356643	0.714536997705113	-0.510489510489511	0.300699300699301	-0.643356643356643	-0.384615384615385	0.440559440559441	-0.468531468531469	0.657342657342657	-0.594405594405594	0.622377622377623	-0.587412587412588	0.510489510489511	-0.399300086952857	-0.465850101445	-0.734265734265734	-0.461538461538462	0.783216783216783	0.524475524475525	-0.510489510489511	-0.657342657342657	-0.594405594405594	0.685314685314685	0.469352733786692	0.825174825174825	0.573426573426573	0.406305351636241	-0.734265734265734	-0.776223776223776	-0.573426573426573	0.587412587412588	-0.601398601398601
Lachnospiraceae bacterium	-0.111888111888112	0.38528955758609	0.195804195804196	-0.629370629370629	-0.244755244755245	-0.685314685314685	-0.126316567048051	0.363636363636364	0.328671328671329	0.335664335664336	-0.433566433566434	0.559440559440559	0.196492437630301	0.020979020979021	0.27972027972028	-0.118881118881119	0.335664335664336	0.468531468531469	0.34965034965035	0.595447498087594	-0.321678321678322	0.0979020979020979	-0.391608391608392	-0.356643356643357	0.328671328671329	-0.013986013986014	0.202797202797203	-0.342657342657343	0.237762237762238	-0.321678321678322	0.314685314685315	-0.269702690310263	-0.157618455376128	-0.230769230769231	-0.769230769230769	0.566433566433566	0.167832167832168	-0.664335664335664	-0.517482517482518	-0.356643356643357	0.524475524475525	0.00700526468338346	0.601398601398601	0.265734265734266	0.091068440883985	-0.524475524475525	-0.335664335664336	-0.013986013986014	0.41958041958042	-0.461538461538462
Alistipes onderdonkii	0.573426573426573	-0.556918542328985	-0.440559440559441	0.398601398601399	0.629370629370629	0.559440559440559	0.463160745842853	-0.559440559440559	-0.482517482517483	-0.167832167832168	0.545454545454546	-0.538461538461539	-0.578950932303566	-0.538461538461539	-0.356643356643357	0.769230769230769	-0.447552447552448	-0.727272727272727	-0.468531468531469	-0.297723749043797	0.552447552447553	-0.503496503496504	0.601398601398601	0.216783216783217	-0.468531468531469	0.524475524475525	-0.601398601398601	0.615384615384615	-0.293706293706294	0.188811188811189	-0.468531468531469	0.619965924479436	0.486865895495151	0.244755244755245	0.132867132867133	-0.475524475524476	-0.580419580419581	0.573426573426573	0.440559440559441	0.531468531468532	-0.342657342657343	-0.325744807777331	-0.398601398601399	-0.594405594405594	-0.420315881003008	0.447552447552448	0.503496503496504	0.0629370629370629	-0.678321678321678	0.566433566433566
Mediterraneibacter faecis	-0.174825174825175	0.441331675053158	0.272727272727273	-0.825174825174825	-0.321678321678322	-0.692307692307692	-0.280703482329002	0.440559440559441	0.468531468531469	0.503496503496504	-0.370629370629371	0.622377622377623	0.200001231159414	-0.0699300699300699	0.398601398601399	-0.13986013986014	0.384615384615385	0.594405594405594	0.510489510489511	0.591944865745903	-0.377622377622378	0.146853146853147	-0.440559440559441	-0.461538461538462	0.335664335664336	-0.111888111888112	0.342657342657343	-0.398601398601399	0.34965034965035	-0.517482517482518	0.377622377622378	-0.339755337144098	-0.301226381385489	-0.377622377622378	-0.916083916083916	0.559440559440559	0.321678321678322	-0.797202797202797	-0.573426573426573	-0.41958041958042	0.538461538461539	0.129597396642594	0.643356643356643	0.363636363636364	0.091068440883985	-0.594405594405594	-0.342657342657343	-0.104895104895105	0.447552447552448	-0.622377622377623
Dorea longicatena	-0.440559440559441	0.711034365363421	0.384615384615385	-0.832167832167832	-0.671328671328671	-0.804195804195804	-0.512283855250428	0.615384615384615	0.804195804195804	0.643356643356643	-0.657342657342657	0.902097902097902	0.494739887604865	0.230769230769231	0.706293706293706	-0.405594405594406	0.636363636363636	0.867132867132867	0.678321678321678	0.742558056438647	-0.629370629370629	0.524475524475525	-0.769230769230769	-0.440559440559441	0.580419580419581	-0.496503496503497	0.678321678321678	-0.727272727272727	0.629370629370629	-0.72027972027972	0.72027972027972	-0.521892218912068	-0.549913277645602	-0.65034965034965	-0.734265734265734	0.748251748251748	0.594405594405594	-0.706293706293706	-0.636363636363636	-0.699300699300699	0.671328671328671	0.346760601827481	0.79020979020979	0.643356643356643	0.441331675053158	-0.72027972027972	-0.706293706293706	-0.461538461538462	0.664335664335664	-0.888111888111888
Bacteroides ovatus	0.195804195804196	-0.602452762770978	-0.433566433566434	0.643356643356643	0.433566433566434	0.587412587412588	0.294738656445452	-0.405594405594406	-0.559440559440559	-0.615384615384615	0.468531468531469	-0.496503496503497	-0.340352972323914	-0.237762237762238	-0.195804195804196	0.055944055944056	-0.622377622377623	-0.27972027972028	-0.48951048951049	-0.781087012197256	0.678321678321678	-0.454545454545455	0.370629370629371	0.587412587412588	-0.580419580419581	0.174825174825175	-0.342657342657343	0.328671328671329	-0.41958041958042	0.293706293706294	-0.503496503496504	0.220665837526579	0.0665500144921429	0.314685314685315	0.657342657342657	-0.559440559440559	-0.013986013986014	0.426573426573427	0.538461538461539	0.34965034965035	-0.678321678321678	-0.143607926009361	-0.594405594405594	-0.517482517482518	-0.413310616319624	0.573426573426573	0.440559440559441	0.146853146853147	-0.461538461538462	0.454545454545455
uncultured Collinsella sp.	-0.188811188811189	0.577934336379136	0.321678321678322	-0.552447552447553	-0.342657342657343	-0.608391608391608	-0.108772599402488	0.461538461538462	0.440559440559441	0.517482517482518	-0.692307692307692	0.573426573426573	0.435090397609952	0.13986013986014	0.398601398601399	-0.0629370629370629	0.517482517482518	0.328671328671329	0.41958041958042	0.805605438589098	-0.517482517482518	0.342657342657343	-0.412587412587413	-0.41958041958042	0.447552447552448	-0.216783216783217	0.363636363636364	-0.384615384615385	0.461538461538462	-0.272727272727273	0.314685314685315	-0.168126352401203	-0.0210157940501504	-0.412587412587413	-0.552447552447553	0.678321678321678	0.13986013986014	-0.251748251748252	-0.629370629370629	-0.377622377622378	0.713286713286713	0.192644778793045	0.783216783216783	0.405594405594406	0.374781660561015	-0.671328671328671	-0.678321678321678	-0.475524475524476	0.510489510489511	-0.363636363636364
uncultured Roseburia sp.	-0.34965034965035	0.360771131194248	0.405594405594406	-0.594405594405594	-0.167832167832168	-0.398601398601399	-0.231580372921426	0.503496503496504	0.286713286713287	0.405594405594406	-0.20979020979021	0.454545454545455	0.284212275858114	-0.0839160839160839	0.34965034965035	-0.335664335664336	0.314685314685315	0.538461538461539	0.594405594405594	0.339755337144098	-0.321678321678322	0.020979020979021	-0.258741258741259	-0.321678321678322	0.167832167832168	-0.195804195804196	0.405594405594406	-0.237762237762238	0.244755244755245	-0.34965034965035	0.104895104895105	-0.353765866510865	-0.353765866510865	-0.412587412587413	-0.559440559440559	0.405594405594406	0.440559440559441	-0.727272727272727	-0.552447552447553	-0.27972027972028	0.440559440559441	0.315236910752256	0.510489510489511	0.391608391608392	0.0840631762006016	-0.552447552447553	-0.258741258741259	-0.0979020979020979	0.475524475524476	-0.384615384615385
