id	(serum)2-Hydroxyhippuric acid	(serum)Gentisic acid	(serum)Glutamic acid	(serum)Gly-Val	(serum)Hypoxanthine	(serum)Indoline	(serum)Lauric acid	(serum)L-Glutamic acid	(serum)L-Histidine	(serum)Linoleic acid	(serum)L-Methionine sulfoxide	(serum)L-Pyroglutamic acid	(serum)Pantothenic acid	(serum)Uric acid	(serum)α-Linolenic Acid	(serum)(-)-Camphanic acid	(serum)16-Hydroxyhexadecanoic acid	(serum)2-Amino-1,3,4-octadecanetriol	(serum)8Z,11Z,14Z-Eicosatrienoic acid	(serum)Calcitriol	(serum)Choline	(serum)D-(+)-Pipecolinic acid	(serum)Decanoylcarnitine	(serum)Diphenylsulfoxide	(serum)DL-Mandelic acid	(serum)DL-Stachydrine	(serum)Docosahexaenoic Acid	(serum)Hexanoylcarnitine	(serum)Homogentisate	(serum)Kynurenine	(serum)L(+)-Ornithine	(serum)Lauroylcarnitine	(serum)Levothyroxine	(serum)L-Valine	(serum)Methyl indole-3-acetate	(serum)Myristic Acid	(serum)N,N-Dimethyldodecylamine N-oxide	(serum)N,N-Dimethylglycine	(serum)N-Formyl-DL-methionine	(serum)Octanoyl-L-Carnitine	(serum)Oleic acid	(serum)Oleoyl ethanolamide	(serum)Palmitoleic acid	(serum)PC(16:0/0:0)	(serum)Phosphocholine	(serum)raspberry ketone	(serum)Threonine	(serum)Tretinoin	(serum)Ursocholanic Acid	(serum)α-Aspartylphenylalanine
Bifidobacterium adolescentis	Bifidobacterium adolescentis	0.541935885731317	0.0525235554822043	0.470531995381542	0.15173503571673	0.33058925941211	0.0548421197754078	0.679527503169665	0.235621003512646	0.124454791188834	0.159105769412195	0.174519008130059	0.118175957013032	0.201942086976751	0.664633161792668	0.366251460583582	0.729194990751066	0.144586301303347	0.456800852639923	0.199335494617809	0.0580535496581409	0.0951573665941247	0.586823664362704	0.130948069507173	0.0125930304960941	0.100602631832255	0.470531995381542	0.354147641232921	0.174519008130059	0.15173503571673	0.512840943181826	0.118175957013032	0.29058848944247	0.578567183873968	0.498555985524188	0.106252371759346	0.0283196712957601	0.617523489540143	0.226206044935027	0.0753623350534836	0.130948069507173	0.106252371759346	0.3653744519387	0.0753623350534836	0.15173503571673	0.279920349686442	0.112109291468892	0.174519008130059	0.778725396245442	0.307909876180653	0.378568669662303
Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans	0.106252371759346	0.0639766697540814	0.0585894753885676	0.0951573665941247	0.342259528940024	0.106252371759346	0.448366744153878	0.044609296463363	0.27556745095678	0.199335494617809	0.245265000730777	0.1908358740045	0.0811566213313912	0.556737056176831	0.571701238527655	0.245265000730777	0.106252371759346	0.174519008130059	0.0358059970520293	0.2028076432501	0.0512655897864915	0.602099427786538	0.286122902914987	0.0331699010901058	0.1908358740045	0.391096770941896	0.15173503571673	0.296904115688764	0.391096770941896	0.795414501853898	0.470531995381542	0.0681500850864123	0.390233673923637	0.586823664362704	0.144586301303347	0.0800193759202747	0.633090681246262	0.00580115047447825	0.0125930304960941	0.255137751758957	0.0800193759202747	0.15458641247553	0.100602631832255	0.0415214944103185	0.307014178900402	0.0548421197754078	0.33058925941211	0.556737056176831	0.044609296463363	0.416774768899138
Blautia wexlerae	Blautia wexlerae	0.159105769412195	0.0173585858460833	0.33058925941211	0.0548421197754078	0.15173503571673	0.0306758950616401	0.370632257771717	0.0478559768420606	0.0220341909323653	0.044609296463363	0.0306758950616401	0.000331668339126921	0.0634146473377936	0.696683109395766	0.00344645026182745	0.33058925941211	0.0800193759202747	0.00512408169875306	0.0240031912007137	0.00902392513944252	0.089913736302639	0.342259528940024	0.0240031912007137	0.217020225759977	0.15173503571673	0.124454791188834	0.0201854985098541	0.0415214944103185	0.0306758950616401	0.044609296463363	0.089913736302639	0.198476018031437	0.126919076734107	0.00654349014683787	0.130948069507173	0.00258621483336258	0.0800193759202747	0.089913736302639	0.0201854985098541	0.0415214944103185	0.0139059688143628	0.123706328208118	0.000951362855555507	0.0512655897864915	0.189984522415267	0.00654349014683787	0.00299286368018598	0.0512655897864915	0.044609296463363	0.0385884529220194
Lachnospiraceae bacterium	Lachnospiraceae bacterium	0.729194990751066	0.216146759539985	0.541935885731317	0.0283196712957601	0.443261936450183	0.0139059688143628	0.695661904338025	0.245265000730777	0.296904115688764	0.286122902914987	0.159105769412195	0.0585894753885676	0.540488162884896	0.948402225236522	0.378568669662303	0.712884219214772	0.286122902914987	0.124454791188834	0.26523878689279	0.041074783467649	0.307909876180653	0.762121655996299	0.208063463695353	0.255137751758957	0.296904115688764	0.96559026891878	0.527302354166108	0.27556745095678	0.456800852639923	0.307909876180653	0.319138785503305	0.396580033147263	0.624675666406758	0.470531995381542	0.00344645026182745	0.0548421197754078	0.602099427786538	0.0184527180284454	0.0848687711339349	0.255137751758957	0.0800193759202747	0.982761609403465	0.0385884529220194	0.403833088314712	0.778346071917952	0.0800193759202747	0.286122902914987	0.96559026891878	0.174519008130059	0.130948069507173
Alistipes onderdonkii	Alistipes onderdonkii	0.0512655897864915	0.0599836082381668	0.15173503571673	0.199335494617809	0.0283196712957601	0.0585894753885676	0.129422497945027	0.0585894753885676	0.112109291468892	0.602099427786538	0.066611882266889	0.0708943175492231	0.0485584019884882	0.0708943175492231	0.255137751758957	0.00344645026182745	0.144586301303347	0.00735502885780513	0.124454791188834	0.347291460927888	0.0625114832796152	0.0951573665941247	0.0385884529220194	0.498555985524188	0.124454791188834	0.0800193759202747	0.0385884529220194	0.0331699010901058	0.354147641232921	0.556737056176831	0.124454791188834	0.0315202260794164	0.108442821951915	0.443261936450183	0.680597508286082	0.118175957013032	0.0478559768420606	0.0512655897864915	0.15173503571673	0.0753623350534836	0.27556745095678	0.301482697461456	0.199335494617809	0.0415214944103185	0.173686060459266	0.144586301303347	0.0951573665941247	0.845930921228779	0.0153173290532817	0.0548421197754078
Mediterraneibacter faecis	Mediterraneibacter faecis	0.586823664362704	0.150934728875414	0.391096770941896	0.000951362855555507	0.307909876180653	0.0125930304960941	0.376824094678377	0.15173503571673	0.124454791188834	0.0951573665941247	0.235621003512646	0.0306758950616401	0.533132786647023	0.829023640531309	0.199335494617809	0.664633161792668	0.217020225759977	0.0415214944103185	0.089913736302639	0.0425901828134519	0.226206044935027	0.648795709784666	0.15173503571673	0.130948069507173	0.286122902914987	0.729194990751066	0.27556745095678	0.199335494617809	0.26523878689279	0.0848687711339349	0.226206044935027	0.279920349686442	0.341372294714219	0.226206044935027	2.84280453485473e-05	0.0585894753885676	0.307909876180653	0.00190036772552827	0.0512655897864915	0.174519008130059	0.0708943175492231	0.688103943860458	0.0240031912007137	0.245265000730777	0.778346071917952	0.0415214944103185	0.27556745095678	0.745609480980708	0.144586301303347	0.0306758950616401
Dorea longicatena	Dorea longicatena	0.15173503571673	0.00952876116769864	0.217020225759977	0.000785441677853611	0.0168314561868934	0.00161476898606993	0.0886004157284614	0.0331699010901058	0.00161476898606993	0.0240031912007137	0.0201854985098541	5.9978574465377e-05	0.102008083962313	0.470531995381542	0.0102451939411279	0.1908358740045	0.0260968910527031	0.000259811849861481	0.0153173290532817	0.00567052878802927	0.0283196712957601	0.0800193759202747	0.00344645026182745	0.15173503571673	0.0478559768420606	0.100602631832255	0.0153173290532817	0.00735502885780513	0.0283196712957601	0.00823976871233844	0.00823976871233844	0.0817882263815284	0.0639766697540814	0.0220341909323653	0.00654349014683787	0.00512408169875306	0.0415214944103185	0.0102451939411279	0.0260968910527031	0.0113741986426909	0.0168314561868934	0.269479388463033	0.00222313540999092	0.0240031912007137	0.150934728875414	0.00823976871233844	0.0102451939411279	0.130948069507173	0.0184527180284454	0.00011413359814618
Bacteroides ovatus	Bacteroides ovatus	0.541935885731317	0.0381594755494203	0.159105769412195	0.0240031912007137	0.159105769412195	0.044609296463363	0.352378999454474	0.1908358740045	0.0585894753885676	0.0331699010901058	0.124454791188834	0.100602631832255	0.279020729233724	0.456800852639923	0.541935885731317	0.862898073694971	0.0306758950616401	0.378568669662303	0.106252371759346	0.00270529564613969	0.0153173290532817	0.137657916347729	0.235621003512646	0.044609296463363	0.0478559768420606	0.586823664362704	0.27556745095678	0.296904115688764	0.174519008130059	0.354147641232921	0.0951573665941247	0.490702491434044	0.837187854464164	0.319138785503305	0.0201854985098541	0.0585894753885676	0.96559026891878	0.166699987624945	0.0708943175492231	0.26523878689279	0.0153173290532817	0.656129207444872	0.0415214944103185	0.0848687711339349	0.181721477401602	0.0512655897864915	0.15173503571673	0.648795709784666	0.130948069507173	0.137657916347729
uncultured Collinsella sp.	uncultured Collinsella sp.	0.556737056176831	0.0490488481513114	0.307909876180653	0.0625114832796152	0.27556745095678	0.0358059970520293	0.736495492453547	0.130948069507173	0.15173503571673	0.0848687711339349	0.0125930304960941	0.0512655897864915	0.157480492633392	0.664633161792668	0.199335494617809	0.845930921228779	0.0848687711339349	0.296904115688764	0.174519008130059	0.00156142911092929	0.0848687711339349	0.27556745095678	0.182563978573167	0.174519008130059	0.144586301303347	0.498555985524188	0.245265000730777	0.217020225759977	0.130948069507173	0.391096770941896	0.319138785503305	0.601453777132892	0.948311888497252	0.182563978573167	0.0625114832796152	0.0153173290532817	0.664633161792668	0.429918785032884	0.0283196712957601	0.226206044935027	0.00920177977763475	0.548602518561392	0.00258621483336258	0.1908358740045	0.230002980006252	0.0168314561868934	0.0153173290532817	0.118175957013032	0.089913736302639	0.245265000730777
uncultured Roseburia sp.	uncultured Roseburia sp.	0.26523878689279	0.24928250596238	0.1908358740045	0.0415214944103185	0.602099427786538	0.199335494617809	0.468929536859873	0.0951573665941247	0.366251460583582	0.1908358740045	0.512840943181826	0.137657916347729	0.370632257771717	0.795414501853898	0.26523878689279	0.286122902914987	0.319138785503305	0.0708943175492231	0.0415214944103185	0.279920349686442	0.307909876180653	0.948402225236522	0.416774768899138	0.307909876180653	0.602099427786538	0.541935885731317	0.1908358740045	0.456800852639923	0.443261936450183	0.26523878689279	0.745609480980708	0.259266528676314	0.259266528676314	0.182563978573167	0.0585894753885676	0.1908358740045	0.15173503571673	0.00735502885780513	0.0625114832796152	0.378568669662303	0.15173503571673	0.31824499801822	0.089913736302639	0.208063463695353	0.795062623505012	0.0625114832796152	0.416774768899138	0.762121655996299	0.118175957013032	0.217020225759977
