id	(serum)2-Hydroxyhippuric acid	(serum)Gentisic acid	(serum)Glutamic acid	(serum)Gly-Val	(serum)Hypoxanthine	(serum)Indoline	(serum)Lauric acid	(serum)L-Glutamic acid	(serum)L-Histidine	(serum)Linoleic acid	(serum)L-Methionine sulfoxide	(serum)L-Pyroglutamic acid	(serum)Pantothenic acid	(serum)Uric acid	(serum)α-Linolenic Acid	(serum)(-)-Camphanic acid	(serum)16-Hydroxyhexadecanoic acid	(serum)2-Amino-1,3,4-octadecanetriol	(serum)8Z,11Z,14Z-Eicosatrienoic acid	(serum)Calcitriol	(serum)Choline	(serum)D-(+)-Pipecolinic acid	(serum)Decanoylcarnitine	(serum)Diphenylsulfoxide	(serum)DL-Mandelic acid	(serum)DL-Stachydrine	(serum)Docosahexaenoic Acid	(serum)Hexanoylcarnitine	(serum)Homogentisate	(serum)Kynurenine	(serum)L(+)-Ornithine	(serum)Lauroylcarnitine	(serum)Levothyroxine	(serum)L-Valine	(serum)Methyl indole-3-acetate	(serum)Myristic Acid	(serum)N,N-Dimethyldodecylamine N-oxide	(serum)N,N-Dimethylglycine	(serum)N-Formyl-DL-methionine	(serum)Octanoyl-L-Carnitine	(serum)Oleic acid	(serum)Oleoyl ethanolamide	(serum)Palmitoleic acid	(serum)PC(16:0/0:0)	(serum)Phosphocholine	(serum)raspberry ketone	(serum)Threonine	(serum)Tretinoin	(serum)Ursocholanic Acid	(serum)α-Aspartylphenylalanine
Bifidobacterium adolescentis	-0.0857142857142857	0.811679449913428	-0.257142857142857	0.0857142857142857	0.0857142857142857	0.142857142857143	-0.485714285714286	-0.257142857142857	0.885714285714286	0.542857142857143	0.485714285714286	0.371428571428571	0.260896966043602	0.371428571428571	0.142857142857143	0.485714285714286	0.257142857142857	0.0285714285714286	0.314285714285714	0.142857142857143	-0.428571428571429	-0.257142857142857	-0.485714285714286	-0.771428571428571	0.6	0.0285714285714286	0.542857142857143	-0.314285714285714	0.142857142857143	-0.485714285714286	0.6	-0.142857142857143	-0.371428571428571	-0.257142857142857	-0.142857142857143	0.0857142857142857	-0.714285714285714	-0.142857142857143	0.0285714285714286	-0.485714285714286	-0.0857142857142857	0.314285714285714	-0.0857142857142857	0.714285714285714	0.405839724956714	0.371428571428571	-0.142857142857143	0.428571428571429	-0.428571428571429	-0.0285714285714286
Fusicatenibacter saccharivorans	-0.542857142857143	0.579771035652448	-0.0285714285714286	0.428571428571429	0.657142857142857	0.371428571428571	-0.371428571428571	0.0857142857142857	0.257142857142857	0.0857142857142857	0.371428571428571	0.771428571428571	0.463816828521959	0.257142857142857	0.6	-0.428571428571429	-0.0285714285714286	0.828571428571429	0.6	0.0857142857142857	-0.0857142857142857	-0.6	-0.0857142857142857	-0.0857142857142857	0.257142857142857	0.142857142857143	0.771428571428571	0.142857142857143	-0.314285714285714	-0.371428571428571	-0.0285714285714286	-0.0285714285714286	-0.485714285714286	-0.657142857142857	0.257142857142857	0.142857142857143	0.257142857142857	-0.428571428571429	-0.257142857142857	-0.0857142857142857	0.2	0.6	0.314285714285714	0.6	0.0289885517826224	-0.0857142857142857	-0.371428571428571	0.142857142857143	0.257142857142857	0.142857142857143
Blautia wexlerae	-0.542857142857143	0.579771035652448	-0.0285714285714286	0.428571428571429	0.657142857142857	0.371428571428571	-0.371428571428571	0.0857142857142857	0.257142857142857	0.0857142857142857	0.371428571428571	0.771428571428571	0.463816828521959	0.257142857142857	0.6	-0.428571428571429	-0.0285714285714286	0.828571428571429	0.6	0.0857142857142857	-0.0857142857142857	-0.6	-0.0857142857142857	-0.0857142857142857	0.257142857142857	0.142857142857143	0.771428571428571	0.142857142857143	-0.314285714285714	-0.371428571428571	-0.0285714285714286	-0.0285714285714286	-0.485714285714286	-0.657142857142857	0.257142857142857	0.142857142857143	0.257142857142857	-0.428571428571429	-0.257142857142857	-0.0857142857142857	0.2	0.6	0.314285714285714	0.6	0.0289885517826224	-0.0857142857142857	-0.371428571428571	0.142857142857143	0.257142857142857	0.142857142857143
Lachnospiraceae bacterium	0.2	-0.0579771035652448	-0.657142857142857	-0.485714285714286	0.2	-0.485714285714286	-0.542857142857143	-0.542857142857143	0.0857142857142857	-0.428571428571429	0.6	0.314285714285714	-0.492805380304581	0.0857142857142857	0.0857142857142857	-0.371428571428571	-0.542857142857143	0.771428571428571	-0.371428571428571	-0.0857142857142857	0.371428571428571	-0.371428571428571	-0.257142857142857	-0.142857142857143	0.371428571428571	0.657142857142857	-0.142857142857143	-0.0857142857142857	-0.771428571428571	-0.257142857142857	0.371428571428571	-0.2	-0.314285714285714	0.257142857142857	-0.428571428571429	-0.428571428571429	0.142857142857143	-0.771428571428571	0.428571428571429	-0.257142857142857	-0.542857142857143	-0.371428571428571	-0.314285714285714	-0.257142857142857	-0.492805380304581	0.6	0.485714285714286	0.657142857142857	-0.2	-0.714285714285714
Alistipes onderdonkii	0.142857142857143	0.376851173174092	0.0857142857142857	0.0285714285714286	-0.371428571428571	0.142857142857143	0.0285714285714286	-0.0285714285714286	0.542857142857143	0.6	-0.0857142857142857	-0.257142857142857	0.173931310695735	0.142857142857143	-0.257142857142857	0.771428571428571	0.485714285714286	-0.771428571428571	0.0857142857142857	0.142857142857143	-0.485714285714286	0.314285714285714	-0.2	-0.485714285714286	0.2	-0.314285714285714	0.0857142857142857	-0.257142857142857	0.6	-0.0857142857142857	0.314285714285714	0.0285714285714286	0.142857142857143	0.0285714285714286	-0.0857142857142857	0.142857142857143	-0.771428571428571	0.485714285714286	-0.0285714285714286	-0.2	0.0857142857142857	0.0857142857142857	-0.0857142857142857	0.371428571428571	0.550782483869826	0.0857142857142857	-0.142857142857143	-0.0285714285714286	-0.371428571428571	0.2
Mediterraneibacter faecis	0.142857142857143	0.11595420713049	-0.828571428571429	-0.6	0.314285714285714	-0.314285714285714	-0.714285714285714	-0.6	0.257142857142857	-0.142857142857143	0.485714285714286	0.428571428571429	-0.405839724956714	0.142857142857143	0.142857142857143	-0.314285714285714	-0.257142857142857	0.714285714285714	-0.314285714285714	0.0857142857142857	0.257142857142857	-0.257142857142857	-0.2	-0.0857142857142857	0.6	0.828571428571429	-0.0285714285714286	0.0285714285714286	-0.885714285714286	-0.485714285714286	0.314285714285714	-0.0285714285714286	-0.142857142857143	0.142857142857143	-0.657142857142857	-0.657142857142857	0.0285714285714286	-0.542857142857143	0.314285714285714	-0.2	-0.371428571428571	-0.314285714285714	-0.142857142857143	-0.0857142857142857	-0.202919862478357	0.714285714285714	0.314285714285714	0.6	-0.0857142857142857	-0.771428571428571
Dorea longicatena	0.142857142857143	0.11595420713049	-0.828571428571429	-0.6	0.314285714285714	-0.314285714285714	-0.714285714285714	-0.6	0.257142857142857	-0.142857142857143	0.485714285714286	0.428571428571429	-0.405839724956714	0.142857142857143	0.142857142857143	-0.314285714285714	-0.257142857142857	0.714285714285714	-0.314285714285714	0.0857142857142857	0.257142857142857	-0.257142857142857	-0.2	-0.0857142857142857	0.6	0.828571428571429	-0.0285714285714286	0.0285714285714286	-0.885714285714286	-0.485714285714286	0.314285714285714	-0.0285714285714286	-0.142857142857143	0.142857142857143	-0.657142857142857	-0.657142857142857	0.0285714285714286	-0.542857142857143	0.314285714285714	-0.2	-0.371428571428571	-0.314285714285714	-0.142857142857143	-0.0857142857142857	-0.202919862478357	0.714285714285714	0.314285714285714	0.6	-0.0857142857142857	-0.771428571428571
Bacteroides ovatus	-0.257142857142857	-0.608759587435071	0.142857142857143	0.314285714285714	0.257142857142857	-0.257142857142857	0.428571428571429	0.371428571428571	-0.657142857142857	-0.714285714285714	-0.0285714285714286	0.142857142857143	-0.0579771035652448	-0.6	0.371428571428571	-0.314285714285714	-0.6	0.542857142857143	0.0285714285714286	-0.714285714285714	0.828571428571429	-0.657142857142857	-0.257142857142857	0.142857142857143	-0.542857142857143	-0.257142857142857	-0.2	-0.314285714285714	-0.0285714285714286	0.2	-0.0857142857142857	-0.6	-0.6	0.0857142857142857	0.314285714285714	0.428571428571429	0.542857142857143	-0.6	-0.0857142857142857	-0.257142857142857	-0.314285714285714	0.0285714285714286	-0.0285714285714286	-0.485714285714286	-0.666736691000316	-0.2	0.257142857142857	-0.0857142857142857	0.0285714285714286	0.142857142857143
uncultured Collinsella sp.	-0.0857142857142857	0.753702346348183	0.0285714285714286	-0.0285714285714286	0.0857142857142857	0.6	-0.428571428571429	-0.142857142857143	0.542857142857143	0.771428571428571	-0.0857142857142857	0.142857142857143	0.376851173174092	0.657142857142857	-0.0857142857142857	-0.0285714285714286	0.714285714285714	-0.257142857142857	0.314285714285714	0.828571428571429	-0.885714285714286	0.542857142857143	0.485714285714286	0.142857142857143	0.485714285714286	0.257142857142857	0.542857142857143	0.6	-0.0857142857142857	-0.257142857142857	-0.257142857142857	0.771428571428571	0.6	-0.485714285714286	-0.0857142857142857	-0.371428571428571	-0.2	0.657142857142857	-0.2	0.485714285714286	0.657142857142857	0.314285714285714	0.371428571428571	0.714285714285714	0.753702346348183	-0.0857142857142857	-0.6	-0.142857142857143	0.371428571428571	0.0857142857142857
uncultured Roseburia sp.	-0.485714285714286	0.0289885517826224	-0.142857142857143	0.2	0.714285714285714	0.2	-0.2	0.142857142857143	-0.257142857142857	-0.257142857142857	0.0857142857142857	0.657142857142857	0.202919862478357	-0.0857142857142857	0.6	-0.714285714285714	-0.2	0.942857142857143	0.314285714285714	-0.0857142857142857	0.371428571428571	-0.542857142857143	0.0857142857142857	0.371428571428571	0.0285714285714286	0.314285714285714	0.371428571428571	0.257142857142857	-0.6	-0.257142857142857	-0.314285714285714	-0.0285714285714286	-0.314285714285714	-0.428571428571429	0.0857142857142857	-0.0857142857142857	0.657142857142857	-0.428571428571429	-0.257142857142857	0.0857142857142857	0.142857142857143	0.314285714285714	0.371428571428571	0.0857142857142857	-0.231908414260979	-0.0857142857142857	-0.2	-0.0285714285714286	0.485714285714286	-0.0285714285714286
Alistipes shahii	0.657142857142857	-0.463816828521959	-0.371428571428571	-0.771428571428571	-0.542857142857143	-0.485714285714286	-0.0285714285714286	-0.428571428571429	-0.0857142857142857	-0.0857142857142857	-0.142857142857143	-0.6	-0.666736691000316	-0.0857142857142857	-0.6	0.257142857142857	-0.0285714285714286	-0.542857142857143	-0.771428571428571	0.0857142857142857	0.0857142857142857	0.6	0.0857142857142857	0.0857142857142857	0.0857142857142857	0.314285714285714	-0.771428571428571	-0.0285714285714286	-0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.542857142857143	0.714285714285714	-0.6	-0.542857142857143	-0.257142857142857	0.257142857142857	0.428571428571429	0.0857142857142857	-0.314285714285714	-0.771428571428571	-0.371428571428571	-0.6	-0.0579771035652448	0.428571428571429	0.485714285714286	0.142857142857143	-0.257142857142857	-0.542857142857143
Blautia obeum	-0.231908414260979	0.0882352941176471	-0.231908414260979	-0.144942758913112	0.550782483869826	0.231908414260979	-0.405839724956714	-0.11595420713049	-0.202919862478357	-0.11595420713049	0.0289885517826224	0.463816828521959	0.0294117647058824	0.231908414260979	0.289885517826224	-0.869656553478673	-0.0289885517826224	0.753702346348183	0.0869656553478673	0.376851173174092	0.0289885517826224	-0.0289885517826224	0.492805380304581	0.637748139217693	0.202919862478357	0.637748139217693	0.260896966043602	0.666736691000316	-0.84066800169605	-0.202919862478357	-0.492805380304581	0.463816828521959	0.231908414260979	-0.347862621391469	-0.11595420713049	-0.521793932087204	0.695725242782938	-0.11595420713049	-0.11595420713049	0.492805380304581	0.318874069608847	0.0869656553478673	0.376851173174092	0.0579771035652448	-0.0735294117647059	-0.0289885517826224	-0.231908414260979	-0.0289885517826224	0.666736691000316	-0.260896966043602
Barnesiella intestinihominis	-0.371428571428571	0.202919862478357	0.542857142857143	0.6	-0.0285714285714286	0.542857142857143	0.485714285714286	0.6	0.0857142857142857	0.542857142857143	-0.542857142857143	-0.0857142857142857	0.637748139217693	-0.2	0.142857142857143	0.542857142857143	0.6	-0.657142857142857	0.542857142857143	-0.0857142857142857	-0.257142857142857	0.0857142857142857	-0.0285714285714286	-0.0857142857142857	-0.257142857142857	-0.714285714285714	0.314285714285714	-0.142857142857143	0.828571428571429	0.0285714285714286	-0.2	-0.0285714285714286	0.0285714285714286	-0.371428571428571	0.371428571428571	0.542857142857143	-0.314285714285714	0.657142857142857	-0.542857142857143	-0.0285714285714286	0.485714285714286	0.542857142857143	0.371428571428571	0.428571428571429	0.579771035652448	-0.485714285714286	-0.542857142857143	-0.6	0.0857142857142857	0.771428571428571
Coprococcus comes	0.142857142857143	0.11595420713049	-0.828571428571429	-0.6	0.314285714285714	-0.314285714285714	-0.714285714285714	-0.6	0.257142857142857	-0.142857142857143	0.485714285714286	0.428571428571429	-0.405839724956714	0.142857142857143	0.142857142857143	-0.314285714285714	-0.257142857142857	0.714285714285714	-0.314285714285714	0.0857142857142857	0.257142857142857	-0.257142857142857	-0.2	-0.0857142857142857	0.6	0.828571428571429	-0.0285714285714286	0.0285714285714286	-0.885714285714286	-0.485714285714286	0.314285714285714	-0.0285714285714286	-0.142857142857143	0.142857142857143	-0.657142857142857	-0.657142857142857	0.0285714285714286	-0.542857142857143	0.314285714285714	-0.2	-0.371428571428571	-0.314285714285714	-0.142857142857143	-0.0857142857142857	-0.202919862478357	0.714285714285714	0.314285714285714	0.6	-0.0857142857142857	-0.771428571428571
Ruminococcus sp. AM22-13	0.142857142857143	0.11595420713049	-0.828571428571429	-0.6	0.314285714285714	-0.314285714285714	-0.714285714285714	-0.6	0.257142857142857	-0.142857142857143	0.485714285714286	0.428571428571429	-0.405839724956714	0.142857142857143	0.142857142857143	-0.314285714285714	-0.257142857142857	0.714285714285714	-0.314285714285714	0.0857142857142857	0.257142857142857	-0.257142857142857	-0.2	-0.0857142857142857	0.6	0.828571428571429	-0.0285714285714286	0.0285714285714286	-0.885714285714286	-0.485714285714286	0.314285714285714	-0.0285714285714286	-0.142857142857143	0.142857142857143	-0.657142857142857	-0.657142857142857	0.0285714285714286	-0.542857142857143	0.314285714285714	-0.2	-0.371428571428571	-0.314285714285714	-0.142857142857143	-0.0857142857142857	-0.202919862478357	0.714285714285714	0.314285714285714	0.6	-0.0857142857142857	-0.771428571428571
Clostridiales bacterium	0.257142857142857	0.521793932087204	-0.371428571428571	-0.542857142857143	-0.0857142857142857	0.257142857142857	-0.6	-0.485714285714286	0.542857142857143	0.657142857142857	-0.0285714285714286	-0.0285714285714286	-0.0579771035652448	0.6	-0.314285714285714	0.0285714285714286	0.6	-0.314285714285714	-0.142857142857143	0.828571428571429	-0.714285714285714	0.714285714285714	0.428571428571429	0.142857142857143	0.657142857142857	0.6	0.142857142857143	0.542857142857143	-0.371428571428571	-0.314285714285714	-0.0857142857142857	0.771428571428571	0.771428571428571	-0.0857142857142857	-0.542857142857143	-0.771428571428571	-0.314285714285714	0.6	0.0857142857142857	0.428571428571429	0.371428571428571	-0.142857142857143	0.142857142857143	0.371428571428571	0.637748139217693	0.314285714285714	-0.257142857142857	0.0857142857142857	0.2	-0.371428571428571
Blautia faecis	0.257142857142857	0.608759587435071	-0.142857142857143	-0.314285714285714	-0.257142857142857	0.257142857142857	-0.428571428571429	-0.371428571428571	0.657142857142857	0.714285714285714	0.0285714285714286	-0.142857142857143	0.0579771035652448	0.6	-0.371428571428571	0.314285714285714	0.6	-0.542857142857143	-0.0285714285714286	0.714285714285714	-0.828571428571429	0.657142857142857	0.257142857142857	-0.142857142857143	0.542857142857143	0.257142857142857	0.2	0.314285714285714	0.0285714285714286	-0.2	0.0857142857142857	0.6	0.6	-0.0857142857142857	-0.314285714285714	-0.428571428571429	-0.542857142857143	0.6	0.0857142857142857	0.257142857142857	0.314285714285714	-0.0285714285714286	0.0285714285714286	0.485714285714286	0.666736691000316	0.2	-0.257142857142857	0.0857142857142857	-0.0285714285714286	-0.142857142857143
Bacteroides finegoldii	0.542857142857143	-0.318874069608847	-0.428571428571429	-0.428571428571429	-0.485714285714286	-0.828571428571429	-0.0285714285714286	-0.428571428571429	0.2	-0.371428571428571	0.485714285714286	-0.314285714285714	-0.637748139217693	-0.257142857142857	-0.314285714285714	0.6	-0.542857142857143	-0.142857142857143	-0.6	-0.542857142857143	0.428571428571429	-0.257142857142857	-0.771428571428571	-0.771428571428571	0.0857142857142857	-0.0285714285714286	-0.6	-0.828571428571429	0.142857142857143	0.0285714285714286	0.885714285714286	-0.714285714285714	-0.485714285714286	0.771428571428571	-0.371428571428571	0.0857142857142857	-0.6	-0.6	0.6	-0.771428571428571	-0.942857142857143	-0.6	-0.771428571428571	-0.485714285714286	-0.463816828521959	0.657142857142857	0.828571428571429	0.657142857142857	-0.942857142857143	-0.485714285714286
Ruminococcus sp. AM40-10AC	-0.542857142857143	0.579771035652448	-0.0285714285714286	0.428571428571429	0.657142857142857	0.371428571428571	-0.371428571428571	0.0857142857142857	0.257142857142857	0.0857142857142857	0.371428571428571	0.771428571428571	0.463816828521959	0.257142857142857	0.6	-0.428571428571429	-0.0285714285714286	0.828571428571429	0.6	0.0857142857142857	-0.0857142857142857	-0.6	-0.0857142857142857	-0.0857142857142857	0.257142857142857	0.142857142857143	0.771428571428571	0.142857142857143	-0.314285714285714	-0.371428571428571	-0.0285714285714286	-0.0285714285714286	-0.485714285714286	-0.657142857142857	0.257142857142857	0.142857142857143	0.257142857142857	-0.428571428571429	-0.257142857142857	-0.0857142857142857	0.2	0.6	0.314285714285714	0.6	0.0289885517826224	-0.0857142857142857	-0.371428571428571	0.142857142857143	0.257142857142857	0.142857142857143
Agathobaculum butyriciproducens	-0.314285714285714	-0.11595420713049	-0.0285714285714286	0.0857142857142857	0.542857142857143	0.142857142857143	-0.142857142857143	0.0857142857142857	-0.428571428571429	-0.371428571428571	0.0285714285714286	0.428571428571429	0.0579771035652448	0.0285714285714286	0.371428571428571	-0.885714285714286	-0.257142857142857	0.828571428571429	0.142857142857143	0.0857142857142857	0.257142857142857	-0.257142857142857	0.371428571428571	0.6	-0.0857142857142857	0.371428571428571	0.2	0.485714285714286	-0.657142857142857	-0.0285714285714286	-0.485714285714286	0.2	-0.0285714285714286	-0.314285714285714	0.142857142857143	-0.2	0.828571428571429	-0.314285714285714	-0.142857142857143	0.371428571428571	0.2	0.142857142857143	0.314285714285714	-0.0857142857142857	-0.318874069608847	-0.2	-0.142857142857143	-0.0857142857142857	0.6	-0.0857142857142857
Alistipes communis	0.6	0.202919862478357	-0.0857142857142857	-0.542857142857143	-0.6	-0.0857142857142857	-0.257142857142857	-0.485714285714286	0.371428571428571	0.371428571428571	0.0285714285714286	-0.542857142857143	-0.318874069608847	0.542857142857143	-0.714285714285714	0.257142857142857	0.314285714285714	-0.714285714285714	-0.428571428571429	0.657142857142857	-0.714285714285714	0.885714285714286	0.371428571428571	-0.0285714285714286	0.314285714285714	0.257142857142857	-0.257142857142857	0.314285714285714	0.0285714285714286	0.142857142857143	0.0857142857142857	0.6	0.771428571428571	0.314285714285714	-0.314285714285714	-0.485714285714286	-0.428571428571429	0.542857142857143	0.371428571428571	0.371428571428571	0.0857142857142857	-0.428571428571429	-0.257142857142857	0.0285714285714286	0.347862621391469	0.2	0.0857142857142857	0.142857142857143	-0.142857142857143	-0.314285714285714
[Ruminococcus] torques	0.6	-0.376851173174092	0.142857142857143	-0.371428571428571	-0.771428571428571	-0.314285714285714	0.314285714285714	-0.142857142857143	-0.0857142857142857	0.0285714285714286	-0.257142857142857	-0.828571428571429	-0.405839724956714	-0.0285714285714286	-0.714285714285714	0.485714285714286	0.0857142857142857	-0.942857142857143	-0.542857142857143	0.0857142857142857	-0.2	0.714285714285714	0.142857142857143	-0.0285714285714286	-0.2	-0.2	-0.657142857142857	-0.0857142857142857	0.428571428571429	0.428571428571429	0.0857142857142857	0.142857142857143	0.542857142857143	0.6	-0.142857142857143	-0.0857142857142857	-0.371428571428571	0.485714285714286	0.314285714285714	0.142857142857143	-0.142857142857143	-0.542857142857143	-0.371428571428571	-0.428571428571429	0.0579771035652448	0.0285714285714286	0.314285714285714	-0.0857142857142857	-0.314285714285714	-0.0857142857142857
Odoribacter splanchnicus	0.657142857142857	-0.550782483869826	0.314285714285714	-0.257142857142857	-0.885714285714286	-0.485714285714286	0.485714285714286	-0.0857142857142857	-0.257142857142857	-0.257142857142857	-0.142857142857143	-0.942857142857143	-0.492805380304581	-0.0857142857142857	-0.771428571428571	0.428571428571429	-0.2	-0.885714285714286	-0.6	-0.0857142857142857	-0.0857142857142857	0.6	0.0857142857142857	-0.0857142857142857	-0.428571428571429	-0.371428571428571	-0.771428571428571	-0.2	0.542857142857143	0.657142857142857	0.142857142857143	-0.0285714285714286	0.371428571428571	0.714285714285714	0.0857142857142857	0.142857142857143	-0.257142857142857	0.257142857142857	0.428571428571429	0.0857142857142857	-0.314285714285714	-0.6	-0.542857142857143	-0.6	-0.231908414260979	-0.0857142857142857	0.485714285714286	-0.0285714285714286	-0.428571428571429	-0.0285714285714286
Bacteroides sp. M10	-0.257142857142857	-0.608759587435071	0.142857142857143	0.314285714285714	0.257142857142857	-0.257142857142857	0.428571428571429	0.371428571428571	-0.657142857142857	-0.714285714285714	-0.0285714285714286	0.142857142857143	-0.0579771035652448	-0.6	0.371428571428571	-0.314285714285714	-0.6	0.542857142857143	0.0285714285714286	-0.714285714285714	0.828571428571429	-0.657142857142857	-0.257142857142857	0.142857142857143	-0.542857142857143	-0.257142857142857	-0.2	-0.314285714285714	-0.0285714285714286	0.2	-0.0857142857142857	-0.6	-0.6	0.0857142857142857	0.314285714285714	0.428571428571429	0.542857142857143	-0.6	-0.0857142857142857	-0.257142857142857	-0.314285714285714	0.0285714285714286	-0.0285714285714286	-0.485714285714286	-0.666736691000316	-0.2	0.257142857142857	-0.0857142857142857	0.0285714285714286	0.142857142857143
Firmicutes bacterium OM04-13BH	-0.371428571428571	0.231908414260979	-0.314285714285714	0.0857142857142857	0.657142857142857	0.0857142857142857	-0.428571428571429	-0.0857142857142857	0.0285714285714286	-0.2	0.371428571428571	0.714285714285714	0.11595420713049	0.0857142857142857	0.542857142857143	-0.6	-0.257142857142857	1	0.257142857142857	-0.0285714285714286	0.257142857142857	-0.6	-0.0857142857142857	0.0857142857142857	0.257142857142857	0.428571428571429	0.428571428571429	0.142857142857143	-0.657142857142857	-0.371428571428571	-0.0285714285714286	-0.0857142857142857	-0.428571428571429	-0.371428571428571	-0.0285714285714286	-0.142857142857143	0.428571428571429	-0.6	-0.0857142857142857	-0.0857142857142857	-0.0285714285714286	0.257142857142857	0.2	0.2	-0.231908414260979	0.142857142857143	-0.0857142857142857	0.257142857142857	0.257142857142857	-0.2
uncultured Solobacterium sp.	0.0857142857142857	-0.289885517826224	-0.428571428571429	-0.142857142857143	0.0857142857142857	-0.6	-0.0857142857142857	-0.2	-0.0285714285714286	-0.542857142857143	0.485714285714286	0.2	-0.376851173174092	-0.371428571428571	0.2	0.0857142857142857	-0.657142857142857	0.542857142857143	-0.257142857142857	-0.657142857142857	0.714285714285714	-0.714285714285714	-0.714285714285714	-0.485714285714286	0.0285714285714286	0.0857142857142857	-0.257142857142857	-0.657142857142857	-0.2	-0.142857142857143	0.6	-0.771428571428571	-0.771428571428571	0.371428571428571	-0.2	0.142857142857143	-0.0857142857142857	-0.885714285714286	0.314285714285714	-0.714285714285714	-0.771428571428571	-0.257142857142857	-0.428571428571429	-0.371428571428571	-0.608759587435071	0.485714285714286	0.6	0.542857142857143	-0.542857142857143	-0.371428571428571
Ruminococcus bicirculans	0.0285714285714286	0.666736691000316	-0.2	-0.257142857142857	0.0285714285714286	0.485714285714286	-0.485714285714286	-0.257142857142857	0.6	0.828571428571429	-0.142857142857143	0.0857142857142857	0.231908414260979	0.542857142857143	-0.142857142857143	0.142857142857143	0.771428571428571	-0.371428571428571	0.142857142857143	0.771428571428571	-0.771428571428571	0.6	0.371428571428571	0.0857142857142857	0.6	0.371428571428571	0.371428571428571	0.485714285714286	-0.142857142857143	-0.371428571428571	-0.142857142857143	0.714285714285714	0.657142857142857	-0.314285714285714	-0.371428571428571	-0.542857142857143	-0.371428571428571	0.714285714285714	-0.142857142857143	0.371428571428571	0.542857142857143	0.142857142857143	0.314285714285714	0.6	0.811679449913428	0.142857142857143	-0.485714285714286	-0.0857142857142857	0.257142857142857	-0.0857142857142857
Blautia faecicola	0.314285714285714	0.231908414260979	-0.942857142857143	-0.771428571428571	0.142857142857143	-0.371428571428571	-0.828571428571429	-0.771428571428571	0.485714285714286	0.0285714285714286	0.542857142857143	0.314285714285714	-0.492805380304581	0.257142857142857	-0.0285714285714286	-0.0857142857142857	-0.142857142857143	0.485714285714286	-0.428571428571429	0.2	0.0857142857142857	-0.0857142857142857	-0.257142857142857	-0.257142857142857	0.771428571428571	0.885714285714286	-0.0857142857142857	-0.0285714285714286	-0.828571428571429	-0.542857142857143	0.485714285714286	0.0285714285714286	-0.0285714285714286	0.257142857142857	-0.828571428571429	-0.771428571428571	-0.257142857142857	-0.428571428571429	0.428571428571429	-0.257142857142857	-0.428571428571429	-0.428571428571429	-0.257142857142857	-0.0285714285714286	-0.0579771035652448	0.885714285714286	0.371428571428571	0.714285714285714	-0.257142857142857	-0.885714285714286
Bacteroides caecimuris	-0.714285714285714	-0.144942758913112	0.0285714285714286	0.6	0.657142857142857	0.2	0.314285714285714	0.6	-0.257142857142857	-0.142857142857143	-0.2	0.6	0.463816828521959	-0.714285714285714	0.828571428571429	0.0285714285714286	-0.0857142857142857	0.542857142857143	0.542857142857143	-0.771428571428571	0.771428571428571	-0.942857142857143	-0.542857142857143	-0.0857142857142857	-0.257142857142857	-0.371428571428571	0.314285714285714	-0.485714285714286	0.142857142857143	-0.314285714285714	-0.0285714285714286	-0.714285714285714	-0.828571428571429	-0.371428571428571	0.2	0.542857142857143	0.2	-0.371428571428571	-0.542857142857143	-0.542857142857143	-0.0285714285714286	0.542857142857143	0.371428571428571	0.0857142857142857	-0.11595420713049	-0.142857142857143	-0.2	-0.257142857142857	0.0857142857142857	0.428571428571429
Blautia luti	-0.142857142857143	0.463816828521959	-0.542857142857143	-0.257142857142857	0.542857142857143	0.0857142857142857	-0.771428571428571	-0.428571428571429	0.314285714285714	0.0285714285714286	0.485714285714286	0.657142857142857	-0.0289885517826224	0.428571428571429	0.314285714285714	-0.6	-0.0857142857142857	0.885714285714286	0.0857142857142857	0.371428571428571	-0.0857142857142857	-0.257142857142857	0.0857142857142857	0.0857142857142857	0.6	0.771428571428571	0.428571428571429	0.371428571428571	-0.885714285714286	-0.485714285714286	0.0285714285714286	0.257142857142857	-0.0857142857142857	-0.314285714285714	-0.314285714285714	-0.542857142857143	0.257142857142857	-0.428571428571429	0.0857142857142857	0.0857142857142857	0.0285714285714286	0.0857142857142857	0.142857142857143	0.314285714285714	-0.0289885517826224	0.371428571428571	-0.0857142857142857	0.428571428571429	0.257142857142857	-0.485714285714286
