id	(serum)2-Hydroxyhippuric acid	(serum)Gentisic acid	(serum)Glutamic acid	(serum)Gly-Val	(serum)Hypoxanthine	(serum)Indoline	(serum)Lauric acid	(serum)L-Glutamic acid	(serum)L-Histidine	(serum)Linoleic acid	(serum)L-Methionine sulfoxide	(serum)L-Pyroglutamic acid	(serum)Pantothenic acid	(serum)Uric acid	(serum)α-Linolenic Acid	(serum)(-)-Camphanic acid	(serum)16-Hydroxyhexadecanoic acid	(serum)2-Amino-1,3,4-octadecanetriol	(serum)8Z,11Z,14Z-Eicosatrienoic acid	(serum)Calcitriol	(serum)Choline	(serum)D-(+)-Pipecolinic acid	(serum)Decanoylcarnitine	(serum)Diphenylsulfoxide	(serum)DL-Mandelic acid	(serum)DL-Stachydrine	(serum)Docosahexaenoic Acid	(serum)Hexanoylcarnitine	(serum)Homogentisate	(serum)Kynurenine	(serum)L(+)-Ornithine	(serum)Lauroylcarnitine	(serum)Levothyroxine	(serum)L-Valine	(serum)Methyl indole-3-acetate	(serum)Myristic Acid	(serum)N,N-Dimethyldodecylamine N-oxide	(serum)N,N-Dimethylglycine	(serum)N-Formyl-DL-methionine	(serum)Octanoyl-L-Carnitine	(serum)Oleic acid	(serum)Oleoyl ethanolamide	(serum)Palmitoleic acid	(serum)PC(16:0/0:0)	(serum)Phosphocholine	(serum)raspberry ketone	(serum)Threonine	(serum)Tretinoin	(serum)Ursocholanic Acid	(serum)α-Aspartylphenylalanine
Bifidobacterium adolescentis	Bifidobacterium adolescentis	0.871743440233236	0.0498575851013404	0.622787172011662	0.871743440233236	0.871743440233236	0.787172011661807	0.328723032069971	0.622787172011662	0.0188454810495627	0.265702623906705	0.328723032069971	0.468478134110787	0.617533817425997	0.468478134110787	0.787172011661807	0.328723032069971	0.622787172011662	0.957154518950437	0.544093294460641	0.787172011661807	0.396501457725947	0.622787172011662	0.328723032069971	0.072396501457726	0.208	0.957154518950437	0.265702623906705	0.544093294460641	0.787172011661807	0.328723032069971	0.208	0.787172011661807	0.468478134110787	0.622787172011662	0.787172011661807	0.871743440233236	0.110787172011662	0.787172011661807	0.957154518950437	0.328723032069971	0.871743440233236	0.544093294460641	0.871743440233236	0.110787172011662	0.424662507561364	0.468478134110787	0.787172011661807	0.396501457725947	0.396501457725947	0.957154518950437
Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans	0.265702623906705	0.227783956715016	0.957154518950437	0.396501457725947	0.156174927113702	0.468478134110787	0.468478134110787	0.871743440233236	0.622787172011662	0.871743440233236	0.468478134110787	0.072396501457726	0.354164298436231	0.622787172011662	0.208	0.396501457725947	0.957154518950437	0.0415626822157435	0.208	0.871743440233236	0.871743440233236	0.208	0.871743440233236	0.871743440233236	0.622787172011662	0.787172011661807	0.072396501457726	0.787172011661807	0.544093294460641	0.468478134110787	0.957154518950437	0.957154518950437	0.328723032069971	0.156174927113702	0.622787172011662	0.787172011661807	0.622787172011662	0.396501457725947	0.622787172011662	0.871743440233236	0.704	0.208	0.544093294460641	0.208	0.956529352389841	0.871743440233236	0.468478134110787	0.787172011661807	0.622787172011662	0.787172011661807
Blautia wexlerae	Blautia wexlerae	0.265702623906705	0.227783956715016	0.957154518950437	0.396501457725947	0.156174927113702	0.468478134110787	0.468478134110787	0.871743440233236	0.622787172011662	0.871743440233236	0.468478134110787	0.072396501457726	0.354164298436231	0.622787172011662	0.208	0.396501457725947	0.957154518950437	0.0415626822157435	0.208	0.871743440233236	0.871743440233236	0.208	0.871743440233236	0.871743440233236	0.622787172011662	0.787172011661807	0.072396501457726	0.787172011661807	0.544093294460641	0.468478134110787	0.957154518950437	0.957154518950437	0.328723032069971	0.156174927113702	0.622787172011662	0.787172011661807	0.622787172011662	0.396501457725947	0.622787172011662	0.871743440233236	0.704	0.208	0.544093294460641	0.208	0.956529352389841	0.871743440233236	0.468478134110787	0.787172011661807	0.622787172011662	0.787172011661807
Lachnospiraceae bacterium	Lachnospiraceae bacterium	0.704	0.913131785162326	0.156174927113702	0.328723032069971	0.704	0.328723032069971	0.265702623906705	0.265702623906705	0.871743440233236	0.396501457725947	0.208	0.544093294460641	0.320632582865827	0.871743440233236	0.871743440233236	0.468478134110787	0.265702623906705	0.072396501457726	0.468478134110787	0.871743440233236	0.468478134110787	0.468478134110787	0.622787172011662	0.787172011661807	0.468478134110787	0.156174927113702	0.787172011661807	0.871743440233236	0.072396501457726	0.622787172011662	0.468478134110787	0.704	0.544093294460641	0.622787172011662	0.396501457725947	0.396501457725947	0.787172011661807	0.072396501457726	0.396501457725947	0.622787172011662	0.265702623906705	0.468478134110787	0.544093294460641	0.622787172011662	0.320632582865827	0.208	0.328723032069971	0.156174927113702	0.704	0.110787172011662
Alistipes onderdonkii	Alistipes onderdonkii	0.787172011661807	0.461482840350805	0.871743440233236	0.957154518950437	0.468478134110787	0.787172011661807	0.957154518950437	0.957154518950437	0.265702623906705	0.208	0.871743440233236	0.622787172011662	0.741733927731628	0.787172011661807	0.622787172011662	0.072396501457726	0.328723032069971	0.072396501457726	0.871743440233236	0.787172011661807	0.328723032069971	0.544093294460641	0.704	0.328723032069971	0.704	0.544093294460641	0.871743440233236	0.622787172011662	0.208	0.871743440233236	0.544093294460641	0.957154518950437	0.787172011661807	0.957154518950437	0.871743440233236	0.787172011661807	0.072396501457726	0.328723032069971	0.957154518950437	0.704	0.871743440233236	0.871743440233236	0.871743440233236	0.468478134110787	0.257369331622575	0.871743440233236	0.787172011661807	0.957154518950437	0.468478134110787	0.704
Mediterraneibacter faecis	Mediterraneibacter faecis	0.787172011661807	0.826848213385815	0.0415626822157435	0.208	0.544093294460641	0.544093294460641	0.110787172011662	0.208	0.622787172011662	0.787172011661807	0.328723032069971	0.396501457725947	0.424662507561364	0.787172011661807	0.787172011661807	0.544093294460641	0.622787172011662	0.110787172011662	0.544093294460641	0.871743440233236	0.622787172011662	0.622787172011662	0.704	0.871743440233236	0.208	0.0415626822157435	0.957154518950437	0.957154518950437	0.0188454810495627	0.328723032069971	0.544093294460641	0.957154518950437	0.787172011661807	0.787172011661807	0.156174927113702	0.156174927113702	0.957154518950437	0.265702623906705	0.544093294460641	0.704	0.468478134110787	0.544093294460641	0.787172011661807	0.871743440233236	0.699797968157019	0.110787172011662	0.544093294460641	0.208	0.871743440233236	0.072396501457726
Dorea longicatena	Dorea longicatena	0.787172011661807	0.826848213385815	0.0415626822157435	0.208	0.544093294460641	0.544093294460641	0.110787172011662	0.208	0.622787172011662	0.787172011661807	0.328723032069971	0.396501457725947	0.424662507561364	0.787172011661807	0.787172011661807	0.544093294460641	0.622787172011662	0.110787172011662	0.544093294460641	0.871743440233236	0.622787172011662	0.622787172011662	0.704	0.871743440233236	0.208	0.0415626822157435	0.957154518950437	0.957154518950437	0.0188454810495627	0.328723032069971	0.544093294460641	0.957154518950437	0.787172011661807	0.787172011661807	0.156174927113702	0.156174927113702	0.957154518950437	0.265702623906705	0.544093294460641	0.704	0.468478134110787	0.544093294460641	0.787172011661807	0.871743440233236	0.699797968157019	0.110787172011662	0.544093294460641	0.208	0.871743440233236	0.072396501457726
Bacteroides ovatus	Bacteroides ovatus	0.622787172011662	0.199660189460363	0.787172011661807	0.544093294460641	0.622787172011662	0.622787172011662	0.396501457725947	0.468478134110787	0.156174927113702	0.110787172011662	0.957154518950437	0.787172011661807	0.913131785162326	0.208	0.468478134110787	0.544093294460641	0.208	0.265702623906705	0.957154518950437	0.110787172011662	0.0415626822157435	0.156174927113702	0.622787172011662	0.787172011661807	0.265702623906705	0.622787172011662	0.704	0.544093294460641	0.957154518950437	0.704	0.871743440233236	0.208	0.208	0.871743440233236	0.544093294460641	0.396501457725947	0.265702623906705	0.208	0.871743440233236	0.622787172011662	0.544093294460641	0.957154518950437	0.957154518950437	0.328723032069971	0.148089799440353	0.704	0.622787172011662	0.871743440233236	0.957154518950437	0.787172011661807
uncultured Collinsella sp.	uncultured Collinsella sp.	0.871743440233236	0.0835232813732599	0.957154518950437	0.957154518950437	0.871743440233236	0.208	0.396501457725947	0.787172011661807	0.265702623906705	0.072396501457726	0.871743440233236	0.787172011661807	0.461482840350805	0.156174927113702	0.871743440233236	0.957154518950437	0.110787172011662	0.622787172011662	0.544093294460641	0.0415626822157435	0.0188454810495627	0.265702623906705	0.328723032069971	0.787172011661807	0.328723032069971	0.622787172011662	0.265702623906705	0.208	0.871743440233236	0.622787172011662	0.622787172011662	0.072396501457726	0.208	0.328723032069971	0.871743440233236	0.468478134110787	0.704	0.156174927113702	0.704	0.328723032069971	0.156174927113702	0.544093294460641	0.468478134110787	0.110787172011662	0.0835232813732599	0.871743440233236	0.208	0.787172011661807	0.468478134110787	0.871743440233236
uncultured Roseburia sp.	uncultured Roseburia sp.	0.328723032069971	0.956529352389841	0.787172011661807	0.704	0.110787172011662	0.704	0.704	0.787172011661807	0.622787172011662	0.622787172011662	0.871743440233236	0.156174927113702	0.699797968157019	0.871743440233236	0.208	0.110787172011662	0.704	0.00480466472303207	0.544093294460641	0.871743440233236	0.468478134110787	0.265702623906705	0.871743440233236	0.468478134110787	0.957154518950437	0.544093294460641	0.468478134110787	0.622787172011662	0.208	0.622787172011662	0.544093294460641	0.957154518950437	0.544093294460641	0.396501457725947	0.871743440233236	0.871743440233236	0.156174927113702	0.396501457725947	0.622787172011662	0.871743440233236	0.787172011661807	0.544093294460641	0.468478134110787	0.871743440233236	0.658373571260927	0.871743440233236	0.704	0.957154518950437	0.328723032069971	0.957154518950437
