id	(serum)2-Hydroxyhippuric acid	(serum)Gentisic acid	(serum)Glutamic acid	(serum)Gly-Val	(serum)Hypoxanthine	(serum)Indoline	(serum)Lauric acid	(serum)L-Glutamic acid	(serum)L-Histidine	(serum)Linoleic acid	(serum)L-Methionine sulfoxide	(serum)L-Pyroglutamic acid	(serum)Pantothenic acid	(serum)Uric acid	(serum)α-Linolenic Acid	(serum)(-)-Camphanic acid	(serum)16-Hydroxyhexadecanoic acid	(serum)2-Amino-1,3,4-octadecanetriol	(serum)8Z,11Z,14Z-Eicosatrienoic acid	(serum)Calcitriol	(serum)Choline	(serum)D-(+)-Pipecolinic acid	(serum)Decanoylcarnitine	(serum)Diphenylsulfoxide	(serum)DL-Mandelic acid	(serum)DL-Stachydrine	(serum)Docosahexaenoic Acid	(serum)Hexanoylcarnitine	(serum)Homogentisate	(serum)Kynurenine	(serum)L(+)-Ornithine	(serum)Lauroylcarnitine	(serum)Levothyroxine	(serum)L-Valine	(serum)Methyl indole-3-acetate	(serum)Myristic Acid	(serum)N,N-Dimethyldodecylamine N-oxide	(serum)N,N-Dimethylglycine	(serum)N-Formyl-DL-methionine	(serum)Octanoyl-L-Carnitine	(serum)Oleic acid	(serum)Oleoyl ethanolamide	(serum)Palmitoleic acid	(serum)PC(16:0/0:0)	(serum)Phosphocholine	(serum)raspberry ketone	(serum)Threonine	(serum)Tretinoin	(serum)Ursocholanic Acid	(serum)α-Aspartylphenylalanine
(faecal)Taurine	0.257142857142857	0.0857142857142857	-0.6	0.257142857142857	0.0857142857142857	-0.257142857142857	0.0579771035652448	-0.0857142857142857	0.0285714285714286	-0.257142857142857	-0.0857142857142857	0.428571428571429	0.0285714285714286	0.314285714285714	0.371428571428571	0.0857142857142857	-0.142857142857143	0.0857142857142857	-0.2	0.231908414260979	0.257142857142857	-0.0285714285714286	-0.542857142857143	0.6	0.2	-0.257142857142857	-0.0857142857142857	-0.371428571428571	0.0285714285714286	-0.428571428571429	0.257142857142857	0.492805380304581	-0.0857142857142857	-0.428571428571429	0.0285714285714286	0.2	0.0857142857142857	0.657142857142857	0.428571428571429	-0.428571428571429	-0.142857142857143	-0.637748139217693	0.0857142857142857	-0.428571428571429	0.142857142857143	0.0285714285714286	-0.485714285714286	-0.828571428571429	-0.0857142857142857	-0.257142857142857
(faecal)Lithocholic Acid	0.771428571428571	-0.542857142857143	-0.0285714285714286	-0.828571428571429	0.771428571428571	-0.2	0.724713794565561	-0.257142857142857	-0.314285714285714	0.6	0.142857142857143	0.142857142857143	-0.657142857142857	-0.885714285714286	0.0857142857142857	0.828571428571429	-0.542857142857143	-0.2	-0.0285714285714286	0.521793932087204	0.657142857142857	-0.714285714285714	0.828571428571429	-0.6	-0.714285714285714	0.828571428571429	-0.428571428571429	0.771428571428571	0.485714285714286	-0.0857142857142857	-0.6	0.579771035652448	0.542857142857143	-0.0857142857142857	-0.885714285714286	0.657142857142857	-0.2	-0.485714285714286	-0.6	0.657142857142857	0.542857142857143	-0.0579771035652448	0.828571428571429	-0.714285714285714	-0.942857142857143	-0.885714285714286	0.142857142857143	0.0285714285714286	-0.6	0.257142857142857
(faecal)Biliverdin	0.771428571428571	-0.485714285714286	-0.142857142857143	-0.371428571428571	0.771428571428571	-0.485714285714286	0.985610760609162	-0.257142857142857	-0.428571428571429	0.428571428571429	-0.314285714285714	0.371428571428571	-0.428571428571429	-0.428571428571429	0.0285714285714286	0.885714285714286	-0.2	-0.485714285714286	-0.257142857142857	0.927633657043918	0.542857142857143	-0.6	0.6	-0.257142857142857	-0.371428571428571	0.885714285714286	-0.771428571428571	0.657142857142857	0.485714285714286	-0.0857142857142857	-0.428571428571429	0.695725242782938	0.828571428571429	-0.0857142857142857	-0.885714285714286	1	-0.485714285714286	-0.142857142857143	-0.6	0.542857142857143	0.771428571428571	-0.492805380304581	0.885714285714286	-0.828571428571429	-0.542857142857143	-0.885714285714286	-0.0285714285714286	-0.0857142857142857	-0.428571428571429	0.428571428571429
(faecal)Cholic acid	-0.485714285714286	0.771428571428571	-0.257142857142857	0.428571428571429	-0.485714285714286	-0.142857142857143	-0.695725242782938	0.428571428571429	0.0285714285714286	-0.828571428571429	-0.0857142857142857	-0.314285714285714	0.714285714285714	0.828571428571429	-0.0857142857142857	-0.6	0.142857142857143	0.0857142857142857	-0.0285714285714286	-0.579771035652448	-0.485714285714286	0.314285714285714	-1	0.428571428571429	0.771428571428571	-0.828571428571429	0.371428571428571	-0.942857142857143	-0.657142857142857	0.142857142857143	0.257142857142857	-0.405839724956714	-0.542857142857143	0.142857142857143	0.714285714285714	-0.6	0.0857142857142857	0.771428571428571	0.542857142857143	-0.942857142857143	-0.828571428571429	-0.202919862478357	-0.6	0.428571428571429	0.714285714285714	0.714285714285714	-0.371428571428571	-0.314285714285714	0.6	-0.142857142857143
(faecal)Gentisic acid	0.885714285714286	-0.657142857142857	-0.657142857142857	-0.371428571428571	0.371428571428571	0.142857142857143	0.492805380304581	-0.771428571428571	0.257142857142857	0.714285714285714	0.0285714285714286	0.657142857142857	-0.771428571428571	-0.771428571428571	0.771428571428571	0.714285714285714	-0.771428571428571	0.371428571428571	-0.428571428571429	0.637748139217693	1	-0.257142857142857	0.485714285714286	-0.0857142857142857	-0.828571428571429	0.485714285714286	0.0285714285714286	0.428571428571429	0.828571428571429	-0.542857142857143	-0.0857142857142857	0.927633657043918	0.371428571428571	-0.542857142857143	-0.542857142857143	0.542857142857143	0.371428571428571	-0.0285714285714286	-0.142857142857143	0.542857142857143	0.428571428571429	0.0289885517826224	0.714285714285714	-0.828571428571429	-0.828571428571429	-0.542857142857143	-0.428571428571429	-0.6	-0.942857142857143	-0.314285714285714
(faecal)3-Dehydrocholic acid	-0.6	0.314285714285714	0.828571428571429	-0.142857142857143	-0.0857142857142857	-0.0285714285714286	-0.231908414260979	0.6	-0.314285714285714	-0.257142857142857	0.142857142857143	-0.714285714285714	0.371428571428571	0.142857142857143	-0.771428571428571	-0.371428571428571	0.485714285714286	-0.371428571428571	0.485714285714286	-0.521793932087204	-0.714285714285714	-0.0285714285714286	0.142857142857143	-0.428571428571429	0.314285714285714	-0.0285714285714286	-0.0857142857142857	0.0857142857142857	-0.542857142857143	0.6	-0.257142857142857	-0.811679449913428	-0.142857142857143	0.6	0.142857142857143	-0.371428571428571	-0.371428571428571	-0.485714285714286	-0.257142857142857	-0.0285714285714286	-0.142857142857143	0.289885517826224	-0.371428571428571	0.657142857142857	0.257142857142857	0.142857142857143	0.657142857142857	0.885714285714286	0.6	0.428571428571429
(faecal)Bilirubin	-0.2	-0.371428571428571	0.657142857142857	-0.142857142857143	-0.0285714285714286	0.371428571428571	0.11595420713049	-0.0857142857142857	0.0857142857142857	0.485714285714286	0.142857142857143	-0.142857142857143	-0.257142857142857	-0.428571428571429	-0.257142857142857	-0.0285714285714286	0.257142857142857	-0.0285714285714286	0.257142857142857	-0.0289885517826224	-0.142857142857143	0.0857142857142857	0.714285714285714	-0.428571428571429	-0.371428571428571	0.371428571428571	-0.0285714285714286	0.6	0.2	0.2	-0.0857142857142857	-0.318874069608847	0.142857142857143	0.2	-0.142857142857143	-0.0285714285714286	-0.0285714285714286	-0.828571428571429	-0.371428571428571	0.657142857142857	0.428571428571429	0.579771035652448	-0.0285714285714286	0.314285714285714	-0.2	-0.142857142857143	0.6	0.771428571428571	-0.0857142857142857	0.142857142857143
(faecal)D-(+)-Proline	-0.485714285714286	0.371428571428571	0.714285714285714	-0.371428571428571	0.0285714285714286	-0.0857142857142857	-0.289885517826224	0.657142857142857	-0.371428571428571	-0.314285714285714	0.314285714285714	-0.771428571428571	0.314285714285714	0.0285714285714286	-0.714285714285714	-0.314285714285714	0.257142857142857	-0.314285714285714	0.542857142857143	-0.637748139217693	-0.6	-0.2	0.0857142857142857	-0.485714285714286	0.257142857142857	-0.0857142857142857	-0.0285714285714286	0.0285714285714286	-0.6	0.542857142857143	-0.371428571428571	-0.724713794565561	-0.257142857142857	0.542857142857143	0.0857142857142857	-0.428571428571429	-0.314285714285714	-0.428571428571429	-0.2	-0.142857142857143	-0.314285714285714	0.231908414260979	-0.314285714285714	0.542857142857143	0.0857142857142857	0.0857142857142857	0.6	0.714285714285714	0.542857142857143	0.371428571428571
(faecal)Indole	0.828571428571429	-0.6	-0.6	-0.0857142857142857	0.314285714285714	-0.0285714285714286	0.695725242782938	-0.771428571428571	0.142857142857143	0.657142857142857	-0.428571428571429	0.657142857142857	-0.542857142857143	-0.485714285714286	0.6	0.771428571428571	-0.485714285714286	0.0857142857142857	-0.657142857142857	0.927633657043918	0.828571428571429	-0.142857142857143	0.485714285714286	-0.0857142857142857	-0.6	0.657142857142857	-0.2	0.428571428571429	0.828571428571429	-0.314285714285714	-0.0857142857142857	0.84066800169605	0.714285714285714	-0.314285714285714	-0.542857142857143	0.771428571428571	0.0857142857142857	0.0857142857142857	-0.371428571428571	0.6	0.657142857142857	-0.0579771035652448	0.771428571428571	-0.771428571428571	-0.542857142857143	-0.542857142857143	-0.485714285714286	-0.371428571428571	-0.771428571428571	-0.0285714285714286
(faecal)Deoxycholic Acid	-0.0857142857142857	0.542857142857143	-0.485714285714286	0.485714285714286	-0.257142857142857	-0.371428571428571	-0.173931310695735	0.142857142857143	-0.0857142857142857	-0.6	-0.542857142857143	-0.0285714285714286	0.6	0.771428571428571	0.0285714285714286	-0.142857142857143	0.0857142857142857	-0.142857142857143	-0.428571428571429	0.0579771035652448	-0.2	0.2	-0.771428571428571	0.371428571428571	0.657142857142857	-0.371428571428571	0.0285714285714286	-0.714285714285714	-0.314285714285714	0.142857142857143	0.142857142857143	-0.0289885517826224	0.0285714285714286	0.142857142857143	0.371428571428571	-0.0285714285714286	-0.142857142857143	0.885714285714286	0.2	-0.657142857142857	-0.371428571428571	-0.405839724956714	-0.142857142857143	0.0285714285714286	0.6	0.371428571428571	-0.6	-0.371428571428571	0.371428571428571	0.0857142857142857
(faecal)Υ-Aminobutyric acid (GABA)	-0.142857142857143	0.942857142857143	-0.257142857142857	-0.0857142857142857	-0.142857142857143	-0.6	-0.318874069608847	0.542857142857143	-0.485714285714286	-0.828571428571429	-0.542857142857143	-0.771428571428571	0.885714285714286	0.657142857142857	-0.428571428571429	-0.0857142857142857	-0.142857142857143	-0.428571428571429	-0.371428571428571	-0.318874069608847	-0.428571428571429	-0.142857142857143	-0.657142857142857	-0.371428571428571	0.771428571428571	-0.257142857142857	0.0857142857142857	-0.771428571428571	-0.714285714285714	0.771428571428571	-0.485714285714286	-0.463816828521959	0.0857142857142857	0.771428571428571	0.314285714285714	-0.257142857142857	-0.428571428571429	0.771428571428571	-0.257142857142857	-0.771428571428571	-0.714285714285714	-0.11595420713049	-0.0857142857142857	0.257142857142857	0.428571428571429	0.314285714285714	-0.485714285714286	0.142857142857143	0.657142857142857	0.542857142857143
(faecal)L-Tyrosine	-0.657142857142857	0.542857142857143	-0.142857142857143	0.485714285714286	-0.828571428571429	0.428571428571429	-0.985610760609162	0.142857142857143	0.485714285714286	-0.485714285714286	0.142857142857143	-0.257142857142857	0.485714285714286	0.542857142857143	0.142857142857143	-0.828571428571429	0.0857142857142857	0.542857142857143	0.0285714285714286	-0.811679449913428	-0.428571428571429	0.657142857142857	-0.771428571428571	0.371428571428571	0.428571428571429	-0.942857142857143	0.828571428571429	-0.828571428571429	-0.428571428571429	0.0285714285714286	0.485714285714286	-0.550782483869826	-0.771428571428571	0.0285714285714286	0.942857142857143	-0.942857142857143	0.542857142857143	0.428571428571429	0.657142857142857	-0.657142857142857	-0.828571428571429	0.405839724956714	-0.828571428571429	0.714285714285714	0.6	0.942857142857143	-0.257142857142857	-0.142857142857143	0.371428571428571	-0.485714285714286
(faecal)Inosine	-0.942857142857143	0.542857142857143	0.714285714285714	0.314285714285714	-0.428571428571429	0.0857142857142857	-0.637748139217693	0.714285714285714	-0.0857142857142857	-0.6	0.257142857142857	-0.6	0.6	0.6	-0.657142857142857	-0.828571428571429	0.714285714285714	-0.142857142857143	0.6	-0.811679449913428	-0.942857142857143	0.314285714285714	-0.428571428571429	0.142857142857143	0.657142857142857	-0.6	0.142857142857143	-0.371428571428571	-0.771428571428571	0.371428571428571	0.2	-0.927633657043918	-0.6	0.371428571428571	0.6	-0.714285714285714	-0.142857142857143	-0.142857142857143	0.314285714285714	-0.485714285714286	-0.485714285714286	0.11595420713049	-0.828571428571429	0.885714285714286	0.714285714285714	0.6	0.542857142857143	0.542857142857143	0.828571428571429	0.0857142857142857
(faecal)Gly-Val	-0.2	-0.428571428571429	-0.0857142857142857	0.257142857142857	-0.542857142857143	0.942857142857143	-0.521793932087204	-0.542857142857143	0.885714285714286	0.485714285714286	0.542857142857143	0.428571428571429	-0.485714285714286	-0.371428571428571	0.657142857142857	-0.428571428571429	-0.142857142857143	0.942857142857143	0.142857142857143	-0.347862621391469	0.257142857142857	0.6	0.0857142857142857	0.371428571428571	-0.542857142857143	-0.428571428571429	0.771428571428571	0.0285714285714286	0.428571428571429	-0.6	0.657142857142857	0.0579771035652448	-0.6	-0.6	0.428571428571429	-0.542857142857143	0.942857142857143	-0.314285714285714	0.6	0.257142857142857	-0.0857142857142857	0.666736691000316	-0.428571428571429	0.257142857142857	-0.142857142857143	0.428571428571429	0.0285714285714286	-0.257142857142857	-0.485714285714286	-0.885714285714286
(faecal)Choline	0.371428571428571	-0.0857142857142857	-0.428571428571429	0.0857142857142857	0.371428571428571	-0.371428571428571	0.318874069608847	-0.0285714285714286	-0.142857142857143	-0.142857142857143	0.0285714285714286	0.485714285714286	-0.142857142857143	0.142857142857143	0.257142857142857	0.257142857142857	-0.0857142857142857	-0.0857142857142857	-0.0285714285714286	0.376851173174092	0.314285714285714	-0.257142857142857	-0.314285714285714	0.542857142857143	0.0857142857142857	-0.0285714285714286	-0.371428571428571	-0.0857142857142857	0.0857142857142857	-0.485714285714286	0.142857142857143	0.608759587435071	0.0285714285714286	-0.485714285714286	-0.257142857142857	0.428571428571429	-0.0857142857142857	0.428571428571429	0.314285714285714	-0.257142857142857	0.0857142857142857	-0.811679449913428	0.257142857142857	-0.6	-0.0285714285714286	-0.257142857142857	-0.257142857142857	-0.771428571428571	-0.142857142857143	-0.142857142857143
(faecal)D-(+)-Pyroglutamic Acid	0.0285714285714286	-0.257142857142857	0.428571428571429	-0.6	0.2	0.257142857142857	0	0.0285714285714286	-0.0285714285714286	0.371428571428571	0.485714285714286	-0.257142857142857	-0.371428571428571	-0.657142857142857	-0.142857142857143	0.0857142857142857	-0.2	0.0857142857142857	0.371428571428571	-0.260896966043602	0.0857142857142857	-0.257142857142857	0.6	-0.542857142857143	-0.485714285714286	0.257142857142857	0.0857142857142857	0.485714285714286	0.0857142857142857	0.0857142857142857	-0.314285714285714	-0.144942758913112	-0.0857142857142857	0.0857142857142857	-0.257142857142857	-0.142857142857143	0.0857142857142857	-0.714285714285714	-0.257142857142857	0.428571428571429	0.0857142857142857	0.463816828521959	0.0857142857142857	0.0857142857142857	-0.542857142857143	-0.257142857142857	0.485714285714286	0.428571428571429	-0.2	0.0285714285714286
(faecal)α-Linolenic Acid	0.6	-0.542857142857143	-0.542857142857143	0.2	0.257142857142857	-0.0285714285714286	0.550782483869826	-0.6	0.2	0.428571428571429	-0.2	0.828571428571429	-0.485714285714286	-0.2	0.6	0.485714285714286	-0.2	0.142857142857143	-0.371428571428571	0.782690898130805	0.657142857142857	-0.0285714285714286	0.142857142857143	0.428571428571429	-0.371428571428571	0.314285714285714	-0.257142857142857	0.257142857142857	0.657142857142857	-0.6	0.257142857142857	0.84066800169605	0.371428571428571	-0.6	-0.371428571428571	0.657142857142857	0.142857142857143	0.2	0.0857142857142857	0.314285714285714	0.542857142857143	-0.405839724956714	0.485714285714286	-0.714285714285714	-0.257142857142857	-0.371428571428571	-0.371428571428571	-0.657142857142857	-0.6	-0.257142857142857
(faecal)L-Glutamic acid	-0.142857142857143	-0.771428571428571	0.6	0.0857142857142857	0.0285714285714286	0.6	0.202919862478357	-0.314285714285714	0.371428571428571	0.714285714285714	0.485714285714286	0.428571428571429	-0.657142857142857	-0.542857142857143	0.0857142857142857	-0.0857142857142857	0.371428571428571	0.257142857142857	0.485714285714286	0.11595420713049	0.0857142857142857	0.2	0.714285714285714	0.142857142857143	-0.6	0.257142857142857	-0.0857142857142857	0.771428571428571	0.485714285714286	-0.428571428571429	0.371428571428571	0.0579771035652448	-0.0857142857142857	-0.428571428571429	-0.2	0.0857142857142857	0.257142857142857	-0.942857142857143	0.0857142857142857	0.771428571428571	0.657142857142857	0.318874069608847	-0.0857142857142857	0.0857142857142857	-0.257142857142857	-0.2	0.714285714285714	0.314285714285714	-0.371428571428571	-0.314285714285714
(faecal)Citrulline	-0.542857142857143	0.942857142857143	0.0857142857142857	0.257142857142857	-0.371428571428571	-0.428571428571429	-0.463816828521959	0.657142857142857	-0.371428571428571	-0.885714285714286	-0.485714285714286	-0.771428571428571	1	0.885714285714286	-0.6	-0.428571428571429	0.314285714285714	-0.428571428571429	-0.142857142857143	-0.463816828521959	-0.771428571428571	0.142857142857143	-0.714285714285714	-0.142857142857143	0.942857142857143	-0.428571428571429	0.0857142857142857	-0.771428571428571	-0.828571428571429	0.771428571428571	-0.2	-0.753702346348183	-0.0857142857142857	0.771428571428571	0.542857142857143	-0.428571428571429	-0.428571428571429	0.6	-0.0857142857142857	-0.771428571428571	-0.657142857142857	-0.0579771035652448	-0.428571428571429	0.6	0.771428571428571	0.542857142857143	-0.2	0.371428571428571	0.885714285714286	0.485714285714286
(faecal)D-Glucuronic Acid	-0.0857142857142857	-0.657142857142857	0.714285714285714	-0.2	0.257142857142857	0.371428571428571	0.289885517826224	-0.0857142857142857	0.0857142857142857	0.6	0.542857142857143	0.2	-0.6	-0.6	-0.142857142857143	0.0285714285714286	0.314285714285714	0.0285714285714286	0.6	0.0579771035652448	0.0285714285714286	-0.0857142857142857	0.771428571428571	-0.0857142857142857	-0.542857142857143	0.371428571428571	-0.257142857142857	0.828571428571429	0.314285714285714	-0.257142857142857	0.0857142857142857	0	-0.0285714285714286	-0.257142857142857	-0.371428571428571	0.142857142857143	0.0285714285714286	-1	-0.0857142857142857	0.714285714285714	0.6	0.202919862478357	0.0285714285714286	0.0285714285714286	-0.371428571428571	-0.371428571428571	0.828571428571429	0.428571428571429	-0.257142857142857	-0.0857142857142857
