id	(serum)2-Hydroxyhippuric acid	(serum)Gentisic acid	(serum)Glutamic acid	(serum)Gly-Val	(serum)Hypoxanthine	(serum)Indoline	(serum)Lauric acid	(serum)L-Glutamic acid	(serum)L-Histidine	(serum)Linoleic acid	(serum)L-Methionine sulfoxide	(serum)L-Pyroglutamic acid	(serum)Pantothenic acid	(serum)Uric acid	(serum)α-Linolenic Acid	(serum)(-)-Camphanic acid	(serum)16-Hydroxyhexadecanoic acid	(serum)2-Amino-1,3,4-octadecanetriol	(serum)8Z,11Z,14Z-Eicosatrienoic acid	(serum)Calcitriol	(serum)Choline	(serum)D-(+)-Pipecolinic acid	(serum)Decanoylcarnitine	(serum)Diphenylsulfoxide	(serum)DL-Mandelic acid	(serum)DL-Stachydrine	(serum)Docosahexaenoic Acid	(serum)Hexanoylcarnitine	(serum)Homogentisate	(serum)Kynurenine	(serum)L(+)-Ornithine	(serum)Lauroylcarnitine	(serum)Levothyroxine	(serum)L-Valine	(serum)Methyl indole-3-acetate	(serum)Myristic Acid	(serum)N,N-Dimethyldodecylamine N-oxide	(serum)N,N-Dimethylglycine	(serum)N-Formyl-DL-methionine	(serum)Octanoyl-L-Carnitine	(serum)Oleic acid	(serum)Oleoyl ethanolamide	(serum)Palmitoleic acid	(serum)PC(16:0/0:0)	(serum)Phosphocholine	(serum)raspberry ketone	(serum)Threonine	(serum)Tretinoin	(serum)Ursocholanic Acid	(serum)α-Aspartylphenylalanine
(faecal)Taurine	(faecal)Taurine	0.622787172011662	0.871743440233236	0.208	0.622787172011662	0.871743440233236	0.622787172011662	0.913131785162326	0.871743440233236	0.957154518950437	0.622787172011662	0.871743440233236	0.396501457725947	0.957154518950437	0.544093294460641	0.468478134110787	0.871743440233236	0.787172011661807	0.871743440233236	0.704	0.658373571260927	0.622787172011662	0.957154518950437	0.265702623906705	0.208	0.704	0.622787172011662	0.871743440233236	0.468478134110787	0.957154518950437	0.396501457725947	0.622787172011662	0.320632582865827	0.871743440233236	0.396501457725947	0.957154518950437	0.704	0.871743440233236	0.156174927113702	0.396501457725947	0.396501457725947	0.787172011661807	0.17307111024126	0.871743440233236	0.396501457725947	0.787172011661807	0.957154518950437	0.328723032069971	0.0415626822157435	0.871743440233236	0.622787172011662
(faecal)Lithocholic Acid	(faecal)Lithocholic Acid	0.072396501457726	0.265702623906705	0.957154518950437	0.0415626822157435	0.072396501457726	0.704	0.103242804623708	0.622787172011662	0.544093294460641	0.208	0.787172011661807	0.787172011661807	0.156174927113702	0.0188454810495627	0.871743440233236	0.0415626822157435	0.265702623906705	0.704	0.957154518950437	0.288343233800394	0.156174927113702	0.110787172011662	0.0415626822157435	0.208	0.110787172011662	0.0415626822157435	0.396501457725947	0.072396501457726	0.328723032069971	0.871743440233236	0.208	0.227783956715016	0.265702623906705	0.871743440233236	0.0188454810495627	0.156174927113702	0.704	0.328723032069971	0.208	0.156174927113702	0.265702623906705	0.913131785162326	0.0415626822157435	0.110787172011662	0.00480466472303207	0.0188454810495627	0.787172011661807	0.957154518950437	0.208	0.622787172011662
(faecal)Biliverdin	(faecal)Biliverdin	0.072396501457726	0.328723032069971	0.787172011661807	0.468478134110787	0.072396501457726	0.328723032069971	0.000309085667849671	0.622787172011662	0.396501457725947	0.396501457725947	0.544093294460641	0.468478134110787	0.396501457725947	0.396501457725947	0.957154518950437	0.0188454810495627	0.704	0.328723032069971	0.622787172011662	0.00766584418747316	0.265702623906705	0.208	0.208	0.622787172011662	0.468478134110787	0.0188454810495627	0.072396501457726	0.156174927113702	0.328723032069971	0.871743440233236	0.396501457725947	0.124789337440287	0.0415626822157435	0.871743440233236	0.0188454810495627	0	0.328723032069971	0.787172011661807	0.208	0.265702623906705	0.072396501457726	0.320632582865827	0.0188454810495627	0.0415626822157435	0.265702623906705	0.0188454810495627	0.957154518950437	0.871743440233236	0.396501457725947	0.396501457725947
(faecal)Cholic acid	(faecal)Cholic acid	0.328723032069971	0.072396501457726	0.622787172011662	0.396501457725947	0.328723032069971	0.787172011661807	0.124789337440287	0.396501457725947	0.957154518950437	0.0415626822157435	0.871743440233236	0.544093294460641	0.110787172011662	0.0415626822157435	0.871743440233236	0.208	0.787172011661807	0.871743440233236	0.957154518950437	0.227783956715016	0.328723032069971	0.544093294460641	0	0.396501457725947	0.072396501457726	0.0415626822157435	0.468478134110787	0.00480466472303207	0.156174927113702	0.787172011661807	0.622787172011662	0.424662507561364	0.265702623906705	0.787172011661807	0.110787172011662	0.208	0.871743440233236	0.072396501457726	0.265702623906705	0.00480466472303207	0.0415626822157435	0.699797968157019	0.208	0.396501457725947	0.110787172011662	0.110787172011662	0.468478134110787	0.544093294460641	0.208	0.787172011661807
(faecal)Gentisic acid	(faecal)Gentisic acid	0.0188454810495627	0.156174927113702	0.156174927113702	0.468478134110787	0.468478134110787	0.787172011661807	0.320632582865827	0.072396501457726	0.622787172011662	0.110787172011662	0.957154518950437	0.156174927113702	0.072396501457726	0.072396501457726	0.072396501457726	0.110787172011662	0.072396501457726	0.468478134110787	0.396501457725947	0.17307111024126	0	0.622787172011662	0.328723032069971	0.871743440233236	0.0415626822157435	0.328723032069971	0.957154518950437	0.396501457725947	0.0415626822157435	0.265702623906705	0.871743440233236	0.00766584418747316	0.468478134110787	0.265702623906705	0.265702623906705	0.265702623906705	0.468478134110787	0.957154518950437	0.787172011661807	0.265702623906705	0.396501457725947	0.956529352389841	0.110787172011662	0.0415626822157435	0.0415626822157435	0.265702623906705	0.396501457725947	0.208	0.00480466472303207	0.544093294460641
(faecal)3-Dehydrocholic acid	(faecal)3-Dehydrocholic acid	0.208	0.544093294460641	0.0415626822157435	0.787172011661807	0.871743440233236	0.957154518950437	0.658373571260927	0.208	0.544093294460641	0.622787172011662	0.787172011661807	0.110787172011662	0.468478134110787	0.787172011661807	0.072396501457726	0.468478134110787	0.328723032069971	0.468478134110787	0.328723032069971	0.288343233800394	0.110787172011662	0.957154518950437	0.787172011661807	0.396501457725947	0.544093294460641	0.957154518950437	0.871743440233236	0.871743440233236	0.265702623906705	0.208	0.622787172011662	0.0498575851013404	0.787172011661807	0.208	0.787172011661807	0.468478134110787	0.468478134110787	0.328723032069971	0.622787172011662	0.957154518950437	0.787172011661807	0.577351787034875	0.468478134110787	0.156174927113702	0.622787172011662	0.787172011661807	0.156174927113702	0.0188454810495627	0.208	0.396501457725947
(faecal)Bilirubin	(faecal)Bilirubin	0.704	0.468478134110787	0.156174927113702	0.787172011661807	0.957154518950437	0.468478134110787	0.826848213385815	0.871743440233236	0.871743440233236	0.328723032069971	0.787172011661807	0.787172011661807	0.622787172011662	0.396501457725947	0.622787172011662	0.957154518950437	0.622787172011662	0.957154518950437	0.622787172011662	0.956529352389841	0.787172011661807	0.871743440233236	0.110787172011662	0.396501457725947	0.468478134110787	0.468478134110787	0.957154518950437	0.208	0.704	0.704	0.871743440233236	0.537900560470205	0.787172011661807	0.704	0.787172011661807	0.957154518950437	0.957154518950437	0.0415626822157435	0.468478134110787	0.156174927113702	0.396501457725947	0.227783956715016	0.957154518950437	0.544093294460641	0.704	0.787172011661807	0.208	0.072396501457726	0.871743440233236	0.787172011661807
(faecal)D-(+)-Proline	(faecal)D-(+)-Proline	0.328723032069971	0.468478134110787	0.110787172011662	0.468478134110787	0.957154518950437	0.871743440233236	0.577351787034875	0.156174927113702	0.468478134110787	0.544093294460641	0.544093294460641	0.072396501457726	0.544093294460641	0.957154518950437	0.110787172011662	0.544093294460641	0.622787172011662	0.544093294460641	0.265702623906705	0.17307111024126	0.208	0.704	0.871743440233236	0.328723032069971	0.622787172011662	0.871743440233236	0.957154518950437	0.957154518950437	0.208	0.265702623906705	0.468478134110787	0.103242804623708	0.622787172011662	0.265702623906705	0.871743440233236	0.396501457725947	0.544093294460641	0.396501457725947	0.704	0.787172011661807	0.544093294460641	0.658373571260927	0.544093294460641	0.265702623906705	0.871743440233236	0.871743440233236	0.208	0.110787172011662	0.265702623906705	0.468478134110787
(faecal)Indole	(faecal)Indole	0.0415626822157435	0.208	0.208	0.871743440233236	0.544093294460641	0.957154518950437	0.124789337440287	0.072396501457726	0.787172011661807	0.156174927113702	0.396501457725947	0.156174927113702	0.265702623906705	0.328723032069971	0.208	0.072396501457726	0.328723032069971	0.871743440233236	0.156174927113702	0.00766584418747316	0.0415626822157435	0.787172011661807	0.328723032069971	0.871743440233236	0.208	0.156174927113702	0.704	0.396501457725947	0.0415626822157435	0.544093294460641	0.871743440233236	0.0360575728451593	0.110787172011662	0.544093294460641	0.265702623906705	0.072396501457726	0.871743440233236	0.871743440233236	0.468478134110787	0.208	0.156174927113702	0.913131785162326	0.072396501457726	0.072396501457726	0.265702623906705	0.265702623906705	0.328723032069971	0.468478134110787	0.072396501457726	0.957154518950437
(faecal)Deoxycholic Acid	(faecal)Deoxycholic Acid	0.871743440233236	0.265702623906705	0.328723032069971	0.328723032069971	0.622787172011662	0.468478134110787	0.741733927731628	0.787172011661807	0.871743440233236	0.208	0.265702623906705	0.957154518950437	0.208	0.072396501457726	0.957154518950437	0.787172011661807	0.871743440233236	0.787172011661807	0.396501457725947	0.913131785162326	0.704	0.704	0.072396501457726	0.468478134110787	0.156174927113702	0.468478134110787	0.957154518950437	0.110787172011662	0.544093294460641	0.787172011661807	0.787172011661807	0.956529352389841	0.957154518950437	0.787172011661807	0.468478134110787	0.957154518950437	0.787172011661807	0.0188454810495627	0.704	0.156174927113702	0.468478134110787	0.424662507561364	0.787172011661807	0.957154518950437	0.208	0.468478134110787	0.208	0.468478134110787	0.468478134110787	0.871743440233236
