id	(faecal)Taurine	(faecal)Lithocholic Acid	(faecal)Biliverdin	(faecal)Cholic acid	(faecal)Gentisic acid	(faecal)3-Dehydrocholic acid	(faecal)Bilirubin	(faecal)D-(+)-Proline	(faecal)Indole	(faecal)Deoxycholic Acid	(faecal)Υ-Aminobutyric acid (GABA)	(faecal)L-Tyrosine	(faecal)Inosine	(faecal)Gly-Val	(faecal)Choline	(faecal)D-(+)-Pyroglutamic Acid	(faecal)α-Linolenic Acid	(faecal)L-Glutamic acid	(faecal)Citrulline	(faecal)D-Glucuronic Acid	(faecal)Oleic acid	(faecal)L-Norleucine	(faecal)Xanthine	(faecal)Creatine	(faecal)Ribose	(faecal)Uracil	(faecal)L-(+)-Citrulline	(faecal)citramalate	(faecal)L-Isoleucine	(faecal)Glucose	(faecal)PC(16:0/0:0)	(faecal)α-Muricholic Acid	(faecal)L(+)-Ornithine	(faecal)Thymine	(faecal)(-)-Riboflavin	(faecal)L(-)-Pipecolinic acid	(faecal)4-aminobutyric acid	(faecal)2-Deoxyadenosine	(faecal)N-Acetyltryptophan	(faecal)4-Phenylbutyric acid	(faecal)beta-Hydroxymyristic acid	(faecal)8-Hydroxyquinoline	(faecal)5-Hydroxyindole-3-acetic acid	(faecal)Ethyl myristate	(faecal)3-Phenyllactic acid	(faecal)Oxypurinol	(faecal)N-Acetyl-DL-aspartic acid	(faecal)N-Tigloylglycine	(faecal)N-Acetyl-L-aspartic acid	(faecal)Urocanic acid
Bifidobacterium adolescentis	0.142857142857143	0.257142857142857	0.828571428571429	-0.314285714285714	0.0285714285714286	-0.0857142857142857	-0.0285714285714286	-0.257142857142857	0.485714285714286	0.257142857142857	0.0857142857142857	-0.771428571428571	-0.314285714285714	-0.828571428571429	0.314285714285714	-0.371428571428571	0.428571428571429	-0.0857142857142857	0.0857142857142857	-0.0285714285714286	-0.314285714285714	-0.771428571428571	-0.142857142857143	0.0285714285714286	0.0285714285714286	0.0285714285714286	0.6	0.714285714285714	-0.542857142857143	-0.371428571428571	0.314285714285714	-0.0285714285714286	0.142857142857143	-0.371428571428571	-0.714285714285714	-0.257142857142857	0.314285714285714	0.0285714285714286	-0.142857142857143	-0.314285714285714	0.2	0.714285714285714	0.714285714285714	-0.428571428571429	0.6	-0.0857142857142857	0.714285714285714	-0.0285714285714286	0.771428571428571	-0.485714285714286
Fusicatenibacter saccharivorans	-0.828571428571429	0.0285714285714286	-0.0857142857142857	-0.314285714285714	-0.6	0.885714285714286	0.771428571428571	0.714285714285714	-0.371428571428571	-0.371428571428571	0.142857142857143	-0.142857142857143	0.542857142857143	-0.257142857142857	-0.771428571428571	0.428571428571429	-0.657142857142857	0.314285714285714	0.371428571428571	0.428571428571429	-0.0285714285714286	-0.142857142857143	-0.257142857142857	-0.428571428571429	-0.771428571428571	-0.0857142857142857	0.0857142857142857	0.0857142857142857	0.485714285714286	0.257142857142857	-0.657142857142857	-0.485714285714286	0.657142857142857	0.657142857142857	-0.0857142857142857	0.714285714285714	-0.257142857142857	-0.0857142857142857	-0.142857142857143	0.657142857142857	0.942857142857143	0.257142857142857	-0.0857142857142857	-0.0285714285714286	-0.0285714285714286	-0.371428571428571	0.6	-0.0285714285714286	0.0285714285714286	0.371428571428571
Blautia wexlerae	0.771428571428571	0.257142857142857	0.6	-0.0857142857142857	0.771428571428571	-0.942857142857143	-0.6	-0.885714285714286	0.771428571428571	0.314285714285714	-0.314285714285714	-0.371428571428571	-0.828571428571429	-0.0285714285714286	0.828571428571429	-0.485714285714286	0.942857142857143	-0.142857142857143	-0.542857142857143	-0.257142857142857	-0.0285714285714286	-0.371428571428571	0.428571428571429	0.257142857142857	0.6	0.371428571428571	0.314285714285714	0.0857142857142857	-0.885714285714286	-0.428571428571429	0.714285714285714	0.428571428571429	-0.714285714285714	-0.942857142857143	-0.0857142857142857	-0.885714285714286	0.2	0.371428571428571	-0.142857142857143	-0.714285714285714	-0.885714285714286	0.257142857142857	0.6	-0.0285714285714286	0.428571428571429	0.542857142857143	-0.314285714285714	-0.0285714285714286	0.485714285714286	-0.771428571428571
Lachnospiraceae bacterium	0.257142857142857	0.428571428571429	0.942857142857143	-0.428571428571429	0.257142857142857	-0.257142857142857	-0.0857142857142857	-0.371428571428571	0.6	0.142857142857143	-0.142857142857143	-0.885714285714286	-0.485714285714286	-0.714285714285714	0.485714285714286	-0.314285714285714	0.6	0.0285714285714286	-0.2	0.0857142857142857	-0.2	-0.885714285714286	0.0857142857142857	-0.0857142857142857	0.0857142857142857	0.2	0.485714285714286	0.6	-0.714285714285714	-0.257142857142857	0.371428571428571	-0.0857142857142857	-0.0285714285714286	-0.6	-0.6	-0.371428571428571	0.371428571428571	0.2	-0.314285714285714	-0.371428571428571	-0.0285714285714286	0.771428571428571	0.771428571428571	-0.2	0.771428571428571	0.2	0.542857142857143	0.142857142857143	0.828571428571429	-0.6
Alistipes onderdonkii	0.142857142857143	0.771428571428571	0.485714285714286	-0.428571428571429	0.6	-0.257142857142857	-0.0857142857142857	-0.0285714285714286	0.257142857142857	-0.428571428571429	-0.371428571428571	-0.542857142857143	-0.485714285714286	-0.0285714285714286	0.371428571428571	0.371428571428571	0.257142857142857	0.142857142857143	-0.657142857142857	0.314285714285714	-0.0857142857142857	-0.542857142857143	0.542857142857143	-0.314285714285714	0.0857142857142857	0.314285714285714	-0.314285714285714	-0.0857142857142857	-0.371428571428571	0.542857142857143	-0.0857142857142857	-0.2	-0.0285714285714286	-0.6	0.0857142857142857	-0.0285714285714286	0.371428571428571	0.314285714285714	-0.657142857142857	0.0857142857142857	-0.371428571428571	0.428571428571429	0.2	0.6	0.771428571428571	0.657142857142857	-0.0285714285714286	0.485714285714286	0.371428571428571	-0.257142857142857
Mediterraneibacter faecis	-0.142857142857143	0.942857142857143	0.714285714285714	-0.771428571428571	0.6	-0.0857142857142857	0.257142857142857	0.0285714285714286	0.428571428571429	-0.6	-0.485714285714286	-0.828571428571429	-0.542857142857143	-0.142857142857143	0.142857142857143	0.485714285714286	0.257142857142857	0.371428571428571	-0.714285714285714	0.542857142857143	-0.0857142857142857	-0.828571428571429	0.657142857142857	-0.542857142857143	-0.257142857142857	0.542857142857143	-0.0285714285714286	-0.0857142857142857	-0.485714285714286	0.485714285714286	-0.257142857142857	-0.314285714285714	0.0285714285714286	-0.6	0.0857142857142857	0.0285714285714286	0.142857142857143	0.542857142857143	-0.885714285714286	0.257142857142857	-0.142857142857143	0.771428571428571	0.485714285714286	0.6	0.942857142857143	0.714285714285714	0.2	0.371428571428571	0.657142857142857	-0.428571428571429
Dorea longicatena	0.771428571428571	0.257142857142857	0.6	-0.0857142857142857	0.771428571428571	-0.942857142857143	-0.6	-0.885714285714286	0.771428571428571	0.314285714285714	-0.314285714285714	-0.371428571428571	-0.828571428571429	-0.0285714285714286	0.828571428571429	-0.485714285714286	0.942857142857143	-0.142857142857143	-0.542857142857143	-0.257142857142857	-0.0285714285714286	-0.371428571428571	0.428571428571429	0.257142857142857	0.6	0.371428571428571	0.314285714285714	0.0857142857142857	-0.885714285714286	-0.428571428571429	0.714285714285714	0.428571428571429	-0.714285714285714	-0.942857142857143	-0.0857142857142857	-0.885714285714286	0.2	0.371428571428571	-0.142857142857143	-0.714285714285714	-0.885714285714286	0.257142857142857	0.6	-0.0285714285714286	0.428571428571429	0.542857142857143	-0.314285714285714	-0.0285714285714286	0.485714285714286	-0.771428571428571
Bacteroides ovatus	0.0285714285714286	-0.542857142857143	-0.885714285714286	0.6	-0.142857142857143	-0.0285714285714286	-0.2	0.0857142857142857	-0.428571428571429	0.142857142857143	0.257142857142857	0.942857142857143	0.314285714285714	0.657142857142857	-0.257142857142857	0.0285714285714286	-0.371428571428571	-0.257142857142857	0.257142857142857	-0.371428571428571	0.0857142857142857	0.942857142857143	-0.142857142857143	0.371428571428571	0.2	-0.257142857142857	-0.314285714285714	-0.485714285714286	0.542857142857143	-0.0285714285714286	-0.0857142857142857	0.371428571428571	-0.142857142857143	0.428571428571429	0.485714285714286	0.0857142857142857	-0.314285714285714	-0.257142857142857	0.485714285714286	0.0857142857142857	-0.2	-0.828571428571429	-0.657142857142857	-0.0285714285714286	-0.828571428571429	-0.257142857142857	-0.6	-0.314285714285714	-0.771428571428571	0.428571428571429
uncultured Collinsella sp.	0.257142857142857	0.428571428571429	0.942857142857143	-0.428571428571429	0.257142857142857	-0.257142857142857	-0.0857142857142857	-0.371428571428571	0.6	0.142857142857143	-0.142857142857143	-0.885714285714286	-0.485714285714286	-0.714285714285714	0.485714285714286	-0.314285714285714	0.6	0.0285714285714286	-0.2	0.0857142857142857	-0.2	-0.885714285714286	0.0857142857142857	-0.0857142857142857	0.0857142857142857	0.2	0.485714285714286	0.6	-0.714285714285714	-0.257142857142857	0.371428571428571	-0.0857142857142857	-0.0285714285714286	-0.6	-0.6	-0.371428571428571	0.371428571428571	0.2	-0.314285714285714	-0.371428571428571	-0.0285714285714286	0.771428571428571	0.771428571428571	-0.2	0.771428571428571	0.2	0.542857142857143	0.142857142857143	0.828571428571429	-0.6
uncultured Roseburia sp.	-0.714285714285714	0.485714285714286	-0.257142857142857	-0.371428571428571	-0.0857142857142857	0.657142857142857	0.6	0.828571428571429	-0.485714285714286	-0.828571428571429	-0.142857142857143	-0.0285714285714286	0.314285714285714	0.257142857142857	-0.6	0.942857142857143	-0.714285714285714	0.371428571428571	-0.2	0.6	0.0285714285714286	-0.0285714285714286	0.257142857142857	-0.6	-0.6	0.0857142857142857	-0.6	-0.428571428571429	0.542857142857143	0.942857142857143	-0.885714285714286	-0.542857142857143	0.542857142857143	0.371428571428571	0.428571428571429	0.828571428571429	-0.0857142857142857	0.0857142857142857	-0.542857142857143	0.885714285714286	0.428571428571429	0.0857142857142857	-0.428571428571429	0.714285714285714	0.2	0.2	0.0857142857142857	0.371428571428571	-0.2	0.485714285714286
