MS2 name	MC_1	MC_5	MC_6	MC_7	MC_9	MC_10	PTMC_2	PTMC_3	PTMC_4	PTMC_6	PTMC_7	PTMC_10
Gly-Val	1.55E-05	8.63E-06	1.45E-05	1.32E-05	1.23E-05	1.18E-05	0.000235203	0.000133028	0.000129847	0.000179246	0.000180922	0.000124631
Indoline	1.06E-05	2.60E-06	2.84E-06	1.14E-05	8.17E-06	8.96E-06	3.41E-05	4.09E-05	1.82E-05	2.33E-05	2.17E-05	1.57E-05
Hypoxanthine	0.000128083	0.000168961	0.000139236	0.000129994	0.000186395	0.000164134	0.000342491	0.000455008	0.000208074	0.000214809	0.00028944	0.000267904
L-Methionine sulfoxide	0.000186659	0.000221822	0.000171401	0.000302829	0.000255359	0.000181886	0.000357693	0.00038501	0.000496691	0.000280037	0.000465102	0.000388059
Uric acid	0.001161079	0.001155127	0.001283446	0.001128151	0.000774419	0.000765336	0.000574654	0.000856058	0.000861949	0.000839541	0.000855266	0.000827684
L-Pyroglutamic acid	0.000893784	0.000662904	0.0008106	0.000819353	0.000958082	0.000834448	0.000613814	0.000647489	0.000533306	0.000527396	0.000588431	0.000569267
Linoleic acid	0.02301194	0.018536996	0.02067561	0.028984545	0.036911996	0.039357324	0.01950344	0.023681976	0.017232265	0.017067875	0.01659639	0.016906492
Glutamic acid	0.000499971	0.000533455	0.00060772	0.000665679	0.000593478	0.000506443	0.000306159	0.000249332	0.000293759	0.000539773	0.000417198	0.00024022
α-linolenic acid	9.84E-05	5.32E-05	8.59E-05	8.52E-05	7.73E-05	0.000109628	7.47E-05	7.27E-05	7.94E-05	3.07E-05	2.23E-05	2.19E-05
Pantothenic acid	3.37E-05	4.01E-05	4.44E-05	3.18E-05	1.83E-05	2.05E-05	2.05E-05	1.85E-05	1.50E-05	1.76E-05	1.76E-05	1.27E-05
L-Glutamic acid	0.000868501	0.001073689	0.001055071	0.000916335	0.000892332	0.000722378	0.000600876	0.000476685	0.000361847	0.000513472	0.000498509	0.000392722
Deoxycholic Acid	0.000296784	0.000589149	0.00056772	0.000278365	0.000897608	0.0009047	0.000377368	6.18E-05	0.000320474	0.000344282	0.000390847	0.000301441
Gentisic acid	3.28E-05	5.17E-05	4.82E-05	2.81E-05	1.96E-05	2.40E-05	1.13E-05	1.35E-05	1.21E-05	1.02E-05	1.09E-05	1.02E-05
L-Histidine	0.001517998	0.000329244	0.000339794	0.00147623	0.000380139	0.000491217	3.79E-05	4.21E-05	5.10E-05	8.99E-06	9.13E-06	1.06E-05
