species	MC_1	MC_5	MC_6	MC_7	MC_9	MC_10	PTMC_2	PTMC_3	PTMC_4	PTMC_6	PTMC_7	PTMC_10
[Ruminococcus] lactaris	0.00013044	0.001137482	0.000224401	9.40E-05	0.003237788	0.001221494	7.30E-05	0.0001426	4.64E-05	3.10E-05	0.000109437	0.000152549
[Ruminococcus] torques	0.001093265	0.000784851	0.001256867	0.000930767	0.000510706	0.000813592	0.002038402	0.000266407	0.005459691	0.005778053	0.000214452	0.003078607
Agathobaculum butyriciproducens	0.001911279	0.003913202	0.000825752	0.004334369	0.00307308	0.003494246	0.000584769	0.001885854	0.000112753	0.001064524	0.002403192	0.00131435
Alistipes communis	5.64E-05	0.00024872	7.74E-06	1.88E-05	0.000705261	0.000254248	0.000277462	0.002770193	0.011516311	0.006089783	1.99E-05	0.001487901
Alistipes ihumii	4.42E-06	1.22E-05	0.00015697	5.53E-06	2.65E-05	2.54E-05	1.77E-05	0.000753899	0.006047776	0.003495352	3.32E-06	0.000832385
Alistipes onderdonkii	0.000564872	0.002851995	5.31E-05	0.002248433	0.003925362	0.002609907	0.014398152	0.007040447	0.035058532	0.008125974	0.001483479	0.003451135
Alistipes senegalensis	2.54E-05	0.000205609	2.98E-05	0.000202293	0.000205609	0.000186817	0.000360368	0.00049523	0.003084134	0.002941534	0.000238772	0.00061351
Alistipes shahii	0.000100594	0.001050153	0.000347103	0.000402374	0.002246222	0.001054575	0.003320695	0.005975924	0.007185258	0.008183456	0.00031173	0.014345091
Bacteroides acidifaciens	0.000760532	0.000983828	0.000111648	0.001365199	0.000237666	0.000894288	0.002093674	0.000347103	0.001204913	0.001764257	0.002185424	0.001819528
Bacteroides caecimuris	0.001638239	0.001065629	0.000243193	0.001376253	0.000436643	0.000979406	0.002754717	0.001193858	0.000689785	0.000967246	0.002613223	0.002190951
Bacteroides cutis	0.00054829	0.000202293	0.000414534	0.000206714	0.000176868	0.000217769	0.002030664	0.000221085	0.000493019	0.000805854	0.000411218	0.002929374
Bacteroides finegoldii	0.001088843	0.001936703	0.001036888	0.002667389	0.000531709	0.001759836	0.003055393	0.000991566	0.003426815	0.002067143	0.002962537	0.003977317
Bacteroides ovatus	0.004981042	0.002501575	0.001368515	0.003657849	0.000227717	0.002311442	0.007120038	0.002867471	0.002053878	0.005065054	0.018648508	0.007342228
Bacteroides sp. M10	0.001403889	0.000915291	0.000487492	0.001322087	0.000154759	0.000856704	0.002198689	0.00170567	0.000592507	0.001840531	0.006386036	0.00230481
Barnesiella intestinihominis	0.003149354	0.000285199	1.33E-05	7.74E-05	0.00074174	0.000289621	0.015170843	0.00553707	0.005772526	0.005953815	8.73E-05	8.18E-05
Bifidobacterium adolescentis	0.012817395	0.013406586	0.048605507	0.000336049	0.035070692	0.017147342	0.013254038	0.009373998	0.018459481	2.21E-05	0.000761637	0.000112753
Bifidobacterium ruminantium	0.001325404	0.000989355	0.002880736	3.21E-05	0.002552425	0.001180593	0.000798116	0.000511811	0.001569703	1.11E-05	8.29E-05	6.08E-05
Blautia faecicola	0.000247615	0.002886263	0.000666571	0.000132651	0.007830826	0.003029968	5.97E-05	0.000399058	0.00015697	4.53E-05	0.000129335	0.00063783
Blautia faecis	0.003588207	0.002997911	0.001439262	0.002250644	0.004612936	0.002994594	0.001019201	0.001428208	0.002198689	0.001343091	0.000846755	0.000851177
Blautia luti	0.001579651	0.001684667	0.002105833	0.000527287	0.003925362	0.001818423	0.000373633	0.001404994	0.000543869	0.000218874	0.00105568	0.000808065
Blautia obeum	0.000839017	0.007914838	0.000916397	0.003158197	0.017173872	0.008046384	0.000266407	0.00172004	0.000266407	0.000917502	0.001627185	0.001220388
Blautia wexlerae	0.019737351	0.013102594	0.012452605	0.003980633	0.030728585	0.014368305	0.004134287	0.00448139	0.003282005	0.000936294	0.004838442	0.00272266
Clostridiales bacterium	0.000737318	0.00080696	0.001189437	0.000392426	0.001567492	0.00087218	0.000520655	0.007342228	0.00578358	0.005780264	0.000443275	0.001597338
Collinsella aerofaciens	0.001576335	0.000948454	0.002244011	2.65E-05	0.002417563	0.001089948	0.000568188	0.000296254	0.000930767	3.76E-05	6.74E-05	1.11E-05
Coprococcus comes	0.001334247	0.005056211	0.004993202	0.002767982	0.00937842	0.005241922	0.00040348	0.001712302	0.000509601	0.000170235	0.001584073	0.002451831
Dorea longicatena	0.008515084	0.007312382	0.00605662	0.00247615	0.016382388	0.007943579	0.001425997	0.001853797	0.001571913	0.000722948	0.001810685	0.002130153
Firmicutes bacterium OM04-13BH	0.000140389	0.002868576	0.004762168	0.002833203	0.002985751	0.003063131	0.000120491	0.000443275	7.41E-05	7.30E-05	0.00125134	0.000171341
Fusicatenibacter saccharivorans	0.000781535	0.015092358	0.030655627	0.018651825	0.009896864	0.015800935	0.003094083	0.004596354	0.001829477	0.001233654	0.011809248	0.001685772
Lachnospiraceae bacterium	0.006940959	0.008155821	0.012732277	0.005387838	0.013967036	0.008885401	0.003414656	0.00700839	0.004149763	0.003123929	0.008046384	0.008480815
Mediterraneibacter faecis	0.000751689	0.011908736	0.007505831	0.008197827	0.018996717	0.012252523	0.000236561	0.002189846	0.000247615	0.00016913	0.001220388	0.008370273
