id	Gly-Val	Indoline	Hypoxanthine	L-Methionine sulfoxide	Uric acid	L-Pyroglutamic acid	Linoleic acid	Glutamic acid	α-linolenic acid	Pantothenic acid	L-Glutamic acid	Deoxycholic Acid	Gentisic acid	L-Histidine
[Ruminococcus] lactaris	0.00580115047447825	0.0102451939411279	0.391096770941896	0.066611882266889	0.931234351201881	0.0153173290532817	0.100602631832255	0.556737056176831	0.498555985524188	0.295107512568047	0.124454791188834	0.0585894753885676	0.0918457918572557	0.15173503571673
[Ruminococcus] torques	0.416774768899138	0.617523489540143	0.829023640531309	0.829023640531309	0.931234351201881	0.089913736302639	0.27556745095678	0.795414501853898	0.982791768902848	0.46202707310301	0.403833088314712	0.527302354166108	0.296007411628316	0.484451661455399
Agathobaculum butyriciproducens	0.0184527180284454	0.124454791188834	0.174519008130059	0.307909876180653	0.812182698028059	0.0385884529220194	0.144586301303347	0.144586301303347	0.696683109395766	0.284326150651609	0.066611882266889	0.556737056176831	0.133506869463948	0.106252371759346
Alistipes communis	0.296904115688764	0.089913736302639	0.0548421197754078	0.100602631832255	0.137657916347729	0.0708943175492231	0.527302354166108	0.0625114832796152	0.255137751758957	0.00836944109947292	0.0102451939411279	0.556737056176831	0.0353946454668789	0.118175957013032
Alistipes ihumii	0.633090681246262	0.456800852639923	0.307909876180653	0.470531995381542	0.602099427786538	0.0848687711339349	0.617523489540143	0.391096770941896	0.586823664362704	0.0911807984177608	0.0951573665941247	0.729194990751066	0.185824490844045	0.217020225759977
Alistipes onderdonkii	0.199335494617809	0.0585894753885676	0.0283196712957601	0.066611882266889	0.0708943175492231	0.0708943175492231	0.602099427786538	0.15173503571673	0.27556745095678	0.0485584019884882	0.0585894753885676	0.696683109395766	0.0599836082381668	0.112109291468892
Alistipes senegalensis	0.0473735961718799	0.018175123857075	0.00411738035568087	0.00199348577413529	0.220708015504403	0.000354759007349313	0.0441447742190631	0.0543240056759699	0.0143593660834832	0.00133781304248677	0.00312665637392048	0.383939601453497	0.00243851723216142	0.00215610396191873
Alistipes shahii	0.366251460583582	0.130948069507173	0.044609296463363	0.124454791188834	0.0800193759202747	0.0331699010901058	0.429918785032884	0.124454791188834	0.124454791188834	0.0127887002178595	0.0306758950616401	0.586823664362704	0.0190194558338804	0.0548421197754078
Bacteroides acidifaciens	0.0478559768420606	0.0753623350534836	0.130948069507173	0.0260968910527031	0.1908358740045	0.0220341909323653	0.0168314561868934	0.255137751758957	0.0415214944103185	0.0964925519817922	0.144586301303347	0.617523489540143	0.0158066882441518	0.0306758950616401
Bacteroides caecimuris	0.118175957013032	0.112109291468892	0.245265000730777	0.166699987624945	0.416774768899138	0.571701238527655	0.307909876180653	0.100602631832255	0.235621003512646	0.679527503169665	0.391096770941896	0.217020225759977	0.274671409685401	0.429918785032884
