id	3-Dehydrocholic acid	Bilirubin	Biliverdin	Cholic acid	Choline	D-(+)-Proline	Deoxycholic Acid	Gentisic acid	Gly-Val	Indole	Inosine	Lithocholic Acid	L-Tyrosine	Taurine	Υ-Aminobutyric acid (GABA)
[Ruminococcus] lactaris	0.199335494617809	0.106252371759346	0.00512408169875306	0.118175957013032	0.0113741986426909	0.0358059970520293	0.089913736302639	0.089913736302639	0.0201854985098541	0.27556745095678	0.811858676333336	0.217020225759977	0.0220341909323653	0.0168314561868934	0.112109291468892
[Ruminococcus] torques	0.1908358740045	0.556737056176831	0.456800852639923	0.226206044935027	0.456800852639923	0.226206044935027	0.571701238527655	0.199335494617809	0.862898073694971	0.166699987624945	0.512085328993753	0.208063463695353	0.795414501853898	0.144586301303347	0.0753623350534836
Agathobaculum butyriciproducens	0.0585894753885676	0.144586301303347	0.217020225759977	0.100602631832255	0.208063463695353	0.208063463695353	0.617523489540143	0.130948069507173	1	0.0625114832796152	0.526563052910977	0.130948069507173	0.354147641232921	0.0951573665941247	0.100602631832255
Alistipes communis	0.00258621483336258	0.118175957013032	0.512840943181826	0.00450843548429422	0.106252371759346	0.0478559768420606	0.112109291468892	0.235621003512646	0.556737056176831	0.0125930304960941	0.42908344267491	0.00258621483336258	0.286122902914987	0.044609296463363	0.00395044897254266
Alistipes ihumii	0.0625114832796152	0.484451661455399	0.96559026891878	0.0168314561868934	0.144586301303347	0.0478559768420606	0.245265000730777	0.089913736302639	0.91409334241076	0.0625114832796152	0.845663716050892	0.0331699010901058	0.648795709784666	0.0548421197754078	0.0260968910527031
Alistipes onderdonkii	0.0585894753885676	0.342259528940024	0.286122902914987	0.0184527180284454	0.112109291468892	0.066611882266889	0.159105769412195	0.498555985524188	0.586823664362704	0.066611882266889	0.442437665758386	0.00344645026182745	0.512840943181826	0.0585894753885676	0.00580115047447825
Alistipes senegalensis	0.00902392513944252	0.025754387074545	0.0490488481513114	9.13597479321015e-05	0.00567052878802927	0.000189297656477856	0.00411738035568087	0.0143593660834832	0.0971737747799286	0.00807443795290615	0.279023880146059	0.000445901287358501	0.0381594755494203	0.000278811844083925	0.00120515436563213
Alistipes shahii	0.0139059688143628	0.391096770941896	0.354147641232921	0.00114310508680406	0.106252371759346	0.0201854985098541	0.0331699010901058	0.137657916347729	0.484451661455399	0.0260968910527031	0.42908344267491	0.000152674064676699	0.541935885731317	0.0153173290532817	0.000521133700481004
Bacteroides acidifaciens	0.33058925941211	0.124454791188834	0.000951362855555507	0.0951573665941247	0.137657916347729	0.089913736302639	0.0201854985098541	0.217020225759977	0.00823976871233844	0.118175957013032	0.133506869463948	0.0800193759202747	0.106252371759346	0.0283196712957601	0.130948069507173
Bacteroides caecimuris	0.456800852639923	0.456800852639923	0.00920177977763475	0.795414501853898	0.696683109395766	0.862898073694971	0.342259528940024	0.879918578878675	0.0753623350534836	0.862898073694971	0.0490488481513114	0.541935885731317	0.286122902914987	0.648795709784666	0.696683109395766
Bacteroides cutis	0.0139059688143628	0.100602631832255	0.0260968910527031	0.106252371759346	0.319138785503305	0.255137751758957	0.27556745095678	0.100602631832255	0.342259528940024	0.0625114832796152	0.230002980006252	0.089913736302639	0.226206044935027	0.0800193759202747	0.0753623350534836
Bacteroides finegoldii	0.307909876180653	0.15173503571673	0.0240031912007137	0.100602631832255	0.106252371759346	0.0358059970520293	0.0800193759202747	0.0708943175492231	0.066611882266889	0.0625114832796152	0.672054217217821	0.124454791188834	0.124454791188834	0.0201854985098541	0.089913736302639
Bacteroides ovatus	0.144586301303347	0.106252371759346	0.000259811849861481	0.235621003512646	0.307909876180653	0.296904115688764	0.044609296463363	0.235621003512646	0.00823976871233844	0.366251460583582	0.0279602596510263	0.1908358740045	0.0708943175492231	0.137657916347729	0.319138785503305
Bacteroides sp. M10	0.0800193759202747	0.0800193759202747	8.36658642909169e-05	0.130948069507173	0.1908358740045	0.199335494617809	0.0220341909323653	0.182563978573167	0.00823976871233844	0.307909876180653	0.00720175094976222	0.0951573665941247	0.044609296463363	0.0848687711339349	0.26523878689279
Barnesiella intestinihominis	0.0585894753885676	0.26523878689279	0.307909876180653	0.217020225759977	0.391096770941896	0.586823664362704	0.664633161792668	0.812182698028059	0.829023640531309	0.1908358740045	0.254245874016199	0.0753623350534836	0.556737056176831	0.378568669662303	0.144586301303347
Bifidobacterium adolescentis	0.112109291468892	0.226206044935027	0.00823976871233844	0.118175957013032	0.130948069507173	0.0951573665941247	0.00395044897254266	0.112109291468892	0.000785441677853611	0.541935885731317	0.220708015504403	0.137657916347729	0.0548421197754078	0.0708943175492231	0.159105769412195
Bifidobacterium ruminantium	0.286122902914987	0.443261936450183	0.00735502885780513	0.089913736302639	0.0800193759202747	0.0585894753885676	0.00114310508680406	0.174519008130059	0.000951362855555507	0.617523489540143	0.225326753392867	0.0800193759202747	0.112109291468892	0.0415214944103185	0.166699987624945
Blautia faecicola	0.27556745095678	0.130948069507173	0.000331668339126921	0.166699987624945	0.0331699010901058	0.0951573665941247	0.066611882266889	0.166699987624945	0.00823976871233844	0.403833088314712	0.383939601453497	0.235621003512646	0.0331699010901058	0.0331699010901058	0.1908358740045
Blautia faecis	0.137657916347729	0.106252371759346	0.000521133700481004	0.0139059688143628	0.0283196712957601	0.0306758950616401	0.00654349014683787	0.0260968910527031	0.0306758950616401	0.0951573665941247	0.025754387074545	0.0283196712957601	0.0548421197754078	0.00344645026182745	0.124454791188834
Blautia luti	0.144586301303347	0.217020225759977	0.000642825988627822	0.044609296463363	0.0139059688143628	0.0168314561868934	0.0139059688143628	0.100602631832255	0.00580115047447825	0.235621003512646	0.512085328993753	0.044609296463363	0.0585894753885676	0.00580115047447825	0.0283196712957601
