id	Gly-Val	Indoline	Hypoxanthine	L-Methionine sulfoxide	Uric acid	L-Pyroglutamic acid	Linoleic acid	Glutamic acid	α-linolenic acid	Pantothenic acid	L-Glutamic acid	Deoxycholic Acid	Gentisic acid	L-Histidine
[Ruminococcus] lactaris	-0.741258741258741	-0.706293706293706	-0.272727272727273	-0.545454545454546	-0.027972027972028	0.678321678321678	0.496503496503497	0.188811188811189	0.216783216783217	0.329826591736577	0.468531468531469	0.559440559440559	0.507881689545301	0.440559440559441
[Ruminococcus] torques	0.258741258741259	0.160839160839161	-0.0699300699300699	0.0699300699300699	-0.027972027972028	-0.510489510489511	-0.342657342657343	-0.0839160839160839	0.00699300699300699	-0.235089166450539	-0.265734265734266	-0.202797202797203	-0.329247440119023	-0.223776223776224
Agathobaculum butyriciproducens	-0.664335664335664	-0.468531468531469	-0.41958041958042	-0.321678321678322	0.0769230769230769	0.601398601398601	0.447552447552448	0.447552447552448	0.125874125874126	0.336844178794802	0.545454545454546	0.188811188811189	0.458844836761617	0.48951048951049
Alistipes communis	0.328671328671329	0.510489510489511	0.566433566433566	0.496503496503497	-0.454545454545455	-0.538461538461539	-0.202797202797203	-0.552447552447553	-0.356643356643357	-0.719302673468067	-0.706293706293706	-0.188811188811189	-0.609458027454361	-0.475524475524476
Alistipes ihumii	0.153846153846154	0.237762237762238	0.321678321678322	0.230769230769231	-0.167832167832168	-0.517482517482518	-0.160839160839161	-0.272727272727273	-0.174825174825175	-0.508775061721315	-0.503496503496504	-0.111888111888112	-0.409807983977933	-0.384615384615385
Alistipes onderdonkii	0.398601398601399	0.559440559440559	0.629370629370629	0.545454545454546	-0.538461538461539	-0.538461538461539	-0.167832167832168	-0.440559440559441	-0.342657342657343	-0.578950932303566	-0.559440559440559	-0.125874125874126	-0.556918542328985	-0.482517482517483
Alistipes senegalensis	0.581436968720827	0.665500144921429	0.760071218147106	0.795097541564023	-0.381786925244399	-0.858144923714474	-0.588442233404211	-0.56742643935406	-0.683013306629888	-0.811952044799515	-0.774081747513873	-0.276707954993647	-0.785964912280702	-0.791594909222331
Alistipes shahii	0.286713286713287	0.461538461538462	0.587412587412588	0.468531468531469	-0.524475524475525	-0.615384615384615	-0.251748251748252	-0.468531468531469	-0.468531468531469	-0.691232325235166	-0.622377622377623	-0.174825174825175	-0.661997512579737	-0.566433566433566
Bacteroides acidifaciens	0.580419580419581	0.531468531468532	0.461538461538462	0.636363636363636	-0.405594405594406	-0.65034965034965	-0.671328671328671	-0.356643356643357	-0.594405594405594	-0.50175747466309	-0.447552447552448	-0.160839160839161	-0.676008041946504	-0.622377622377623
Bacteroides caecimuris	0.475524475524476	0.482517482517483	0.363636363636364	0.426573426573427	-0.258741258741259	-0.181818181818182	-0.321678321678322	-0.496503496503497	-0.370629370629371	-0.133334154106276	-0.272727272727273	-0.384615384615385	-0.34325796948579	-0.251748251748252
Bacteroides cutis	0.685314685314685	0.517482517482518	0.321678321678322	0.307692307692308	-0.153846153846154	-0.615384615384615	-0.587412587412588	-0.531468531468532	-0.272727272727273	-0.368423320556815	-0.559440559440559	-0.377622377622378	-0.595447498087594	-0.503496503496504
Bacteroides finegoldii	0.433566433566434	0.370629370629371	0.300699300699301	0.657342657342657	-0.230769230769231	-0.699300699300699	-0.678321678321678	-0.447552447552448	-0.426573426573427	-0.51579264877954	-0.517482517482518	-0.223776223776224	-0.563923807012369	-0.482517482517483
Bacteroides ovatus	0.643356643356643	0.587412587412588	0.433566433566434	0.468531468531469	-0.237762237762238	-0.496503496503497	-0.615384615384615	-0.433566433566434	-0.594405594405594	-0.340352972323914	-0.405594405594406	-0.398601398601399	-0.602452762770978	-0.559440559440559
Bacteroides sp. M10	0.699300699300699	0.678321678321678	0.580419580419581	0.524475524475525	-0.27972027972028	-0.552447552447553	-0.615384615384615	-0.531468531468532	-0.664335664335664	-0.38947608173149	-0.48951048951049	-0.41958041958042	-0.651489615554662	-0.65034965034965
Barnesiella intestinihominis	0.503496503496504	0.587412587412588	0.447552447552448	0.251748251748252	-0.41958041958042	-0.307692307692308	-0.041958041958042	-0.377622377622378	-0.0629370629370629	-0.298247449974564	-0.426573426573427	-0.125874125874126	-0.392294822269474	-0.293706293706294
Bifidobacterium adolescentis	-0.440559440559441	-0.566433566433566	-0.307692307692308	-0.41958041958042	0.13986013986014	0.475524475524476	0.433566433566434	0.230769230769231	0.580419580419581	0.396493668789715	0.370629370629371	0.587412587412588	0.570929071695752	0.468531468531469
Bifidobacterium ruminantium	-0.398601398601399	-0.566433566433566	-0.377622377622378	-0.433566433566434	0.244755244755245	0.510489510489511	0.384615384615385	0.146853146853147	0.601398601398601	0.368423320556815	0.307692307692308	0.461538461538462	0.560421174670677	0.517482517482518
Blautia faecicola	-0.811188811188811	-0.741258741258741	-0.342657342657343	-0.503496503496504	0.048951048951049	0.629370629370629	0.524475524475525	0.153846153846154	0.314685314685315	0.270177101741664	0.391608391608392	0.503496503496504	0.542908012962218	0.510489510489511
Blautia faecis	-0.79020979020979	-0.685314685314685	-0.713286713286713	-0.601398601398601	0.27972027972028	0.776223776223776	0.706293706293706	0.48951048951049	0.65034965034965	0.494739887604865	0.601398601398601	0.258741258741259	0.742558056438647	0.839160839160839
Blautia luti	-0.678321678321678	-0.734265734265734	-0.391608391608392	-0.601398601398601	0.20979020979021	0.72027972027972	0.496503496503497	0.265734265734266	0.398601398601399	0.424564017022615	0.48951048951049	0.552447552447553	0.630473821504512	0.531468531468532
