id	(serum)2-Hydroxyhippuric acid	(serum)Gentisic acid	(serum)Glutamic acid	(serum)Gly-Val	(serum)Hypoxanthine	(serum)Indoline	(serum)Lauric acid	(serum)L-Glutamic acid	(serum)L-Histidine	(serum)Linoleic acid	(serum)L-Methionine sulfoxide	(serum)L-Pyroglutamic acid	(serum)Pantothenic acid	(serum)Uric acid	(serum)α-Linolenic Acid	(serum)(-)-Camphanic acid	(serum)16-Hydroxyhexadecanoic acid	(serum)2-Amino-1,3,4-octadecanetriol	(serum)8Z,11Z,14Z-Eicosatrienoic acid	(serum)Calcitriol	(serum)Choline	(serum)D-(+)-Pipecolinic acid	(serum)Decanoylcarnitine	(serum)Diphenylsulfoxide	(serum)DL-Mandelic acid	(serum)DL-Stachydrine	(serum)Docosahexaenoic Acid	(serum)Hexanoylcarnitine	(serum)Homogentisate	(serum)Kynurenine	(serum)L(+)-Ornithine	(serum)Lauroylcarnitine	(serum)Levothyroxine	(serum)L-Valine	(serum)Methyl indole-3-acetate	(serum)Myristic Acid	(serum)N,N-Dimethyldodecylamine N-oxide	(serum)N,N-Dimethylglycine	(serum)N-Formyl-DL-methionine	(serum)Octanoyl-L-Carnitine	(serum)Oleic acid	(serum)Oleoyl ethanolamide	(serum)Palmitoleic acid	(serum)PC(16:0/0:0)	(serum)Phosphocholine	(serum)raspberry ketone	(serum)Threonine	(serum)Tretinoin	(serum)Ursocholanic Acid	(serum)α-Aspartylphenylalanine
(faecal)Taurine	-0.713286713286713	0.826621232639249	0.461538461538462	-0.664335664335664	-0.636363636363636	-0.72027972027972	-0.505266268192203	0.79020979020979	0.797202797202797	0.636363636363636	-0.734265734265734	0.923076923076923	0.761408195817417	0.300699300699301	0.832167832167832	-0.475524475524476	0.762237762237762	0.839160839160839	0.825174825174825	0.619965924479436	-0.685314685314685	0.461538461538462	-0.881118881118881	-0.461538461538462	0.65034965034965	-0.741258741258741	0.797202797202797	-0.832167832167832	0.699300699300699	-0.699300699300699	0.692307692307692	-0.693521203654963	-0.72854752707188	-0.741258741258741	-0.510489510489511	0.804195804195804	0.531468531468532	-0.573426573426573	-0.741258741258741	-0.853146853146853	0.671328671328671	0.62697118916282	0.825174825174825	0.783216783216783	0.676008041946504	-0.741258741258741	-0.825174825174825	-0.643356643356643	0.769230769230769	-0.748251748251748
(faecal)Lithocholic Acid	0.734265734265734	-0.858144923714474	-0.566433566433566	0.573426573426573	0.79020979020979	0.699300699300699	0.694741118764279	-0.727272727272727	-0.79020979020979	-0.412587412587413	0.552447552447553	-0.741258741258741	-0.740355434642742	-0.692307692307692	-0.510489510489511	0.762237762237762	-0.727272727272727	-0.825174825174825	-0.762237762237762	-0.483363263153459	0.853146853146853	-0.622377622377623	0.839160839160839	0.461538461538462	-0.776223776223776	0.755244755244755	-0.797202797202797	0.804195804195804	-0.503496503496504	0.412587412587413	-0.797202797202797	0.739055424096955	0.753065953463722	0.517482517482518	0.251748251748252	-0.643356643356643	-0.538461538461539	0.636363636363636	0.524475524475525	0.797202797202797	-0.482517482517483	-0.469352733786692	-0.524475524475525	-0.86013986013986	-0.672505409604812	0.594405594405594	0.643356643356643	0.265734265734266	-0.79020979020979	0.762237762237762
(faecal)Biliverdin	-0.265734265734266	0.718039630046805	0.475524475524476	-0.874125874125874	-0.671328671328671	-0.832167832167832	-0.41754642996439	0.552447552447553	0.741258741258741	0.657342657342657	-0.671328671328671	0.727272727272727	0.43158160408084	0.265734265734266	0.440559440559441	-0.237762237762238	0.643356643356643	0.615384615384615	0.587412587412588	0.858144923714474	-0.734265734265734	0.601398601398601	-0.615384615384615	-0.622377622377623	0.615384615384615	-0.34965034965035	0.538461538461539	-0.594405594405594	0.594405594405594	-0.475524475524476	0.664335664335664	-0.392294822269474	-0.259194793285188	-0.440559440559441	-0.797202797202797	0.748251748251748	0.34965034965035	-0.636363636363636	-0.657342657342657	-0.552447552447553	0.727272727272727	0.213660572843196	0.769230769230769	0.608391608391608	0.399300086952857	-0.748251748251748	-0.636363636363636	-0.307692307692308	0.615384615384615	-0.755244755244755
(faecal)Cholic acid	-0.832167832167832	0.914187041181542	0.538461538461539	-0.622377622377623	-0.734265734265734	-0.72027972027972	-0.638600422298479	0.853146853146853	0.797202797202797	0.503496503496504	-0.692307692307692	0.811188811188811	0.880707175807242	0.524475524475525	0.713286713286713	-0.643356643356643	0.769230769230769	0.832167832167832	0.846153846153846	0.465850101445	-0.797202797202797	0.517482517482518	-0.937062937062937	-0.552447552447553	0.755244755244755	-0.867132867132867	0.867132867132867	-0.909090909090909	0.629370629370629	-0.524475524475525	0.72027972027972	-0.837129129664324	-0.819615967955865	-0.608391608391608	-0.342657342657343	0.741258741258741	0.503496503496504	-0.580419580419581	-0.706293706293706	-0.923076923076923	0.531468531468532	0.679510674288196	0.692307692307692	0.888111888111888	0.749563321122031	-0.678321678321678	-0.79020979020979	-0.503496503496504	0.832167832167832	-0.72027972027972
(faecal)Gentisic acid	-0.524475524475525	0.553415909987294	0.412587412587413	-0.475524475524476	-0.384615384615385	-0.41958041958042	-0.101755012344263	0.629370629370629	0.643356643356643	0.769230769230769	-0.65034965034965	0.818181818181818	0.600003693478241	-0.223776223776224	0.923076923076923	-0.0909090909090909	0.545454545454546	0.65034965034965	0.72027972027972	0.542908012962218	-0.398601398601399	0.27972027972028	-0.573426573426573	-0.482517482517483	0.216783216783217	-0.594405594405594	0.685314685314685	-0.566433566433566	0.86013986013986	-0.692307692307692	0.41958041958042	-0.500876424861918	-0.476357998470075	-0.748251748251748	-0.412587412587413	0.804195804195804	0.503496503496504	-0.461538461538462	-0.804195804195804	-0.552447552447553	0.706293706293706	0.83012386498094	0.832167832167832	0.594405594405594	0.437829042711466	-0.755244755244755	-0.734265734265734	-0.685314685314685	0.496503496503497	-0.461538461538462
(faecal)3-Dehydrocholic acid	-0.699300699300699	0.753065953463722	0.748251748251748	-0.608391608391608	-0.601398601398601	-0.657342657342657	-0.37544090761504	0.825174825174825	0.608391608391608	0.48951048951049	-0.538461538461539	0.622377622377623	0.729829054055404	0.314685314685315	0.447552447552448	-0.517482517482518	0.671328671328671	0.65034965034965	0.846153846153846	0.395797454611166	-0.769230769230769	0.398601398601399	-0.657342657342657	-0.706293706293706	0.531468531468532	-0.678321678321678	0.678321678321678	-0.657342657342657	0.587412587412588	-0.272727272727273	0.538461538461539	-0.795097541564023	-0.62697118916282	-0.377622377622378	-0.391608391608392	0.755244755244755	0.384615384615385	-0.811188811188811	-0.783216783216783	-0.671328671328671	0.559440559440559	0.661997512579737	0.601398601398601	0.811188811188811	0.504379057203609	-0.748251748251748	-0.496503496503497	-0.132867132867133	0.748251748251748	-0.503496503496504
(faecal)Bilirubin	-0.685314685314685	0.612960659796053	0.601398601398601	-0.615384615384615	-0.496503496503497	-0.482517482517483	-0.329826591736577	0.699300699300699	0.671328671328671	0.818181818181818	-0.643356643356643	0.713286713286713	0.656144389944041	-0.013986013986014	0.636363636363636	-0.251748251748252	0.776223776223776	0.594405594405594	0.783216783216783	0.52539485125376	-0.601398601398601	0.447552447552448	-0.566433566433566	-0.594405594405594	0.447552447552448	-0.538461538461539	0.657342657342657	-0.559440559440559	0.685314685314685	-0.622377622377623	0.48951048951049	-0.686515938971579	-0.44483430739485	-0.496503496503497	-0.622377622377623	0.657342657342657	0.328671328671329	-0.664335664335664	-0.86013986013986	-0.559440559440559	0.748251748251748	0.767076482830489	0.72027972027972	0.755244755244755	0.62697118916282	-0.657342657342657	-0.559440559440559	-0.272727272727273	0.65034965034965	-0.524475524475525
(faecal)D-(+)-Proline	0.615384615384615	-0.633976453846203	-0.426573426573427	0.48951048951049	0.552447552447553	0.580419580419581	0.235089166450539	-0.685314685314685	-0.713286713286713	-0.65034965034965	0.755244755244755	-0.902097902097902	-0.670179564060491	-0.041958041958042	-0.902097902097902	0.307692307692308	-0.636363636363636	-0.776223776223776	-0.713286713286713	-0.549913277645602	0.496503496503497	-0.41958041958042	0.755244755244755	0.391608391608392	-0.384615384615385	0.685314685314685	-0.713286713286713	0.734265734265734	-0.811188811188811	0.692307692307692	-0.601398601398601	0.62697118916282	0.605955395112669	0.699300699300699	0.391608391608392	-0.839160839160839	-0.559440559440559	0.517482517482518	0.748251748251748	0.706293706293706	-0.678321678321678	-0.721542262388497	-0.804195804195804	-0.657342657342657	-0.549913277645602	0.727272727272727	0.776223776223776	0.643356643356643	-0.622377622377623	0.615384615384615
(faecal)Indole	0.958041958041958	-0.83012386498094	-0.601398601398601	0.510489510489511	0.531468531468532	0.475524475524476	0.680705944647829	-0.846153846153846	-0.629370629370629	-0.531468531468532	0.580419580419581	-0.671328671328671	-0.884215969336355	-0.545454545454546	-0.559440559440559	0.769230769230769	-0.86013986013986	-0.692307692307692	-0.881118881118881	-0.427321145686391	0.776223776223776	-0.447552447552448	0.713286713286713	0.328671328671329	-0.748251748251748	0.741258741258741	-0.818181818181818	0.664335664335664	-0.384615384615385	0.475524475524476	-0.468531468531469	0.735552791755264	0.70753173302173	0.629370629370629	0.286713286713287	-0.48951048951049	-0.447552447552448	0.475524475524476	0.678321678321678	0.734265734265734	-0.587412587412588	-0.64798698321297	-0.622377622377623	-0.888111888111888	-0.861647556056166	0.566433566433566	0.692307692307692	0.440559440559441	-0.895104895104895	0.552447552447553
(faecal)Deoxycholic Acid	-0.608391608391608	0.851139659031091	0.363636363636364	-0.573426573426573	-0.65034965034965	-0.713286713286713	-0.48772230054664	0.685314685314685	0.755244755244755	0.510489510489511	-0.706293706293706	0.741258741258741	0.768425782875642	0.412587412587413	0.65034965034965	-0.314685314685315	0.685314685314685	0.629370629370629	0.657342657342657	0.542908012962218	-0.706293706293706	0.461538461538462	-0.867132867132867	-0.643356643356643	0.727272727272727	-0.706293706293706	0.706293706293706	-0.839160839160839	0.643356643356643	-0.468531468531469	0.706293706293706	-0.679510674288196	-0.595447498087594	-0.48951048951049	-0.405594405594406	0.748251748251748	0.237762237762238	-0.405594405594406	-0.664335664335664	-0.846153846153846	0.524475524475525	0.577934336379136	0.692307692307692	0.748251748251748	0.683013306629888	-0.608391608391608	-0.776223776223776	-0.482517482517483	0.65034965034965	-0.608391608391608
