id	(serum)2-Hydroxyhippuric acid	(serum)Gentisic acid	(serum)Glutamic acid	(serum)Gly-Val	(serum)Hypoxanthine	(serum)Indoline	(serum)Lauric acid	(serum)L-Glutamic acid	(serum)L-Histidine	(serum)Linoleic acid	(serum)L-Methionine sulfoxide	(serum)L-Pyroglutamic acid	(serum)Pantothenic acid	(serum)Uric acid	(serum)α-Linolenic Acid	(serum)(-)-Camphanic acid	(serum)16-Hydroxyhexadecanoic acid	(serum)2-Amino-1,3,4-octadecanetriol	(serum)8Z,11Z,14Z-Eicosatrienoic acid	(serum)Calcitriol	(serum)Choline	(serum)D-(+)-Pipecolinic acid	(serum)Decanoylcarnitine	(serum)Diphenylsulfoxide	(serum)DL-Mandelic acid	(serum)DL-Stachydrine	(serum)Docosahexaenoic Acid	(serum)Hexanoylcarnitine	(serum)Homogentisate	(serum)Kynurenine	(serum)L(+)-Ornithine	(serum)Lauroylcarnitine	(serum)Levothyroxine	(serum)L-Valine	(serum)Methyl indole-3-acetate	(serum)Myristic Acid	(serum)N,N-Dimethyldodecylamine N-oxide	(serum)N,N-Dimethylglycine	(serum)N-Formyl-DL-methionine	(serum)Octanoyl-L-Carnitine	(serum)Oleic acid	(serum)Oleoyl ethanolamide	(serum)Palmitoleic acid	(serum)PC(16:0/0:0)	(serum)Phosphocholine	(serum)raspberry ketone	(serum)Threonine	(serum)Tretinoin	(serum)Ursocholanic Acid	(serum)α-Aspartylphenylalanine
(faecal)Taurine	(faecal)Taurine	0.00920177977763475	0.000915011267983694	0.130948069507173	0.0184527180284454	0.0260968910527031	0.00823976871233844	0.093811385410168	0.00222313540999092	0.00190036772552827	0.0260968910527031	0.00654349014683787	1.86219510986808e-05	0.00401374872289517	0.342259528940024	0.000785441677853611	0.118175957013032	0.00395044897254266	0.000642825988627822	0.000951362855555507	0.0315202260794164	0.0139059688143628	0.130948069507173	0.000152674064676699	0.130948069507173	0.0220341909323653	0.00580115047447825	0.00190036772552827	0.000785441677853611	0.0113741986426909	0.0113741986426909	0.0125930304960941	0.0123748962417939	0.00720175094976222	0.00580115047447825	0.089913736302639	0.00161476898606993	0.0753623350534836	0.0512655897864915	0.00580115047447825	0.000418117940414996	0.0168314561868934	0.0291128808659877	0.000951362855555507	0.00258621483336258	0.0158066882441518	0.00580115047447825	0.000951362855555507	0.0240031912007137	0.00344645026182745	0.00512408169875306
(faecal)Lithocholic Acid	(faecal)Lithocholic Acid	0.00654349014683787	0.000354759007349313	0.0548421197754078	0.0512655897864915	0.00222313540999092	0.0113741986426909	0.0121584444632987	0.00735502885780513	0.00222313540999092	0.182563978573167	0.0625114832796152	0.00580115047447825	0.00589328714053855	0.0125930304960941	0.089913736302639	0.00395044897254266	0.00735502885780513	0.000951362855555507	0.00395044897254266	0.111389816475383	0.000418117940414996	0.0306758950616401	0.000642825988627822	0.130948069507173	0.00299286368018598	0.00450843548429422	0.00190036772552827	0.00161476898606993	0.0951573665941247	0.182563978573167	0.00190036772552827	0.00602781559390307	0.00469389304867378	0.0848687711339349	0.429918785032884	0.0240031912007137	0.0708943175492231	0.0260968910527031	0.0800193759202747	0.00190036772552827	0.112109291468892	0.123706328208118	0.0800193759202747	0.000331668339126921	0.0165692907131667	0.0415214944103185	0.0240031912007137	0.403833088314712	0.00222313540999092	0.00395044897254266
(faecal)Biliverdin	(faecal)Biliverdin	0.403833088314712	0.00853932400138905	0.118175957013032	0.000200713073324232	0.0168314561868934	0.000785441677853611	0.176835623522082	0.0625114832796152	0.00580115047447825	0.0201854985098541	0.0168314561868934	0.00735502885780513	0.161238466646785	0.403833088314712	0.15173503571673	0.456800852639923	0.0240031912007137	0.0331699010901058	0.044609296463363	0.000354759007349313	0.00654349014683787	0.0385884529220194	0.0331699010901058	0.0306758950616401	0.0331699010901058	0.26523878689279	0.0708943175492231	0.0415214944103185	0.0415214944103185	0.118175957013032	0.0184527180284454	0.207196608827139	0.415929261274779	0.15173503571673	0.00190036772552827	0.00512408169875306	0.26523878689279	0.0260968910527031	0.0201854985098541	0.0625114832796152	0.00735502885780513	0.50491268758604	0.00344645026182745	0.0358059970520293	0.198476018031437	0.00512408169875306	0.0260968910527031	0.33058925941211	0.0331699010901058	0.00450843548429422
(faecal)Cholic acid	(faecal)Cholic acid	0.000785441677853611	3.16859458552773e-05	0.0708943175492231	0.0306758950616401	0.00654349014683787	0.00823976871233844	0.0254133680576534	0.000418117940414996	0.00190036772552827	0.0951573665941247	0.0125930304960941	0.00136331525272719	0.00015522453975657	0.0800193759202747	0.00920177977763475	0.0240031912007137	0.00344645026182745	0.000785441677853611	0.000521133700481004	0.126919076734107	0.00190036772552827	0.0848687711339349	6.99316495321055e-06	0.0625114832796152	0.00450843548429422	0.000259811849861481	0.000259811849861481	4.1910446530342e-05	0.0283196712957601	0.0800193759202747	0.00823976871233844	0.000682001289681332	0.00110155002966819	0.0358059970520293	0.27556745095678	0.00580115047447825	0.0951573665941247	0.0478559768420606	0.0102451939411279	1.86219510986808e-05	0.0753623350534836	0.0150702293109323	0.0125930304960941	0.00011413359814618	0.00500404918378826	0.0153173290532817	0.00222313540999092	0.0951573665941247	0.000785441677853611	0.00823976871233844
(faecal)Gentisic acid	(faecal)Gentisic acid	0.0800193759202747	0.0619578253998606	0.182563978573167	0.118175957013032	0.217020225759977	0.174519008130059	0.753012276329634	0.0283196712957601	0.0240031912007137	0.00344645026182745	0.0220341909323653	0.00114310508680406	0.0391613550696443	0.484451661455399	1.86219510986808e-05	0.778725396245442	0.066611882266889	0.0220341909323653	0.00823976871233844	0.0681500850864123	0.199335494617809	0.378568669662303	0.0512655897864915	0.112109291468892	0.498555985524188	0.0415214944103185	0.0139059688143628	0.0548421197754078	0.000331668339126921	0.0125930304960941	0.174519008130059	0.0971737747799286	0.117441756879022	0.00512408169875306	0.182563978573167	0.00161476898606993	0.0951573665941247	0.130948069507173	0.00161476898606993	0.0625114832796152	0.0102451939411279	0.000831418344902281	0.000785441677853611	0.0415214944103185	0.15458641247553	0.00450843548429422	0.00654349014683787	0.0139059688143628	0.100602631832255	0.130948069507173
(faecal)3-Dehydrocholic acid	(faecal)3-Dehydrocholic acid	0.0113741986426909	0.00469389304867378	0.00512408169875306	0.0358059970520293	0.0385884529220194	0.0201854985098541	0.229118453414914	0.000951362855555507	0.0358059970520293	0.106252371759346	0.0708943175492231	0.0306758950616401	0.00705009125117844	0.319138785503305	0.144586301303347	0.0848687711339349	0.0168314561868934	0.0220341909323653	0.000521133700481004	0.2028076432501	0.00344645026182745	0.199335494617809	0.0201854985098541	0.0102451939411279	0.0753623350534836	0.0153173290532817	0.0153173290532817	0.0201854985098541	0.044609296463363	0.391096770941896	0.0708943175492231	0.00199348577413529	0.0291128808659877	0.226206044935027	0.208063463695353	0.00450843548429422	0.217020225759977	0.00136331525272719	0.00258621483336258	0.0168314561868934	0.0585894753885676	0.0190194558338804	0.0385884529220194	0.00136331525272719	0.0944845356273572	0.00512408169875306	0.100602631832255	0.680597508286082	0.00512408169875306	0.0951573665941247
(faecal)Bilirubin	(faecal)Bilirubin	0.0139059688143628	0.0340673316633562	0.0385884529220194	0.0331699010901058	0.100602631832255	0.112109291468892	0.295107512568047	0.0113741986426909	0.0168314561868934	0.00114310508680406	0.0240031912007137	0.00920177977763475	0.0204939250284564	0.96559026891878	0.0260968910527031	0.429918785032884	0.00299286368018598	0.0415214944103185	0.00258621483336258	0.0793962329371461	0.0385884529220194	0.144586301303347	0.0548421197754078	0.0415214944103185	0.144586301303347	0.0708943175492231	0.0201854985098541	0.0585894753885676	0.0139059688143628	0.0306758950616401	0.106252371759346	0.0136735522412892	0.147338698712389	0.100602631832255	0.0306758950616401	0.0201854985098541	0.296904115688764	0.0184527180284454	0.000331668339126921	0.0585894753885676	0.00512408169875306	0.00359617644538398	0.00823976871233844	0.00450843548429422	0.0291128808659877	0.0201854985098541	0.0585894753885676	0.391096770941896	0.0220341909323653	0.0800193759202747
(faecal)D-(+)-Proline	(faecal)D-(+)-Proline	0.0331699010901058	0.0268409444196137	0.166699987624945	0.106252371759346	0.0625114832796152	0.0478559768420606	0.46202707310301	0.0139059688143628	0.00920177977763475	0.0220341909323653	0.00450843548429422	5.9978574465377e-05	0.0170903931695047	0.896985870819554	5.9978574465377e-05	0.33058925941211	0.0260968910527031	0.00299286368018598	0.00920177977763475	0.0639766697540814	0.100602631832255	0.174519008130059	0.00450843548429422	0.208063463695353	0.217020225759977	0.0139059688143628	0.00920177977763475	0.00654349014683787	0.00136331525272719	0.0125930304960941	0.0385884529220194	0.0291128808659877	0.0367585156261882	0.0113741986426909	0.208063463695353	0.000642825988627822	0.0585894753885676	0.0848687711339349	0.00512408169875306	0.0102451939411279	0.0153173290532817	0.00807443795290615	0.00161476898606993	0.0201854985098541	0.0639766697540814	0.00735502885780513	0.00299286368018598	0.0240031912007137	0.0306758950616401	0.0331699010901058
(faecal)Indole	(faecal)Indole	9.54358182683829e-07	0.000831418344902281	0.0385884529220194	0.089913736302639	0.0753623350534836	0.118175957013032	0.0148247983817257	0.000521133700481004	0.0283196712957601	0.0753623350534836	0.0478559768420606	0.0168314561868934	0.000134521009918631	0.066611882266889	0.0585894753885676	0.00344645026182745	0.000331668339126921	0.0125930304960941	0.000152674064676699	0.165877273197386	0.00299286368018598	0.144586301303347	0.00920177977763475	0.296904115688764	0.00512408169875306	0.00580115047447825	0.00114310508680406	0.0184527180284454	0.217020225759977	0.118175957013032	0.124454791188834	0.00640178456545794	0.0100543554551854	0.0283196712957601	0.366251460583582	0.106252371759346	0.144586301303347	0.118175957013032	0.0153173290532817	0.00654349014683787	0.044609296463363	0.022685763799563	0.0306758950616401	0.00011413359814618	0.000315007062527429	0.0548421197754078	0.0125930304960941	0.15173503571673	8.36658642909169e-05	0.0625114832796152
(faecal)Deoxycholic Acid	(faecal)Deoxycholic Acid	0.0358059970520293	0.000445901287358501	0.245265000730777	0.0512655897864915	0.0220341909323653	0.00920177977763475	0.107730230495926	0.0139059688143628	0.00450843548429422	0.089913736302639	0.0102451939411279	0.00580115047447825	0.00350183274178599	0.182563978573167	0.0220341909323653	0.319138785503305	0.0139059688143628	0.0283196712957601	0.0201854985098541	0.0681500850864123	0.0102451939411279	0.130948069507173	0.000259811849861481	0.0240031912007137	0.00735502885780513	0.0102451939411279	0.0102451939411279	0.000642825988627822	0.0240031912007137	0.124454791188834	0.0102451939411279	0.0150702293109323	0.041074783467649	0.106252371759346	0.1908358740045	0.00512408169875306	0.456800852639923	0.1908358740045	0.0184527180284454	0.000521133700481004	0.0800193759202747	0.0490488481513114	0.0125930304960941	0.00512408169875306	0.0143593660834832	0.0358059970520293	0.00299286368018598	0.112109291468892	0.0220341909323653	0.0358059970520293
