id	(faecal)Taurine	(faecal)Lithocholic Acid	(faecal)Biliverdin	(faecal)Cholic acid	(faecal)Gentisic acid	(faecal)3-Dehydrocholic acid	(faecal)Bilirubin	(faecal)D-(+)-Proline	(faecal)Indole	(faecal)Deoxycholic Acid	(faecal)Υ-Aminobutyric acid (GABA)	(faecal)L-Tyrosine	(faecal)Inosine	(faecal)Gly-Val	(faecal)Choline	(faecal)D-(+)-Pyroglutamic Acid	(faecal)α-Linolenic Acid	(faecal)L-Glutamic acid	(faecal)Citrulline	(faecal)D-Glucuronic Acid	(faecal)Oleic acid	(faecal)L-Norleucine	(faecal)Xanthine	(faecal)Creatine	(faecal)Ribose	(faecal)Uracil	(faecal)L-(+)-Citrulline	(faecal)citramalate	(faecal)L-Isoleucine	(faecal)Glucose	(faecal)PC(16:0/0:0)	(faecal)α-Muricholic Acid	(faecal)L(+)-Ornithine	(faecal)Thymine	(faecal)(-)-Riboflavin	(faecal)L(-)-Pipecolinic acid	(faecal)4-aminobutyric acid	(faecal)2-Deoxyadenosine	(faecal)N-Acetyltryptophan	(faecal)4-Phenylbutyric acid	(faecal)beta-Hydroxymyristic acid	(faecal)8-Hydroxyquinoline	(faecal)5-Hydroxyindole-3-acetic acid	(faecal)Ethyl myristate	(faecal)3-Phenyllactic acid	(faecal)Oxypurinol	(faecal)N-Acetyl-DL-aspartic acid	(faecal)N-Tigloylglycine	(faecal)N-Acetyl-L-aspartic acid	(faecal)Urocanic acid
[Ruminococcus] lactaris	0.671328671328671	-0.384615384615385	0.748251748251748	0.475524475524476	0.510489510489511	0.398601398601399	0.48951048951049	-0.608391608391608	-0.342657342657343	0.510489510489511	0.482517482517483	-0.65034965034965	0.0770579115172181	-0.657342657342657	0.699300699300699	-0.524475524475525	-0.265734265734266	-0.482517482517483	-0.41958041958042	0.594405594405594	-0.573426573426573	-0.741258741258741	-0.244755244755245	0.608391608391608	0.566433566433566	-0.391608391608392	-0.468531468531469	0.608391608391608	-0.727272727272727	0.531468531468532	0.622377622377623	0.566433566433566	-0.48951048951049	-0.741258741258741	-0.511384321886993	-0.678321678321678	0.426573426573427	0.384615384615385	0.426573426573427	-0.398601398601399	-0.48951048951049	-0.132867132867133	-0.146853146853147	-0.314685314685315	0.888111888111888	-0.293706293706294	0.706293706293706	-0.48951048951049	0.846153846153846	-0.678321678321678
[Ruminococcus] torques	-0.447552447552448	0.391608391608392	-0.237762237762238	-0.377622377622378	-0.398601398601399	-0.405594405594406	-0.188811188811189	0.377622377622378	0.426573426573427	-0.181818181818182	-0.531468531468532	0.0839160839160839	0.210157940501504	0.055944055944056	-0.237762237762238	0.0839160839160839	0.111888111888112	-0.020979020979021	0.041958041958042	-0.615384615384615	0.146853146853147	0.188811188811189	0.223776223776224	-0.181818181818182	-0.41958041958042	0.0699300699300699	0.167832167832168	-0.307692307692308	0.181818181818182	-0.174825174825175	-0.125874125874126	-0.335664335664336	0.370629370629371	0.482517482517483	0.0770579115172181	0.426573426573427	-0.265734265734266	-0.00699300699300699	-0.321678321678322	-0.0839160839160839	0.433566433566434	-0.104895104895105	-0.0769230769230769	0	-0.447552447552448	0.174825174825175	-0.482517482517483	0.468531468531469	-0.482517482517483	0.0979020979020979
Agathobaculum butyriciproducens	0.503496503496504	-0.461538461538462	0.384615384615385	0.496503496503497	0.461538461538462	0.559440559440559	0.447552447552448	-0.391608391608392	-0.552447552447553	0.160839160839161	0.496503496503497	-0.293706293706294	0.20315267581812	0	0.391608391608392	-0.293706293706294	-0.573426573426573	-0.314685314685315	-0.608391608391608	0.762237762237762	-0.384615384615385	-0.370629370629371	-0.314685314685315	0.293706293706294	0.482517482517483	-0.363636363636364	-0.706293706293706	0.475524475524476	-0.370629370629371	0.713286713286713	0.265734265734266	0.27972027972028	-0.454545454545455	-0.545454545454546	-0.0140105293667669	-0.510489510489511	0.174825174825175	0.377622377622378	0.510489510489511	-0.118881118881119	-0.503496503496504	-0.300699300699301	-0.363636363636364	-0.104895104895105	0.573426573426573	-0.27972027972028	0.384615384615385	-0.468531468531469	0.405594405594406	-0.363636363636364
Alistipes communis	-0.587412587412588	0.783216783216783	-0.20979020979021	-0.755244755244755	-0.370629370629371	-0.783216783216783	-0.475524475524476	0.580419580419581	0.692307692307692	-0.482517482517483	-0.762237762237762	0.335664335664336	-0.252189528601805	0.188811188811189	-0.48951048951049	0.573426573426573	0.601398601398601	0.496503496503497	0.216783216783217	-0.461538461538462	0.426573426573427	0.356643356643357	0.874125874125874	-0.426573426573427	-0.573426573426573	0.741258741258741	0.601398601398601	-0.510489510489511	0.34965034965035	-0.391608391608392	-0.524475524475525	-0.34965034965035	0.552447552447553	0.524475524475525	0.175131617084587	0.580419580419581	-0.300699300699301	-0.307692307692308	-0.818181818181818	0.377622377622378	0.377622377622378	0.580419580419581	0.587412587412588	0.636363636363636	-0.314685314685315	0.86013986013986	-0.503496503496504	0.713286713286713	-0.34965034965035	0.356643356643357
Alistipes ihumii	-0.566433566433566	0.615384615384615	0.013986013986014	-0.671328671328671	-0.510489510489511	-0.552447552447553	-0.223776223776224	0.580419580419581	0.552447552447553	-0.363636363636364	-0.636363636363636	0.146853146853147	0.0630473821504512	-0.034965034965035	-0.447552447552448	0.41958041958042	0.370629370629371	0.363636363636364	0.195804195804196	-0.335664335664336	0.265734265734266	0.167832167832168	0.699300699300699	-0.328671328671329	-0.566433566433566	0.552447552447553	0.461538461538462	-0.237762237762238	0.251748251748252	-0.188811188811189	-0.426573426573427	-0.342657342657343	0.643356643356643	0.552447552447553	-0.0630473821504512	0.545454545454546	-0.237762237762238	-0.258741258741259	-0.671328671328671	0.272727272727273	0.594405594405594	0.475524475524476	0.454545454545455	0.461538461538462	-0.132867132867133	0.678321678321678	-0.27972027972028	0.608391608391608	-0.216783216783217	0.244755244755245
Alistipes onderdonkii	-0.559440559440559	0.769230769230769	-0.335664335664336	-0.664335664335664	-0.216783216783217	-0.559440559440559	-0.300699300699301	0.545454545454546	0.545454545454546	-0.433566433566434	-0.741258741258741	0.20979020979021	-0.245184263918421	0.174825174825175	-0.482517482517483	0.559440559440559	0.48951048951049	0.447552447552448	0.342657342657343	-0.475524475524476	0.356643356643357	0.251748251748252	0.741258741258741	-0.433566433566434	-0.517482517482518	0.587412587412588	0.573426573426573	-0.594405594405594	0.34965034965035	-0.356643356643357	-0.524475524475525	-0.377622377622378	0.468531468531469	0.482517482517483	0.16112108771782	0.587412587412588	-0.146853146853147	-0.195804195804196	-0.776223776223776	0.307692307692308	0.300699300699301	0.41958041958042	0.377622377622378	0.468531468531469	-0.307692307692308	0.692307692307692	-0.391608391608392	0.776223776223776	-0.314685314685315	0.363636363636364
Alistipes senegalensis	-0.865150188397858	0.851139659031091	-0.577934336379136	-0.893171247131392	-0.683013306629888	-0.714536997705113	-0.637479086187895	0.875658085422933	0.721542262388497	-0.760071218147106	-0.816113335614173	0.602452762770978	-0.340350877192983	0.500876424861918	-0.742558056438647	0.83012386498094	0.661997512579737	0.735552791755264	0.483363263153459	-0.630473821504512	0.721542262388497	0.633976453846203	0.746060688780339	-0.767076482830489	-0.844134394347707	0.760071218147106	0.683013306629888	-0.725044894730188	0.742558056438647	-0.507881689545301	-0.770579115172181	-0.735552791755264	0.83012386498094	0.823118600297557	0.463157894736842	0.907181776498158	-0.500876424861918	-0.640981718529587	-0.924694938206617	0.683013306629888	0.725044894730188	0.704029100680038	0.651489615554662	0.742558056438647	-0.574431704037444	0.777584379855564	-0.651489615554662	0.847637026689399	-0.644484350871279	0.746060688780339
Alistipes shahii	-0.678321678321678	0.881118881118881	-0.293706293706294	-0.818181818181818	-0.454545454545455	-0.685314685314685	-0.272727272727273	0.657342657342657	0.636363636363636	-0.615384615384615	-0.846153846153846	0.195804195804196	-0.252189528601805	0.223776223776224	-0.48951048951049	0.573426573426573	0.468531468531469	0.48951048951049	0.195804195804196	-0.41958041958042	0.454545454545455	0.230769230769231	0.832167832167832	-0.468531468531469	-0.713286713286713	0.622377622377623	0.496503496503497	-0.559440559440559	0.342657342657343	-0.195804195804196	-0.545454545454546	-0.552447552447553	0.622377622377623	0.587412587412588	0.290718484360414	0.657342657342657	-0.398601398601399	-0.307692307692308	-0.846153846153846	0.398601398601399	0.517482517482518	0.573426573426573	0.524475524475525	0.559440559440559	-0.216783216783217	0.755244755244755	-0.426573426573427	0.846153846153846	-0.300699300699301	0.335664335664336
Bacteroides acidifaciens	-0.629370629370629	0.524475524475525	-0.825174825174825	-0.503496503496504	-0.384615384615385	-0.307692307692308	-0.468531468531469	0.510489510489511	0.475524475524476	-0.657342657342657	-0.461538461538462	0.48951048951049	-0.458844836761617	0.72027972027972	-0.454545454545455	0.524475524475525	0.335664335664336	0.433566433566434	0.244755244755245	-0.580419580419581	0.629370629370629	0.566433566433566	0.13986013986014	-0.657342657342657	-0.629370629370629	0.265734265734266	0.300699300699301	-0.755244755244755	0.636363636363636	-0.370629370629371	-0.461538461538462	-0.706293706293706	0.377622377622378	0.517482517482518	0.816113335614173	0.629370629370629	-0.657342657342657	-0.412587412587413	-0.461538461538462	0.510489510489511	0.412587412587413	0.293706293706294	0.251748251748252	0.293706293706294	-0.671328671328671	0.153846153846154	-0.629370629370629	0.41958041958042	-0.664335664335664	0.573426573426573
Bacteroides caecimuris	-0.146853146853147	0.195804195804196	-0.713286713286713	-0.0839160839160839	-0.048951048951049	-0.237762237762238	-0.237762237762238	0.055944055944056	0.055944055944056	-0.300699300699301	-0.125874125874126	0.335664335664336	-0.577934336379136	0.531468531468532	-0.125874125874126	0.223776223776224	0.272727272727273	0.244755244755245	0.27972027972028	-0.307692307692308	0.412587412587413	0.356643356643357	-0.027972027972028	-0.188811188811189	-0.20979020979021	0.020979020979021	0.195804195804196	-0.615384615384615	0.293706293706294	-0.34965034965035	-0.146853146853147	-0.27972027972028	-0.0839160839160839	0.13986013986014	0.665500144921429	0.153846153846154	-0.34965034965035	-0.272727272727273	-0.132867132867133	0.237762237762238	-0.0769230769230769	0.0839160839160839	0.111888111888112	0.041958041958042	-0.405594405594406	-0.132867132867133	-0.342657342657343	0.13986013986014	-0.300699300699301	0.293706293706294
