id	(faecal)Taurine	(faecal)Lithocholic Acid	(faecal)Biliverdin	(faecal)Cholic acid	(faecal)Gentisic acid	(faecal)3-Dehydrocholic acid	(faecal)Bilirubin	(faecal)D-(+)-Proline	(faecal)Indole	(faecal)Deoxycholic Acid	(faecal)Υ-Aminobutyric acid (GABA)	(faecal)L-Tyrosine	(faecal)Inosine	(faecal)Gly-Val	(faecal)Choline	(faecal)D-(+)-Pyroglutamic Acid	(faecal)α-Linolenic Acid	(faecal)L-Glutamic acid	(faecal)Citrulline	(faecal)D-Glucuronic Acid	(faecal)Oleic acid	(faecal)L-Norleucine	(faecal)Xanthine	(faecal)Creatine	(faecal)Ribose	(faecal)Uracil	(faecal)L-(+)-Citrulline	(faecal)citramalate	(faecal)L-Isoleucine	(faecal)Glucose	(faecal)PC(16:0/0:0)	(faecal)α-Muricholic Acid	(faecal)L(+)-Ornithine	(faecal)Thymine	(faecal)(-)-Riboflavin	(faecal)L(-)-Pipecolinic acid	(faecal)4-aminobutyric acid	(faecal)2-Deoxyadenosine	(faecal)N-Acetyltryptophan	(faecal)4-Phenylbutyric acid	(faecal)beta-Hydroxymyristic acid	(faecal)8-Hydroxyquinoline	(faecal)5-Hydroxyindole-3-acetic acid	(faecal)Ethyl myristate	(faecal)3-Phenyllactic acid	(faecal)Oxypurinol	(faecal)N-Acetyl-DL-aspartic acid	(faecal)N-Tigloylglycine	(faecal)N-Acetyl-L-aspartic acid	(faecal)Urocanic acid
[Ruminococcus] lactaris	[Ruminococcus] lactaris	0.0168314561868934	0.217020225759977	0.00512408169875306	0.118175957013032	0.089913736302639	0.199335494617809	0.106252371759346	0.0358059970520293	0.27556745095678	0.089913736302639	0.112109291468892	0.0220341909323653	0.811858676333336	0.0201854985098541	0.0113741986426909	0.0800193759202747	0.403833088314712	0.112109291468892	0.174519008130059	0.0415214944103185	0.0512655897864915	0.00580115047447825	0.443261936450183	0.0358059970520293	0.0548421197754078	0.208063463695353	0.124454791188834	0.0358059970520293	0.00735502885780513	0.0753623350534836	0.0306758950616401	0.0548421197754078	0.106252371759346	0.00580115047447825	0.0892571722151939	0.0153173290532817	0.166699987624945	0.217020225759977	0.166699987624945	0.199335494617809	0.106252371759346	0.680597508286082	0.648795709784666	0.319138785503305	0.00011413359814618	0.354147641232921	0.0102451939411279	0.106252371759346	0.000521133700481004	0.0153173290532817
[Ruminococcus] torques	[Ruminococcus] torques	0.144586301303347	0.208063463695353	0.456800852639923	0.226206044935027	0.199335494617809	0.1908358740045	0.556737056176831	0.226206044935027	0.166699987624945	0.571701238527655	0.0753623350534836	0.795414501853898	0.512085328993753	0.862898073694971	0.456800852639923	0.795414501853898	0.729194990751066	0.948402225236522	0.896985870819554	0.0331699010901058	0.648795709784666	0.556737056176831	0.484451661455399	0.571701238527655	0.174519008130059	0.829023640531309	0.602099427786538	0.33058925941211	0.571701238527655	0.586823664362704	0.696683109395766	0.286122902914987	0.235621003512646	0.112109291468892	0.811858676333336	0.166699987624945	0.403833088314712	0.982791768902848	0.307909876180653	0.795414501853898	0.159105769412195	0.745609480980708	0.812182698028059	1	0.144586301303347	0.586823664362704	0.112109291468892	0.124454791188834	0.112109291468892	0.762121655996299
Agathobaculum butyriciproducens	Agathobaculum butyriciproducens	0.0951573665941247	0.130948069507173	0.217020225759977	0.100602631832255	0.130948069507173	0.0585894753885676	0.144586301303347	0.208063463695353	0.0625114832796152	0.617523489540143	0.100602631832255	0.354147641232921	0.526563052910977	1	0.208063463695353	0.354147641232921	0.0512655897864915	0.319138785503305	0.0358059970520293	0.00395044897254266	0.217020225759977	0.235621003512646	0.319138785503305	0.354147641232921	0.112109291468892	0.245265000730777	0.0102451939411279	0.118175957013032	0.235621003512646	0.00920177977763475	0.403833088314712	0.378568669662303	0.137657916347729	0.066611882266889	0.965529985372758	0.089913736302639	0.586823664362704	0.226206044935027	0.089913736302639	0.712884219214772	0.0951573665941247	0.342259528940024	0.245265000730777	0.745609480980708	0.0512655897864915	0.378568669662303	0.217020225759977	0.124454791188834	0.1908358740045	0.245265000730777
Alistipes communis	Alistipes communis	0.044609296463363	0.00258621483336258	0.512840943181826	0.00450843548429422	0.235621003512646	0.00258621483336258	0.118175957013032	0.0478559768420606	0.0125930304960941	0.112109291468892	0.00395044897254266	0.286122902914987	0.42908344267491	0.556737056176831	0.106252371759346	0.0512655897864915	0.0385884529220194	0.100602631832255	0.498555985524188	0.130948069507173	0.166699987624945	0.255137751758957	0.000200713073324232	0.166699987624945	0.0512655897864915	0.00580115047447825	0.0385884529220194	0.089913736302639	0.26523878689279	0.208063463695353	0.0800193759202747	0.26523878689279	0.0625114832796152	0.0800193759202747	0.586157732126183	0.0478559768420606	0.342259528940024	0.33058925941211	0.00114310508680406	0.226206044935027	0.226206044935027	0.0478559768420606	0.044609296463363	0.0260968910527031	0.319138785503305	0.000331668339126921	0.0951573665941247	0.00920177977763475	0.26523878689279	0.255137751758957
Alistipes ihumii	Alistipes ihumii	0.0548421197754078	0.0331699010901058	0.96559026891878	0.0168314561868934	0.089913736302639	0.0625114832796152	0.484451661455399	0.0478559768420606	0.0625114832796152	0.245265000730777	0.0260968910527031	0.648795709784666	0.845663716050892	0.91409334241076	0.144586301303347	0.174519008130059	0.235621003512646	0.245265000730777	0.541935885731317	0.286122902914987	0.403833088314712	0.602099427786538	0.0113741986426909	0.296904115688764	0.0548421197754078	0.0625114832796152	0.130948069507173	0.456800852639923	0.429918785032884	0.556737056176831	0.166699987624945	0.27556745095678	0.0240031912007137	0.0625114832796152	0.845663716050892	0.066611882266889	0.456800852639923	0.416774768899138	0.0168314561868934	0.391096770941896	0.0415214944103185	0.118175957013032	0.137657916347729	0.130948069507173	0.680597508286082	0.0153173290532817	0.378568669662303	0.0358059970520293	0.498555985524188	0.443261936450183
Alistipes onderdonkii	Alistipes onderdonkii	0.0585894753885676	0.00344645026182745	0.286122902914987	0.0184527180284454	0.498555985524188	0.0585894753885676	0.342259528940024	0.066611882266889	0.066611882266889	0.159105769412195	0.00580115047447825	0.512840943181826	0.442437665758386	0.586823664362704	0.112109291468892	0.0585894753885676	0.106252371759346	0.144586301303347	0.27556745095678	0.118175957013032	0.255137751758957	0.429918785032884	0.00580115047447825	0.159105769412195	0.0848687711339349	0.044609296463363	0.0512655897864915	0.0415214944103185	0.26523878689279	0.255137751758957	0.0800193759202747	0.226206044935027	0.124454791188834	0.112109291468892	0.616898856154857	0.044609296463363	0.648795709784666	0.541935885731317	0.00299286368018598	0.33058925941211	0.342259528940024	0.174519008130059	0.226206044935027	0.124454791188834	0.33058925941211	0.0125930304960941	0.208063463695353	0.00299286368018598	0.319138785503305	0.245265000730777
Alistipes senegalensis	Alistipes senegalensis	0.000278811844083925	0.000445901287358501	0.0490488481513114	9.13597479321015e-05	0.0143593660834832	0.00902392513944252	0.025754387074545	0.000189297656477856	0.00807443795290615	0.00411738035568087	0.00120515436563213	0.0381594755494203	0.279023880146059	0.0971737747799286	0.00567052878802927	0.000831418344902281	0.0190194558338804	0.00640178456545794	0.111389816475383	0.0279602596510263	0.00807443795290615	0.0268409444196137	0.00532943475257012	0.00359617644538398	0.000554261681934712	0.00411738035568087	0.0143593660834832	0.00762875095968554	0.00567052878802927	0.0918457918572557	0.00335517862393755	0.00640178456545794	0.000831418344902281	0.00100494678387464	0.129425168872483	4.63468513651628e-05	0.0971737747799286	0.0247000382613214	1.67906990497589e-05	0.0143593660834832	0.00762875095968554	0.0106012347396098	0.0217247350674116	0.00567052878802927	0.050765334660571	0.00291017231286129	0.0217247350674116	0.000497797379436049	0.0236773475803482	0.00532943475257012
Alistipes shahii	Alistipes shahii	0.0153173290532817	0.000152674064676699	0.354147641232921	0.00114310508680406	0.137657916347729	0.0139059688143628	0.391096770941896	0.0201854985098541	0.0260968910527031	0.0331699010901058	0.000521133700481004	0.541935885731317	0.42908344267491	0.484451661455399	0.106252371759346	0.0512655897864915	0.124454791188834	0.106252371759346	0.541935885731317	0.174519008130059	0.137657916347729	0.470531995381542	0.000785441677853611	0.124454791188834	0.00920177977763475	0.0306758950616401	0.100602631832255	0.0585894753885676	0.27556745095678	0.541935885731317	0.066611882266889	0.0625114832796152	0.0306758950616401	0.044609296463363	0.359292817671478	0.0201854985098541	0.199335494617809	0.33058925941211	0.000521133700481004	0.199335494617809	0.0848687711339349	0.0512655897864915	0.0800193759202747	0.0585894753885676	0.498555985524188	0.00450843548429422	0.166699987624945	0.000521133700481004	0.342259528940024	0.286122902914987
Bacteroides acidifaciens	Bacteroides acidifaciens	0.0283196712957601	0.0800193759202747	0.000951362855555507	0.0951573665941247	0.217020225759977	0.33058925941211	0.124454791188834	0.089913736302639	0.118175957013032	0.0201854985098541	0.130948069507173	0.106252371759346	0.133506869463948	0.00823976871233844	0.137657916347729	0.0800193759202747	0.286122902914987	0.159105769412195	0.443261936450183	0.0478559768420606	0.0283196712957601	0.0548421197754078	0.664633161792668	0.0201854985098541	0.0283196712957601	0.403833088314712	0.342259528940024	0.00450843548429422	0.0260968910527031	0.235621003512646	0.130948069507173	0.0102451939411279	0.226206044935027	0.0848687711339349	0.00120515436563213	0.0283196712957601	0.0201854985098541	0.182563978573167	0.130948069507173	0.089913736302639	0.182563978573167	0.354147641232921	0.429918785032884	0.354147641232921	0.0168314561868934	0.633090681246262	0.0283196712957601	0.174519008130059	0.0184527180284454	0.0512655897864915
Bacteroides caecimuris	Bacteroides caecimuris	0.648795709784666	0.541935885731317	0.00920177977763475	0.795414501853898	0.879918578878675	0.456800852639923	0.456800852639923	0.862898073694971	0.862898073694971	0.342259528940024	0.696683109395766	0.286122902914987	0.0490488481513114	0.0753623350534836	0.696683109395766	0.484451661455399	0.391096770941896	0.443261936450183	0.378568669662303	0.33058925941211	0.182563978573167	0.255137751758957	0.931234351201881	0.556737056176831	0.512840943181826	0.948402225236522	0.541935885731317	0.0331699010901058	0.354147641232921	0.26523878689279	0.648795709784666	0.378568669662303	0.795414501853898	0.664633161792668	0.018175123857075	0.633090681246262	0.26523878689279	0.391096770941896	0.680597508286082	0.456800852639923	0.812182698028059	0.795414501853898	0.729194990751066	0.896985870819554	0.1908358740045	0.680597508286082	0.27556745095678	0.664633161792668	0.342259528940024	0.354147641232921
