PassengerId	Embarked	Embarked
1	2	S
2	0	C
3	2	S
4	2	S
5	2	S
6	1	Q
7	2	S
8	2	S
9	2	S
10	0	C
11	2	S
12	2	S
13	2	S
14	2	S
15	2	S
16	2	S
17	1	Q
18	2	S
19	2	S
20	0	C
21	2	S
22	2	S
23	1	Q
24	2	S
25	2	S
26	2	S
27	0	C
28	2	S
29	1	Q
30	2	S
31	0	C
32	0	C
33	1	Q
34	2	S
35	0	C
36	2	S
37	0	C
38	2	S
39	2	S
40	0	C
41	2	S
42	2	S
43	0	C
44	0	C
45	1	Q
46	2	S
47	1	Q
48	1	Q
49	0	C
50	2	S
51	2	S
52	2	S
53	0	C
54	2	S
55	0	C
56	2	S
57	2	S
58	0	C
59	2	S
60	2	S
61	0	C
62		
63	2	S
64	2	S
65	0	C
66	0	C
67	2	S
68	2	S
69	2	S
70	2	S
71	2	S
72	2	S
73	2	S
74	0	C
75	2	S
76	2	S
77	2	S
78	2	S
79	2	S
80	2	S
81	2	S
82	2	S
83	1	Q
84	2	S
85	2	S
86	2	S
87	2	S
88	2	S
89	2	S
90	2	S
91	2	S
92	2	S
93	2	S
94	2	S
95	2	S
96	2	S
97	0	C
98	0	C
99	2	S
100	2	S
101	2	S
102	2	S
103	2	S
104	2	S
105	2	S
106	2	S
107	2	S
108	2	S
109	2	S
110	1	Q
111	2	S
112	0	C
113	2	S
114	2	S
115	0	C
116	2	S
117	1	Q
118	2	S
119	0	C
120	2	S
121	2	S
122	2	S
123	0	C
124	2	S
125	2	S
126	0	C
127	1	Q
128	2	S
129	0	C
130	2	S
131	0	C
132	2	S
133	2	S
134	2	S
135	2	S
136	0	C
137	2	S
138	2	S
139	2	S
140	0	C
141	0	C
142	2	S
143	2	S
144	1	Q
145	2	S
146	2	S
147	2	S
148	2	S
149	2	S
150	2	S
151	2	S
152	2	S
153	2	S
154	2	S
155	2	S
156	0	C
157	1	Q
158	2	S
159	2	S
160	2	S
161	2	S
162	2	S
163	2	S
164	2	S
165	2	S
166	2	S
167	2	S
168	2	S
169	2	S
170	2	S
171	2	S
172	1	Q
173	2	S
174	2	S
175	0	C
176	2	S
177	2	S
178	0	C
179	2	S
180	2	S
181	2	S
182	0	C
183	2	S
184	2	S
185	2	S
186	2	S
187	1	Q
188	2	S
189	1	Q
190	2	S
191	2	S
192	2	S
193	2	S
194	2	S
195	0	C
196	0	C
197	1	Q
198	2	S
199	1	Q
200	2	S
201	2	S
202	2	S
203	2	S
204	0	C
205	2	S
206	2	S
207	2	S
208	0	C
209	1	Q
210	0	C
211	2	S
212	2	S
213	2	S
214	2	S
215	1	Q
216	0	C
217	2	S
218	2	S
219	0	C
220	2	S
221	2	S
222	2	S
223	2	S
224	2	S
225	2	S
226	2	S
227	2	S
228	2	S
229	2	S
230	2	S
231	2	S
232	2	S
233	2	S
234	2	S
235	2	S
236	2	S
237	2	S
238	2	S
239	2	S
240	2	S
241	0	C
242	1	Q
243	2	S
244	2	S
245	0	C
246	1	Q
247	2	S
248	2	S
249	2	S
250	2	S
251	2	S
252	2	S
253	2	S
254	2	S
255	2	S
256	0	C
257	0	C
258	2	S
259	0	C
260	2	S
261	1	Q
262	2	S
263	2	S
264	2	S
265	1	Q
266	2	S
267	2	S
268	2	S
269	2	S
270	2	S
271	2	S
272	2	S
273	2	S
274	0	C
275	1	Q
276	2	S
277	2	S
278	2	S
279	1	Q
280	2	S
281	1	Q
282	2	S
283	2	S
284	2	S
285	2	S
286	0	C
287	2	S
288	2	S
289	2	S
290	1	Q
291	2	S
292	0	C
293	0	C
294	2	S
295	2	S
296	0	C
297	0	C
298	2	S
299	2	S
300	0	C
301	1	Q
302	1	Q
303	2	S
304	1	Q
305	2	S
306	2	S
307	0	C
308	0	C
309	0	C
310	0	C
311	0	C
312	0	C
313	2	S
314	2	S
315	2	S
316	2	S
317	2	S
318	2	S
319	2	S
320	0	C
321	2	S
322	2	S
323	1	Q
324	2	S
325	2	S
326	0	C
327	2	S
328	2	S
329	2	S
330	0	C
331	1	Q
332	2	S
333	2	S
334	2	S
335	2	S
336	2	S
337	2	S
338	0	C
339	2	S
340	2	S
341	2	S
342	2	S
343	2	S
344	2	S
345	2	S
346	2	S
347	2	S
348	2	S
349	2	S
350	2	S
351	2	S
352	2	S
353	0	C
354	2	S
355	0	C
356	2	S
357	2	S
358	2	S
359	1	Q
360	1	Q
361	2	S
362	0	C
363	0	C
364	2	S
365	1	Q
366	2	S
367	0	C
368	0	C
369	1	Q
370	0	C
371	0	C
372	2	S
373	2	S
374	0	C
375	2	S
376	0	C
377	2	S
378	0	C
379	0	C
380	2	S
381	0	C
382	0	C
383	2	S
384	2	S
385	2	S
386	2	S
387	2	S
388	2	S
389	1	Q
390	0	C
391	2	S
392	2	S
393	2	S
394	0	C
395	2	S
396	2	S
397	2	S
398	2	S
399	2	S
400	2	S
401	2	S
402	2	S
403	2	S
404	2	S
405	2	S
406	2	S
407	2	S
408	2	S
409	2	S
410	2	S
411	2	S
412	1	Q
413	1	Q
414	2	S
415	2	S
416	2	S
417	2	S
418	2	S
419	2	S
420	2	S
421	0	C
422	1	Q
423	2	S
424	2	S
425	2	S
426	2	S
427	2	S
428	2	S
429	1	Q
430	2	S
431	2	S
432	2	S
433	2	S
434	2	S
435	2	S
436	2	S
437	2	S
438	2	S
439	2	S
440	2	S
441	2	S
442	2	S
443	2	S
444	2	S
445	2	S
446	2	S
447	2	S
448	2	S
449	0	C
450	2	S
451	2	S
452	2	S
453	0	C
454	0	C
455	2	S
456	0	C
457	2	S
458	2	S
459	2	S
460	1	Q
461	2	S
462	2	S
463	2	S
464	2	S
465	2	S
466	2	S
467	2	S
468	2	S
469	1	Q
470	0	C
471	2	S
472	2	S
473	2	S
474	0	C
475	2	S
476	2	S
477	2	S
478	2	S
479	2	S
480	2	S
481	2	S
482	2	S
483	2	S
484	2	S
485	0	C
486	2	S
487	2	S
488	0	C
489	2	S
490	2	S
491	2	S
492	2	S
493	2	S
494	0	C
495	2	S
496	0	C
497	0	C
498	2	S
499	2	S
500	2	S
501	2	S
502	1	Q
503	1	Q
504	2	S
505	2	S
506	0	C
507	2	S
508	2	S
509	2	S
510	2	S
511	1	Q
512	2	S
513	2	S
514	0	C
515	2	S
516	2	S
517	2	S
518	1	Q
519	2	S
520	2	S
521	2	S
522	2	S
523	0	C
524	0	C
525	0	C
526	1	Q
527	2	S
528	2	S
529	2	S
530	2	S
531	2	S
532	0	C
533	0	C
534	0	C
535	2	S
536	2	S
537	2	S
538	0	C
539	2	S
540	0	C
541	2	S
542	2	S
543	2	S
544	2	S
545	0	C
546	2	S
547	2	S
548	0	C
549	2	S
550	2	S
551	0	C
552	2	S
553	1	Q
554	0	C
555	2	S
556	2	S
557	0	C
558	0	C
559	2	S
560	2	S
561	1	Q
562	2	S
563	2	S
564	2	S
565	2	S
566	2	S
567	2	S
568	2	S
569	0	C
570	2	S
571	2	S
572	2	S
573	2	S
574	1	Q
575	2	S
576	2	S
577	2	S
578	2	S
579	0	C
580	2	S
581	2	S
582	0	C
583	2	S
584	0	C
585	0	C
586	2	S
587	2	S
588	0	C
589	2	S
590	2	S
591	2	S
592	0	C
593	2	S
594	1	Q
595	2	S
596	2	S
597	2	S
598	2	S
599	0	C
600	0	C
601	2	S
602	2	S
603	2	S
604	2	S
605	0	C
606	2	S
607	2	S
608	2	S
609	0	C
610	2	S
611	2	S
612	2	S
613	1	Q
614	1	Q
615	2	S
616	2	S
617	2	S
618	2	S
619	2	S
620	2	S
621	0	C
622	2	S
623	0	C
624	2	S
625	2	S
626	2	S
627	1	Q
628	2	S
629	2	S
630	1	Q
631	2	S
632	2	S
633	0	C
634	2	S
635	2	S
636	2	S
637	2	S
638	2	S
639	2	S
640	2	S
641	2	S
642	0	C
643	2	S
644	2	S
645	0	C
646	0	C
647	2	S
648	0	C
649	2	S
650	2	S
651	2	S
652	2	S
653	2	S
654	1	Q
655	1	Q
656	2	S
657	2	S
658	1	Q
659	2	S
660	0	C
661	2	S
662	0	C
663	2	S
664	2	S
665	2	S
666	2	S
667	2	S
668	2	S
669	2	S
670	2	S
671	2	S
672	2	S
673	2	S
674	2	S
675	2	S
676	2	S
677	2	S
678	2	S
679	2	S
680	0	C
681	1	Q
682	0	C
683	2	S
684	2	S
685	2	S
686	0	C
687	2	S
688	2	S
689	2	S
690	2	S
691	2	S
692	0	C
693	2	S
694	0	C
695	2	S
696	2	S
697	2	S
698	1	Q
699	0	C
700	2	S
701	0	C
702	2	S
703	0	C
704	1	Q
705	2	S
706	2	S
707	2	S
708	2	S
709	2	S
710	0	C
711	0	C
712	2	S
713	2	S
714	2	S
715	2	S
716	2	S
717	0	C
718	2	S
719	1	Q
720	2	S
721	2	S
722	2	S
723	2	S
724	2	S
725	2	S
726	2	S
727	2	S
728	1	Q
729	2	S
730	2	S
731	2	S
732	0	C
733	2	S
734	2	S
735	2	S
736	2	S
737	2	S
738	0	C
739	2	S
740	2	S
741	2	S
742	2	S
743	0	C
744	2	S
745	2	S
746	2	S
747	2	S
748	2	S
749	2	S
750	1	Q
751	2	S
752	2	S
753	2	S
754	2	S
755	2	S
756	2	S
757	2	S
758	2	S
759	2	S
760	2	S
761	2	S
762	2	S
763	0	C
764	2	S
765	2	S
766	2	S
767	0	C
768	1	Q
769	1	Q
770	2	S
771	2	S
772	2	S
773	2	S
774	0	C
775	2	S
776	2	S
777	1	Q
778	2	S
779	1	Q
780	2	S
781	0	C
782	2	S
783	2	S
784	2	S
785	2	S
786	2	S
787	2	S
788	1	Q
789	2	S
790	0	C
791	1	Q
792	2	S
793	2	S
794	0	C
795	2	S
796	2	S
797	2	S
798	2	S
799	0	C
800	2	S
801	2	S
802	2	S
803	2	S
804	0	C
805	2	S
806	2	S
807	2	S
808	2	S
809	2	S
810	2	S
811	2	S
812	2	S
813	2	S
814	2	S
815	2	S
816	2	S
817	2	S
818	0	C
819	2	S
820	2	S
821	2	S
822	2	S
823	2	S
824	2	S
825	2	S
826	1	Q
827	2	S
828	0	C
829	1	Q
830		
831	0	C
832	2	S
833	0	C
834	2	S
835	2	S
836	0	C
837	2	S
838	2	S
839	2	S
840	0	C
841	2	S
842	2	S
843	0	C
844	0	C
845	2	S
846	2	S
847	2	S
848	0	C
849	2	S
850	0	C
851	2	S
852	2	S
853	0	C
854	2	S
855	2	S
856	2	S
857	2	S
858	2	S
859	0	C
860	0	C
861	2	S
862	2	S
863	2	S
864	2	S
865	2	S
866	2	S
867	0	C
868	2	S
869	2	S
870	2	S
871	2	S
872	2	S
873	2	S
874	2	S
875	0	C
876	0	C
877	2	S
878	2	S
879	2	S
880	0	C
881	2	S
882	2	S
883	2	S
884	2	S
885	2	S
886	1	Q
887	2	S
888	2	S
889	2	S
890	0	C
891	1	Q
