Sample	target	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
A01	CtC105_																			1.06			0.94
A01	M4-6-1_				1.03					0.97													
A01	M4-6-7_																	1.09		0.91			
A02	CtC105_														1.00						1.00		
A02	M4-6-1_							2.00															
A02	M4-6-7_																		1.05	0.95			
A03	CtC105_																			2.00			
A03	M4-6-1_				2.00																		
A03	M4-6-7_														2.00								
A04	CtC105_																	2.00					
A04	M4-6-1_				0.95				1.05														
A04	M4-6-7_													1.12					0.88				
A05	CtC105_																			1.12		0.88	
A05	M4-6-1_										2.00												
A05	M4-6-7_														0.90	1.10							
A06	CtC105_																			1.01			0.99
A06	M4-6-1_								2.00														
A06	M4-6-7_																2.00						
A07	CtC105_																					2.00	
A07	M4-6-1_				1.11				0.89														
A07	M4-6-7_																1.02	0.98					
A08	CtC105_														0.92							1.08	
A08	M4-6-1_				1.07				0.93														
A08	M4-6-7_																	0.97	1.03				
A09	CtC105_																			0.97		1.03	
A09	M4-6-1_				2.00																		
A09	M4-6-7_														1.11		0.89						
