Sample	target	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
A01	CtC105_																			1			1
A01	M4-6-1_				1					1													
A01	M4-6-7_																	1		1			
A02	CtC105_														1						1		
A02	M4-6-1_							2															
A02	M4-6-7_																		1	1			
A03	CtC105_																			2			
A03	M4-6-1_				2																		
A03	M4-6-7_														2								
A04	CtC105_																	2					
A04	M4-6-1_				1				1														
A04	M4-6-7_													1					1				
A05	CtC105_																			1		1	
A05	M4-6-1_										2												
A05	M4-6-7_														1	1							
A06	CtC105_																			1			1
A06	M4-6-1_								2														
A06	M4-6-7_																2						
A07	CtC105_																					2	
A07	M4-6-1_				1				1														
A07	M4-6-7_																1	1					
A08	CtC105_														1							1	
A08	M4-6-1_				1				1														
A08	M4-6-7_																	1	1				
A09	CtC105_																			1		1	
A09	M4-6-1_				2																		
A09	M4-6-7_														1		1						
