Feature	Sample Count	Pvalue
Test	1115	NA
Adipocytes	1115	0.538091551182045
Astrocytes	1115	0.160210008236984
B-cells	1115	9.64507576315917e-08
Basophils	1115	0.168952322201001
CD4+ T-cells	1115	0.0918110241172539
CD4+ Tcm	1115	0.740224235119086
CD4+ Tem	1115	4.61365464877168e-05
CD4+ memory T-cells	1115	0.00422527871124159
CD4+ naive T-cells	1115	0.363842576715148
CD8+ T-cells	1115	3.6073366088274e-05
CD8+ Tcm	1115	0.452872598053478
CD8+ Tem	1115	0.273934668906588
CD8+ naive T-cells	1115	0.93539078555864
CLP	1115	0.391381763181558
CMP	1115	5.68741221095296e-06
Chondrocytes	1115	0.921280660634967
Class-switched memory B-cells	1115	1.02296144686909e-05
DC	1115	0.116595647107627
Endothelial cells	1115	0.361652373571634
Eosinophils	1115	0.088031427984918
Epithelial cells	1115	0.679229922137806
Erythrocytes	1115	0.0322894168786188
Fibroblasts	1115	0.0248283055424691
GMP	1115	0.384529261439437
HSC	1115	1.44435530214781e-06
Hepatocytes	1115	2.58445869999014e-05
Keratinocytes	1115	0.135990839739387
MEP	1115	0.511799325859298
MPP	1115	0.000624194118947825
MSC	1115	0.00902844346039375
Macrophages	1115	0.240159805284835
Macrophages M1	1115	0.00668364089401632
Macrophages M2	1115	0.0953189355382907
Mast cells	1115	2.19011826348341e-07
Megakaryocytes	1115	0.0617951789203106
Melanocytes	1115	0.0644212958766918
Memory B-cells	1115	0.00566286971016967
Mesangial cells	1115	0.00261383764860121
Monocytes	1115	0.458201480294317
Myocytes	1115	0.752728348857638
NK cells	1115	0.875108678086448
NKT	1115	0.251151828433039
Neurons	1115	0.228208911645597
Neutrophils	1115	0.747939559438696
Osteoblast	1115	0.0571726778418928
Pericytes	1115	0.805160559248909
Plasma cells	1115	0.641577263568838
Platelets	1115	0.704917126319573
Preadipocytes	1115	0.0310016059589935
Sebocytes	1115	0.214063245699441
Skeletal muscle	1115	0.608954920488895
Smooth muscle	1115	0.335663909224722
Tgd cells	1115	0.256387410128209
Th1 cells	1115	0.597193321529679
Th2 cells	1115	0.185577948811568
Tregs	1115	0.510610859622204
aDC	1115	0.0181862467697495
cDC	1115	0.352253252265864
iDC	1115	0.451510643019359
ly Endothelial cells	1115	0.816509938057954
mv Endothelial cells	1115	0.37001077504063
naive B-cells	1115	0.0643990909009372
pDC	1115	0.0141786528139673
pro B-cells	1115	0.07780158591335
ImmuneScore	1115	0.666807102119625
StromaScore	1115	0.0977475403381705
MicroenvironmentScore	1115	0.644384279111274
