time	n.risk	n.event	n.censor	surv	std.err	upper	lower	strata	risk_group
0	70	3	1	0.957142857142857	0.0252914777862835	1	0.910853680998214	risk_group=Low	Low
28	66	1	0	0.942640692640693	0.0295424961997849	0.998832815466167	0.88960981423845	risk_group=Low	Low
31	65	3	0	0.899134199134199	0.0402141263135659	0.972870070753722	0.830986924519494	risk_group=Low	Low
61	62	1	1	0.884632034632035	0.0433772557920593	0.96313119435534	0.812530879784264	risk_group=Low	Low
150	60	0	1	0.884632034632035	0.0433772557920593	0.96313119435534	0.812530879784264	risk_group=Low	Low
153	59	1	0	0.869638271333187	0.0466241684968396	0.952851469867427	0.79369214078307	risk_group=Low	Low
181	58	0	1	0.869638271333187	0.0466241684968396	0.952851469867427	0.79369214078307	risk_group=Low	Low
184	57	3	0	0.823867835999861	0.0561112462650528	0.919643546628368	0.73806662775331	risk_group=Low	Low
212	54	1	1	0.808611024222086	0.05914286066129	0.907992272105184	0.720107217407845	risk_group=Low	Low
243	52	1	1	0.793060812217815	0.0622491114288906	0.8959690961195	0.701972260650042	risk_group=Low	Low
245	50	1	0	0.777199595973459	0.0654455127490996	0.883567814613515	0.683636504172034	risk_group=Low	Low
273	49	0	1	0.777199595973459	0.0654455127490996	0.883567814613515	0.683636504172034	risk_group=Low	Low
274	48	1	0	0.761007937724012	0.0687486548984057	0.87077940293472	0.665074391203037	risk_group=Low	Low
304	47	1	1	0.744816279474564	0.0720341047035488	0.857757850485125	0.646745803441589	risk_group=Low	Low
306	45	0	1	0.744816279474564	0.0720341047035488	0.857757850485125	0.646745803441589	risk_group=Low	Low
334	44	0	1	0.744816279474564	0.0720341047035488	0.857757850485125	0.646745803441589	risk_group=Low	Low
365	43	1	0	0.727494970649574	0.0757800903699466	0.84398382835501	0.627084210075414	risk_group=Low	Low
393	42	0	2	0.727494970649574	0.0757800903699466	0.84398382835501	0.627084210075414	risk_group=Low	Low
396	40	0	1	0.727494970649574	0.0757800903699466	0.84398382835501	0.627084210075414	risk_group=Low	Low
455	39	0	1	0.727494970649574	0.0757800903699466	0.84398382835501	0.627084210075414	risk_group=Low	Low
487	38	0	1	0.727494970649574	0.0757800903699466	0.84398382835501	0.627084210075414	risk_group=Low	Low
489	37	1	0	0.707832944415802	0.0805814671449212	0.828937603458077	0.60442121953475	risk_group=Low	Low
577	36	3	0	0.648846865714485	0.094966443402291	0.781587840530261	0.538649955022184	risk_group=Low	Low
580	33	1	0	0.629184839480713	0.099827827129765	0.765159280386923	0.517374058421126	risk_group=Low	Low
609	32	1	0	0.609522813246941	0.104755236554452	0.748441368283452	0.496388996669893	risk_group=Low	Low
638	31	0	1	0.609522813246941	0.104755236554452	0.748441368283452	0.496388996669893	risk_group=Low	Low
641	30	0	1	0.609522813246941	0.104755236554452	0.748441368283452	0.496388996669893	risk_group=Low	Low
671	29	0	1	0.609522813246941	0.104755236554452	0.748441368283452	0.496388996669893	risk_group=Low	Low
699	28	0	1	0.609522813246941	0.104755236554452	0.748441368283452	0.496388996669893	risk_group=Low	Low
731	27	2	0	0.564372975228649	0.118053473259122	0.711301145640872	0.44779466070093	risk_group=Low	Low
792	25	1	0	0.541798056219503	0.124913126672936	0.692091776265603	0.424141918442011	risk_group=Low	Low
822	24	2	0	0.496648218201211	0.139252174141331	0.652500046920794	0.378022122460291	risk_group=Low	Low
882	22	0	1	0.496648218201211	0.139252174141331	0.652500046920794	0.378022122460291	risk_group=Low	Low
943	21	0	1	0.496648218201211	0.139252174141331	0.652500046920794	0.378022122460291	risk_group=Low	Low
945	20	1	0	0.47181580729115	0.148400629885645	0.631090048831414	0.352739131954316	risk_group=Low	Low
1186	19	0	1	0.47181580729115	0.148400629885645	0.631090048831414	0.352739131954316	risk_group=Low	Low
1219	18	0	1	0.47181580729115	0.148400629885645	0.631090048831414	0.352739131954316	risk_group=Low	Low
1249	17	0	1	0.47181580729115	0.148400629885645	0.631090048831414	0.352739131954316	risk_group=Low	Low
1401	16	1	0	0.442327319335454	0.161831435812461	0.607428173470283	0.322101387416236	risk_group=Low	Low
1402	15	1	0	0.412838831379757	0.175929867785511	0.582817139439316	0.292434606262552	risk_group=Low	Low
1430	14	0	1	0.412838831379757	0.175929867785511	0.582817139439316	0.292434606262552	risk_group=Low	Low
1581	13	0	3	0.412838831379757	0.175929867785511	0.582817139439316	0.292434606262552	risk_group=Low	Low
1673	10	0	1	0.412838831379757	0.175929867785511	0.582817139439316	0.292434606262552	risk_group=Low	Low
1706	9	1	0	0.366967850115339	0.211755064326491	0.555743324999818	0.242315826318414	risk_group=Low	Low
1735	8	0	1	0.366967850115339	0.211755064326491	0.555743324999818	0.242315826318414	risk_group=Low	Low
1798	7	0	1	0.366967850115339	0.211755064326491	0.555743324999818	0.242315826318414	risk_group=Low	Low
1826	6	0	1	0.366967850115339	0.211755064326491	0.555743324999818	0.242315826318414	risk_group=Low	Low
1885	5	0	1	0.366967850115339	0.211755064326491	0.555743324999818	0.242315826318414	risk_group=Low	Low
1887	4	0	1	0.366967850115339	0.211755064326491	0.555743324999818	0.242315826318414	risk_group=Low	Low
2284	3	0	1	0.366967850115339	0.211755064326491	0.555743324999818	0.242315826318414	risk_group=Low	Low
2496	2	0	1	0.366967850115339	0.211755064326491	0.555743324999818	0.242315826318414	risk_group=Low	Low
2861	1	0	1	0.366967850115339	0.211755064326491	0.555743324999818	0.242315826318414	risk_group=Low	Low
