matset	sample	group	CDH2	PCDHB10	PCDHB11	PCDHB14	PCDHB16	PCDHB3	PCDHB6	PCDHB9	cg09150559	cg09843519	cg14011486	cg15577010	cg18070959	cg19154323	cg21117330	cg25108548	cg25555787
121	100BL	1	0.027389513	0.360787593	0.382166184	0.280257532	0.393917738	0.578230153	0.400210413	0.384907516	0.766157054	0.083993102	0.067878126	0.013926461	0.805423036	0.275603561	0.352367326	0.792118227	0.680379597
123	103BL	1	0.029966771	0.346432842	0.387015718	0.311421417	0.419726165	0.581030871	0.365466831	0.398379135	0.711925999	0.171750599	0.072418759	0.01417035	0.721208437	0.544611804	0.425206044	0.696581197	0.679763131
124	104BL	1	0.016025482	0.373792223	0.417540887	0.321252262	0.457086338	0.613592028	0.433343076	0.402673062	0.492897727	0.125688122	0.07745696	0.016011224	0.858892083	0.433795296	0.471622683	0.764179104	0.396164439
125	106BL	1	0.037528638	0.351236963	0.382481112	0.247051761	0.384842573	0.558686126	0.331196264	0.378305287	0.443110647	0.151167799	0.071959273	0.01539621	0.893256927	0.45995174	0.425135749	0.627956989	0.406662089
145	107DZ	0	0.019263465	0.366976639	0.4184123	0.275974966	0.42813379	0.604658938	0.488483153	0.414611714	0.864935065	0.189047627	0.066738634	0.016453226	0.795078921	0.348868481	0.414170155	0.753826087	0.694477431
116	108DZ	0	0.02391032	0.332195367	0.350426301	0.204147898	0.397783291	0.553548119	0.360724459	0.388863104	0.300420168	0.13479227	0.068960266	0.015817292	0.910570016	0.263679924	0.204065002	0.656140351	0.680883045
127	109BL	1	0.022172728	0.365683483	0.410235286	0.286612739	0.439314497	0.581724412	0.399643945	0.403842322	0.771108179	0.173429065	0.075953367	0.011255938	0.817743	0.280702608	0.462370769	0.682692308	0.682080802
10	10BL	1	0.029931246	0.393615969	0.419491349	0.31787732	0.423914661	0.609901296	0.431151204	0.427301376	0.801001821	0.170096109	0.074931095	0.043257576	0.842356847	0.676305045	0.423007225	0.728831169	0.677475557
148	111DZ	0	0.020697085	0.322977437	0.372115735	0.277562096	0.392686601	0.573792808	0.423110381	0.353311007	0.831891892	0.075898181	0.056447151	0.014331033	0.76577125	0.312109425	0.314964855	0.67869505	0.705234633
130	112BL	1	0.05036273	0.344886877	0.387170188	0.255422133	0.401403384	0.571392786	0.375393257	0.381387023	0.665077036	0.101252479	0.072826875	0.016268343	0.887132005	0.316840558	0.269556077	0.780020023	0.679653906
131	113BL	1	0.07249713	0.362851607	0.402826413	0.252885899	0.410688773	0.602530305	0.435789219	0.407643645	0.768002166	0.135514667	0.083451107	0.015727348	0.910884817	0.286466226	0.351639146	0.71607091	0.669983236
196	115BL	1	0.056318966	0.341607738	0.390938684	0.268164301	0.456137155	0.608067649	0.534673776	0.419239942	0.761269549	0.260833081	0.077003898	0.014348997	0.913216263	0.605458688	0.369324507	0.702999581	0.482416298
132	116BL	1	0.018463099	0.341414252	0.382317485	0.284563979	0.416038969	0.590962437	0.448528116	0.391646198	0.57842346	0.126960067	0.057899683	0.013427904	0.676199662	0.374902536	0.4098798	0.704351435	0.697893819
120	117BL	1	0.016379793	0.323632766	0.380227614	0.264748994	0.400515902	0.56087897	0.532878985	0.373870374	0.744706965	0.050244832	0.060031826	0.014866544	0.835570425	0.370950944	0.391282373	0.677911647	0.694456873
