RNA_ID	RNA_chr	RNA_start	RNA_Strand	METH_ID	METH_chr	METH_Position	NMISS	Pvalue	Estimate	METH_RNA_dist
PRR15	7	29603426	+	cg04883232	7	29951408	6	0.0590529798242973	-0.794415476621032	347982
SERPING1	11	57365026	+	cg18789554	11	57406769	6	0.570896385002845	-0.294590990252244	41743
PTTG1	5	159848813	+	cg03459756	5	159469967	6	0.116276369224155	-0.70689371776998	-378846
KITLG	12	88886569	-	cg24918622	12	88498981	6	0.0247534385156096	-0.868630217404401	-387588
DHFR	5	79922044	-	cg12510912	5	79482455	6	0.29343481334443	-0.517145040787939	-439589
RRM2	2	10262694	+	cg20389709	2	10184303	6	0.0827084554485243	-0.754962763140114	-78391
CDKL2	4	76501703	-	cg12744223	4	76752176	6	0.00123415238506267	-0.971177270279676	250473
DDIAS	11	82612736	+	cg16004031	11	82762588	6	0.560354284052612	-0.302306311842162	149852
SLC7A5	16	87863621	-	cg01247560	16	87695356	6	0.151157187133207	-0.663071303958638	-168265
NRCAM	7	107788070	-	cg20438043	7	107601757	6	0.0698890441653183	-0.775590169366421	-186313
PCDHA6	5	140207506	+	cg22879458	5	140566496	6	0.0611139580942383	-0.790720328024313	358990
CCBE1	18	57098170	-	cg15130798	18	56987030	6	0.222290363996662	-0.585314733195424	-111140
TAC3	12	57403780	-	cg10530560	12	57857516	6	0.282209562535378	-0.527435828249632	453736
STC2	5	172741725	-	cg17633300	5	172356674	6	3.91324875647809e-05	-0.994887969513505	-385051
STC2	5	172741725	-	cg08839053	5	172744670	6	0.0245321199378903	-0.869232547536778	2945
ASAH2	10	51944620	-	cg03597310	10	52345600	6	0.602895764520883	-0.271399726991517	400980
CACNG4	17	64960979	+	cg02942009	17	64987875	6	0.15679872679608	-0.656411526658159	26896
C2orf48	2	10281508	+	cg20389709	2	10184303	6	0.0110196036195623	-0.913018607729838	-97205
RAC2	22	37621300	-	cg18242749	22	37515987	6	0.0395325785461422	-0.832939443613065	-105313
TERT	5	1253286	-	cg11156873	5	1491579	6	0.0145149812611557	-0.899947447253298	238293
RELN	7	103112230	-	cg07426784	7	103279088	6	0.0608127795982748	-0.791256704570619	166858
BCL2L14	12	12223877	+	cg02673849	12	11856257	6	0.101281922894965	-0.727478811589738	-367620
RCC2	1	17733250	-	cg04339882	1	17286363	6	0.0336048534039795	-0.846335715076219	-446887
SLCO1C1	12	20848288	+	cg25521406	12	20523517	6	0.0598344546957197	-0.793007497166273	-324771
KIF18A	11	28042162	-	cg24902838	11	27897187	6	0.103493936500384	-0.724361362375015	-144975
TMEM45B	11	129685675	+	cg27437304	11	129992368	6	0.0830646355679929	-0.754411120115829	306693
NEFL	8	24808468	-	cg20826128	8	24848812	6	0.0952154024238133	-0.73618730553156	40344
C12orf50	12	88373815	-	cg24918622	12	88498981	6	0.00309422060830871	-0.95423132014055	125166
CYTH4	22	37678423	+	cg18242749	22	37515987	6	0.0323715787602803	-0.849259149148081	-162436
MND1	4	154265800	+	cg08651153	4	154188194	6	0.0581773650024158	-0.796003280729936	-77606
SLC8A3	14	70510933	-	cg17050062	14	71002401	6	0.0422898002651141	-0.827031306153121	491468
VWDE	7	12370510	-	cg17489610	7	12027903	6	0.0181663520368267	-0.887833600819087	-342607
PDE1A	2	183032613	-	cg24840648	2	182558283	6	0.0393360079390543	-0.833367905130052	-474330
CA2	8	86376130	+	cg06231522	8	86435949	6	0.0353912158946327	-0.842189377269891	59819
SLC38A1	12	46589507	-	cg17603788	12	46301943	6	0.035673872440872	-0.841542407061734	-287564
EPGN	4	75174186	+	cg13161770	4	74921577	6	0.101707825265135	-0.726876249630062	-252609
UBE2L6	11	57319127	-	cg18789554	11	57406769	6	0.0114273321885585	-0.911399427552106	87642
ZAR1	4	48492268	+	cg21812470	4	48015021	6	0.0742186443516999	-0.768445337551811	-477247
CDSN	6	31082864	-	cg16470319	6	30923724	6	0.150417387142572	-0.663952408512268	-159140
INHBA	7	41724711	-	cg04525115	7	41262554	6	0.00147805325564134	-0.968443002032426	-462157
PCDHA1	5	140165720	+	cg22879458	5	140566496	6	0.445708799150285	-0.389175294610654	400776
SMTNL1	11	57310113	+	cg18789554	11	57406769	6	0.0561243983190802	-0.799769750541837	96656
SLC9C2	1	173469603	-	cg04092747	1	173639380	6	0.00108155383802429	-0.97302635174213	169777
SLC9C2	1	173469603	-	cg15512528	1	173869522	6	0.000123035430223403	-0.990929588309648	399919
YPEL4	11	57412559	-	cg18789554	11	57406769	6	0.219310354133587	-0.588344907610842	-5790
