target	AAA0054	AAA0135	BAA0623	BAA0635	BAA0828	BAA0835	BAA0843	BAA1015	BAA1059	BAA1320	BAA1417	BAA1474	BAA1485	BAA1488	BAA1526	BAA1543	BAA1547	BAA1550	BAB0194	BAB0183	BAA1575	BAB0076	BAB0103	BAB0398	BAB0367	BAB0377	BAB0389	BAB0565	BAB0454	BAB0480	BAB0507	BAB0509	BAB0514	BAB0519	BAB0536	BAA1007	BAB0598	BAB0634	BAB0667	BAB0712	BAB0714	BAB0738	BAB0804	BAB0849	BAB0851	BAB0881	BAB0902	BAB0936	BAB1051	BAB1156	BAB1162	BAB1164	BAB1175	BAB1379	BAB1569	BAB1634	BAB1759	BAB1781	BAB1834	BAB1836	BAB1930	BAB2086	BAB2104	BAB2129	BAB2136	BAB2148	BAC0117	BAC0122	BAC0171	BAC0198	BAC0311	BAC0324	BAC0350	BAC0164	BAC0386	BAC0397	BAC0412	BAC0423	BAC0435	BAC0449	BAC0451	BAC0462	BAC0565	BAC0629	BAC0694	BAC0869	BAC0877	BAC0884	BAC0890	BAC0913	BAC0922	BAC0959	BAC0965	BAC0999	BAC1048	BAC1074	BAC0485	BAC1215	BAC1226	BAB0857	BAC0481	BAC0134	BAA0918	AAA0252	AAA0265	AAA0274	BAA0178	BAA0202	BAA0297	BAA0383	BAA0402	BAA0500	BAA0551	BAA0584	BAA0592	BAA0600	BAA0673	BAA0985	BAA1047	BAA1105	BAA1152	BAA1228	BAA1244	BAA1340	BAA1343	BAA1487	BAA1525	BAA1527	BAA1535	BAA1537	BAA1579	BAB0030	BAB0046	BAB0092	BAB1780	BAB0191	BAB0264	BAB0271	BAB0450	BAB1486	BAB0549	BAB0650	BAB0740	BAB0847	BAB1028	BAB1076	BAB1100	BAB1145	BAB1160	BAB1192	BAB1224	BAB1280	BAB1330	BAB1369	BAB1388	BAB1470	BAB1479	BAB1495	BAB1633	BAB1692	BAB1733	BAB1761	BAB1813	BAB1894	BAB1924	BAB1934	BAB1949	BAC0076	BAC0086	BAC0113	BAC0162	BAC0169	BAC0180	BAC0304	BAC0414	BAC0418	BAC0431	BAC0514	BAC0630	BAC0645	BAC0699	BAC0717	BAC0723	BAC0740	BAC0744	BAC0764	BAC0768	BAC0796	BAC0843	BAC0857	BAC0866	BAC0868	BAC0938	BAC0995	BAC1020	BAC1076	BAC0375	BAA1179	BAC1080	BAB0297	BAC0637	BAB0775	BAB1567
ABCC8_01_105	0.171149144	0.144791667	0.166340509	0.124786325	0.145833333	0.130952381	0.13323124	0.15936255	0.137037037	0.111167772	0.10793238	0.137299771	0.092532468	0.139655172	0.192941176	0.172680412	0.167192429	0.244382022	0.139158576	0.112522686	0.337028825	0.103030303	0.15279879	0.087360595	0.089324619	0.10952381	0.106854839	0.161702128	0.198484848	0.149328859	0.146095718	0.111292962	0.145869947	0.120261438	0.139414802	0.072916667	0.160458453	0.087145969	0.121475054	0.121076233	0.099029126	0.086206897	0.180530973	0.14559387	0.161983471	0.126853377	0.117845118	0.161347518	0.119645495	0.166950596	0.19025522	0.156666667	0.143229167	0.340277778	0.12716763	0.161214953	0.203791469	0.138461538	0.107279693	0.17383821	0.188019967	0.191666667	0.192857143	0.166270784	0.121359223	0.331384016	0.255235602	0.11496063	0.066037736	0.142857143	0.200819672	0.128246753	0.115830116	0.13559322	0.149338374	0.116788321	0.095354523	0.141025641	0.138279933	0.144761905	0.117460317	0.093189964	0.099502488	0.113756614	0.15971223	0.158273381	0.127376426	0.145695364	0.108359133	0.227848101	0.215068493	0.146214099	0.117647059	0.180811808	0	0.092307692	0.104972376	0.134615385	0.12687813	0.1278826	0.133757962	0.100826446	0.114541024	0.137931034	0.098619329	0.15780446	0.122368421	0.130530973	0.125592417	0.228378378	0.154057772	0.185419968	0.102351314	0.120204604	0.139461173	0.118681319	0.158783784	0.112573099	0.143958869	0.093457944	0.130925508	0.078740157	0.163104612	0.107575758	0.144444444	0.149859944	0.247563353	0.139726027	0.131736527	0.091954023	0.14084507	0.171846435	0.103211009	0.158730159	0.134099617	0.116704805	0.148535565	0.104201681	0.139130435	0.175273865	0.130597015	0.097777778	0.113636364	0.099767981	0.115151515	0.156549521	0.178217822	0.177156177	0.156057495	0.119863014	0.106830123	0.143086817	0.101796407	0.122249389	0.132762313	0.133064516	0.113671275	0.132867133	0.124293785	0.078504673	0.090551181	0.110817942	0.127819549	0.155294118	0.119496855	0.162280702	0.235087719	0.116129032	0.212121212	0.133159269	0.153030303	0.194300518	0.090529248	0.099756691	0.165861514	0.147453083	0.2	0.181944444	0.128647215	0.161244696	0	0.157088123	0.130597015	0.130298273	0.168	0.219827586	0.17877095	0.148148148	0.08315565	0.093655589	0.125319693	0.149362477	0.154275093	0.108262108	0.194774347	0.125574273	0.134215501	0.193548387	0.114956737	0.123493976	0.143162393	0.097883598	0.140458015
ABCC8_01_124	0.050970874	0.050988554	0.068359375	0.055172414	0.020771513	0.02994012	0.045592705	0.067864271	0.055555556	0.043213015	0.04025974	0.062211982	0.066343042	0.064013841	0.077464789	0.038265306	0.087636933	0.100558659	0.045602606	0.062836625	0.046255507	0.068136273	0.080060423	0.033457249	0.037037037	0.052884615	0.054325956	0.017021277	0.054545455	0.03986711	0.071339174	0.032414911	0.063157895	0.036793693	0.044520548	0.011583012	0.057471264	0.045356371	0.039130435	0.084821429	0.048262548	0.034246575	0.072310406	0.082061069	0.057565789	0.087171053	0.042016807	0.04745167	0.056047198	0.085034014	0.078886311	0.096345515	0.061038961	0.138888889	0.036679537	0.074592075	0.055299539	0.031168831	0.05950096	0.066666667	0.127906977	0.152777778	0.076009501	0.068720379	0.036231884	0.118446602	0.142105263	0.034428795	0.051643192	0.073015873	0.077868852	0.069579288	0.04238921	0.062818336	0.056710775	0.039855072	0.051344743	0.056363636	0.062394604	0.061420345	0.056603774	0.025089606	0.059850374	0.034210526	0.064935065	0.062052506	0.04519774	0.079120879	0.062111801	0.054968288	0.075239398	0.056701031	0	0.069090909	0	0.023076923	0.050964187	0.067307692	0.041736227	0.068893528	0.031847134	0.043117745	0.061788618	0.053435115	0.043478261	0.04974271	0.056653491	0.075055188	0.04964539	0.067750678	0.04526749	0.112877583	0.040055249	0.056265985	0.031847134	0.052401747	0.070826307	0.055555556	0.050890585	0.046296296	0.034090909	0.0546875	0.061521253	0.039393939	0.05371248	0.072625698	0.08203125	0.053351573	0.054054054	0.032036613	0.061128527	0.056363636	0.045248869	0.07591623	0.057692308	0.029545455	0.031380753	0.061769616	0.083815029	0.069984448	0.052336449	0.042128603	0.055459272	0.039534884	0.06097561	0.033280507	0.053465347	0.052995392	0.051440329	0.027303754	0.045375218	0.046698873	0.054054054	0.061124694	0.040511727	0.062124248	0.051987768	0.045961003	0.042253521	0.028037383	0.03875969	0.057742782	0.067164179	0.067915691	0.043887147	0.052708638	0.116928447	0.057692308	0.060085837	0.07012987	0.054462935	0.064766839	0.046089385	0.055961071	0.073954984	0.058355438	0.06557377	0.073509015	0.058432935	0.052112676	0	0.049242424	0.048327138	0.037558685	0.03968254	0.034482759	0.081005587	0.048433048	0.045064378	0.055722892	0.050505051	0.052919708	0.079143389	0.03125	0.105882353	0.071865443	0.064516129	0.029325513	0.038976857	0.041916168	0.046610169	0.034482759	0.05775076
ABCC8_01_143	0.024570025	0.031678986	0.011928429	0.027729636	0.036474164	0.015151515	0.018461538	0.034412955	0.040665434	0.022142122	0.021052632	0.032332564	0.021172638	0.036521739	0.033175355	0.043589744	0.026898734	0.048295455	0.026229508	0.016304348	0.039911308	0.054766734	0.042360061	0.031894934	0.037199125	0.031100478	0.032323232	0.021367521	0.03343465	0.023529412	0.037783375	0.021381579	0.05141844	0.025232404	0.036395147	0.02875817	0.034782609	0.021978022	0.010989011	0.02739726	0.019417476	0.030612245	0.033928571	0.044061303	0.01836394	0.029950083	0.030664395	0.04787234	0.028231798	0.029259897	0.025641026	0.021848739	0.026246719	0.042253521	0.037254902	0.037647059	0.03962704	0.020725389	0.021317829	0.024347826	0.057239057	0.070422535	0.032648126	0.024213075	0.026960784	0.046966732	0.054018445	0.02685624	0.019607843	0.028753994	0.029411765	0.032467532	0.031189084	0.058319039	0.020992366	0.032727273	0.049382716	0.022018349	0.032367973	0.042553191	0.014240506	0.010869565	0.02020202	0.038147139	0.026162791	0.038369305	0.028571429	0.028953229	0.028125	0.029787234	0.037292818	0.028795812	0.029411765	0.026022305	0	0.007936508	0.025	0.029411765	0.046666667	0.031512605	0.038297872	0.013266998	0.023026316	0.031128405	0.048096192	0.04	0.024064171	0.042128603	0.035714286	0.020435967	0.033057851	0.028571429	0.025034771	0.018087855	0.033870968	0.02	0.030560272	0.025110783	0.022959184	0	0.032258065	0.023809524	0.041855204	0.037037037	0.039936102	0.016925247	0.029354207	0.030261348	0.036144578	0.038812785	0.039308176	0.033333333	0.031746032	0.026525199	0.052023121	0.027713626	0.023109244	0.036912752	0.024926686	0.033386328	0.028355388	0.040268456	0.041811847	0.021077283	0.046875	0.031746032	0.032	0.044496487	0.027027027	0.045296167	0.038664323	0.033925687	0.057575758	0.01965602	0.027956989	0.032128514	0.016923077	0.033802817	0.042735043	0.024528302	0.03125	0.023809524	0.041666667	0.026004728	0.015822785	0.022189349	0.045774648	0.038709677	0.03030303	0.028645833	0.036363636	0.038961039	0.026647966	0.024630542	0.016313214	0.056149733	0.036144578	0.036262204	0.025435074	0.022922636	0	0.061068702	0.020522388	0.026687598	0.015873016	0.023965142	0.025352113	0.046376812	0.021459227	0.018461538	0.032911392	0.018552876	0.042910448	0.017142857	0.023696682	0.034108527	0.028355388	0.017699115	0.018495684	0.021084337	0.014989293	0.042666667	0.028963415
ABCC8_01_155	0.052493438	0.115034169	0.064377682	0.072222222	0.058631922	0.13029316	0.139261745	0.087248322	0.052525253	0.068984857	0.088983051	0.078085642	0.078014184	0.08365019	0.064935065	0.131428571	0.071057192	0.063253012	0.1886121	0.071856287	0.110843373	0.068281938	0.113144759	0.078512397	0.093676815	0.107049608	0.162393162	0.098130841	0.203642384	0.07678245	0.088765603	0.078754579	0.17260788	0.093390805	0.12406015	0.021645022	0.082018927	0.0625	0.07748184	0.060301508	0.084033613	0.086614173	0.113461538	0.132382892	0.068965517	0.054347826	0.137735849	0.097087379	0.100826446	0.118518519	0.109693878	0.148623853	0.081428571	0.121212121	0.095652174	0.151670951	0.122194514	0.04815864	0.094537815	0.114814815	0.11942959	0.16969697	0.103267974	0.103626943	0.190607735	0.078674948	0.072150072	0.056798623	0.031914894	0.086666667	0.098173516	0.100884956	0.072186837	0.105065666	0.087136929	0.073076923	0.037735849	0.098619329	0.103053435	0.114822547	0.154639175	0.093385214	0.116666667	0.095930233	0.080824089	0.047493404	0.069672131	0.091346154	0.063122924	0.076212471	0.095022624	0.070621469	0.161290323	0.094262295	0.6	0.053097345	0.06006006	0.09375	0.096601073	0.069284065	0.083333333	0.048824593	0.082519965	0.076923077	0.086680761	0.092627599	0.089595376	0.09929078	0.088	0.080357143	0.061654135	0.066086957	0.092564492	0.077586207	0.082892416	0.096926714	0.097744361	0.206624606	0.128767123	0.112244898	0.081885856	0.053521127	0.102850062	0.03902439	0.085069444	0.101538462	0.078556263	0.092675635	0.087662338	0.052763819	0.262521589	0.100591716	0.09273183	0.070381232	0.13836478	0.078282828	0.069662921	0.060661765	0.066455696	0.094339623	0.114519427	0.132211538	0.077946768	0.084615385	0.068403909	0.114638448	0.061538462	0.066838046	0.059225513	0.050909091	0.118320611	0.096385542	0.061290323	0.090909091	0.074074074	0.094623656	0.121416526	0.093129771	0.119631902	0.062240664	0.071129707	0.091690544	0.089795918	0.068421053	0.115241636	0.064724919	0.110280374	0.075862069	0.070257611	0.09631728	0.098039216	0.098039216	0.071537291	0.109625668	0.111683849	0.081395349	0.0912	0.096124031	0.102941176	0.088852989	0	0.055555556	0.109561753	0.341708543	0.034482759	0.080952381	0.094224924	0.1	0.049411765	0.084019769	0.113207547	0.07554672	0.136874362	0.071641791	0.064599483	0.064189189	0.078224101	0.080495356	0.089918256	0.088607595	0.087759815	0.375706215	0.10321489
ABCC8_01_185	0.050847458	0.04253112	0.048638132	0.046153846	0.011869436	0.03264095	0.024242424	0.027722772	0.038674033	0.044670051	0.079015544	0.034168565	0.033925687	0.024013722	0.074766355	0.079081633	0.031201248	0.041666667	0.038961039	0.037634409	0.070175439	0.074297189	0.052552553	0.033333333	0.050108932	0.047393365	0.06012024	0.055084746	0.049924357	0.058043118	0.03985056	0.053833605	0.06271777	0.043137255	0.063247863	0.025706941	0.054441261	0.045454545	0.045356371	0.081081081	0.042307692	0.020408163	0.068541301	0.066666667	0.034313725	0.042692939	0.043697479	0.050788091	0.027900147	0.044142615	0.043678161	0.07107438	0.047927461	0.0625	0.046421663	0.053864169	0.059907834	0.046153846	0.04206501	0.051107325	0.029850746	0.047091413	0.047337278	0.030805687	0.031553398	0.075	0.057366362	0.037441498	0.028037383	0.044444444	0.069672131	0.050324675	0.051823417	0.039115646	0.052730697	0.050541516	0.026894866	0.034358047	0.043697479	0.028625954	0.04524181	0.056939502	0.074257426	0.028947368	0.046043165	0.033492823	0.022727273	0.054945055	0.061349693	0.044303797	0.054421769	0.053984576	0.029411765	0.040145985	0	0.053846154	0.038514443	0.057692308	0.056572379	0.054054054	0.037815126	0.051239669	0.05275974	0.018939394	0.058939096	0.042881647	0.052493438	0.063596491	0.068396226	0.041835358	0.045205479	0.046031746	0.034387895	0.025445293	0.045886076	0.041214751	0.051926298	0.049490539	0.043147208	0.037037037	0.058690745	0.038961039	0.043575419	0.045454545	0.041009464	0.045833333	0.054474708	0.050340136	0.02994012	0.0456621	0.07523511	0.049090909	0.024774775	0.065963061	0.070610687	0.038461538	0.060165975	0.026666667	0.05907781	0.065420561	0.037313433	0.03539823	0.036020583	0.022988506	0.069486405	0.056872038	0.06361829	0.02764977	0.032921811	0.040955631	0.036713287	0.0496	0.071428571	0.033980583	0.053191489	0.055776892	0.036641221	0.038942976	0.064788732	0.038961039	0.027131783	0.041775457	0.052238806	0.044083527	0.0375	0.03930131	0.083623693	0.044871795	0.053533191	0.041450777	0.034586466	0.054123711	0.036211699	0.046004843	0.04975923	0.039893617	0.038575668	0.04264099	0.05026455	0.074858757	0	0.04887218	0.051756007	0.0234375	0.063492063	0.042918455	0.036111111	0.045454545	0.033970276	0.052631579	0.040302267	0.041742287	0.048148148	0.039660057	0.030588235	0.049230769	0.033898305	0.020467836	0.046172539	0.053412463	0.050847458	0.029023747	0.04387292
ABCC8_01_195	0.031476998	0.022774327	0.025291829	0.042808219	0.00297619	0.023738872	0.031770045	0.017821782	0.018416206	0.019726859	0.045513654	0.015909091	0.020900322	0.02739726	0.048951049	0.073979592	0.020280811	0.038997214	0.032154341	0.037567084	0.037199125	0.012024048	0.013493253	0.022222222	0.041394336	0.011876485	0.01002004	0.021186441	0.033232628	0.029850746	0.03362391	0.027552674	0.040069686	0.022135417	0.04088586	0.012870013	0.042735043	0.023809524	0.027956989	0.040358744	0.025	0.020338983	0.03502627	0.036190476	0.022875817	0.042553191	0.020236088	0.012237762	0.025036819	0.037478705	0.036866359	0.066225166	0.019379845	0.069444444	0.047984645	0.030373832	0.043778802	0.017948718	0.040152964	0.018771331	0.019900498	0.046961326	0.030769231	0.026004728	0.019323671	0.040462428	0.032594524	0.031201248	0.037383178	0.012738854	0.026584867	0.017799353	0.028680688	0.027118644	0.043233083	0.021818182	0.02919708	0.018083183	0.01512605	0.02851711	0.037383178	0.014184397	0.034567901	0.028871391	0.015781923	0.021479714	0.026315789	0.032894737	0.042944785	0.018947368	0.016326531	0.030848329	0.029411765	0.018248175	0	0.023076923	0.012345679	0.00952381	0.03654485	0.01039501	0.037815126	0.029900332	0.023615635	0.015151515	0.023575639	0.032478632	0.039370079	0.026315789	0.028301887	0.014824798	0.030013643	0.022116904	0.026206897	0.017811705	0.034810127	0.041214751	0.021702838	0.021865889	0.035443038	0.027777778	0.029411765	0.007792208	0.021181717	0.025641026	0.023622047	0.033333333	0.031007752	0.029891304	0.020958084	0.040816327	0.040561622	0.047358834	0.024774775	0.031331593	0.045801527	0.018099548	0.03125	0.024958403	0.021551724	0.037441498	0.018621974	0.026548673	0.025684932	0.018390805	0.057401813	0.039370079	0.021611002	0.029816514	0.020576132	0.027210884	0.026132404	0.017628205	0.050595238	0.019417476	0.017021277	0.02584493	0.02739726	0.01810585	0.016806723	0.016728625	0.019379845	0.041884817	0.026119403	0.03030303	0.018691589	0.02189781	0.052264808	0.012820513	0.025695931	0.033766234	0.027067669	0.023136247	0.020833333	0.02173913	0.033653846	0.021164021	0.020771513	0.034387895	0.021164021	0.045007032	0	0.018796992	0.02962963	0.03271028	0.056	0.034334764	0.027777778	0.028409091	0.01910828	0.027067669	0.040302267	0.016333938	0.036111111	0.02259887	0.014084507	0.027439024	0.031954887	0.005865103	0.033980583	0.032544379	0.027542373	0.029023747	0.03021148
ABCC8_01_204	0.079903148	0.034232365	0.056420233	0.034188034	0.023809524	0.020771513	0.028831563	0.023809524	0.055147059	0.0298583	0.045454545	0.040909091	0.016129032	0.046312178	0.076923077	0.06377551	0.024960998	0.105849582	0.025723473	0.023255814	0.048034934	0.056112224	0.055555556	0.03358209	0.036956522	0.035545024	0.046	0.063559322	0.061933535	0.024958403	0.046134663	0.045380875	0.04886562	0.032594524	0.039316239	0.01285347	0.056980057	0.043103448	0.025862069	0.027272727	0.028790787	0.040816327	0.068301226	0.049713193	0.052202284	0.044262295	0.037099494	0.024518389	0.029411765	0.061016949	0.059770115	0.04620462	0.031007752	0.118055556	0.052325581	0.046838407	0.043879908	0.020779221	0.047984645	0.044293015	0.036484245	0.04735376	0.041371158	0.023640662	0.038834951	0.069364162	0.0234375	0.018808777	0.009345794	0.01910828	0.036809816	0.019448947	0.03250478	0.044067797	0.060150376	0.079422383	0.046116505	0.028985507	0.021959459	0.032319392	0.046728972	0.035587189	0.037220844	0.042105263	0.035868006	0.021479714	0.018867925	0.039735099	0.036809816	0.012684989	0.040927694	0.054404145	0.029411765	0.047445255	0.166666667	0.023255814	0.037241379	0.047619048	0.031561462	0.033264033	0.044210526	0.044554455	0.040683483	0.011363636	0.029469548	0.039316239	0.044678055	0.028508772	0.04028436	0.026954178	0.035470668	0.02056962	0.02351314	0.030534351	0.042857143	0.065217391	0.03672788	0.029112082	0.035443038	0.027777778	0.065462754	0.020779221	0.048098434	0.070889894	0.036450079	0.043115438	0.036821705	0.048979592	0.036253776	0.068493151	0.090766823	0.063752277	0.013513514	0.028720627	0.04789272	0.018099548	0.035416667	0.01	0.043290043	0.059190031	0.042990654	0.044247788	0.04130809	0.022988506	0.042424242	0.03785489	0.064833006	0.025229358	0.03909465	0.030716724	0.027923211	0.0224	0.068862275	0.04136253	0.031914894	0.043912176	0.029051988	0.044506259	0.048022599	0.022263451	0.019379845	0.0546875	0.033962264	0.027842227	0.027950311	0.065502183	0.080139373	0.012820513	0.047109208	0.023316062	0.039039039	0.05655527	0.04432133	0.050970874	0.059390048	0.042328042	0.072700297	0.027586207	0.059445178	0.036723164	0	0.056390977	0.035120148	0.029641186	0.015873016	0.021505376	0.033333333	0.03125	0.036016949	0.043543544	0.04534005	0.038043478	0.070500928	0.059659091	0.058548009	0.019877676	0.033834586	0.043859649	0.015815085	0.044378698	0.025531915	0.023872679	0.04387292
ABCC8_01_206	0.255474453	0.046680498	0.064327485	0.042955326	0.065868263	0.041666667	0.03196347	0.033663366	0.04805915	0.046286877	0.054830287	0.052272727	0.045307443	0.043103448	0.058548009	0.084832905	0.0484375	0.097765363	0.045307443	0.0375	0.056768559	0.060362173	0.057142857	0.046382189	0.034782609	0.050119332	0.036072144	0.055319149	0.046898638	0.058139535	0.05125	0.040584416	0.049122807	0.047120419	0.049657534	0.023166023	0.063218391	0.034557235	0.05399568	0.027272727	0.034682081	0.06440678	0.054290718	0.064885496	0.036065574	0.063934426	0.043993232	0.036842105	0.032400589	0.054329372	0.07816092	0.061359867	0.040207523	0.090277778	0.090384615	0.065116279	0.055427252	0.051413882	0.026819923	0.040955631	0.05033557	0.049861496	0.055621302	0.036057692	0.034482759	0.078998073	0.046936115	0.023400936	0.03271028	0.032051282	0.055214724	0.032467532	0.038240918	0.0475382	0.083018868	0.04	0.026960784	0.041742287	0.025167785	0.045714286	0.056426332	0.046263345	0.056790123	0.036842105	0.037463977	0.031026253	0.037593985	0.022026432	0.067692308	0.023206751	0.028649386	0.067183463	0.029411765	0.061818182	0	0.038461538	0.038461538	0.019417476	0.056572379	0.037422037	0.050420168	0.033057851	0.048979592	0.03030303	0.045454545	0.036020583	0.064814815	0.046255507	0.044917258	0.033783784	0.031463748	0.020700637	0.033057851	0.030456853	0.036507937	0.080434783	0.060100167	0.029154519	0.040712468	0.047169811	0.040540541	0.018181818	0.044692737	0.198786039	0.033333333	0.055632823	0.031007752	0.062755798	0.042168675	0.059633028	0.1515625	0.068139963	0.027027027	0.031413613	0.036679537	0.027586207	0.022821577	0.025	0.047345768	0.049921997	0.080675422	0.042128603	0.046391753	0.027586207	0.042424242	0.044233807	0.128712871	0.05733945	0.039175258	0.01369863	0.045375218	0.0368	0.053571429	0.050970874	0.023454158	0.059760956	0.036979969	0.029288703	0.030898876	0.03538175	0.023255814	0.034210526	0.048507463	0.034802784	0.034375	0.042274052	0.059440559	0.025641026	0.042918455	0.03626943	0.046546547	0.06940874	0.032033426	0.057971014	0.066235864	0.026455026	0.038575668	0.046831956	0.039840637	0.060734463	0	0.045283019	0.042592593	0.0234375	0.016	0.04516129	0.055555556	0.051136364	0.038379531	0.051359517	0.04534005	0.049090909	0.07493062	0.050991501	0.044496487	0.054961832	0.037735849	0.052631579	0.032926829	0.035820896	0.072033898	0.023809524	0.041033435
ABCC8_01_27	0.072992701	0.060479666	0.03515625	0.049488055	0.0625	0.059701493	0.045592705	0.069306931	0.036968577	0.043522267	0.079015544	0.047945205	0.056451613	0.054982818	0.090909091	0.081632653	0.042121685	0.105555556	0.055194805	0.037567084	0.067982456	0.056451613	0.063253012	0.024344569	0.058823529	0.049881235	0.050200803	0.076271186	0.034795764	0.041528239	0.042606516	0.029315961	0.057692308	0.048239896	0.07008547	0.015503876	0.034383954	0.017316017	0.051612903	0.09375	0.044315992	0.040816327	0.050966608	0.089694656	0.046128501	0.045977011	0.057432432	0.073555166	0.042647059	0.051020408	0.090069284	0.084437086	0.040364583	0.223776224	0.079150579	0.067915691	0.081018519	0.048843188	0.040229885	0.04475043	0.107973422	0.063711911	0.07674144	0.06855792	0.072639225	0.131274131	0.078226858	0.042319749	0.061032864	0.063897764	0.088114754	0.040453074	0.030651341	0.071550256	0.037735849	0.04	0.053789731	0.071038251	0.035472973	0.034220532	0.0421875	0.024822695	0.049382716	0.042105263	0.094827586	0.07875895	0.056603774	0.066079295	0.058461538	0.046315789	0.068027211	0.077319588	0	0.091240876	0	0.015384615	0.039944904	0.038095238	0.080133556	0.024948025	0.050847458	0.066006601	0.075163399	0.03030303	0.047619048	0.050086356	0.05781866	0.050660793	0.075829384	0.075880759	0.040983607	0.04437401	0.045517241	0.065989848	0.047543582	0.045652174	0.065217391	0.043859649	0.063291139	0.047619048	0.045248869	0.072727273	0.053631285	0.027231467	0.02685624	0.073919107	0.076023392	0.066848568	0.045317221	0.041002278	0.061032864	0.063752277	0.038374718	0.044386423	0.04206501	0.047727273	0.033195021	0.065108514	0.063309353	0.0734375	0.048598131	0.055432373	0.029109589	0.027713626	0.036474164	0.050955414	0.043392505	0.050808314	0.054054054	0.051020408	0.062937063	0.066022544	0.096096096	0.03892944	0.040598291	0.052	0.061068702	0.032033426	0.075842697	0.039106145	0.0859375	0.041775457	0.045454545	0.048951049	0.062305296	0.043923865	0.069686411	0.051282051	0.068669528	0.052631579	0.039097744	0.074742268	0.044444444	0.04842615	0.056360709	0.063660477	0.074404762	0.05726257	0.052980132	0.04519774	0.142857143	0.071969697	0.076635514	0.025	0.048387097	0.060085837	0.083798883	0.034090909	0.036093418	0.045180723	0.038071066	0.057866184	0.07527881	0.05982906	0.061176471	0.039755352	0.052830189	0.029239766	0.057457213	0.056547619	0.036093418	0.045092838	0.040847201
ABCC8_01_36	0.056097561	0.048755187	0.043137255	0.032758621	0.053731343	0.080597015	0.030487805	0.053784861	0.022304833	0.039066464	0.063802083	0.037037037	0.027552674	0.060034305	0.093240093	0.048717949	0.051724138	0.078431373	0.054662379	0.036036036	0.067982456	0.072289157	0.087349398	0.022346369	0.047930283	0.052505967	0.034136546	0.05106383	0.034901366	0.048172757	0.036295369	0.03257329	0.056239016	0.033942559	0.039182283	0.021879022	0.042979943	0.023913043	0.023809524	0.018018018	0.048169557	0.030508475	0.065140845	0.06870229	0.037766831	0.037953795	0.033898305	0.07029877	0.045790251	0.059726962	0.080831409	0.064250412	0.04015544	0.076923077	0.036750484	0.042154567	0.106235566	0.012820513	0.04389313	0.044444444	0.088480801	0.033240997	0.066587396	0.066825776	0.0486618	0.112185687	0.0327654	0.042319749	0.04245283	0.034920635	0.079754601	0.035714286	0.028790787	0.039049236	0.033898305	0.018115942	0.012195122	0.043636364	0.038655462	0.041904762	0.040561622	0.017985612	0.024752475	0.04	0.050287356	0.045346062	0.033962264	0.041758242	0.095679012	0.065539112	0.042349727	0.06940874	0.029411765	0.094890511	0	0.069767442	0.028965517	0.076190476	0.061769616	0.033333333	0.035714286	0.034710744	0.054693878	0.034220532	0.041420118	0.025728988	0.044914135	0.061810155	0.047169811	0.065484311	0.045205479	0.043062201	0.031724138	0.033163265	0.047543582	0.032751092	0.042158516	0.046989721	0.022959184	0.065420561	0.033860045	0.041884817	0.052572707	0.038167939	0.066561014	0.05027933	0.108737864	0.057377049	0.047904192	0.02739726	0.050078247	0.056466302	0.013636364	0.09762533	0.053846154	0.054545455	0.03125	0.065108514	0.04341534	0.059748428	0.052434457	0.042222222	0.037735849	0.023148148	0.039877301	0.048973144	0.051282051	0.076036866	0.053719008	0.054607509	0.054195804	0.064620355	0.086826347	0.024449878	0.064102564	0.050403226	0.038167939	0.048882682	0.053672316	0.040968343	0.08984375	0.054973822	0.074626866	0.042056075	0.037383178	0.048175182	0.066433566	0.045454545	0.040772532	0.029023747	0.05873494	0.07012987	0.048746518	0.043902439	0.045234249	0.04787234	0.053731343	0.042876902	0.082119205	0.060648801	0.071428571	0.053231939	0.048237477	0.028081123	0.04	0.043010753	0.055555556	0.022727273	0.023404255	0.043674699	0.02284264	0.030909091	0.062383613	0.065340909	0.047619048	0.035168196	0.049149338	0.056213018	0.032806804	0.083333333	0.05982906	0.029023747	0.041033435
