peak_id	chr	start	end	gene	region	AL1-CD4	AL10-CD4	AL11-CD4	AL12-CD4	AL14-CD4	AL15-CD4	AL16-CD4	AL17-CD4	AL19-CD4	AL2-CD4	AL20-CD4	AL21-CD4	AL23-CD4	AL24-CD4	AL25-CD4	AL26-CD4	AL27-CD4	AL28-CD4	AL29-CD4	AL3-CD4	AL31-CD4	AL33-CD4	AL35-CD4	AL36-CD4	AL37-CD4	AL38-CD4	AL39-CD4	AL4-CD4	AL41-CD4	AL43-CD4	AL44-CD4	AL45-CD4	AL48-CD4	AL49-CD4	AL5-CD4	AL50-CD4	AL51-CD4	AL52-CD4	AL53-CD4	AL54-CD4	AL55-CD4	AL56-CD4	AL58-CD4	AL6-CD4	AL60-CD4	AL61-CD4	AL62-CD4	AL7-CD4	AL8-CD4	AL9-CD4	AS1-CD4	AS10-CD4	AS11-CD4	AS12-CD4	AS13-CD4	AS14-CD4	AS15-CD4	AS17-CD4	AS18-CD4	AS19-CD4	AS2-CD4	AS21-CD4	AS22-CD4	AS25-CD4	AS26-CD4	AS27-CD4	AS29-CD4	AS3-CD4	AS30-CD4	AS31-CD4	AS32-CD4	AS33-CD4	AS35-CD4	AS36-CD4	AS37-CD4	AS38-CD4	AS39-CD4	AS4-CD4	AS41-CD4	AS42-CD4	AS43-CD4	AS45-CD4	AS46-CD4	AS5-CD4	AS7-CD4	AS8-CD4
peak_1	1	10324	10645	DDX11L1	upstream	235.52	268.98	291.18	360.72	221.26	293.35	246.89	254.91	249.79	221.51	160.61	533.41	389.53	489.53	369.23	295.65	352.03	384.42	250.3	208.12	527.55	388.42	246.06	291.61	291.76	256.71	176.03	272.94	173.49	269.29	307.8	272.84	377.6	290.16	272.26	301.93	306.63	265.74	282.46	314.07	297.3	348.21	226.5	272.53	386.37	310.24	170.5	183.68	296.97	190.04	321.41	244.88	268.55	244.52	187.87	251.68	178.8	356.23	387.09	400.07	242.84	370.82	262.86	381.18	355.64	281.88	281.47	332.06	269.27	345.53	258.54	213.75	286.42	335.66	281.43	240.17	282.89	299.14	287.7	338.18	230.93	172.5	163.6	194.14	245.52	229.28
peak_2	1	237034	237191	LOC729737(dist=96468),LOC100132062(dist=86701)	intergenic	40.35	47.95	43.74	23.09	45.59	39.33	36.27	24.03	82.55	38.13	29.94	38.42	39.35	39.46	24	63.1	10.97	33.66	63.54	72.73	22.6	30.32	33.71	53.24	61.14	56.51	49.56	39.41	77.59	23.04	37.21	59.03	35.68	31.38	24.1	48.7	33.92	27.65	42.86	20.29	57.4	37.23	37.36	18.48	21.81	10.44	74.59	26.53	16.18	68.28	25.06	18.62	55.79	61.13	50.68	99.47	18.68	15.46	57.64	30.09	40.47	40.21	53.69	24.98	47.46	74.72	43.05	32.82	36.17	41.97	36.57	95.35	40.92	32.09	70.77	65.18	49.38	56.85	52.9	53.64	48.39	50.6	40.9	104.83	66.33	30.73
peak_3	1	237649	237863	LOC729737(dist=97083),LOC100132062(dist=86029)	intergenic	109.78	164.9	151.92	122.07	156.78	201.58	182.72	130.59	230.49	103.04	199.63	161.06	152.74	151.05	178.03	184.34	95.09	117.28	211.15	303.18	227.71	203.6	164.49	147.44	130.02	132.39	88.02	202.98	201.39	104.06	139.56	171.84	172.58	139.75	209.77	127.37	108.67	187.4	159.5	107.45	122.16	148.92	211.32	112.02	110.61	79.05	91.17	137.76	107.62	103.66	222.05	97.38	173.99	174.52	138.06	204.94	130.77	139.15	166.05	207.4	141.16	202.53	135.34	170.24	176.2	238.23	115.9	192.99	186.48	156.17	148.84	226.84	142.05	138.21	204.83	91.07	126.38	207.3	153.13	87.85	134.14	104.65	140.1	297.68	111.71	117
peak_4	1	244074	244250	LOC729737(dist=103508),LOC100132062(dist=79642)	intergenic	101.34	120.46	226.73	49.49	88.95	198.3	103.22	209.99	128.65	70.59	137.02	44.33	76.7	132.56	137.01	174.42	17.37	102.08	121.94	290.94	86.91	59.2	120.67	78.64	102.16	87.19	97.42	177.36	262.42	92.94	146.53	51.16	111.59	80.53	119.61	110.88	78.91	96.77	92.75	57.1	86.83	68.99	147.11	98.16	14.02	38.78	177.6	84.7	67.16	185.11	87.26	97.38	178.72	201.14	107.48	310.4	158.79	43.29	105.76	78.09	143.14	84.89	52.57	38.86	135.89	127.25	86.1	188.3	130.21	35.14	97.51	211.26	165.22	92.97	187.34	155.35	123.87	164.44	69.6	70.75	187.63	57.5	147.93	372.74	167.56	178.46
peak_5	1	521482	521675	OR4F16(dist=152885),LOC101928626(dist=41085)	intergenic	73.19	59.64	107.04	56.09	74.5	108.16	122.75	58.5	115.78	77.08	99.81	124.12	90.71	75.83	95.21	32.61	75.89	128.14	90.49	102.26	86.04	105.41	70.11	118.77	116.86	17.76	61.53	92.62	61.9	68.32	82.96	85.26	60.34	68.69	59.81	80.17	78.21	23.04	40.05	96.93	71.38	76.65	57.21	87.76	62.32	88	60.38	68.37	171.54	97.08	130.46	45.82	76.59	36.48	45.44	113.85	56.04	123.69	106.29	137.62	159.92	92.33	110.73	136	69.57	54.75	47.19	121.1	39.39	80.04	30.79	35.52	54.04	40.31	54.95	103.57	46.03	58.6	58.47	61.42	50.94	10.35	46.99	73.77	114.04	60.27
peak_6	1	540829	541020	OR4F16(dist=172232),LOC101928626(dist=21740)	intergenic	78.82	150.86	109.34	184.76	146.77	190.11	103.22	114.92	73.97	116.84	186.02	183.22	85.38	127.01	78.18	27.65	56.69	88.5	83.43	150.51	81.7	118.4	78.2	81.91	92.87	50.05	127.32	130.06	54.92	29.39	152.74	62.96	101.86	40.86	32.14	137.11	110.05	86.02	66.75	97.68	118.48	52.56	115.59	107.4	82.57	153.63	63.94	120.41	131.89	120.94	270.43	114.56	105.91	70	125.83	104.27	184.14	155.23	74.03	193.95	111.55	93.82	71.59	155.43	124.83	179.78	25.66	278.15	82.79	143.48	28.87	34.28	94.19	27.97	81.6	116.96	58.59	117.21	108.58	52.09	104.43	39.1	73.1	95.77	94.25	26
peak_7	1	564423	564745	LOC101928626	upstream	214924.6	286605.75	354084.36	271761.26	301001.69	465937.69	365545.38	172588.36	196925.33	203010.68	168823.49	129036.49	127974.36	122415.37	178100.45	148631.43	249889.61	114138.77	145048.09	139335.57	201546.5	374109.71	118105.53	125488.3	138485.93	326737.93	191861	507010.17	178622.74	163099.38	141369.7	262201.1	67903.32	80907.88	227271.65	102462.85	84538.35	219152.65	117697.69	152408.26	122870.91	227215.03	554806.41	363595.14	312587.17	276724.89	289185.38	232090.67	459900.67	281584.18	162073.43	371902.86	412089.01	178204.97	236419.9	309357.65	290571.98	115400.81	85177.27	108274.04	248113.37	163152.69	465482.39	115226.6	84401.24	90282.04	151312.67	213250.54	281942.73	161479.98	146950.02	76027.82	99146.06	73255.74	154105.98	132875.83	147364.96	222071.8	122811.83	117897.88	149852.01	263706.41	221213.24	273012.76	296790.15	616464
peak_8	1	565297	566162	LOC101928626;MIR6723	upstream;downstream	507706.16	670449.91	829318.53	642421.48	729837.42	1139074.99	871276.76	431914.38	482542.06	468600.22	404605.8	302777.23	310328.84	291893.52	425645.26	340244.85	588647.3	266329.58	329552.53	323367.1	474598.42	869406.66	278557.45	299960.09	323052.58	787672.33	443081.46	631607.56	423910.25	379975.79	342264.02	615496.84	158405.62	186683.85	532482.74	242167.75	204075.78	287153.36	270057.36	357172.37	282262.9	515125.2	1206238.37	831681.04	717195.32	635518.18	654270.91	545056.93	1077857.32	651020.79	377810.77	886656.02	473039.31	437843.07	560379.66	1286356.58	699173.61	269715.28	199357.39	253105.43	588657.34	380288.76	581192.49	276580.67	200667.98	216848.09	351029.16	506803.65	363210.3	375191.07	339270.03	172602.01	221891.64	287751.09	353570.06	303701.9	344546.54	520979.31	297441.41	276704.06	341776.97	617109.68	888422.49	670931.61	696472.5	584609.39
peak_9	1	566436	567198	MIR6723	downstream	513818.37	624135.77	751200.65	596159.61	625698.67	986647.34	773100.67	360590.3	426780.01	425052.14	355944.69	273062.32	273912.24	269202.48	389624.97	318354.33	538894.86	239197.25	308903.07	296811.66	435131.12	796296.94	242257.37	263815.73	285668.25	707987.87	400746.67	478224.87	382205.43	340813.73	623428.76	552410.33	138637.36	165082.76	584888.09	209686.22	176277.25	216619.63	245501.97	317103.01	261983.47	475747.66	1138661.2	776129.48	1301364.82	573194.63	616309.59	493256.95	970241.76	598320.53	360772.69	808434.47	341655.32	376225.94	489560.29	656798.8	608514.39	239342.45	180908.09	233701.76	533256.04	336003.16	426682.68	235753.65	173409.58	187963.96	309979.04	463377.06	270262.8	325706.6	298861.67	154026.14	198990.04	131729.19	330362.7	268573.87	299039.43	480746.94	258021.5	249514.26	315055.06	584381.41	471272.47	574418.62	617342.65	506651.7
peak_10	1	567478	567773	MIR6723	ncRNA_exonic	171184.9	214923.03	272769.21	199257.28	192875.73	315168.56	259422.85	106244.39	137474.34	148509.06	123970.73	99723.48	102515.16	100655.92	139733.98	117653.61	182306.14	85943.3	113642.3	107935.7	157735.37	286866.68	81239.86	88014.48	91290.79	208682.09	144640.04	167981.28	134999.93	123127.85	95030.83	195414.19	48924.65	59675.71	175112.67	74908.91	55419.87	79166.6	88559.06	113400.6	95383.52	163338.9	467850.44	290104.94	223512.24	191719.66	216769.75	174428.22	351624.82	213707.64	133697.08	267158.75	103857.69	115778.36	162216.25	219987.18	189427.35	89830.88	67582.54	88242.42	190354.74	126167.98	148996.56	80854.67	58015.37	60106.89	103766.48	164585.98	96761.5	115294.6	105884.08	53221.78	67072.71	43170.4	119051.8	85876.85	97780.19	164507.77	84515.79	80756.99	111109.76	200149.62	166553	165999.59	197755.38	155254.72
